East Tennessee State,2413,Morehead State,2193
time,team_id,description,h_score,a_score
19:47,2193,Hanner Mosquera-Perea missed Layup.,0,0
19:47,2413,Xavier Moon Block.,0,0
19:45,2413,DeJuan Marrero Defensive Rebound.,0,0
19:31,2413,DeJuan Marrero Turnover.,0,0
19:30,2193,Desonta Bradford Steal.,0,0
19:24,2193,Foul on Tevin Glass.,0,0
19:24,2193,Tevin Glass Turnover.,0,0
19:08,2413,DeJuan Marrero made Layup.,0,2
18:46,2193,T.J. Cromer made Three Point Jumper. Assisted by Desonta Bradford.,3,2
18:34,2413,DeJuan Marrero missed Layup.,3,2
18:34,2193,Hanner Mosquera-Perea Defensive Rebound.,3,2
18:24,2413,Foul on Ronnye Beamon.,3,2
18:24,2193,Hanner Mosquera-Perea made Free Throw.,4,2
18:24,2193,Hanner Mosquera-Perea missed Free Throw.,4,2
18:24,2193,A.J. Merriweather Offensive Rebound.,4,2
18:13,2413,Foul on Ronnye Beamon.,4,2
17:55,2413,Foul on Treshaad Williams.,4,2
17:53,2193,Hanner Mosquera-Perea made Layup. Assisted by Desonta Bradford.,6,2
17:53,2413,Foul on DeJuan Marrero.,6,2
17:53,2193,Hanner Mosquera-Perea missed Free Throw.,6,2
17:53,2413,Morehead St Defensive Rebound.,6,2
17:37,2413,Miguel Dicent missed Three Point Jumper.,6,2
17:37,2193,T.J. Cromer Defensive Rebound.,6,2
17:33,2193,T.J. Cromer Turnover.,6,2
17:29,2413,DeJuan Marrero missed Layup.,6,2
17:29,2193,Tevin Glass Defensive Rebound.,6,2
17:22,2193,Desonta Bradford missed Layup.,6,2
17:22,2413,DeJuan Marrero Defensive Rebound.,6,2
17:15,2413,Xavier Moon missed Three Point Jumper.,6,2
17:15,2193,Tevin Glass Defensive Rebound.,6,2
16:59,2193,T.J. Cromer made Three Point Jumper. Assisted by A.J. Merriweather.,9,2
16:44,2413,DeJuan Marrero missed Jumper.,9,2
16:44,2193,Isaac Banks Defensive Rebound.,9,2
16:31,2193,Desonta Bradford made Three Point Jumper. Assisted by A.J. Merriweather.,12,2
16:15,2413,Xavier Moon missed Layup.,12,2
16:15,2193,Isaac Banks Defensive Rebound.,12,2
16:04,2193,Foul on Tevin Glass.,12,2
16:04,2193,Tevin Glass Turnover.,12,2
15:55,2413,Lamontray Harris missed Jumper.,12,2
15:55,2193,T.J. Cromer Defensive Rebound.,12,2
15:49,2193,Jermaine Long missed Three Point Jumper.,12,2
15:49,2413,Lamontray Harris Defensive Rebound.,12,2
15:38,2413,Xavier Moon made Layup.,12,4
15:05,2193,T.J. Cromer missed Three Point Jumper.,12,4
15:05,2193,East Tennessee St Deadball Team Rebound.,12,4
15:04,2413,Foul on Miguel Dicent.,12,4
15:04,2413,Official TV Timeout,12,4
15:03,2193,Jermaine Long made Layup. Assisted by Desonta Bradford.,14,4
14:35,2413,Xavier Moon missed Jumper.,14,4
14:35,2193,Jermaine Long Defensive Rebound.,14,4
14:25,2193,Jermaine Long missed Layup.,14,4
14:25,2413,DeJuan Marrero Defensive Rebound.,14,4
14:02,2413,Lamontray Harris missed Jumper.,14,4
14:02,2413,Morehead St Offensive Rebound.,14,4
13:50,2413,Xavier Moon made Three Point Jumper. Assisted by Jordan Walker.,14,7
