Delaware,2550,Seton Hall,48
time,team_id,description,h_score,a_score
19:45,48,Cazmon Hayes missed Three Point Jumper.,0,0
19:45,2550,Ismael Sanogo Defensive Rebound.,0,0
19:32,2550,Angel Delgado missed Layup.,0,0
19:32,48,Cazmon Hayes Defensive Rebound.,0,0
19:09,48,Cazmon Hayes missed Three Point Jumper.,0,0
19:09,2550,Ismael Sanogo Defensive Rebound.,0,0
18:45,2550,Ismael Sanogo missed Jumper.,0,0
18:45,2550,Angel Delgado Offensive Rebound.,0,0
18:41,2550,Desi Rodriguez made Three Point Jumper. Assisted by Angel Delgado.,0,3
18:07,48,Devonne Pinkard missed Three Point Jumper.,0,3
18:07,2550,Madison Jones Defensive Rebound.,0,3
18:01,2550,Khadeen Carrington missed Three Point Jumper.,0,3
18:01,48,Eric Carter Defensive Rebound.,0,3
17:43,48,Anthony Mosley missed Layup.,0,3
17:43,2550,Angel Delgado Defensive Rebound.,0,3
17:36,2550,Madison Jones made Layup.,0,5
17:14,48,Eric Carter Turnover.,0,5
17:14,48,Foul on Eric Carter.,0,5
17:01,2550,Desi Rodriguez missed Three Point Jumper.,0,5
17:01,48,Eric Carter Defensive Rebound.,0,5
16:32,48,Cazmon Hayes missed Three Point Jumper.,0,5
16:32,2550,Angel Delgado Defensive Rebound.,0,5
16:19,2550,Angel Delgado missed Jumper.,0,5
16:19,48,Chivarsky Corbett Defensive Rebound.,0,5
16:16,2550,Foul on Desi Rodriguez.,0,5
15:57,48,Ryan Daly missed Jumper.,0,5
15:57,2550,Ismael Sanogo Defensive Rebound.,0,5
15:48,2550,Desi Rodriguez Turnover.,0,5
15:47,48,Chivarsky Corbett Steal.,0,5
15:44,48,Ryan Daly made Layup. Assisted by Chivarsky Corbett.,2,5
15:31,2550,Angel Delgado made Layup.,2,7
15:12,48,Eric Carter missed Layup.,2,7
15:12,2550,Ismael Sanogo Defensive Rebound.,2,7
14:56,2550,Madison Jones made Jumper.,2,9
14:40,48,Ryan Daly made Jumper. Assisted by Cazmon Hayes.,4,9
14:26,2550,Desi Rodriguez missed Jumper.,4,9
14:26,48,Delaware Defensive Rebound.,4,9
14:23,2550,Official TV Timeout,4,9
14:00,48,Skye Johnson missed Jumper.,4,9
14:00,2550,Ismael Sanogo Defensive Rebound.,4,9
13:52,2550,Angel Delgado made Layup. Assisted by Madison Jones.,4,11
13:38,48,Ryan Daly made Three Point Jumper. Assisted by Skye Johnson.,7,11
13:08,2550,Ismael Sanogo made Layup. Assisted by Angel Delgado.,7,13
13:08,48,Foul on Chivarsky Corbett.,7,13
13:08,2550,Ismael Sanogo missed Free Throw.,7,13
13:08,48,Ryan Daly Defensive Rebound.,7,13
12:46,48,Skye Johnson made Layup. Assisted by Anthony Mosley.,9,13
12:36,2550,Madison Jones missed Jumper.,9,13
12:36,48,Anthony Mosley Defensive Rebound.,9,13
12:35,2550,Foul on Ismael Sanogo.,9,13
12:17,48,Ryan Daly missed Layup.,9,13
12:17,2550,Michael Nzei Block.,9,13
12:16,48,Delaware Offensive Rebound.,9,13
12:14,48,Ryan Daly missed Three Point Jumper.,9,13
12:14,2550,Michael Nzei Defensive Rebound.,9,13
12:00,2550,Myles Carter Turnover.,9,13
12:00,2550,Foul on Myles Carter.,9,13
11:45,48,Anthony Mosley made Layup.,11,13
11:18,2550,Eron Gordon missed Jumper.,11,13
11:18,2550,Angel Delgado Offensive Rebound.,11,13
11:13,48,Foul on Skye Johnson.,11,13
11:13,2550,Official TV Timeout,11,13
11:13,2550,Angel Delgado made Free Throw.,11,14
11:13,2550,Angel Delgado made Free Throw.,11,15
10:48,48,Anthony Mosley missed Jumper.,11,15
10:48,2550,Eron Gordon Defensive Rebound.,11,15
10:39,2550,Angel Delgado made Layup. Assisted by Desi Rodriguez.,11,17
10:39,48,Foul on Skye Johnson.,11,17
10:39,2550,Angel Delgado missed Free Throw.,11,17
10:39,48,Eric Carter Defensive Rebound.,11,17
10:09,2550,Foul on Michael Nzei.,11,17
10:09,48,Anthony Mosley made Free Throw.,12,17
10:09,48,Anthony Mosley made Free Throw.,13,17
9:58,2550,Khadeen Carrington made Three Point Jumper. Assisted by Myles Powell.,13,20
9:36,48,Cazmon Hayes missed Layup.,13,20
9:36,48,Cazmon Hayes Offensive Rebound.,13,20
9:33,48,Cazmon Hayes missed Layup.,13,20
9:33,2550,Myles Powell Block.,13,20
