Rider,2448,North Carolina A&amp;T,2520
time,team_id,description,h_score,a_score
19:41,2520,Kahlil Thomas made Layup. Assisted by Jimmie Taylor.,2,0
19:23,2448,Aaron Scales missed Layup.,2,0
19:23,2520,Norville Carey Defensive Rebound.,2,0
19:14,2520,Stevie Jordan Turnover.,2,0
19:13,2448,Nick Reese Steal.,2,0
19:07,2448,Eliel Gonzalez missed Layup.,2,0
19:07,2520,Xavier Lundy Defensive Rebound.,2,0
19:00,2520,Stevie Jordan Turnover.,2,0
18:59,2448,Sam Hunt Steal.,2,0
18:53,2520,Foul on Kahlil Thomas.,2,0
18:53,2448,Sam Hunt made Free Throw.,2,1
18:53,2448,Sam Hunt made Free Throw.,2,2
18:35,2520,Xavier Lundy missed Layup.,2,2
18:35,2448,Aaron Scales Defensive Rebound.,2,2
18:05,2448,Aaron Scales made Jumper. Assisted by Eliel Gonzalez.,2,4
17:45,2520,Norville Carey missed Jumper.,2,4
17:45,2448,Eliel Gonzalez Defensive Rebound.,2,4
17:34,2448,Eliel Gonzalez Turnover.,2,4
17:31,2520,Jimmie Taylor Steal.,2,4
17:26,2520,Stevie Jordan made Layup. Assisted by Jimmie Taylor.,4,4
17:01,2448,Nick Reese made Three Point Jumper. Assisted by Eliel Gonzalez.,4,7
16:42,2520,Norville Carey Turnover.,4,7
16:13,2448,Aaron Scales Turnover.,4,7
15:59,2520,Kahlil Thomas missed Layup.,4,7
15:59,2448,Aaron Scales Defensive Rebound.,4,7
15:48,2448,Raymon Pratt missed Layup.,4,7
15:48,2448,Aaron Scales Offensive Rebound.,4,7
15:45,2448,Aaron Scales made Dunk.,4,9
15:27,2520,Tyere Marshall made Layup. Assisted by Stevie Jordan.,6,9
14:58,2448,Sam Hunt missed Three Point Jumper.,6,9
14:58,2520,Stevie Jordan Defensive Rebound.,6,9
14:45,2520,Tyere Marshall missed Layup.,6,9
14:45,2448,Nick Reese Defensive Rebound.,6,9
14:25,2448,Eliel Gonzalez made Layup.,6,11
14:18,2520,Norville Carey made Jumper. Assisted by Stevie Jordan.,8,11
13:45,2448,Raymon Pratt missed Three Point Jumper.,8,11
13:45,2520,Xavier Lundy Defensive Rebound.,8,11
13:37,2448,Foul on Raymon Pratt.,8,11
13:22,2520,Xavier Lundy made Three Point Jumper. Assisted by Stevie Jordan.,11,11
12:50,2448,Nick Reese made Jumper. Assisted by Eliel Gonzalez.,11,13
12:37,2520,Stevie Jordan missed Jumper.,11,13
12:37,2520,Kahlil Thomas Offensive Rebound.,11,13
12:34,2520,Kahlil Thomas made Layup.,13,13
12:34,2448,Foul on Nick Reese.,13,13
12:34,2520,Kahlil Thomas made Free Throw.,14,13
12:20,2448,Nick Reese missed Jumper.,14,13
12:20,2448,North Carolina A&T Offensive Rebound.,14,13
12:05,2448,Aaron Scales Turnover.,14,13
11:47,2448,Foul on Aaron Scales.,14,13
11:42,2520,Jimmie Taylor missed Jumper.,14,13
11:42,2448,North Carolina A&T Defensive Rebound.,14,13
11:12,2448,Nick Reese missed Three Point Jumper.,14,13
11:12,2520,Stevie Jordan Defensive Rebound.,14,13
11:01,2520,Kahlil Thomas made Layup.,16,13
10:44,2520,Foul on Jimmie Taylor.,16,13
10:33,2448,Eliel Gonzalez made Three Point Jumper. Assisted by Nick Reese.,16,16
10:18,2448,Foul on Aaron Scales.,16,16
10:12,2520,Tyere Marshall made Layup. Assisted by Xavier Lundy.,18,16
9:48,2520,Foul on Tyere Marshall.,18,16
9:48,2448,James Whitaker made Free Throw.,18,17
9:48,2448,James Whitaker made Free Throw.,18,18
9:34,2520,Jimmie Taylor missed Three Point Jumper.,18,18
9:34,2520,Xavier Lundy Offensive Rebound.,18,18
9:29,2520,Xavier Lundy made Layup.,20,18
8:57,2448,Eliel Gonzalez missed Three Point Jumper.,20,18
8:57,2520,Jimmie Taylor Defensive Rebound.,20,18
8:50,2520,Jimmie Taylor missed Jumper.,20,18
8:50,2448,Eliel Gonzalez Defensive Rebound.,20,18
8:36,2448,Davaris McGowens missed Layup.,20,18
8:36,2520,Xavier Lundy Block.,20,18
8:36,2448,Davaris McGowens Offensive Rebound.,20,18
8:34,2448,Davaris McGowens missed Layup.,20,18
8:34,2520,Xavier Lundy Block.,20,18
8:34,2520,Tyere Marshall Defensive Rebound.,20,18
8:33,2448,Foul on Nick Reese.,20,18
8:15,2520,Kahlil Thomas made Jumper.,22,18
8:01,2448,Eliel Gonzalez made Three Point Jumper.,22,21
7:40,2520,Jimmie Taylor missed Jumper.,22,21
7:40,2520,Jimmie Taylor Offensive Rebound.,22,21
7:38,2448,Foul on Eliel Gonzalez.,22,21
7:33,2520,Jimmie Taylor missed Free Throw.,22,21
7:33,2520,Rider Deadball Team Rebound.,22,21
7:33,2520,Jimmie Taylor made Free Throw.,23,21
7:18,2520,Foul on Kealen Washington-Ives.,23,21
7:17,2448,Raymon Pratt missed Three Point Jumper.,23,21
7:17,2520,Norville Carey Defensive Rebound.,23,21
7:01,2520,Kahlil Thomas Turnover.,23,21
7:00,2448,Eliel Gonzalez Steal.,23,21
6:56,2520,Foul on Xavier Lundy.,23,21
6:56,2448,Eliel Gonzalez made Free Throw.,23,22
6:56,2448,Eliel Gonzalez made Free Throw.,23,23
6:43,2448,Foul on Raymon Pratt.,23,23
6:43,2520,Jimmie Taylor missed Free Throw.,23,23
6:43,2448,Davaris McGowens Defensive Rebound.,23,23
6:22,2448,Sam Hunt missed Layup.,23,23
6:22,2520,Jimmie Taylor Defensive Rebound.,23,23
6:12,2520,Norville Carey missed Layup.,23,23
6:12,2448,Nick Reese Defensive Rebound.,23,23
5:56,2448,Sam Hunt missed Three Point Jumper.,23,23
5:56,2448,Nick Reese Offensive Rebound.,23,23
5:31,2448,Austin Williams Turnover.,23,23
5:19,2520,Stevie Jordan missed Three Point Jumper.,23,23
5:19,2448,Nick Reese Defensive Rebound.,23,23
5:10,2448,Austin Williams made Layup. Assisted by Sam Hunt.,23,25
5:10,2520,Foul on Kahlil Thomas.,23,25
5:10,2448,Austin Williams made Free Throw.,23,26
4:51,2448,Foul on Austin Williams.,23,26
4:51,2520,Xzavier Malone made Free Throw.,24,26
4:51,2520,Xzavier Malone made Free Throw.,25,26
4:23,2448,Sam Hunt Turnover.,25,26
4:07,2520,Stevie Jordan Turnover.,25,26
3:39,2448,Davaris McGowens Turnover.,25,26
3:37,2520,Tyere Marshall Steal.,25,26
3:33,2520,Anthony Durham missed Three Point Jumper.,25,26
3:33,2448,Nick Reese Defensive Rebound.,25,26
3:11,2448,Davaris McGowens made Layup. Assisted by Austin Williams.,25,28
2:45,2520,Jimmie Taylor missed Three Point Jumper.,25,28
2:45,2448,North Carolina A&T Defensive Rebound.,25,28
2:42,2448,Nick Reese made Free Throw.,25,29
2:42,2448,Nick Reese made Free Throw.,25,30
2:29,2520,Xavier Lundy Turnover.,25,30
2:15,2448,Austin Williams missed Layup.,25,30
2:15,2520,Stevie Jordan Block.,25,30
2:15,2520,Rider Defensive Rebound.,25,30
1:51,2520,Jimmie Taylor missed Three Point Jumper.,25,30
1:51,2520,Stevie Jordan Offensive Rebound.,25,30
1:32,2520,Jimmie Taylor missed Jumper.,25,30
1:32,2448,Austin Williams Defensive Rebound.,25,30
1:22,2448,Nick Reese made Layup. Assisted by Austin Williams.,25,32
1:02,2448,Foul on Austin Williams.,25,32
1:02,2520,Stevie Jordan made Free Throw.,26,32
1:02,2520,Stevie Jordan made Free Throw.,27,32
0:37,2448,Nick Reese missed Layup.,27,32
0:37,2520,Kahlil Thomas Block.,27,32
0:35,2520,Kahlil Thomas Defensive Rebound.,27,32
0:31,2520,Norville Carey missed Dunk.,27,32
0:31,2448,North Carolina A&T Defensive Rebound.,27,32
0:10,2448,James Whitaker made Layup.,27,34
0:00,2448,End of 1st half,27,34
19:31,2448,Eliel Gonzalez made Layup.,27,36
19:14,2520,Kahlil Thomas made Layup. Assisted by Jimmie Taylor.,29,36
18:53,2520,Foul on Stevie Jordan.,29,36
18:50,2448,Sam Hunt Turnover.,29,36
18:50,2520,Kahlil Thomas Steal.,29,36
18:46,2520,Jimmie Taylor made Layup. Assisted by Stevie Jordan.,31,36
18:27,2448,Raymon Pratt made Jumper. Assisted by Eliel Gonzalez.,31,38
18:14,2520,Xavier Lundy missed Three Point Jumper.,31,38
18:14,2448,Nick Reese Defensive Rebound.,31,38
17:46,2448,Eliel Gonzalez missed Three Point Jumper.,31,38
17:46,2520,Stevie Jordan Defensive Rebound.,31,38
