Fontbonne,2197,Eastern Illinois,459
time,team_id,description,h_score,a_score
19:51,2197,Montell Goodwin missed Three Point Jumper.,0,0
19:51,-1,Fontbonne Defensive Rebound.,0,0
19:44,-1,Dallas Haywood missed Jumper.,0,0
19:44,2197,Muusa Dama Defensive Rebound.,0,0
19:37,-1,Foul on Jeff Smith.,0,0
19:09,2197,Ray Crossland missed Jumper.,0,0
19:09,-1,Kody Ettinger Defensive Rebound.,0,0
18:58,-1,Kody Ettinger made Jumper. Assisted by Dallas Haywood.,2,0
18:34,2197,Montell Goodwin missed Jumper.,2,0
18:34,2197,Ray Crossland Offensive Rebound.,2,0
18:27,2197,Cornell Johnston missed Three Point Jumper.,2,0
18:27,-1,Dallas Haywood Defensive Rebound.,2,0
17:55,-1,Jeff Smith made Layup. Assisted by Orkan Bakis.,4,0
17:34,2197,Montell Goodwin missed Jumper.,4,0
17:34,-1,Orkan Bakis Defensive Rebound.,4,0
17:21,-1,Orkan Bakis Turnover.,4,0
17:20,2197,Ray Crossland Steal.,4,0
17:14,2197,Montell Goodwin made Layup.,4,2
17:03,-1,Jeff Smith Turnover.,4,2
16:55,2197,Ray Crossland Turnover.,4,2
16:53,-1,Orkan Bakis Steal.,4,2
16:47,-1,Trey Watkins missed Jumper.,4,2
16:47,2197,Patrick Muldoon Block.,4,2
16:45,2197,Muusa Dama Defensive Rebound.,4,2
16:41,-1,Foul on Dallas Haywood.,4,2
16:34,2197,Montell Goodwin made Three Point Jumper. Assisted by Cornell Johnston.,4,5
16:13,-1,Dallas Haywood missed Three Point Jumper.,4,5
16:13,2197,Patrick Muldoon Defensive Rebound.,4,5
16:05,2197,Muusa Dama made Dunk. Assisted by Patrick Muldoon.,4,7
15:55,-1,Kody Ettinger made Jumper.,6,7
15:38,2197,Cornell Johnston Turnover.,6,7
15:37,-1,Dallas Haywood Steal.,6,7
15:25,-1,Jeff Smith made Layup. Assisted by Kody Ettinger.,8,7
15:15,2197,Muusa Dama missed Jumper.,8,7
15:15,-1,Fontbonne Defensive Rebound.,8,7
15:12,2197,Official TV Timeout,8,7
15:11,-1,Dallas Haywood Turnover.,8,7
15:09,2197,Cornell Johnston Steal.,8,7
15:07,2197,Casey Teson missed Three Point Jumper.,8,7
15:07,-1,James Wiggins Defensive Rebound.,8,7
15:05,2197,Foul on Patrick Muldoon.,8,7
15:01,-1,Dallas Haywood Turnover.,8,7
14:55,2197,Montell Goodwin missed Jumper.,8,7
14:55,-1,Jeff Smith Defensive Rebound.,8,7
14:44,-1,James Wiggins Turnover.,8,7
14:30,2197,Patrick Muldoon made Jumper. Assisted by Ray Crossland.,8,9
14:17,-1,Tyler Schwartz Turnover.,8,9
13:58,2197,Aboubacar Diallo missed Jumper.,8,9
