Portland State,2501,Portland,2502
time,team_id,description,h_score,a_score
19:43,2501,Alec Wintering missed Layup.,0,0
19:43,2502,De'Sean Parsons Defensive Rebound.,0,0
19:37,2502,Traylin Farris made Layup. Assisted by De'Sean Parsons.,2,0
19:11,2501,Alec Wintering missed Jumper.,2,0
19:11,2502,Bryce Canda Defensive Rebound.,2,0
18:57,2502,Calaen Robinson made Three Point Jumper.,5,0
18:35,2501,Alec Wintering made Layup.,5,2
18:24,2502,Calaen Robinson missed Layup.,5,2
18:24,2502,Traylin Farris Offensive Rebound.,5,2
18:21,2502,Traylin Farris made Layup.,7,2
17:52,2501,Jazz Johnson made Layup.,7,4
17:38,2502,Bryce Canda made Jumper.,9,4
17:11,2502,Foul on Traylin Farris.,9,4
17:02,2501,Jazz Johnson missed Three Point Jumper.,9,4
17:02,2502,Calaen Robinson Defensive Rebound.,9,4
16:55,2502,Bryce Canda missed Three Point Jumper.,9,4
16:55,2501,Philipp Hartwich Defensive Rebound.,9,4
16:43,2501,Alec Wintering missed Layup.,9,4
16:43,2502,Traylin Farris Block.,9,4
16:41,2502,Bryce Canda Defensive Rebound.,9,4
16:37,2501,Foul on Gabe Taylor.,9,4
16:37,2502,De'Sean Parsons missed Free Throw.,9,4
16:37,2502,Portland St Deadball Team Rebound.,9,4
16:37,2502,De'Sean Parsons made Free Throw.,10,4
16:12,2501,Alec Wintering missed Jumper.,10,4
16:12,2502,Brandon Hollins Defensive Rebound.,10,4
16:01,2502,Foul on Brandon Hollins.,10,4
16:01,2502,Brandon Hollins Turnover.,10,4
15:52,2501,Foul on Philipp Hartwich.,10,4
15:52,2501,Philipp Hartwich Turnover.,10,4
15:52,2501,Official TV Timeout,10,4
15:41,2502,Brandon Hollins missed Jumper.,10,4
15:41,2501,Philipp Hartwich Defensive Rebound.,10,4
15:24,2501,Gabe Taylor made Jumper.,10,6
15:24,2502,Foul on Brandon Hollins.,10,6
15:24,2501,Gabe Taylor made Free Throw.,10,7
15:01,2502,Calaen Robinson missed Three Point Jumper.,10,7
15:01,2501,Philipp Hartwich Defensive Rebound.,10,7
14:52,2501,Alec Wintering Turnover.,10,7
14:40,2502,Deontae North missed Three Point Jumper.,10,7
14:40,2502,Bryce Canda Offensive Rebound.,10,7
14:31,2502,Traylin Farris missed Layup.,10,7
14:31,2501,Philipp Hartwich Block.,10,7
14:30,2501,D'Marques Tyson Defensive Rebound.,10,7
14:24,2501,D'Marques Tyson made Three Point Jumper. Assisted by Jazz Johnson.,10,10
13:58,2502,De'Sean Parsons made Three Point Jumper. Assisted by Deontae North.,13,10
13:41,2501,Alec Wintering made Layup.,13,12
13:25,2502,De'Sean Parsons made Jumper. Assisted by Traylin Farris.,15,12
13:04,2501,Jazz Johnson Turnover.,15,12
13:04,2502,De'Sean Parsons Steal.,15,12
13:04,2502,Portland St  Timeout,15,12
12:43,2502,De'Sean Parsons made Jumper.,17,12
12:27,2501,Alec Wintering missed Layup.,17,12
12:27,2502,De'Sean Parsons Block.,17,12
12:26,2501,Jazz Johnson Offensive Rebound.,17,12
12:15,2501,D'Marques Tyson Turnover.,17,12
12:07,2501,Foul on Alec Wintering.,17,12
11:53,2502,Bryce Canda made Three Point Jumper. Assisted by Calaen Robinson.,20,12
11:33,2501,Chier Maker made Layup.,20,14
11:28,2502,Deontae North made Three Point Jumper.,23,14
11:15,2501,Alec Wintering missed Layup.,23,14
11:15,2502,Deontae North Block.,23,14
11:15,2501,Portland Offensive Rebound.,23,14
11:15,2501,Official TV Timeout,23,14
11:15,2502,Technical Foul on Bryce Canda.,23,14
11:15,2502,Foul on Bryce Canda.,23,14
11:15,2501,Jazz Johnson made Free Throw.,23,15
11:15,2501,Jazz Johnson made Free Throw.,23,16
10:59,2501,Jazz Johnson made Layup.,23,18
10:54,2502,De'Sean Parsons Turnover.,23,18
10:53,2501,Alec Wintering Steal.,23,18
10:52,2502,Foul on Calaen Robinson.,23,18
10:29,2501,Chier Maker missed Jumper.,23,18
10:29,2502,Bryce Canda Defensive Rebound.,23,18
10:14,2501,Foul on Alec Wintering.,23,18
10:04,2502,Calaen Robinson missed Three Point Jumper.,23,18
10:04,2502,De'Sean Parsons Offensive Rebound.,23,18
9:52,2502,Traylin Farris made Jumper.,25,18
9:36,2501,Chier Maker missed Three Point Jumper.,25,18
9:36,2502,Bryce Canda Defensive Rebound.,25,18
9:20,2502,De'Sean Parsons Turnover.,25,18
9:19,2501,D'Marques Tyson Steal.,25,18
9:14,2502,Foul on Calaen Robinson.,25,18
9:14,2501,Alec Wintering missed Free Throw.,25,18
9:14,2501,Portland Deadball Team Rebound.,25,18
9:14,2501,Alec Wintering made Free Throw.,25,19
8:59,2502,Deontae North Turnover.,25,19
8:48,2501,D'Marques Tyson missed Three Point Jumper.,25,19
8:48,2502,Deontae North Defensive Rebound.,25,19
8:31,2502,Deontae North made Layup.,27,19
8:12,2501,D'Marques Tyson missed Layup.,27,19
8:12,2501,Gabe Taylor Offensive Rebound.,27,19
8:10,2501,Gabe Taylor made Layup.,27,21
7:53,2501,Foul on Alec Wintering.,27,21
7:53,2501,Official TV Timeout,27,21
7:53,2502,Deontae North made Free Throw.,28,21
7:53,2502,Deontae North made Free Throw.,29,21
7:53,2502,Deontae North made Free Throw.,30,21
7:24,2501,Chier Maker Turnover.,30,21
7:21,2502,Bryce Canda Steal.,30,21
7:17,2502,Deontae North missed Three Point Jumper.,30,21
7:17,2501,Chier Maker Defensive Rebound.,30,21
7:04,2501,Gabe Taylor missed Layup.,30,21
7:04,2501,Chier Maker Offensive Rebound.,30,21
7:01,2502,Foul on Traylin Farris.,30,21
7:01,2501,Chier Maker made Free Throw.,30,22
7:01,2501,Chier Maker missed Free Throw.,30,22
7:01,2502,Bryce Canda Defensive Rebound.,30,22
6:43,2502,De'Sean Parsons made Three Point Jumper. Assisted by Deontae North.,33,22
6:21,2501,D'Marques Tyson missed Three Point Jumper.,33,22
6:21,2502,Brandon Hollins Defensive Rebound.,33,22
6:02,2502,Zach Gengler missed Jumper.,33,22
6:02,2502,Brandon Hollins Offensive Rebound.,33,22
5:59,2502,Brandon Hollins made Layup.,35,22
5:51,2501,Portland  Timeout,35,22
5:31,2501,Gabe Taylor made Jumper.,35,24
5:17,2501,Foul on Chier Maker.,35,24
5:17,2502,De'Sean Parsons missed Free Throw.,35,24
5:17,2502,Portland St Deadball Team Rebound.,35,24
5:17,2502,De'Sean Parsons missed Free Throw.,35,24
5:17,2502,Deontae North Offensive Rebound.,35,24
5:06,2502,De'Sean Parsons Turnover.,35,24
5:05,2501,Jazz Johnson Steal.,35,24
5:01,2501,Rashad Jackson missed Layup.,35,24
5:01,2502,Brandon Hollins Block.,35,24
4:57,2502,Bryce Canda Defensive Rebound.,35,24
4:53,2502,Deontae North missed Layup.,35,24
4:53,2502,Deontae North Offensive Rebound.,35,24
4:46,2502,Deontae North missed Three Point Jumper.,35,24
4:46,2501,Gabe Taylor Defensive Rebound.,35,24
4:33,2502,Foul on Zach Gengler.,35,24
4:33,2501,Jazz Johnson made Free Throw.,35,25
4:33,2501,Jazz Johnson made Free Throw.,35,26
4:16,2502,Zach Gengler made Jumper.,37,26
4:01,2501,Rashad Jackson made Jumper.,37,28
3:46,2502,De'Sean Parsons Turnover.,37,28
3:45,2501,Rashad Jackson Steal.,37,28
3:42,2501,Rashad Jackson missed Layup.,37,28
3:42,2501,Chier Maker Offensive Rebound.,37,28
3:36,2501,Rashad Jackson made Three Point Jumper. Assisted by Jazz Johnson.,37,31
3:04,2502,Bryce Canda missed Three Point Jumper.,37,31
3:04,2501,Jazz Johnson Defensive Rebound.,37,31
2:56,2502,Foul on De'Sean Parsons.,37,31
2:56,2501,Official TV Timeout,37,31
2:56,2501,Chier Maker made Free Throw.,37,32
2:56,2501,Chier Maker missed Free Throw.,37,32
2:56,2502,De'Sean Parsons Defensive Rebound.,37,32
2:45,2502,Foul on De'Sean Parsons.,37,32
2:45,2502,De'Sean Parsons Turnover.,37,32
2:25,2501,Gabe Taylor missed Jumper.,37,32
2:25,2502,Brandon Hollins Defensive Rebound.,37,32
2:08,2502,Brandon Hollins made Layup.,39,32
1:49,2501,Chier Maker missed Three Point Jumper.,39,32
1:49,2502,Deontae North Defensive Rebound.,39,32
1:28,2502,Khari Holloway Turnover.,39,32
1:27,2501,Rashad Jackson Steal.,39,32
1:05,2502,Foul on Deontae North.,39,32
1:05,2501,Rashad Jackson made Free Throw.,39,33
1:05,2501,Rashad Jackson missed Free Throw.,39,33
1:05,2502,Brandon Hollins Defensive Rebound.,39,33
0:51,2502,Zach Gengler missed Three Point Jumper.,39,33
0:51,2502,Bryce Canda Offensive Rebound.,39,33
0:46,2502,Deontae North missed Three Point Jumper.,39,33
0:46,2502,Montie Leunen Offensive Rebound.,39,33
0:19,2502,Bryce Canda made Three Point Jumper.,42,33
0:00,2501,Jazz Johnson missed Jumper.,42,33
0:00,2502,Portland St Deadball Team Rebound.,42,33
0:00,2501,End of 1st half,42,33
19:48,2501,Alec Wintering Turnover.,42,33
19:48,2502,Zach Gengler Steal.,42,33
19:28,2502,Calaen Robinson missed Three Point Jumper.,42,33
19:28,2502,Traylin Farris Offensive Rebound.,42,33
19:23,2502,Traylin Farris made Layup.,44,33
19:08,2501,Alec Wintering made Layup.,44,35
18:39,2502,Traylin Farris missed Layup.,44,35
18:39,2502,Traylin Farris Offensive Rebound.,44,35
18:36,2502,Traylin Farris made Layup.,46,35
18:23,2501,Gabe Taylor made Layup. Assisted by Alec Wintering.,46,37
18:01,2502,Traylin Farris missed Layup.,46,37
18:01,2501,Philipp Hartwich Block.,46,37
17:59,2501,Portland Defensive Rebound.,46,37
17:38,2501,D'Marques Tyson made Three Point Jumper. Assisted by Gabe Taylor.,46,40
17:19,2502,Zach Gengler made Jumper.,48,40
17:00,2501,Alec Wintering made Layup.,48,42
16:49,2502,Zach Gengler Turnover.,48,42
16:47,2501,Jazz Johnson Steal.,48,42
16:33,2501,Alec Wintering Turnover.,48,42
16:32,2502,Zach Gengler Steal.,48,42
16:28,2502,Bryce Canda made Layup. Assisted by Zach Gengler.,50,42
16:05,2502,Foul on Calaen Robinson.,50,42
16:02,2501,Alec Wintering missed Layup.,50,42
16:02,2501,Joseph Smoyer Offensive Rebound.,50,42
15:42,2501,Jazz Johnson missed Three Point Jumper.,50,42
15:42,2502,De'Sean Parsons Defensive Rebound.,50,42
15:26,2502,Bryce Canda missed Three Point Jumper.,50,42
