Little Rock,57,Florida,2031
time,team_id,description,h_score,a_score
20:00,57,Jump Ball won by Florida,0,0
19:47,57,Kevarrius Hayes made Dunk. Assisted by Devin Robinson.,0,2
19:22,2031,Marcus Johnson Jr. missed Jumper.,0,2
19:22,57,Devin Robinson Defensive Rebound.,0,2
18:59,57,Devin Robinson made Jumper.,0,4
18:34,57,Foul on Kevarrius Hayes.,0,4
18:34,2031,Marcus Johnson Jr. missed Free Throw.,0,4
18:34,2031,Little Rock Deadball Team Rebound.,0,4
18:34,2031,Marcus Johnson Jr. missed Free Throw.,0,4
18:34,57,Kevarrius Hayes Defensive Rebound.,0,4
18:27,57,KeVaughn Allen missed Three Point Jumper.,0,4
18:27,57,Devin Robinson Offensive Rebound.,0,4
18:27,57,Devin Robinson missed Two Point Tip Shot.,0,4
18:27,2031,Little Rock Defensive Rebound.,0,4
18:04,2031,Lis Shoshi missed Jumper.,0,4
18:04,57,Devin Robinson Defensive Rebound.,0,4
17:43,57,Kasey Hill made Three Point Jumper. Assisted by KeVaughn Allen.,0,7
17:36,2031,Jalen Jackson Turnover.,0,7
17:36,57,Kasey Hill Steal.,0,7
17:29,57,KeVaughn Allen made Dunk. Assisted by Kasey Hill.,0,9
17:26,2031,Little Rock  Timeout,0,9
17:06,2031,Maurius Hill made Three Point Jumper. Assisted by Kemy Osse.,3,9
16:51,57,Kasey Hill missed Three Point Jumper.,3,9
16:51,57,KeVaughn Allen Offensive Rebound.,3,9
16:44,57,KeVaughn Allen made Three Point Jumper. Assisted by Devin Robinson.,3,12
16:18,2031,Jalen Jackson made Layup.,5,12
16:08,57,Justin Leon missed Three Point Jumper.,5,12
16:08,57,Kevarrius Hayes Offensive Rebound.,5,12
15:52,57,KeVaughn Allen Turnover.,5,12
15:52,2031,Marcus Johnson Jr. Steal.,5,12
15:32,2031,Kemy Osse missed Three Point Jumper.,5,12
15:32,57,Kasey Hill Defensive Rebound.,5,12
15:25,57,KeVaughn Allen made Three Point Jumper. Assisted by Kasey Hill.,5,15
15:00,2031,Lis Shoshi made Jumper.,7,15
14:42,57,KeVaughn Allen made Three Point Jumper. Assisted by Kasey Hill.,7,18
14:24,57,Foul on Kasey Hill.,7,18
14:24,57,Official TV Timeout,7,18
14:15,57,Foul on Canyon Barry.,7,18
14:15,2031,Jalen Jackson made Free Throw.,8,18
14:15,2031,Jalen Jackson made Free Throw.,9,18
