Norfolk State,2509,Purdue,2450
time,team_id,description,h_score,a_score
19:38,2509,Dakota Mathias missed Jumper.,0,0
19:38,2509,Isaac Haas Offensive Rebound.,0,0
19:34,2509,Isaac Haas made Two Point Tip Shot.,0,2
19:10,2450,Kyle Williams missed Three Point Jumper.,0,2
19:10,2509,Isaac Haas Defensive Rebound.,0,2
18:59,2509,Carsen Edwards Turnover.,0,2
18:40,2450,Stavian Allen missed Jumper.,0,2
18:40,2509,Carsen Edwards Defensive Rebound.,0,2
18:31,2509,Carsen Edwards missed Jumper.,0,2
18:31,2509,Caleb Swanigan Offensive Rebound.,0,2
18:28,2509,Caleb Swanigan made Dunk.,0,4
18:11,2450,Foul on Dan Robinson.,0,4
18:11,2450,Dan Robinson Turnover.,0,4
17:47,2509,Isaac Haas made Layup.,0,6
17:31,2450,Dan Robinson made Jumper. Assisted by Jonathan Wade.,2,6
17:16,2509,Isaac Haas made Layup. Assisted by Caleb Swanigan.,2,8
16:57,2450,Stavian Allen missed Three Point Jumper.,2,8
16:57,2509,Caleb Swanigan Defensive Rebound.,2,8
16:39,2509,P.J. Thompson missed Three Point Jumper.,2,8
16:39,2509,Isaac Haas Offensive Rebound.,2,8
16:32,2509,P.J. Thompson missed Three Point Jumper.,2,8
16:32,2450,Norfolk St Defensive Rebound.,2,8
16:17,2450,Jonathan Wade made Jumper.,4,8
15:55,2509,Official TV Timeout,4,8
15:49,2509,Caleb Swanigan missed Jumper.,4,8
15:49,2450,Stavian Allen Defensive Rebound.,4,8
15:34,2450,Carrington Ward made Three Point Jumper. Assisted by Kyle Williams.,7,8
15:20,2509,Carsen Edwards missed Three Point Jumper.,7,8
15:20,2509,Caleb Swanigan Offensive Rebound.,7,8
15:13,2450,Foul on Alex Long.,7,8
15:11,2509,Caleb Swanigan made Three Point Jumper. Assisted by Dakota Mathias.,7,11
14:55,2450,Jonathan Wade missed Three Point Jumper.,7,11
14:55,2509,Carsen Edwards Defensive Rebound.,7,11
14:48,2509,Carsen Edwards made Jumper.,7,13
14:38,2450,Jonathan Wade missed Jumper.,7,13
14:38,2509,Caleb Swanigan Defensive Rebound.,7,13
14:32,2509,Caleb Swanigan missed Three Point Jumper.,7,13
14:32,2450,Jonathan Wade Defensive Rebound.,7,13
14:17,2450,Carrington Ward missed Jumper.,7,13
14:17,2509,Isaac Haas Block.,7,13
14:15,2509,Caleb Swanigan Defensive Rebound.,7,13
14:12,2450,Foul on Stavian Allen.,7,13
14:12,2509,Dakota Mathias made Free Throw.,7,14
14:12,2509,Dakota Mathias made Free Throw.,7,15
13:54,2450,Alex Long missed Jumper.,7,15
13:54,2509,P.J. Thompson Defensive Rebound.,7,15
13:44,2509,Caleb Swanigan made Jumper. Assisted by Ryan Cline.,7,17
13:44,2450,Foul on Stavian Allen.,7,17
13:44,2509,Caleb Swanigan made Free Throw.,7,18
13:23,2450,Dan Robinson missed Jumper.,7,18
13:23,2509,Caleb Swanigan Defensive Rebound.,7,18
13:05,2450,Foul on Dan Robinson.,7,18
12:58,2509,Caleb Swanigan Turnover.,7,18
12:39,2450,Micah Goss Turnover.,7,18
12:28,2509,P.J. Thompson made Layup.,7,20
12:25,2450,Norfolk St  Timeout,7,20
12:25,2509,Official TV Timeout,7,20
12:12,2509,Foul on Dakota Mathias.,7,20
12:00,2450,Carrington Ward made Three Point Jumper.,10,20
11:43,2509,P.J. Thompson missed Three Point Jumper.,10,20
11:43,2450,Carrington Ward Defensive Rebound.,10,20
11:34,2450,Carrington Ward missed Layup.,10,20
11:34,2509,Caleb Swanigan Defensive Rebound.,10,20
11:16,2509,Ryan Cline missed Three Point Jumper.,10,20
11:16,2450,Carrington Ward Defensive Rebound.,10,20
11:00,2450,Alex Long Turnover.,10,20
10:58,2509,P.J. Thompson Steal.,10,20
10:55,2509,Ryan Cline made Layup. Assisted by P.J. Thompson.,10,22
10:55,2450,Foul on Carrington Ward.,10,22
10:55,2509,Ryan Cline made Free Throw.,10,23
10:44,2450,Stavian Allen Turnover.,10,23
10:32,2509,Isaac Haas made Jumper. Assisted by Vince Edwards.,10,25
10:09,2509,Foul on Ryan Cline.,10,25
10:09,2450,Stavian Allen made Free Throw.,11,25
10:09,2450,Stavian Allen made Free Throw.,12,25
9:55,2509,Isaac Haas made Layup. Assisted by Ryan Cline.,12,27
9:33,2450,Kerwin Okoro made Jumper.,14,27
9:22,2509,Vince Edwards missed Three Point Jumper.,14,27
9:22,2450,Kyle Williams Defensive Rebound.,14,27
9:14,2450,Jonathan Wade Turnover.,14,27
9:08,2450,Foul on Micah Goss.,14,27
9:08,2509,Carsen Edwards made Free Throw.,14,28
9:08,2509,Carsen Edwards made Free Throw.,14,29
8:56,2450,Kyle Williams missed Jumper.,14,29
8:56,2509,Basil Smotherman Defensive Rebound.,14,29
8:47,2509,Ryan Cline missed Jumper.,14,29
8:47,2509,Isaac Haas Offensive Rebound.,14,29
8:44,2509,Isaac Haas made Two Point Tip Shot.,14,31
8:25,2450,Alex Long made Jumper. Assisted by Kerwin Okoro.,16,31
8:09,2509,Carsen Edwards Turnover.,16,31
8:08,2450,Kerwin Okoro Steal.,16,31
8:05,2509,Foul on Basil Smotherman.,16,31
7:59,2450,Carrington Ward missed Three Point Jumper.,16,31
7:59,2450,Norfolk St Deadball Team Rebound.,16,31
7:57,2509,Foul on Ryan Cline.,16,31
7:57,2509,Official TV Timeout,16,31
7:54,2450,Alex Long missed Jumper.,16,31
7:54,2509,Purdue Defensive Rebound.,16,31
7:33,2509,Basil Smotherman made Jumper. Assisted by Vince Edwards.,16,33
7:11,2450,Jonathan Wade missed Jumper.,16,33
7:11,2450,Alex Long Offensive Rebound.,16,33
7:07,2450,Alex Long made Layup.,18,33
6:59,2509,Caleb Swanigan made Jumper. Assisted by Carsen Edwards.,18,35
6:37,2450,Micah Goss made Three Point Jumper.,21,35
6:21,2509,Vince Edwards Turnover.,21,35
6:20,2450,Jonathan Wade Steal.,21,35
6:14,2450,Micah Goss missed Three Point Jumper.,21,35
6:14,2509,Caleb Swanigan Defensive Rebound.,21,35
6:00,2450,Foul on Carrington Ward.,21,35
6:00,2509,Caleb Swanigan made Free Throw.,21,36
6:00,2509,Caleb Swanigan made Free Throw.,21,37
5:48,2450,Micah Goss missed Three Point Jumper.,21,37
5:48,2509,Purdue Defensive Rebound.,21,37
5:25,2509,Dakota Mathias made Three Point Jumper. Assisted by P.J. Thompson.,21,40
5:03,2450,Jonathan Wade missed Jumper.,21,40
5:03,2509,Dakota Mathias Defensive Rebound.,21,40
4:53,2509,Dakota Mathias missed Three Point Jumper.,21,40
4:53,2450,Norfolk St Defensive Rebound.,21,40
4:37,2450,Kerwin Okoro missed Three Point Jumper.,21,40
4:37,2509,Caleb Swanigan Defensive Rebound.,21,40
4:26,2450,Foul on Alex Long.,21,40
4:26,2509,Isaac Haas missed Free Throw.,21,40
4:26,2509,Purdue Deadball Team Rebound.,21,40
4:26,2509,Isaac Haas missed Free Throw.,21,40
4:26,2450,Jonathan Wade Defensive Rebound.,21,40
4:13,2450,Jonathan Wade Turnover.,21,40
4:11,2509,Dakota Mathias Steal.,21,40
4:09,2509,Dakota Mathias missed Three Point Jumper.,21,40
4:09,2509,Caleb Swanigan Offensive Rebound.,21,40
4:04,2509,Ryan Cline made Three Point Jumper. Assisted by Caleb Swanigan.,21,43
3:59,2450,Norfolk St  Timeout,21,43
3:59,2509,Official TV Timeout,21,43
3:34,2450,Stavian Allen missed Jumper.,21,43
3:34,2509,Caleb Swanigan Defensive Rebound.,21,43
3:25,2509,Foul on Vince Edwards.,21,43
3:25,2509,Vince Edwards Turnover.,21,43
3:03,2450,Alex Long missed Jumper.,21,43
3:03,2509,Caleb Swanigan Defensive Rebound.,21,43
2:56,2509,Foul on Caleb Swanigan.,21,43
2:56,2509,Caleb Swanigan Turnover.,21,43
2:44,2450,Jonathan Wade Turnover.,21,43
2:36,2509,Vince Edwards missed Jumper.,21,43
2:36,2509,Vince Edwards Offensive Rebound.,21,43
2:28,2509,Caleb Swanigan made Jumper. Assisted by P.J. Thompson.,21,45
2:11,2450,Jonathan Wade missed Three Point Jumper.,21,45
2:11,2509,Caleb Swanigan Defensive Rebound.,21,45
2:01,2509,P.J. Thompson missed Jumper.,21,45
2:01,2509,Purdue Deadball Team Rebound.,21,45
2:00,2450,Foul on Dan Robinson.,21,45
2:00,2509,Caleb Swanigan made Free Throw.,21,46
2:00,2509,Caleb Swanigan made Free Throw.,21,47
1:47,2450,Kerwin Okoro made Layup.,23,47
1:30,2509,Dakota Mathias made Layup.,23,49
1:15,2450,Kerwin Okoro missed Jumper.,23,49
1:15,2509,Caleb Swanigan Defensive Rebound.,23,49
1:06,2509,Caleb Swanigan made Dunk. Assisted by Vince Edwards.,23,51
0:32,2450,Kerwin Okoro made Layup.,25,51
0:02,2450,Foul on Alex Brown.,25,51
0:02,2509,Caleb Swanigan made Free Throw.,25,52
0:02,2509,Caleb Swanigan made Free Throw.,25,53
0:00,2509,End of 1st half,25,53
19:40,2450,Kyle Williams made Three Point Jumper. Assisted by Stavian Allen.,28,53
19:22,2450,Foul on Dan Robinson.,28,53
19:16,2509,Carsen Edwards missed Three Point Jumper.,28,53
19:16,2450,Norfolk St Defensive Rebound.,28,53
19:02,2509,Foul on Carsen Edwards.,28,53
18:39,2450,Stavian Allen missed Three Point Jumper.,28,53
18:39,2450,Alex Long Offensive Rebound.,28,53
18:34,2450,Alex Long missed Jumper.,28,53
18:34,2509,Caleb Swanigan Defensive Rebound.,28,53
18:18,2509,Caleb Swanigan made Jumper. Assisted by P.J. Thompson.,28,55
18:02,2509,Foul on Dakota Mathias.,28,55
17:55,2450,Carrington Ward Turnover.,28,55
17:54,2509,Carsen Edwards Steal.,28,55
17:50,2509,Carsen Edwards made Layup. Assisted by P.J. Thompson.,28,57
17:27,2450,Alex Long missed Jumper.,28,57
17:27,2509,Caleb Swanigan Defensive Rebound.,28,57
17:18,2450,Foul on Alex Long.,28,57
17:13,2509,Caleb Swanigan made Layup. Assisted by Carsen Edwards.,28,59
17:13,2450,Foul on Alex Long.,28,59
17:13,2509,Foul on Isaac Haas.,28,59
17:13,2450,Foul on Stavian Allen.,28,59
17:13,2509,Caleb Swanigan made Free Throw.,28,60
16:57,2450,Kyle Williams Turnover.,28,60
16:46,2509,Carsen Edwards missed Jumper.,28,60
16:46,2509,Caleb Swanigan Offensive Rebound.,28,60
16:43,2509,Caleb Swanigan made Two Point Tip Shot.,28,62
16:31,2509,Foul on Vince Edwards.,28,62
16:31,2450,Jonathan Wade made Free Throw.,29,62
16:31,2450,Jonathan Wade missed Free Throw.,29,62
16:31,2509,Vince Edwards Defensive Rebound.,29,62
16:19,2509,Dakota Mathias made Jumper.,29,64
16:00,2450,Kyle Williams Turnover.,29,64
15:59,2509,P.J. Thompson Steal.,29,64
15:55,2509,Vince Edwards made Layup. Assisted by P.J. Thompson.,29,66
15:35,2450,Carrington Ward missed Jumper.,29,66
15:35,2509,Carsen Edwards Defensive Rebound.,29,66
15:27,2509,Vince Edwards missed Jumper.,29,66
15:27,2450,Alex Long Defensive Rebound.,29,66
15:11,2450,Foul on Kerwin Okoro.,29,66
15:11,2450,Kerwin Okoro Turnover.,29,66
15:11,2509,Official TV Timeout,29,66
14:58,2509,Vince Edwards made Layup. Assisted by P.J. Thompson.,29,68
14:27,2450,Jonathan Wade made Jumper.,31,68
13:57,2509,Vince Edwards missed Jumper.,31,68
13:57,2450,Norfolk St Defensive Rebound.,31,68
13:38,2450,Jonathan Wade Turnover.,31,68
13:38,2509,P.J. Thompson Steal.,31,68
13:34,2509,P.J. Thompson made Layup.,31,70
13:30,2450,Kerwin Okoro made Jumper.,33,70
13:08,2509,Isaac Haas Turnover.,33,70
13:07,2450,Kerwin Okoro Steal.,33,70
12:55,2450,Kerwin Okoro missed Jumper.,33,70
12:54,2509,Dakota Mathias Block.,33,70
12:53,2450,Micah Goss Offensive Rebound.,33,70
12:52,2450,Micah Goss missed Jumper.,33,70
12:51,2509,Isaac Haas Block.,33,70
12:50,2509,Vince Edwards Defensive Rebound.,33,70
12:44,2509,Carsen Edwards made Layup.,33,72
12:14,2450,Jonathan Wade made Jumper.,35,72
12:02,2509,Ryan Cline missed Three Point Jumper.,35,72
12:02,2450,Kerwin Okoro Defensive Rebound.,35,72
11:34,2450,Alex Long missed Jumper.,35,72
11:34,2509,Carsen Edwards Defensive Rebound.,35,72
11:27,2509,Official TV Timeout,35,72
11:18,2509,Ryan Cline missed Three Point Jumper.,35,72
11:18,2450,Norfolk St Deadball Team Rebound.,35,72
11:15,2509,Foul on Isaac Haas.,35,72
11:03,2450,Foul on Micah Goss.,35,72
11:03,2450,Micah Goss Turnover.,35,72
10:54,2450,Foul on Dan Robinson.,35,72
10:54,2509,Carsen Edwards missed Free Throw.,35,72
10:54,2509,Purdue Deadball Team Rebound.,35,72
10:54,2509,Carsen Edwards made Free Throw.,35,73
10:32,2450,Stavian Allen missed Three Point Jumper.,35,73
10:32,2509,Isaac Haas Defensive Rebound.,35,73
10:25,2509,Carsen Edwards Turnover.,35,73
10:07,2450,Stavian Allen missed Layup.,35,73
10:07,2509,Caleb Swanigan Defensive Rebound.,35,73
10:02,2509,Carsen Edwards Turnover.,35,73
9:41,2450,Foul on Alex Long.,35,73
9:41,2450,Alex Long Turnover.,35,73
9:32,2509,Ryan Cline missed Three Point Jumper.,35,73
9:32,2509,Ryan Cline Offensive Rebound.,35,73
9:17,2509,Isaac Haas missed Jumper.,35,73
9:17,2450,Norfolk St Deadball Team Rebound.,35,73
8:56,2450,Kerwin Okoro Turnover.,35,73
8:46,2509,Caleb Swanigan made Jumper. Assisted by Ryan Cline.,35,75
8:19,2450,Jonathan Wade missed Jumper.,35,75
8:19,2509,Isaac Haas Defensive Rebound.,35,75
8:09,2509,Caleb Swanigan missed Three Point Jumper.,35,75
8:09,2450,Jonathan Wade Defensive Rebound.,35,75
7:59,2450,Jonathan Wade missed Jumper.,35,75
