Western Michigan,26,UCLA,2711
time,team_id,description,h_score,a_score
20:00,26,Jump Ball won by UCLA,0,0
19:49,26,Bryce Alford Turnover.,0,0
19:49,2711,Thomas Wilder Steal.,0,0
19:26,2711,Thomas Wilder made Three Point Jumper. Assisted by Reggie Jones.,3,0
19:10,26,Bryce Alford Turnover.,3,0
19:10,2711,Thomas Wilder Steal.,3,0
19:05,2711,Thomas Wilder made Layup. Assisted by Reggie Jones.,5,0
18:45,2711,Foul on Drake LaMont.,5,0
18:45,26,Gyorgy Goloman missed Free Throw.,5,0
18:45,26,UCLA Deadball Team Rebound.,5,0
18:45,26,Gyorgy Goloman made Free Throw.,5,1
18:26,2711,Tucker Haymond made Layup.,7,1
18:14,2711,Foul on Reggie Jones.,7,1
18:10,26,Lonzo Ball made Layup. Assisted by Gyorgy Goloman.,7,3
17:54,2711,Reggie Jones Turnover.,7,3
17:54,26,Gyorgy Goloman Steal.,7,3
17:48,26,Gyorgy Goloman made Dunk. Assisted by Isaac Hamilton.,7,5
17:25,2711,Brandon Johnson missed Jumper.,7,5
17:25,2711,Tucker Haymond Offensive Rebound.,7,5
17:21,2711,Tucker Haymond missed Layup.,7,5
17:21,26,Gyorgy Goloman Block.,7,5
17:21,2711,Western Michigan Offensive Rebound.,7,5
17:19,2711,Brandon Johnson Turnover.,7,5
17:19,26,TJ Leaf Steal.,7,5
17:12,26,Bryce Alford made Layup.,7,7
17:10,2711,Brandon Johnson Turnover.,7,7
17:07,2711,Foul on Tucker Haymond.,7,7
17:04,26,TJ Leaf made Jumper.,7,9
16:50,2711,Drake LaMont made Jumper. Assisted by Thomas Wilder.,9,9
16:45,26,Bryce Alford made Three Point Jumper. Assisted by Lonzo Ball.,9,12
16:31,2711,Thomas Wilder made Layup.,11,12
16:17,26,Isaac Hamilton Turnover.,11,12
16:17,2711,Reggie Jones Steal.,11,12
16:13,2711,Tucker Haymond made Layup. Assisted by Thomas Wilder.,13,12
15:53,26,Isaac Hamilton made Jumper. Assisted by Gyorgy Goloman.,13,14
15:37,2711,Reggie Jones missed Three Point Jumper.,13,14
15:37,26,Gyorgy Goloman Defensive Rebound.,13,14
15:35,2711,Foul on Drake LaMont.,13,14
15:35,26,Official TV Timeout,13,14
15:21,26,TJ Leaf made Three Point Jumper. Assisted by Isaac Hamilton.,13,17
15:03,2711,Tucker Haymond made Layup. Assisted by Seth Dugan.,15,17
14:43,26,Bryce Alford missed Three Point Jumper.,15,17
14:43,26,Gyorgy Goloman Offensive Rebound.,15,17
14:35,26,Isaac Hamilton Turnover.,15,17
14:35,2711,Bryce Moore Steal.,15,17
14:27,2711,Tucker Haymond missed Three Point Jumper.,15,17
14:27,26,Isaac Hamilton Defensive Rebound.,15,17
14:19,26,TJ Leaf missed Jumper.,15,17
14:19,2711,Seth Dugan Defensive Rebound.,15,17
14:15,26,Foul on Gyorgy Goloman.,15,17
14:02,2711,Thomas Wilder missed Jumper.,15,17
14:02,26,TJ Leaf Defensive Rebound.,15,17
13:55,26,Aaron Holiday missed Three Point Jumper.,15,17
13:55,26,Lonzo Ball Offensive Rebound.,15,17
13:48,26,Bryce Alford missed Layup.,15,17
13:48,2711,Brandon Johnson Defensive Rebound.,15,17
13:32,2711,Brandon Johnson missed Jumper.,15,17
13:32,26,Ike Anigbogu Defensive Rebound.,15,17
13:15,26,Aaron Holiday Turnover.,15,17
12:49,2711,Thomas Wilder missed Jumper.,15,17
12:49,26,TJ Leaf Defensive Rebound.,15,17
12:41,26,Bryce Alford Turnover.,15,17
12:28,2711,Bryce Moore made Three Point Jumper. Assisted by Josh Davis.,18,17
12:11,26,Ike Anigbogu missed Jumper.,18,17
12:11,2711,Thomas Wilder Defensive Rebound.,18,17
12:02,26,Foul on Aaron Holiday.,18,17
12:00,2711,Thomas Wilder made Three Point Jumper.,21,17
11:46,26,Lonzo Ball missed Three Point Jumper.,21,17
11:46,26,Isaac Hamilton Offensive Rebound.,21,17
11:36,26,Ike Anigbogu missed Layup.,21,17
11:36,2711,Josh Davis Defensive Rebound.,21,17
11:26,2711,Josh Davis missed Layup.,21,17
11:26,26,Lonzo Ball Block.,21,17
11:26,2711,Western Michigan Offensive Rebound.,21,17
11:24,26,Official TV Timeout,21,17
11:23,26,Foul on Lonzo Ball.,21,17
11:13,2711,Bryce Moore missed Jumper.,21,17
11:13,2711,Adida Ikongshul Offensive Rebound.,21,17
11:10,26,Foul on TJ Leaf.,21,17
11:01,2711,Josh Davis missed Three Point Jumper.,21,17
11:01,26,TJ Leaf Defensive Rebound.,21,17
10:53,26,Lonzo Ball missed Layup.,21,17
10:53,2711,Adida Ikongshul Defensive Rebound.,21,17
10:36,2711,Jarrin Randall missed Three Point Jumper.,21,17
10:36,2711,Adida Ikongshul Offensive Rebound.,21,17
10:22,2711,Adida Ikongshul missed Jumper.,21,17
10:22,26,Ike Anigbogu Block.,21,17
10:22,26,Lonzo Ball Defensive Rebound.,21,17
10:15,26,Isaac Hamilton made Layup.,21,19
9:58,2711,Bryce Moore missed Jumper.,21,19
9:58,26,Isaac Hamilton Defensive Rebound.,21,19
9:48,26,TJ Leaf missed Three Point Jumper.,21,19
9:48,2711,Josh Davis Defensive Rebound.,21,19
9:30,2711,Seth Dugan Turnover.,21,19
9:30,26,Isaac Hamilton Steal.,21,19
9:27,26,Isaac Hamilton Turnover.,21,19
