Austin Peay,84,Indiana,2046
time,team_id,description,h_score,a_score
19:47,84,Robert Johnson missed Three Point Jumper.,0,0
19:47,84,OG Anunoby Offensive Rebound.,0,0
19:41,84,Robert Johnson made Three Point Jumper. Assisted by Josh Newkirk.,0,3
19:15,2046,John Murry made Jumper.,2,3
18:48,84,Thomas Bryant missed Jumper.,2,3
18:48,2046,Chris Porter-Bunton Defensive Rebound.,2,3
18:17,2046,Josh Robinson missed Three Point Jumper.,2,3
18:17,84,OG Anunoby Defensive Rebound.,2,3
18:14,2046,Foul on John Murry.,2,3
18:02,2046,Foul on Jared Savage.,2,3
17:53,84,James Blackmon Jr. missed Jumper.,2,3
17:53,2046,Jared Savage Defensive Rebound.,2,3
17:37,2046,Kenny Jones made Layup.,4,3
17:24,84,Robert Johnson Turnover.,4,3
17:00,2046,Josh Robinson made Jumper.,6,3
16:43,84,Robert Johnson made Three Point Jumper. Assisted by Josh Newkirk.,6,6
16:26,2046,Kenny Jones made Layup.,8,6
16:03,84,Robert Johnson made Three Point Jumper. Assisted by De'Ron Davis.,8,9
15:42,2046,John Murry missed Layup.,8,9
15:42,84,De'Ron Davis Defensive Rebound.,8,9
15:35,84,Robert Johnson missed Three Point Jumper.,8,9
15:35,2046,Kenny Jones Defensive Rebound.,8,9
15:34,84,Foul on Robert Johnson.,8,9
15:34,84,Official TV Timeout,8,9
15:09,2046,Jared Savage missed Layup.,8,9
15:09,84,De'Ron Davis Defensive Rebound.,8,9
14:54,2046,Foul on Chris Porter-Bunton.,8,9
14:41,84,Josh Newkirk made Three Point Jumper. Assisted by De'Ron Davis.,8,12
14:10,2046,Josh Robinson missed Jumper.,8,12
14:10,84,De'Ron Davis Defensive Rebound.,8,12
14:05,84,Devonte Green Turnover.,8,12
14:04,2046,John Murry Steal.,8,12
14:02,2046,John Murry made Layup.,10,12
13:39,84,OG Anunoby Turnover.,10,12
13:39,2046,Chris Porter-Bunton Steal.,10,12
13:24,2046,John Murry Turnover.,10,12
13:23,84,De'Ron Davis Steal.,10,12
13:21,84,De'Ron Davis Turnover.,10,12
13:21,2046,John Murry Steal.,10,12
13:21,84,Foul on De'Ron Davis.,10,12
13:07,2046,John Murry missed Layup.,10,12
13:07,84,Thomas Bryant Defensive Rebound.,10,12
13:02,84,Thomas Bryant made Dunk. Assisted by Josh Newkirk.,10,14
12:44,2046,Kenny Jones missed Layup.,10,14
12:44,84,Devonte Green Defensive Rebound.,10,14
12:38,84,Josh Newkirk missed Three Point Jumper.,10,14
12:38,2046,Chris Porter-Bunton Defensive Rebound.,10,14
12:19,2046,Jared Savage Turnover.,10,14
12:08,84,Curtis Jones missed Three Point Jumper.,10,14
12:08,2046,Chris Porter-Bunton Defensive Rebound.,10,14
12:00,2046,Chris Porter-Bunton Turnover.,10,14
11:38,84,Curtis Jones missed Layup.,10,14
11:38,84,Juwan Morgan Offensive Rebound.,10,14
11:37,84,Juwan Morgan made Layup.,10,16
