Roosevelt,Error,UIC,82
time,team_id,description,h_score,a_score
19:38,82,Godwin Boahen missed Three Point Jumper.,0,0
19:38,-1,Joshua Dillingham Defensive Rebound.,0,0
19:08,-1,Korey Ryan missed Jumper.,0,0
19:08,82,Clint Robinson Defensive Rebound.,0,0
18:59,82,Tarkus Ferguson Turnover.,0,0
18:56,-1,Korey Ryan Steal.,0,0
18:43,-1,Adam Alexander missed Three Point Jumper.,0,0
18:43,82,UIC Defensive Rebound.,0,0
18:24,82,Tarkus Ferguson Turnover.,0,0
18:23,-1,Kyle Bumbalough Steal.,0,0
18:17,-1,Kyle Bumbalough missed Layup.,0,0
18:17,82,Godwin Boahen Defensive Rebound.,0,0
18:17,-1,Foul on Joshua Dillingham.,0,0
18:03,82,Clint Robinson made Jumper. Assisted by Tarkus Ferguson.,0,2
17:40,-1,Korey Ryan missed Three Point Jumper.,0,2
17:40,82,Godwin Boahen Defensive Rebound.,0,2
17:24,-1,Foul on Adam Alexander.,0,2
17:18,82,Tai Odiase made Layup. Assisted by Godwin Boahen.,0,4
17:18,-1,Foul on Korey Ryan.,0,4
17:18,82,Tai Odiase made Free Throw.,0,5
17:09,-1,Korey Ryan made Jumper. Assisted by Kyle Bumbalough.,2,5
16:46,82,Tai Odiase missed Jumper.,2,5
16:46,-1,Adam Alexander Block.,2,5
16:44,82,Tai Odiase Offensive Rebound.,2,5
16:42,82,Tai Odiase missed Layup.,2,5
16:42,-1,Roosevelt Defensive Rebound.,2,5
16:26,-1,Kyle Bumbalough missed Jumper.,2,5
16:26,82,Clint Robinson Defensive Rebound.,2,5
16:15,82,Godwin Boahen missed Three Point Jumper.,2,5
16:15,-1,Roosevelt Defensive Rebound.,2,5
15:53,82,Official TV Timeout,2,5
15:40,-1,Jake Ludwig made Layup. Assisted by Andre Raiford Jr..,4,5
15:26,82,Tarkus Ferguson missed Jumper.,4,5
15:26,82,Clint Robinson Offensive Rebound.,4,5
15:22,-1,Foul on Chandler Fuzak.,4,5
15:17,82,Dominique Matthews missed Three Point Jumper.,4,5
15:17,-1,Jake Ludwig Defensive Rebound.,4,5
15:09,82,Foul on Tarkus Ferguson.,4,5
15:09,-1,Jake Ludwig made Free Throw.,5,5
15:09,-1,Jake Ludwig made Free Throw.,6,5
14:56,82,Tai Odiase made Jumper. Assisted by Kyle Guice.,6,7
14:37,-1,Chandler Fuzak made Jumper. Assisted by Kyle Bumbalough.,8,7
14:26,82,Dominique Matthews missed Three Point Jumper.,8,7
14:26,-1,Jake Asquini Defensive Rebound.,8,7
14:12,-1,Jake Ludwig missed Layup.,8,7
14:12,82,Tai Odiase Block.,8,7
14:10,82,Dominique Matthews Defensive Rebound.,8,7
14:04,82,Kyle Guice missed Three Point Jumper.,8,7
14:04,-1,Andre Raiford Jr. Defensive Rebound.,8,7
13:48,82,Foul on Kyle Guice.,8,7
13:43,-1,Zack Harris missed Jumper.,8,7
13:43,82,Kyle Guice Defensive Rebound.,8,7
13:36,82,Godwin Boahen missed Layup.,8,7
13:36,82,Godwin Boahen Offensive Rebound.,8,7
13:30,82,Marcus Ottey made Three Point Jumper. Assisted by Godwin Boahen.,8,10
13:12,-1,Jake Ludwig missed Jumper.,8,10
13:12,82,Godwin Boahen Defensive Rebound.,8,10
12:53,82,Kyle Guice missed Three Point Jumper.,8,10
12:53,-1,Kyle Bumbalough Defensive Rebound.,8,10
12:46,-1,Andre Raiford Jr. missed Dunk.,8,10
12:46,82,Kyle Guice Defensive Rebound.,8,10
12:35,82,Tai Odiase missed Layup.,8,10
12:35,-1,Zack Harris Defensive Rebound.,8,10
12:28,82,Foul on Marcus Ottey.,8,10
12:28,-1,Kyle Bumbalough made Free Throw.,9,10
12:28,-1,Kyle Bumbalough made Free Throw.,10,10
12:07,-1,Foul on Korey Ryan.,10,10
11:45,82,Michael Kolawole missed Jumper.,10,10
11:45,82,Clint Robinson Offensive Rebound.,10,10
11:41,-1,Foul on Zack Harris.,10,10
11:41,82,Official TV Timeout,10,10
11:41,82,Clint Robinson made Free Throw.,10,11
11:41,82,Clint Robinson made Free Throw.,10,12
11:18,-1,Andre Raiford Jr. made Layup.,12,12
10:45,82,Michael Kolawole missed Three Point Jumper.,12,12
10:45,82,Clint Robinson Offensive Rebound.,12,12
10:41,82,Clint Robinson missed Layup.,12,12
10:41,-1,Joshua Dillingham Block.,12,12
10:40,82,UIC Offensive Rebound.,12,12
10:33,82,Dominique Matthews made Three Point Jumper. Assisted by Michael Kolawole.,12,15
10:12,-1,Jake Ludwig missed Jumper.,12,15
10:12,82,Michael Kolawole Defensive Rebound.,12,15
10:05,82,Dominique Matthews missed Three Point Jumper.,12,15
10:05,82,UIC Offensive Rebound.,12,15
9:52,82,Dominique Matthews missed Three Point Jumper.,12,15
9:52,-1,Adam Alexander Defensive Rebound.,12,15
9:21,82,Foul on Godwin Boahen.,12,15
9:21,-1,Carson Hughes made Free Throw.,13,15
9:21,-1,Carson Hughes made Free Throw.,14,15
9:21,-1,Carson Hughes missed Free Throw.,14,15
9:21,82,Michael Kolawole Defensive Rebound.,14,15
9:12,-1,Foul on Joshua Dillingham.,14,15
9:12,82,Tai Odiase made Free Throw.,14,16
9:12,82,Tai Odiase missed Free Throw.,14,16
9:12,-1,Adam Alexander Defensive Rebound.,14,16
8:56,-1,Jake Ludwig missed Layup.,14,16
8:56,82,Michael Kolawole Block.,14,16
8:54,82,Godwin Boahen Defensive Rebound.,14,16
8:37,82,Marcus Ottey Turnover.,14,16
8:36,-1,Jason Markus Steal.,14,16
8:30,-1,Carson Hughes made Three Point Jumper. Assisted by Jake Ludwig.,17,16
8:16,-1,Foul on Jason Markus.,17,16
8:16,82,Godwin Boahen made Free Throw.,17,17
8:16,82,Godwin Boahen made Free Throw.,17,18
7:59,-1,Jason Markus made Three Point Jumper. Assisted by Jake Ludwig.,20,18
7:48,82,Tai Odiase missed Jumper.,20,18
7:48,-1,Chandler Fuzak Defensive Rebound.,20,18
7:35,-1,Carson Hughes missed Layup.,20,18
7:35,82,K.J. Santos Block.,20,18
7:34,-1,Jason Markus Offensive Rebound.,20,18
7:23,82,Foul on K.J. Santos.,20,18
7:23,-1,Chandler Fuzak missed Free Throw.,20,18
7:23,-1,Roosevelt Deadball Team Rebound.,20,18
7:23,-1,Chandler Fuzak made Free Throw.,21,18
7:08,82,Marcus Ottey made Layup.,21,20
6:55,-1,Jake Ludwig made Jumper.,23,20
6:42,82,Tai Odiase made Jumper. Assisted by Godwin Boahen.,23,22
6:42,-1,Foul on Zack Harris.,23,22
6:42,82,Tai Odiase missed Free Throw.,23,22
6:42,-1,Zack Harris Defensive Rebound.,23,22
6:29,-1,Adam Alexander Turnover.,23,22
6:28,82,Tarkus Ferguson Steal.,23,22
6:26,82,Tarkus Ferguson made Dunk.,23,24
6:12,-1,Jake Ludwig missed Jumper.,23,24
6:12,82,Godwin Boahen Defensive Rebound.,23,24
6:07,-1,Foul on Jason Markus.,23,24
6:07,82,Marcus Ottey made Free Throw.,23,25
6:07,82,Marcus Ottey missed Free Throw.,23,25
6:07,-1,Roosevelt Defensive Rebound.,23,25
5:44,-1,Adam Alexander missed Jumper.,23,25
5:44,82,Tai Odiase Defensive Rebound.,23,25
5:32,82,K.J. Santos missed Jumper.,23,25
5:32,82,Tai Odiase Offensive Rebound.,23,25
5:27,82,Tai Odiase made Dunk.,23,27
5:08,-1,Kyle Bumbalough missed Jumper.,23,27
5:08,82,Tarkus Ferguson Defensive Rebound.,23,27
5:02,82,Tarkus Ferguson made Layup.,23,29
5:00,-1,Roosevelt  Timeout,23,29
4:37,-1,Kyle Bumbalough missed Jumper.,23,29
4:37,-1,Adam Alexander Offensive Rebound.,23,29
4:33,-1,Adam Alexander missed Two Point Tip Shot.,23,29
4:33,82,K.J. Santos Defensive Rebound.,23,29
4:26,82,Godwin Boahen missed Three Point Jumper.,23,29
4:26,-1,Korey Ryan Defensive Rebound.,23,29
4:16,-1,Korey Ryan missed Three Point Jumper.,23,29
4:16,82,Godwin Boahen Defensive Rebound.,23,29
4:07,82,Tarkus Ferguson missed Three Point Jumper.,23,29
4:07,82,Tai Odiase Offensive Rebound.,23,29
4:03,82,Tai Odiase made Two Point Tip Shot.,23,31
3:57,-1,Korey Ryan missed Three Point Jumper.,23,31
3:57,82,Tarkus Ferguson Defensive Rebound.,23,31
3:48,82,Tarkus Ferguson missed Layup.,23,31
3:48,-1,Jake Asquini Defensive Rebound.,23,31
3:17,82,Official TV Timeout,23,31
3:13,-1,Andre Raiford Jr. missed Jumper.,23,31
3:13,-1,Roosevelt Offensive Rebound.,23,31
3:11,-1,Roosevelt  Turnover.,23,31
