Pacific Union,Error,Pacific,279
time,team_id,description,h_score,a_score
19:39,-1,Foul on Chad Young.,0,0
19:39,279,K.J. Smith made Free Throw.,0,1
19:39,279,K.J. Smith missed Free Throw.,0,1
19:39,-1,Antho Adams-Rule Sr Defensive Rebound.,0,1
19:28,-1,Foul on Devon Pinnock.,0,1
19:28,-1,Devon Pinnock Turnover.,0,1
19:18,279,K.J. Smith made Jumper. Assisted by T.J. Wallace.,0,3
19:08,279,Foul on Jacob Lampkin.,0,3
19:08,-1,Antho Adams-Rule Sr made Free Throw.,1,3
19:08,-1,Antho Adams-Rule Sr made Free Throw.,2,3
19:00,279,Ray Bowles missed Jumper.,2,3
19:00,279,Anthony Townes Offensive Rebound.,2,3
18:57,279,Anthony Townes missed Layup.,2,3
18:57,-1,Antho Adams-Rule Sr Block.,2,3
18:56,279,Anthony Townes Offensive Rebound.,2,3
18:53,279,K.J. Smith missed Three Point Jumper.,2,3
18:53,279,Ray Bowles Offensive Rebound.,2,3
18:46,279,K.J. Smith Turnover.,2,3
18:46,-1,Devon Pinnock Steal.,2,3
18:38,-1,Rae Hubbard Turnover.,2,3
18:28,279,T.J. Wallace made Jumper.,2,5
18:17,-1,Rae Hubbard missed Three Point Jumper.,2,5
18:17,279,Anthony Townes Defensive Rebound.,2,5
17:58,279,K.J. Smith made Three Point Jumper. Assisted by T.J. Wallace.,2,8
17:41,-1,Devon Pinnock Turnover.,2,8
17:23,279,K.J. Smith missed Layup.,2,8
17:23,279,K.J. Smith Offensive Rebound.,2,8
17:16,279,K.J. Smith missed Layup.,2,8
17:16,-1,Chad Young Block.,2,8
17:16,279,Pacific Offensive Rebound.,2,8
17:12,279,Jacob Lampkin missed Jumper.,2,8
17:12,-1,Chad Young Defensive Rebound.,2,8
17:10,279,Foul on Ray Bowles.,2,8
16:49,-1,Brandon Franklin missed Three Point Jumper.,2,8
16:49,279,Jacob Lampkin Defensive Rebound.,2,8
16:41,279,Ray Bowles missed Jumper.,2,8
16:41,-1,Antho Adams-Rule Sr Defensive Rebound.,2,8
16:33,-1,Devon Pinnock missed Jumper.,2,8
16:33,279,K.J. Smith Block.,2,8
16:31,279,Anthony Townes Defensive Rebound.,2,8
16:20,279,K.J. Smith made Jumper.,2,10
16:17,-1,Pacific Union  Timeout,2,10
16:06,279,Foul on Anthony Townes.,2,10
16:06,-1,Antho Adams-Rule Sr made Free Throw.,3,10
16:06,-1,Antho Adams-Rule Sr made Free Throw.,4,10
15:36,279,K.J. Smith missed Three Point Jumper.,4,10
15:36,-1,Antho Adams-Rule Sr Defensive Rebound.,4,10
15:26,279,Foul on Anthony Townes.,4,10
15:22,-1,Antho Adams-Rule Sr missed Jumper.,4,10
15:22,279,Tonko Vuko Defensive Rebound.,4,10
15:10,279,Maleke Haynes Turnover.,4,10
15:10,-1,Rae Hubbard Steal.,4,10
15:07,-1,Devon Pinnock Turnover.,4,10
14:52,279,Jack Williams missed Three Point Jumper.,4,10
14:52,279,D.J. Ursery Offensive Rebound.,4,10
14:49,-1,Foul on Chad Young.,4,10
14:49,279,D.J. Ursery made Free Throw.,4,11
14:49,279,D.J. Ursery missed Free Throw.,4,11
14:49,279,Tonko Vuko Offensive Rebound.,4,11
14:37,279,T.J. Wallace made Jumper.,4,13
14:21,-1,Brandon Franklin missed Three Point Jumper.,4,13
14:21,279,Tonko Vuko Defensive Rebound.,4,13
14:01,279,Jack Williams missed Three Point Jumper.,4,13
14:01,-1,Antho Adams-Rule Sr Defensive Rebound.,4,13
13:53,279,Foul on Jack Williams.,4,13
13:53,-1,Rae Hubbard made Free Throw.,5,13
13:53,-1,Rae Hubbard made Free Throw.,6,13
13:31,-1,Foul on Brandon Franklin.,6,13
13:29,279,Jack Williams made Three Point Jumper. Assisted by D.J. Ursery.,6,16
13:09,-1,Ben Jazuk missed Three Point Jumper.,6,16
13:09,279,Jack Williams Defensive Rebound.,6,16
12:47,279,D.J. Ursery made Jumper.,6,18
12:45,-1,Foul on Ben Jazuk.,6,18
12:38,279,Tonko Vuko made Layup. Assisted by T.J. Wallace.,6,20
12:21,279,Foul on Tonko Vuko.,6,20
12:11,-1,Ben Jazuk missed Jumper.,6,20
12:11,279,Jack Williams Defensive Rebound.,6,20
12:04,279,T.J. Wallace missed Layup.,6,20
12:04,279,Jack Williams Offensive Rebound.,6,20
12:01,279,Jack Williams made Layup.,6,22
11:43,-1,Brandon Franklin missed Three Point Jumper.,6,22
11:43,-1,Pacific Union Offensive Rebound.,6,22
11:30,-1,Jayson Marquez missed Three Point Jumper.,6,22
11:30,279,Jack Williams Defensive Rebound.,6,22
11:09,279,T.J. Wallace missed Jumper.,6,22
11:09,279,T.J. Wallace Offensive Rebound.,6,22
11:04,279,Jack Williams missed Jumper.,6,22
11:04,279,Jacob Lampkin Offensive Rebound.,6,22
11:01,279,Jack Williams made Jumper. Assisted by T.J. Wallace.,6,24
10:42,-1,Ben Jazuk made Layup.,8,24
10:24,279,T.J. Wallace missed Jumper.,8,24
10:24,-1,Jayson Marquez Defensive Rebound.,8,24
10:09,-1,Ben Jazuk missed Three Point Jumper.,8,24
10:09,-1,Noel Briones Offensive Rebound.,8,24
10:03,-1,Greg Brown made Three Point Jumper. Assisted by Rae Hubbard.,11,24
9:35,279,K.J. Smith missed Jumper.,11,24
9:35,-1,Ben Jazuk Defensive Rebound.,11,24
9:23,-1,Rae Hubbard Turnover.,11,24
9:11,279,Foul on T.J. Wallace.,11,24
9:11,279,T.J. Wallace Turnover.,11,24
9:04,279,Foul on D.J. Ursery.,11,24
9:04,-1,Greg Brown made Free Throw.,12,24
9:04,-1,Greg Brown missed Free Throw.,12,24
9:04,279,Jack Williams Defensive Rebound.,12,24
8:59,279,K.J. Smith Turnover.,12,24
8:58,-1,Greg Brown Steal.,12,24
8:56,-1,Jayson Marquez made Layup. Assisted by Rae Hubbard.,14,24
8:42,279,Jacob Lampkin made Layup. Assisted by Ray Bowles.,14,26
8:42,-1,Foul on Ben Jazuk.,14,26
8:42,279,Jacob Lampkin made Free Throw.,14,27
8:28,-1,Greg Brown missed Three Point Jumper.,14,27
8:28,279,Jacob Lampkin Defensive Rebound.,14,27
8:14,279,K.J. Smith missed Three Point Jumper.,14,27
8:14,-1,Noel Briones Defensive Rebound.,14,27
8:14,-1,Greg Brown Turnover.,14,27
8:14,279,T.J. Wallace Steal.,14,27
8:14,279,D.J. Ursery made Jumper.,14,29
8:14,-1,Antho Adams-Rule Sr Turnover.,14,29
8:12,279,K.J. Smith Steal.,14,29
8:05,-1,Foul on Greg Brown.,14,29
8:03,279,Official TV Timeout,14,29
7:17,279,K.J. Smith made Free Throw.,14,30
7:17,279,K.J. Smith made Free Throw.,14,31
7:03,-1,Rae Hubbard Turnover.,14,31
7:02,279,D.J. Ursery Steal.,14,31
7:00,279,D.J. Ursery missed Layup.,14,31
7:00,-1,Jayson Marquez Block.,14,31
7:00,279,Pacific Offensive Rebound.,14,31
6:58,279,Ray Bowles missed Three Point Jumper.,14,31
6:58,-1,Devon Pinnock Defensive Rebound.,14,31
6:53,-1,Greg Brown missed Jumper.,14,31
6:53,279,Ray Bowles Block.,14,31
6:52,279,T.J. Wallace Defensive Rebound.,14,31
6:48,279,Jacob Lampkin made Layup. Assisted by D.J. Ursery.,14,33
6:48,-1,Foul on Antho Adams-Rule Sr.,14,33
6:48,279,Jacob Lampkin missed Free Throw.,14,33
6:48,279,Pacific Deadball Team Rebound.,14,33
6:48,279,Jacob Lampkin made Free Throw.,14,34
6:41,279,K.J. Smith missed Three Point Jumper.,14,34
6:41,279,D.J. Ursery Offensive Rebound.,14,34
6:36,279,Jacob Lampkin made Layup. Assisted by D.J. Ursery.,14,36
6:23,-1,Greg Brown Turnover.,14,36
6:23,279,T.J. Wallace Steal.,14,36
6:21,279,T.J. Wallace Turnover.,14,36
6:20,-1,Devon Pinnock Steal.,14,36
6:17,-1,Devon Pinnock Turnover.,14,36
6:16,279,K.J. Smith Steal.,14,36
6:10,-1,Foul on Devon Pinnock.,14,36
6:10,279,K.J. Smith missed Free Throw.,14,36
6:10,-1,Ben Jazuk Defensive Rebound.,14,36
6:10,279,Foul on Jacob Lampkin.,14,36
6:10,-1,Ben Jazuk missed Free Throw.,14,36
6:10,279,Pacific Deadball Team Rebound.,14,36
5:57,279,D.J. Ursery Turnover.,14,36
5:45,-1,Noel Briones made Jumper.,16,36
5:08,279,Pacific  Turnover.,16,36
5:00,-1,Greg Brown missed Three Point Jumper.,16,36
