Memphis,333,Alabama,235
time,team_id,description,h_score,a_score
19:45,333,Dazon Ingram made Three Point Jumper. Assisted by Donta Hall.,0,3
19:21,235,Jeremiah Martin Turnover.,0,3
19:17,333,John Petty missed Jumper.,0,3
19:17,333,Donta Hall Offensive Rebound.,0,3
19:13,333,Donta Hall made Dunk.,0,5
18:44,333,Foul on Daniel Giddens.,0,5
18:34,235,Kareem Brewton Jr. made Jumper.,2,5
18:17,333,Donta Hall Turnover.,2,5
18:17,235,Jimario Rivers Steal.,2,5
18:04,235,Jimario Rivers Turnover.,2,5
18:03,333,Dazon Ingram Steal.,2,5
18:00,235,Foul on Kyvon Davenport.,2,5
18:00,333,Herb Jones made Free Throw.,2,6
18:00,333,Herb Jones made Free Throw.,2,7
17:49,333,Foul on John Petty.,2,7
17:36,333,Foul on John Petty.,2,7
17:22,235,Jimario Rivers made Jumper. Assisted by Kareem Brewton Jr..,4,7
17:14,333,Herb Jones missed Jumper.,4,7
17:14,235,Mike Parks Jr. Block.,4,7
17:12,235,Jeremiah Martin Defensive Rebound.,4,7
17:09,235,Jeremiah Martin made Layup.,6,7
17:09,333,Foul on Donta Hall.,6,7
17:09,235,Jeremiah Martin missed Free Throw.,6,7
17:09,333,Donta Hall Defensive Rebound.,6,7
16:54,333,Foul on Daniel Giddens.,6,7
16:54,333,Daniel Giddens Turnover.,6,7
16:39,235,Mike Parks Jr. missed Jumper.,6,7
16:39,333,Herb Jones Block.,6,7
16:37,333,Dazon Ingram Defensive Rebound.,6,7
16:32,333,Alex Reese missed Three Point Jumper.,6,7
16:32,235,Jimario Rivers Defensive Rebound.,6,7
16:19,235,Jeremiah Martin missed Jumper.,6,7
16:19,235,Jimario Rivers Offensive Rebound.,6,7
16:18,333,Foul on Avery Johnson.,6,7
16:06,235,Kyvon Davenport missed Jumper.,6,7
16:06,235,Mike Parks Jr. Offensive Rebound.,6,7
16:02,235,Mike Parks Jr. made Layup.,8,7
15:48,333,Donta Hall Turnover.,8,7
15:46,235,Kareem Brewton Jr. Steal.,8,7
15:43,235,Kareem Brewton Jr. missed Layup.,8,7
15:43,333,Herb Jones Defensive Rebound.,8,7
15:38,235,Foul on Jimario Rivers.,8,7
15:38,333,Official TV Timeout,8,7
15:28,235,Foul on Jamal Johnson.,8,7
15:28,333,Dazon Ingram made Free Throw.,8,8
15:28,333,Dazon Ingram missed Free Throw.,8,8
15:28,333,Alex Reese Offensive Rebound.,8,8
15:21,333,Foul on Herb Jones.,8,8
15:21,333,Herb Jones Turnover.,8,8
15:07,235,Jeremiah Martin Turnover.,8,8
15:05,333,Herb Jones Steal.,8,8
15:02,333,Dazon Ingram missed Three Point Jumper.,8,8
15:02,333,Avery Johnson Offensive Rebound.,8,8
14:57,333,Avery Johnson Turnover.,8,8
14:55,235,Jamal Johnson Steal.,8,8
14:49,235,Mike Parks Jr. missed Jumper.,8,8
14:49,333,Donta Hall Block.,8,8
14:47,235,Mike Parks Jr. Offensive Rebound.,8,8
14:42,235,Jimario Rivers missed Jumper.,8,8
14:42,333,Dazon Ingram Defensive Rebound.,8,8
14:26,333,Herb Jones made Layup. Assisted by Dazon Ingram.,8,10
14:16,235,Raynere Thornton missed Three Point Jumper.,8,10
14:16,235,Jamal Johnson Offensive Rebound.,8,10
14:10,235,Jeremiah Martin missed Jumper.,8,10
14:10,333,Donta Hall Block.,8,10
14:08,235,Jeremiah Martin Offensive Rebound.,8,10
14:02,333,Foul on Dazon Ingram.,8,10
14:02,235,Raynere Thornton missed Free Throw.,8,10
14:02,235,Memphis Deadball Team Rebound.,8,10
14:02,235,Raynere Thornton missed Free Throw.,8,10
14:02,333,Alex Reese Defensive Rebound.,8,10
13:51,333,Herb Jones missed Jumper.,8,10
13:51,333,Herb Jones Offensive Rebound.,8,10
13:45,333,Herb Jones missed Jumper.,8,10
13:45,235,Jamal Johnson Block.,8,10
13:42,235,Jamal Johnson Defensive Rebound.,8,10
13:39,235,Jamal Johnson made Jumper.,10,10
13:22,333,Dazon Ingram Turnover.,10,10
13:21,235,Jamal Johnson Steal.,10,10
13:16,235,Raynere Thornton missed Layup.,10,10
13:16,235,Memphis Offensive Rebound.,10,10
13:07,235,Kyvon Davenport made Jumper.,12,10
13:07,333,Foul on Galin Smith.,12,10
13:07,235,Kyvon Davenport missed Free Throw.,12,10
13:07,333,Alex Reese Defensive Rebound.,12,10
12:40,333,Avery Johnson made Three Point Jumper.,12,13
12:26,333,Foul on Herb Jones.,12,13
12:26,235,Jamal Johnson made Free Throw.,13,13
12:26,235,Jamal Johnson made Free Throw.,14,13
12:26,235,Jamal Johnson made Free Throw.,15,13
11:59,333,Avery Johnson Turnover.,15,13
11:59,333,Foul on Avery Johnson.,15,13
11:59,333,Official TV Timeout,15,13
11:29,235,Kareem Brewton Jr. made Layup.,17,13
11:19,333,Alex Reese missed Three Point Jumper.,17,13
11:19,235,Kyvon Davenport Defensive Rebound.,17,13
11:09,235,Victor Enoh Turnover.,17,13
11:09,235,Foul on Victor Enoh.,17,13
10:54,333,Dazon Ingram missed Layup.,17,13
10:54,235,Kareem Brewton Jr. Defensive Rebound.,17,13
10:48,235,Mike Parks Jr. made Layup. Assisted by Kareem Brewton Jr..,19,13
10:31,333,Galin Smith Turnover.,19,13
10:31,333,Foul on Galin Smith.,19,13
10:11,235,Jamal Johnson Turnover.,19,13
10:09,333,Lawson Schaffer Steal.,19,13
10:07,333,Avery Johnson missed Layup.,19,13
10:07,235,Kareem Brewton Jr. Defensive Rebound.,19,13
9:56,235,Kyvon Davenport missed Three Point Jumper.,19,13
9:56,333,Daniel Giddens Defensive Rebound.,19,13
9:45,333,Lawson Schaffer missed Three Point Jumper.,19,13
9:45,235,Memphis Defensive Rebound.,19,13
9:43,333,Foul on Galin Smith.,19,13
9:43,235,Kareem Brewton Jr. made Free Throw.,20,13
9:43,235,Kareem Brewton Jr. made Free Throw.,21,13
9:26,333,Avery Johnson missed Three Point Jumper.,21,13
9:26,333,John Petty Offensive Rebound.,21,13
9:17,333,Daniel Giddens Turnover.,21,13
9:17,333,Foul on Daniel Giddens.,21,13
8:59,235,Jeremiah Martin missed Three Point Jumper.,21,13
8:59,333,Alex Reese Defensive Rebound.,21,13
8:50,333,John Petty missed Three Point Jumper.,21,13
8:50,333,Alex Reese Offensive Rebound.,21,13
8:19,333,Alex Reese made Three Point Jumper. Assisted by Lawson Schaffer.,21,16
7:57,235,Mike Parks Jr. missed Jumper.,21,16
7:57,333,Donta Hall Block.,21,16
7:55,333,Donta Hall Defensive Rebound.,21,16
7:50,333,Donta Hall Turnover.,21,16
7:50,333,Official TV Timeout,21,16
7:33,235,Mike Parks Jr. Turnover.,21,16
7:32,333,Herb Jones Steal.,21,16
7:29,333,John Petty missed Layup.,21,16
7:29,333,Donta Hall Offensive Rebound.,21,16
7:26,333,Donta Hall made Dunk.,21,18
7:19,333,Foul on Alex Reese.,21,18
7:19,235,Jimario Rivers missed Free Throw.,21,18
7:19,235,Memphis Deadball Team Rebound.,21,18
7:19,235,Jimario Rivers missed Free Throw.,21,18
7:19,333,Donta Hall Defensive Rebound.,21,18
7:03,235,Foul on Kareem Brewton Jr..,21,18
7:03,333,Herb Jones missed Free Throw.,21,18
7:03,333,Alabama Deadball Team Rebound.,21,18
7:03,333,Herb Jones missed Free Throw.,21,18
7:03,235,Kyvon Davenport Defensive Rebound.,21,18
6:51,235,Kareem Brewton Jr. Turnover.,21,18
6:38,333,Donta Hall missed Jumper.,21,18
6:38,235,Kyvon Davenport Block.,21,18
6:36,235,Kyvon Davenport Defensive Rebound.,21,18
6:32,333,Foul on Herb Jones.,21,18
6:32,235,Jamal Johnson made Free Throw.,22,18
6:32,235,Jamal Johnson missed Free Throw.,22,18
6:32,333,Alex Reese Defensive Rebound.,22,18
6:25,333,Dazon Ingram made Layup.,22,20
5:54,235,Jeremiah Martin missed Three Point Jumper.,22,20
5:54,235,Kyvon Davenport Offensive Rebound.,22,20
5:47,235,Kyvon Davenport missed Jumper.,22,20
5:47,235,Memphis Offensive Rebound.,22,20
5:43,235,Malik Rhodes missed Three Point Jumper.,22,20
5:43,235,Mike Parks Jr. Offensive Rebound.,22,20
5:36,235,Jamal Johnson missed Jumper.,22,20
5:36,333,Alabama Defensive Rebound.,22,20
5:16,333,Alex Reese made Three Point Jumper. Assisted by Dazon Ingram.,22,23
5:06,235,Jeremiah Martin Turnover.,22,23
5:05,333,Alex Reese Steal.,22,23
5:03,333,Dazon Ingram made Layup. Assisted by Donta Hall.,22,25
5:03,235,Foul on Malik Rhodes.,22,25
5:03,333,Dazon Ingram missed Free Throw.,22,25
5:03,333,Avery Johnson Offensive Rebound.,22,25
4:55,333,John Petty missed Three Point Jumper.,22,25
4:55,333,Donta Hall Offensive Rebound.,22,25
4:48,333,Alex Reese missed Three Point Jumper.,22,25
4:48,235,Kyvon Davenport Defensive Rebound.,22,25
4:18,235,Jeremiah Martin missed Jumper.,22,25
4:18,333,Donta Hall Defensive Rebound.,22,25
4:09,235,Foul on Malik Rhodes.,22,25
4:09,333,Dazon Ingram made Free Throw.,22,26
4:09,333,Dazon Ingram made Free Throw.,22,27
3:45,235,Kareem Brewton Jr. made Jumper.,24,27
3:27,333,Dazon Ingram missed Three Point Jumper.,24,27
3:27,235,Kareem Brewton Jr. Defensive Rebound.,24,27
3:19,333,Foul on Alex Reese.,24,27
3:19,333,Official TV Timeout,24,27
3:19,235,Kareem Brewton Jr. made Free Throw.,25,27
3:19,235,Kareem Brewton Jr. made Free Throw.,26,27
3:06,235,Foul on Jamal Johnson.,26,27
3:06,333,Dazon Ingram made Free Throw.,26,28
3:06,333,Dazon Ingram made Free Throw.,26,29
2:43,235,Kyvon Davenport made Jumper.,28,29
2:37,333,Lawson Schaffer made Three Point Jumper. Assisted by Dazon Ingram.,28,32
2:14,235,Kareem Brewton Jr. missed Jumper.,28,32
2:14,333,Dazon Ingram Defensive Rebound.,28,32
2:06,333,Avery Johnson made Layup. Assisted by Dazon Ingram.,28,34
1:51,333,Foul on Lawson Schaffer.,28,34
1:51,235,Jimario Rivers made Free Throw.,29,34
1:51,235,Jimario Rivers made Free Throw.,30,34
1:35,333,Alex Reese missed Three Point Jumper.,30,34
1:35,235,Kareem Brewton Jr. Defensive Rebound.,30,34
1:34,333,Foul on Donta Hall.,30,34
1:34,235,Kareem Brewton Jr. made Free Throw.,31,34
1:34,235,Kareem Brewton Jr. missed Free Throw.,31,34
1:34,333,Alex Reese Defensive Rebound.,31,34
1:22,235,Foul on Kareem Brewton Jr..,31,34
