Nicholls,292,UT Rio Grande Valley,2447
time,team_id,description,h_score,a_score
19:50,2447,Lafayette Rutledge missed Three Point Jumper.,0,0
19:50,2447,Roddy Peters Offensive Rebound.,0,0
19:44,2447,Roddy Peters missed Layup.,0,0
19:44,292,Dan Kimasa Block.,0,0
19:42,292,Javon Levi Defensive Rebound.,0,0
19:37,292,Nick Dixon made Layup. Assisted by Javon Levi.,0,2
19:29,2447,Zaquavian Smith missed Three Point Jumper.,0,2
19:29,2447,Lafayette Rutledge Offensive Rebound.,0,2
19:16,2447,Roddy Peters missed Jumper.,0,2
19:16,292,Nick Dixon Defensive Rebound.,0,2
19:08,2447,Foul on Roddy Peters.,0,2
19:03,292,Javon Levi missed Three Point Jumper.,0,2
19:03,2447,Roddy Peters Defensive Rebound.,0,2
18:56,2447,Tevon Saddler missed Three Point Jumper.,0,2
18:56,292,Xavier McDaniel Jr. Defensive Rebound.,0,2
18:47,292,Nick Dixon missed Three Point Jumper.,0,2
18:47,2447,Legend Robertin Defensive Rebound.,0,2
18:37,2447,Roddy Peters made Layup.,2,2
18:26,2447,Foul on Legend Robertin.,2,2
18:26,292,Xavier McDaniel Jr. missed Free Throw.,2,2
18:26,292,UT Rio Grande Valley Deadball Team Rebound.,2,2
18:26,292,Xavier McDaniel Jr. made Free Throw.,2,3
18:15,2447,Tevon Saddler missed Layup.,2,3
18:15,292,Xavier McDaniel Jr. Block.,2,3
18:12,2447,Legend Robertin Offensive Rebound.,2,3
18:09,2447,Legend Robertin missed Layup.,2,3
18:09,292,Nick Dixon Defensive Rebound.,2,3
18:05,2447,Foul on Roddy Peters.,2,3
18:01,292,Xavier McDaniel Jr. made Three Point Jumper. Assisted by Dan Kimasa.,2,6
17:45,2447,Lafayette Rutledge missed Three Point Jumper.,2,6
17:45,292,Dan Kimasa Defensive Rebound.,2,6
17:33,292,Moe McDonald missed Layup.,2,6
17:33,2447,Tevon Saddler Defensive Rebound.,2,6
17:26,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Jahvaughn Powell.,5,6
17:23,2447,Foul on Lafayette Rutledge.,5,6
17:10,292,Xavier McDaniel Jr. made Jumper.,5,8
17:03,2447,Jahvaughn Powell made Three Point Jumper.,8,8
