Omaha,147,Montana State,2437
time,team_id,description,h_score,a_score
19:38,147,Keljin Blevins missed Three Point Jumper.,0,0
19:38,2437,Zach Jackson Defensive Rebound.,0,0
19:35,2437,Zach Jackson made Layup.,2,0
19:04,2437,Foul on KJ Robinson.,2,0
19:04,147,Harald Frey made Free Throw.,2,1
19:04,147,Harald Frey made Free Throw.,2,2
18:41,2437,KJ Robinson missed Layup.,2,2
18:41,147,Zach Green Defensive Rebound.,2,2
18:22,147,Harald Frey made Three Point Jumper. Assisted by Keljin Blevins.,2,5
18:02,2437,Foul on Daniel Meyer.,2,5
18:02,2437,Daniel Meyer Turnover.,2,5
17:58,2437,Foul on Daniel Norl.,2,5
17:29,147,Harald Frey missed Three Point Jumper.,2,5
17:29,2437,Daniel Norl Defensive Rebound.,2,5
17:25,2437,Daniel Norl made Jumper.,4,5
17:02,147,Tyler Hall missed Three Point Jumper.,4,5
17:02,2437,Daniel Meyer Defensive Rebound.,4,5
16:53,2437,Mitchell Hahn missed Three Point Jumper.,4,5
16:53,147,Harald Frey Defensive Rebound.,4,5
16:43,147,Keljin Blevins missed Layup.,4,5
16:43,147,Sam Neumann Offensive Rebound.,4,5
16:36,147,Harald Frey made Three Point Jumper. Assisted by Sam Neumann.,4,8
16:16,2437,Zach Jackson missed Jumper.,4,8
16:16,147,Harald Frey Defensive Rebound.,4,8
15:53,147,Zach Green missed Three Point Jumper.,4,8
15:53,2437,Daniel Norl Defensive Rebound.,4,8
15:37,2437,Daniel Norl missed Three Point Jumper.,4,8
15:37,147,Keljin Blevins Defensive Rebound.,4,8
15:31,147,Tyler Hall missed Layup.,4,8
15:31,2437,Daniel Meyer Defensive Rebound.,4,8
15:16,2437,Daniel Meyer made Layup. Assisted by KJ Robinson.,6,8
14:54,147,Sam Neumann Turnover.,6,8
14:51,147,Official TV Timeout,6,8
14:35,2437,JT Gibson missed Jumper.,6,8
14:35,147,Tyler Hall Defensive Rebound.,6,8
14:27,147,Keljin Blevins made Layup.,6,10
13:58,2437,KJ Robinson made Layup.,8,10
13:33,147,Keljin Blevins made Layup.,8,12
13:18,2437,missed Jumper.,8,12
13:18,147,Isaac Bonton Defensive Rebound.,8,12
13:10,147,Tyler Hall missed Jumper.,8,12
13:10,2437,Daniel Norl Defensive Rebound.,8,12
12:48,2437,missed Layup.,8,12
12:48,147,Benson Osayande Defensive Rebound.,8,12
12:39,2437,Zach Jackson missed Jumper.,8,12
12:39,147,Keljin Blevins Defensive Rebound.,8,12
12:28,147,Devonte Klines Turnover.,8,12
12:13,2437,Daniel Norl made Jumper.,10,12
11:49,2437,Daniel Norl Offensive Rebound.,10,12
11:48,147,Official TV Timeout,10,12
11:34,147,Foul on Devonte Klines.,10,12
11:34,2437,Ayo Akinwole Turnover.,10,12
11:32,147,Sam Neumann Steal.,10,12
11:04,147,Harald Frey missed Three Point Jumper.,10,12
11:04,2437,Ayo Akinwole Defensive Rebound.,10,12
10:47,2437,missed Jumper.,10,12
10:47,147,Konner Frey Defensive Rebound.,10,12
10:40,147,Harald Frey Turnover.,10,12
10:39,2437,Daniel Norl Steal.,10,12
10:33,2437,JT Gibson missed Three Point Jumper.,10,12
10:33,2437,Daniel Norl Offensive Rebound.,10,12
10:30,2437,Daniel Norl made Jumper.,12,12
10:00,147,Devonte Klines missed Three Point Jumper.,12,12
10:00,147,Harald Frey Offensive Rebound.,12,12
9:54,147,Harald Frey missed Layup.,12,12
9:54,2437,Defensive Rebound.,12,12
9:46,2437,Daniel Norl made Jumper.,14,12
9:26,147,Sam Neumann missed Jumper.,14,12
9:26,147,Konner Frey Offensive Rebound.,14,12
