Charleston Southern,2166,Davidson,2127
time,team_id,description,h_score,a_score
19:46,2166,Kellan Grady made Three Point Jumper. Assisted by Peyton Aldridge.,0,3
19:40,2127,Sean Price missed Jumper.,0,3
19:40,2166,Jon Axel Gudmundsson Defensive Rebound.,0,3
19:31,2166,KiShawn Pritchett made Three Point Jumper. Assisted by Peyton Aldridge.,0,6
19:16,2127,Phlandrous Fleming Jr missed Jumper.,0,6
19:16,2127,Travis McConico Offensive Rebound.,0,6
18:59,2127,Jordan Jones missed Jumper.,0,6
18:59,2166,Peyton Aldridge Defensive Rebound.,0,6
18:49,2166,Peyton Aldridge missed Three Point Jumper.,0,6
18:49,2127,Phlandrous Fleming Jr Defensive Rebound.,0,6
18:43,2127,Phlandrous Fleming Jr Turnover.,0,6
18:21,2166,KiShawn Pritchett missed Three Point Jumper.,0,6
18:21,2166,Peyton Aldridge Offensive Rebound.,0,6
18:16,2166,Oskar Michelsen missed Layup.,0,6
18:16,2127,Phlandrous Fleming Jr Block.,0,6
18:14,2127,Travis McConico Defensive Rebound.,0,6
18:06,2127,Phlandrous Fleming Jr missed Layup.,0,6
18:06,2166,Kellan Grady Defensive Rebound.,0,6
17:58,2166,Peyton Aldridge made Three Point Jumper. Assisted by Kellan Grady.,0,9
17:43,2127,Travis McConico missed Three Point Jumper.,0,9
17:43,2166,Peyton Aldridge Defensive Rebound.,0,9
17:34,2166,Peyton Aldridge missed Jumper.,0,9
17:34,2127,Sean Price Defensive Rebound.,0,9
17:14,2127,Deontaye Buskey missed Jumper.,0,9
17:14,2127,Jamaal David Offensive Rebound.,0,9
17:10,2127,Jamaal David missed Dunk.,0,9
17:10,2166,Davidson Defensive Rebound.,0,9
16:49,2166,Kellan Grady made Three Point Jumper. Assisted by Dusan Kovacevic.,0,12
16:34,2127,Javis Howard Turnover.,0,12
16:33,2166,Rusty Reigel Steal.,0,12
16:23,2166,Kellan Grady made Three Point Jumper. Assisted by Rusty Reigel.,0,15
16:20,2127,Charleston Southern  Timeout,0,15
16:05,2127,Jamal Thomas Turnover.,0,15
