East Central,Error,New Mexico State,166
time,team_id,description,h_score,a_score
19:44,166,A.J. Harris Turnover.,0,0
19:29,-1,Marcus Lytle made Three Point Jumper. Assisted by Da-Rion King.,3,0
19:07,166,Zach Lofton missed Three Point Jumper.,3,0
19:07,166,Eli Chuha Offensive Rebound.,3,0
19:06,-1,Foul on Da-Rion King.,3,0
18:49,166,A.J. Harris missed Three Point Jumper.,3,0
18:47,-1,E. Central Okla Defensive Rebound.,3,0
18:36,-1,Brett Cannon missed Layup.,3,0
18:36,166,Zach Lofton Defensive Rebound.,3,0
18:17,166,Jemerrio Jones missed Jumper.,3,0
18:17,-1,Da-Rion King Defensive Rebound.,3,0
18:14,166,Foul on Eli Chuha.,3,0
17:51,-1,Brett Cannon made Layup.,5,0
17:38,166,A.J. Harris missed Layup.,5,0
17:38,-1,E. Central Okla Defensive Rebound.,5,0
17:26,-1,Marcus Lytle missed Three Point Jumper.,5,0
17:26,166,New Mexico State Defensive Rebound.,5,0
17:07,166,Zach Lofton made Layup.,5,2
17:07,-1,Foul on Brett Cannon.,5,2
17:07,166,Zach Lofton missed Free Throw.,5,2
17:07,-1,Gabe Mckenzie Defensive Rebound.,5,2
16:54,-1,Marcus Lytle missed Layup.,5,2
16:54,166,New Mexico State Defensive Rebound.,5,2
16:30,166,Jemerrio Jones missed Layup.,5,2
16:30,166,Jemerrio Jones Offensive Rebound.,5,2
16:26,166,Jemerrio Jones missed Layup.,5,2
16:26,-1,Camron Talley Defensive Rebound.,5,2
16:07,-1,Da-Rion King missed Jumper.,5,2
16:07,166,Zach Lofton Defensive Rebound.,5,2
16:00,166,Johnathon Wilkins missed Three Point Jumper.,5,2
16:00,-1,E. Central Okla Defensive Rebound.,5,2
15:57,166,Official TV Timeout,5,2
15:34,-1,Gabe Mckenzie missed Three Point Jumper.,5,2
15:34,166,Shunn Buchanan Defensive Rebound.,5,2
15:26,-1,Foul on Gabe Mckenzie.,5,2
