Northern New Mexico,Error,New Mexico,167
time,team_id,description,h_score,a_score
19:41,167,Joe Furstinger missed Three Point Jumper.,0,0
19:41,3141,Eric Coca Defensive Rebound.,0,0
19:23,3141,Bryce Simmons made Three Point Jumper. Assisted by Eric Coca.,3,0
19:14,167,Dane Kuiper missed Three Point Jumper.,3,0
19:14,3141,Tyrique Weaver Defensive Rebound.,3,0
19:00,3141,Dominique Josephs missed Jumper.,3,0
19:00,167,Sam Logwood Defensive Rebound.,3,0
18:50,167,Antino Jackson made Layup.,3,2
18:41,3141,Walid Aly made Layup.,5,2
18:32,167,Dane Kuiper made Three Point Jumper. Assisted by Antino Jackson.,5,5
18:21,3141,Dominique Josephs missed Jumper.,5,5
18:21,167,Joe Furstinger Defensive Rebound.,5,5
18:08,167,Chris McNeal made Three Point Jumper. Assisted by Joe Furstinger.,5,8
18:03,3141,Bryce Simmons Turnover.,5,8
17:57,167,Sam Logwood made Jumper. Assisted by Chris McNeal.,5,10
17:51,167,Foul on Dane Kuiper.,5,10
17:48,3141,Walid Aly Turnover.,5,10
17:40,167,Antino Jackson Turnover.,5,10
17:39,3141,Walid Aly Steal.,5,10
17:35,3141,Bryce Simmons missed Layup.,5,10
17:35,167,Vladimir Pinchuk Defensive Rebound.,5,10
17:29,167,Sam Logwood made Dunk. Assisted by Chris McNeal.,5,12
17:22,3141,Eric Coca Turnover.,5,12
17:22,167,Dane Kuiper Steal.,5,12
17:20,167,Sam Logwood made Layup.,5,14
17:14,167,Foul on Dane Kuiper.,5,14
17:14,167,New Mexico  Timeout,5,14
17:04,3141,Tyrique Weaver Turnover.,5,14
17:03,167,Sam Logwood Steal.,5,14
16:56,167,Chris McNeal made Three Point Jumper. Assisted by Sam Logwood.,5,17
16:43,3141,Eric Coca Turnover.,5,17
16:41,167,Troy Simons Steal.,5,17
16:39,167,Sam Logwood made Layup. Assisted by Chris McNeal.,5,19
16:32,3141,Dominique Josephs Turnover.,5,19
16:19,167,Troy Simons missed Three Point Jumper.,5,19
16:19,3141,Dominique Josephs Defensive Rebound.,5,19
16:09,3141,Bryce Simmons made Jumper. Assisted by Walid Aly.,7,19
15:38,3141,Foul on Ezini Ugbisien.,7,19
15:38,167,Official TV Timeout,7,19
15:38,167,Antino Jackson made Free Throw.,7,20
15:38,167,Antino Jackson made Free Throw.,7,21
15:38,167,Antino Jackson made Free Throw.,7,22
15:31,3141,Walid Aly made Layup.,9,22
15:13,167,Anthony Mathis missed Three Point Jumper.,9,22
15:13,3141,Ezini Ugbisien Defensive Rebound.,9,22
15:06,3141,Bryce Simmons made Layup. Assisted by Ezini Ugbisien.,11,22
15:06,167,Foul on Joe Furstinger.,11,22
