North Carolina A&amp;T,228,Clemson,2448
time,team_id,description,h_score,a_score
19:42,228,Elijah Thomas missed Jumper.,0,0
19:42,2448,Femi Olujobi Defensive Rebound.,0,0
19:22,2448,Femi Olujobi Turnover.,0,0
19:03,228,Shelton Mitchell missed Layup.,0,0
19:03,228,Elijah Thomas Offensive Rebound.,0,0
19:00,228,Marcquise Reed missed Three Point Jumper.,0,0
19:00,2448,North Carolina A&T Defensive Rebound.,0,0
18:57,228,Foul on Elijah Thomas.,0,0
18:45,2448,Japhet Kadji missed Jumper.,0,0
18:45,228,Donte Grantham Defensive Rebound.,0,0
18:33,228,Elijah Thomas made Layup. Assisted by Shelton Mitchell.,0,2
18:28,2448,North Carolina A&T  Timeout,0,2
18:12,2448,Kwei Lartey missed Three Point Jumper.,0,2
18:12,228,Donte Grantham Defensive Rebound.,0,2
18:01,228,Mark Donnal made Layup. Assisted by Donte Grantham.,0,4
17:54,2448,Femi Olujobi made Three Point Jumper.,3,4
17:40,228,Gabe DeVoe made Three Point Jumper. Assisted by Shelton Mitchell.,3,7
17:15,2448,Femi Olujobi missed Three Point Jumper.,3,7
17:15,228,Donte Grantham Defensive Rebound.,3,7
17:02,228,Donte Grantham made Layup.,3,9
17:02,2448,Foul on Kwei Lartey.,3,9
17:02,228,Donte Grantham made Free Throw.,3,10
16:52,228,Foul on Marcquise Reed.,3,10
16:51,2448,Femi Olujobi made Free Throw.,4,10
16:51,2448,Femi Olujobi made Free Throw.,5,10
16:37,228,Gabe DeVoe made Three Point Jumper. Assisted by Shelton Mitchell.,5,13
16:04,2448,Femi Olujobi missed Jumper.,5,13
16:04,228,Donte Grantham Defensive Rebound.,5,13
15:54,2448,Foul on Japhet Kadji.,5,13
15:54,228,Official TV Timeout,5,13
15:54,228,Shelton Mitchell made Free Throw.,5,14
15:54,228,Shelton Mitchell made Free Throw.,5,15
15:39,2448,Devonte Boykins made Layup.,7,15
15:21,228,Gabe DeVoe made Layup.,7,17
15:07,2448,Japhet Kadji made Three Point Jumper. Assisted by Devonte Boykins.,10,17
14:51,228,Shelton Mitchell missed Jumper.,10,17
14:51,228,Shelton Mitchell Offensive Rebound.,10,17
14:49,228,Shelton Mitchell missed Jumper.,10,17
14:49,2448,Kameron Langley Block.,10,17
14:48,2448,Kameron Langley Defensive Rebound.,10,17
14:34,2448,Femi Olujobi missed Three Point Jumper.,10,17
14:34,228,Gabe DeVoe Defensive Rebound.,10,17
