Chicago State,2509,Purdue,2130
time,team_id,description,h_score,a_score
19:43,2130,Foul on Glen Burns.,0,0
19:41,2509,Carsen Edwards missed Three Point Jumper.,0,0
19:41,2130,Chicago State Defensive Rebound.,0,0
19:17,2130,Rob Shaw missed Jumper.,0,0
19:17,2509,Vince Edwards Defensive Rebound.,0,0
19:10,2509,Dakota Mathias missed Jumper.,0,0
19:10,2130,Anthony Harris Defensive Rebound.,0,0
18:43,2130,Glen Burns made Jumper.,2,0
18:20,2509,Vince Edwards made Layup.,2,2
18:06,2130,Fred Sims Jr. missed Three Point Jumper.,2,2
18:06,2509,Isaac Haas Defensive Rebound.,2,2
17:53,2509,Vince Edwards missed Layup.,2,2
17:53,2509,Isaac Haas Offensive Rebound.,2,2
17:50,2509,Isaac Haas made Layup.,2,4
17:41,2130,Rob Shaw Turnover.,2,4
17:31,2130,Foul on Patrick Szpir.,2,4
17:31,2509,Isaac Haas made Free Throw.,2,5
17:31,2509,Isaac Haas made Free Throw.,2,6
17:29,2509,Carsen Edwards missed Jumper.,2,6
17:29,2130,Patrick Szpir Defensive Rebound.,2,6
17:08,2130,Anthony Harris Turnover.,2,6
17:06,2509,P.J. Thompson Steal.,2,6
17:04,2130,Foul on Anthony Harris.,2,6
17:04,2509,P.J. Thompson made Free Throw.,2,7
17:04,2509,P.J. Thompson made Free Throw.,2,8
16:35,2130,Patrick Szpir missed Jumper.,2,8
16:35,2509,Isaac Haas Block.,2,8
16:35,2509,Purdue Deadball Team Rebound.,2,8
16:30,2509,P.J. Thompson missed Three Point Jumper.,2,8
16:30,2130,Chicago State Deadball Team Rebound.,2,8
16:18,2509,Foul on Isaac Haas.,2,8
16:04,2130,Anthony Harris missed Jumper.,2,8
16:04,2509,Isaac Haas Block.,2,8
16:01,2130,Chicago State Offensive Rebound.,2,8
15:49,2130,Cameron Bowles made Layup. Assisted by Patrick Szpir.,4,8
15:37,2509,Vince Edwards made Layup.,4,10
15:37,2130,Foul on Patrick Szpir.,4,10
15:37,2509,Official TV Timeout,4,10
15:37,2509,Vince Edwards made Free Throw.,4,11
15:21,2130,Jalen Stephens-Holmes missed Jumper.,4,11
15:21,2509,P.J. Thompson Defensive Rebound.,4,11
15:14,2509,Dakota Mathias made Three Point Jumper. Assisted by Carsen Edwards.,4,14
14:45,2130,Glen Burns Turnover.,4,14
14:44,2509,Dakota Mathias Steal.,4,14
14:41,2509,Carsen Edwards made Layup.,4,16
14:41,2130,Foul on Cameron Bowles.,4,16
14:41,2509,Carsen Edwards made Free Throw.,4,17
14:21,2130,Cameron Bowles missed Jumper.,4,17
14:21,2509,Dakota Mathias Defensive Rebound.,4,17
14:12,2509,Carsen Edwards made Three Point Jumper. Assisted by Dakota Mathias.,4,20
14:08,2130,Chicago State  Timeout,4,20
13:48,2130,Rob Shaw made Jumper.,6,20
13:37,2509,Vince Edwards missed Jumper.,6,20
13:37,2509,Vince Edwards Offensive Rebound.,6,20
13:33,2130,Foul on Jalen Stephens-Holmes.,6,20
13:33,2509,Vince Edwards made Free Throw.,6,21
13:32,2509,Vince Edwards made Free Throw.,6,22
13:30,2130,Fred Sims Jr. made Three Point Jumper.,9,22
13:29,2509,Carsen Edwards missed Three Point Jumper.,9,22
13:28,2509,Nojel Eastern Offensive Rebound.,9,22
13:27,2509,Ryan Cline Turnover.,9,22
13:26,2130,Fred Sims Jr. missed Jumper.,9,22
13:25,2509,Vince Edwards Defensive Rebound.,9,22
13:23,2509,Carsen Edwards made Layup.,9,24
12:58,2130,Rob Shaw missed Three Point Jumper.,9,24
12:58,2509,Vince Edwards Defensive Rebound.,9,24
12:49,2509,Vince Edwards made Layup.,9,26
12:33,2130,Fred Sims Jr. made Jumper. Assisted by Jalen Stephens-Holmes.,11,26
12:22,2509,Nojel Eastern Turnover.,11,26
12:21,2130,Anthony Harris Steal.,11,26
12:20,2509,Foul on Matt Haarms.,11,26
12:19,2130,Anthony Harris made Dunk.,13,26
12:07,2509,Carsen Edwards made Jumper.,13,28
11:00,2509,Foul on Grady Eifert.,13,28
10:53,2130,Rob Shaw missed Free Throw.,13,28
10:53,2130,Chicago State Deadball Team Rebound.,13,28
10:53,2130,Rob Shaw made Free Throw.,14,28
10:45,2509,Grady Eifert missed Layup.,14,28
10:45,2509,Matt Haarms Offensive Rebound.,14,28
10:39,2509,Carsen Edwards made Layup. Assisted by Ryan Cline.,14,30
10:23,2130,Rob Shaw Turnover.,14,30
10:06,2509,Ryan Cline made Layup.,14,32
9:52,2130,Jelani Pruitt made Jumper.,16,32
9:44,2509,Nojel Eastern made Layup. Assisted by Matt Haarms.,16,34
9:18,2509,Foul on Dakota Mathias.,16,34
9:12,2509,Foul on Nojel Eastern.,16,34
9:12,2130,Glen Burns made Free Throw.,17,34
9:12,2130,Glen Burns made Free Throw.,18,34
9:04,2509,Ryan Cline missed Three Point Jumper.,18,34
9:04,2130,Anthony Harris Defensive Rebound.,18,34
9:01,2509,Foul on Grady Eifert.,18,34
8:47,2130,Deionte Simmons missed Jumper.,18,34
8:47,2509,Matt Haarms Block.,18,34
8:46,2509,Ryan Cline Defensive Rebound.,18,34
8:35,2130,Foul on Glen Burns.,18,34
8:35,2509,Dakota Mathias made Free Throw.,18,35
