Fairleigh Dickinson,213,Penn State,161
time,team_id,description,h_score,a_score
19:47,213,Shep Garner missed Jumper.,0,0
19:47,213,Shep Garner Offensive Rebound.,0,0
19:36,213,Tony Carr missed Jumper.,0,0
19:36,161,Kaleb Bishop Defensive Rebound.,0,0
19:07,161,Elyjah Williams missed Layup.,0,0
19:07,213,Lamar Stevens Defensive Rebound.,0,0
19:00,213,Josh Reaves Turnover.,0,0
18:44,161,Kaleb Bishop missed Layup.,0,0
18:44,213,Mike Watkins Defensive Rebound.,0,0
18:32,213,Josh Reaves missed Jumper.,0,0
18:32,213,Penn State Offensive Rebound.,0,0
18:26,213,Shep Garner Turnover.,0,0
18:16,161,Kaleb Bishop missed Layup.,0,0
18:16,161,Elyjah Williams Offensive Rebound.,0,0
18:14,161,Elyjah Williams made Two Point Tip Shot.,2,0
18:01,161,Foul on Kaleb Bishop.,2,0
18:01,213,Tony Carr made Free Throw.,2,1
18:01,213,Tony Carr made Free Throw.,2,2
17:54,161,Jahlil Jenkins Turnover.,2,2
17:35,213,Mike Watkins missed Jumper.,2,2
17:35,161,Kaleb Bishop Defensive Rebound.,2,2
17:31,161,Darnell Edge made Layup. Assisted by Elyjah Williams.,4,2
17:19,213,Shep Garner missed Three Point Jumper.,4,2
17:19,161,Kaleb Bishop Defensive Rebound.,4,2
16:59,161,Jahlil Jenkins made Three Point Jumper. Assisted by Elyjah Williams.,7,2
16:37,213,Lamar Stevens made Jumper. Assisted by Tony Carr.,7,4
16:20,161,Mike Holloway Jr. made Three Point Jumper. Assisted by Jahlil Jenkins.,10,4
16:05,161,Foul on Elyjah Williams.,10,4
16:05,213,Mike Watkins made Free Throw.,10,5
16:05,213,Mike Watkins missed Free Throw.,10,5
16:05,161,Noah Morgan Defensive Rebound.,10,5
15:38,213,Official TV Timeout,10,5
15:35,161,Jahlil Jenkins missed Layup.,10,5
15:35,161,Fairleigh Dickinson Deadball Team Rebound.,10,5
15:35,161,Fairleigh Dickinson  Turnover.,10,5
