The Citadel,259,Virginia Tech,2643
time,team_id,description,h_score,a_score
19:49,2643,Kaelon Harris Turnover.,0,0
19:48,259,Devin Wilson Steal.,0,0
19:35,259,Justin Robinson made Three Point Jumper. Assisted by Devin Wilson.,0,3
19:22,2643,Frankie Johnson made Jumper.,2,3
19:16,259,Nickeil Alexander-Walker Turnover.,2,3
19:04,2643,Kaelon Harris missed Jumper.,2,3
19:04,259,Ahmed Hill Defensive Rebound.,2,3
18:43,259,Justin Robinson made Three Point Jumper. Assisted by Devin Wilson.,2,6
18:22,2643,Frankie Johnson missed Layup.,2,6
18:22,259,Nickeil Alexander-Walker Block.,2,6
18:21,259,Justin Robinson Defensive Rebound.,2,6
18:17,259,Justin Robinson made Layup.,2,8
17:56,2643,Kaelon Harris made Three Point Jumper. Assisted by Zane Najdawi.,5,8
17:45,259,Ahmed Hill missed Layup.,5,8
17:45,2643,Kaelon Harris Block.,5,8
17:45,259,Ahmed Hill Offensive Rebound.,5,8
17:44,2643,Foul on Tariq Simmons.,5,8
17:44,259,Ahmed Hill missed Free Throw.,5,8
17:44,259,Virginia Tech Deadball Team Rebound.,5,8
17:44,259,Ahmed Hill made Free Throw.,5,9
17:36,2643,Matt Frierson missed Three Point Jumper.,5,9
17:36,259,Defensive Rebound.,5,9
17:16,259,Nickeil Alexander-Walker made Layup.,5,11
17:00,2643,Tariq Simmons missed Layup.,5,11
17:00,259,Chris Clarke Defensive Rebound.,5,11
16:53,259,Ahmed Hill missed Layup.,5,11
16:53,2643,Tariq Simmons Defensive Rebound.,5,11
16:48,2643,Tariq Simmons made Layup.,7,11
16:42,259,Ahmed Hill made Dunk. Assisted by Justin Robinson.,7,13
16:18,259,Foul on Devin Wilson.,7,13
16:18,2643,Rob Johnson missed Free Throw.,7,13
16:18,2643,The Citadel Deadball Team Rebound.,7,13
16:18,2643,Rob Johnson made Free Throw.,8,13
16:01,259,Nickeil Alexander-Walker missed Three Point Jumper.,8,13
16:01,2643,Quayson Williams Defensive Rebound.,8,13
15:51,2643,Rob Johnson missed Layup.,8,13
15:51,2643,Rob Johnson Offensive Rebound.,8,13
15:48,2643,Rob Johnson missed Two Point Tip Shot.,8,13
15:48,259,Defensive Rebound.,8,13
15:40,259,Chris Clarke made Layup. Assisted by Devin Wilson.,8,15
15:34,2643,Tariq Simmons made Layup.,10,15
15:34,259,Foul on Ahmed Hill.,10,15
15:34,259,Official TV Timeout,10,15
15:34,2643,Tariq Simmons made Free Throw.,11,15
15:27,259,Ahmed Hill made Layup. Assisted by Devin Wilson.,11,17
15:21,2643,Tariq Simmons made Three Point Jumper. Assisted by Preston Parks.,14,17
14:57,259,made Layup. Assisted by Chris Clarke.,14,19
14:45,259,Foul on Ahmed Hill.,14,19
14:34,2643,Tariq Simmons made Layup.,16,19
14:23,259,Nickeil Alexander-Walker made Layup.,16,21
14:07,2643,Preston Parks missed Layup.,16,21
14:07,259,Chris Clarke Defensive Rebound.,16,21
14:01,2643,Foul on Zane Najdawi.,16,21
14:01,259,Nickeil Alexander-Walker made Free Throw.,16,22
14:01,259,Nickeil Alexander-Walker made Free Throw.,16,23
13:53,2643,Tariq Simmons missed Jumper.,16,23
13:53,259,Chris Clarke Defensive Rebound.,16,23
13:51,2643,Foul on Kaelon Harris.,16,23
13:37,259,Justin Robinson missed Three Point Jumper.,16,23
13:37,259,Nickeil Alexander-Walker Offensive Rebound.,16,23
13:31,259,Nickeil Alexander-Walker made Dunk.,16,25
13:21,2643,Zane Najdawi missed Three Point Jumper.,16,25
13:21,259,Chris Clarke Defensive Rebound.,16,25
13:13,259,Devin Wilson made Layup. Assisted by Justin Robinson.,16,27
13:08,2643,The Citadel  Timeout,16,27
13:02,2643,Matt Frierson made Three Point Jumper. Assisted by Preston Parks.,19,27
12:37,259,missed Layup.,19,27
12:37,2643,Derek Webster Jr. Defensive Rebound.,19,27
12:10,2643,Kaelon Harris Turnover.,19,27
12:10,2643,Foul on Kaelon Harris.,19,27
11:54,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Devin Wilson.,19,30
11:47,2643,Preston Parks Turnover.,19,30
11:46,259,Justin Robinson Steal.,19,30
11:43,259,Chris Clarke made Layup. Assisted by Justin Robinson.,19,32
11:40,2643,Preston Parks Turnover.,19,32
11:39,259,Official TV Timeout,19,32
11:32,259,Devin Wilson made Layup. Assisted by Justin Robinson.,19,34
11:23,2643,Kaiden Rice missed Three Point Jumper.,19,34
11:23,259,Virginia Tech Deadball Team Rebound.,19,34
11:23,2643,Foul on Hayden Brown.,19,34
