George Mason,97,Louisville,2244
time,team_id,description,h_score,a_score
19:42,97,Deng Adel missed Three Point Jumper.,0,0
19:42,2244,Goanar Mar Defensive Rebound.,0,0
19:21,2244,Jaire Grayer made Jumper.,2,0
19:10,97,Ray Spalding missed Three Point Jumper.,2,0
19:10,2244,Jaire Grayer Defensive Rebound.,2,0
18:53,2244,Ian Boyd made Jumper. Assisted by Justin Kier.,4,0
18:34,97,Deng Adel made Jumper. Assisted by Anas Mahmoud.,4,2
18:17,2244,Jaire Grayer missed Three Point Jumper.,4,2
18:17,97,Quentin Snider Defensive Rebound.,4,2
18:05,97,Ray Spalding missed Jumper.,4,2
18:05,2244,Jaire Grayer Defensive Rebound.,4,2
17:44,2244,Goanar Mar missed Three Point Jumper.,4,2
17:44,97,Ray Spalding Defensive Rebound.,4,2
17:38,97,Quentin Snider missed Layup.,4,2
17:38,2244,Justin Kier Defensive Rebound.,4,2
17:06,2244,Justin Kier missed Three Point Jumper.,4,2
17:06,97,Deng Adel Block.,4,2
17:05,97,Deng Adel Defensive Rebound.,4,2
17:03,97,Deng Adel made Dunk.,4,4
16:35,2244,Goanar Mar Turnover.,4,4
16:22,97,Anas Mahmoud Turnover.,4,4
15:54,2244,Otis Livingston II missed Jumper.,4,4
15:54,97,Louisville Defensive Rebound.,4,4
15:52,97,Official TV Timeout,4,4
15:38,97,Deng Adel missed Jumper.,4,4
15:38,2244,Ian Boyd Defensive Rebound.,4,4
15:32,2244,Ian Boyd made Layup.,6,4
15:09,97,Quentin Snider missed Jumper.,6,4
15:09,2244,Ian Boyd Defensive Rebound.,6,4
15:03,2244,Jaire Grayer made Three Point Jumper. Assisted by Ian Boyd.,9,4
14:51,97,Deng Adel missed Jumper.,9,4
14:51,2244,Jaire Grayer Defensive Rebound.,9,4
14:33,2244,Jaire Grayer missed Three Point Jumper.,9,4
14:33,97,Ray Spalding Defensive Rebound.,9,4
14:26,97,V.J. King missed Jumper.,9,4
14:26,2244,Ian Boyd Defensive Rebound.,9,4
14:06,2244,Otis Livingston II Turnover.,9,4
14:06,97,Ray Spalding Steal.,9,4
14:03,97,Deng Adel made Layup.,9,6
13:34,2244,Ian Boyd missed Three Point Jumper.,9,6
13:34,97,Ray Spalding Defensive Rebound.,9,6
13:19,97,Ray Spalding Turnover.,9,6
12:57,2244,Javon Greene missed Jumper.,9,6
12:57,97,Ray Spalding Block.,9,6
12:56,2244,Jaire Grayer Offensive Rebound.,9,6
12:52,2244,Javon Greene missed Three Point Jumper.,9,6
12:52,97,Anas Mahmoud Defensive Rebound.,9,6
12:34,97,Quentin Snider missed Three Point Jumper.,9,6
12:34,97,Ray Spalding Offensive Rebound.,9,6
12:30,97,Ray Spalding made Layup.,9,8
12:13,97,Foul on Jordan Nwora.,9,8
12:04,2244,Justin Kier made Layup.,11,8
11:47,2244,Foul on Javon Greene.,11,8
11:47,97,Official TV Timeout,11,8
11:42,2244,Foul on Justin Kier.,11,8
11:29,97,Deng Adel missed Layup.,11,8
11:29,2244,Justin Kier Defensive Rebound.,11,8
11:23,2244,AJ Wilson Turnover.,11,8
11:15,97,Jordan Nwora Turnover.,11,8
10:56,2244,Otis Livingston II missed Jumper.,11,8
10:56,97,Ray Spalding Defensive Rebound.,11,8
10:45,97,Deng Adel Turnover.,11,8
10:44,2244,Justin Kier Steal.,11,8
10:39,2244,Javon Greene Turnover.,11,8
10:38,97,Ray Spalding Steal.,11,8
10:35,97,Darius Perry Turnover.,11,8
10:34,2244,Justin Kier Steal.,11,8
10:06,2244,Ian Boyd made Three Point Jumper. Assisted by Otis Livingston II.,14,8
9:52,97,Ray Spalding Turnover.,14,8
9:51,2244,Jaire Grayer Steal.,14,8
9:35,97,Foul on Dwayne Sutton.,14,8
9:27,2244,Greg Calixte Turnover.,14,8
9:27,97,Ray Spalding Steal.,14,8
9:27,2244,Foul on Greg Calixte.,14,8
9:16,97,Dwayne Sutton missed Three Point Jumper.,14,8
9:16,2244,Greg Calixte Defensive Rebound.,14,8
9:13,97,Foul on Ray Spalding.,14,8
9:02,2244,Ian Boyd Turnover.,14,8
9:01,97,Darius Perry Steal.,14,8
8:59,97,Deng Adel made Dunk. Assisted by Darius Perry.,14,10
8:36,2244,Ian Boyd missed Jumper.,14,10
8:36,2244,Goanar Mar Offensive Rebound.,14,10
8:27,2244,Greg Calixte missed Layup.,14,10
8:27,97,Anas Mahmoud Defensive Rebound.,14,10
8:20,97,Darius Perry made Three Point Jumper. Assisted by Quentin Snider.,14,13
7:50,2244,Ian Boyd missed Three Point Jumper.,14,13
7:50,97,Quentin Snider Defensive Rebound.,14,13
7:32,97,Quentin Snider missed Three Point Jumper.,14,13
7:32,97,Anas Mahmoud Offensive Rebound.,14,13
7:26,97,Anas Mahmoud made Layup.,14,15
7:08,2244,Otis Livingston II missed Jumper.,14,15
7:08,97,Quentin Snider Defensive Rebound.,14,15
7:01,97,Quentin Snider made Layup.,14,17
7:00,2244,George Mason  Timeout,14,17
6:45,97,Foul on Dwayne Sutton.,14,17
6:45,2244,Goanar Mar missed Free Throw.,14,17
6:45,2244,George Mason Deadball Team Rebound.,14,17
6:45,2244,Goanar Mar made Free Throw.,15,17
6:34,97,Deng Adel Turnover.,15,17
6:04,2244,Justin Kier missed Three Point Jumper.,15,17
6:04,97,Deng Adel Block.,15,17
6:03,97,Louisville Defensive Rebound.,15,17
5:43,97,Deng Adel missed Three Point Jumper.,15,17
5:43,2244,Jaire Grayer Defensive Rebound.,15,17
5:37,2244,Jaire Grayer missed Layup.,15,17
5:37,97,Anas Mahmoud Block.,15,17
5:35,97,Darius Perry Defensive Rebound.,15,17
5:32,2244,Foul on Ian Boyd.,15,17
5:32,97,Darius Perry made Free Throw.,15,18
5:32,97,Darius Perry made Free Throw.,15,19
5:09,2244,Ian Boyd Turnover.,15,19
5:07,97,V.J. King Steal.,15,19
5:05,97,V.J. King missed Jumper.,15,19
5:05,97,V.J. King Offensive Rebound.,15,19
4:50,97,Deng Adel missed Jumper.,15,19
4:50,2244,George Mason Defensive Rebound.,15,19
4:36,2244,Jaire Grayer missed Jumper.,15,19
4:36,97,Deng Adel Defensive Rebound.,15,19
4:27,97,V.J. King missed Three Point Jumper.,15,19
4:27,97,Ray Spalding Offensive Rebound.,15,19
4:23,97,Ray Spalding missed Dunk.,15,19
4:23,2244,Jaire Grayer Defensive Rebound.,15,19
4:04,2244,Jaire Grayer made Three Point Jumper. Assisted by Otis Livingston II.,18,19
3:49,2244,Foul on Ian Boyd.,18,19
3:49,97,Official TV Timeout,18,19
3:49,97,V.J. King missed Free Throw.,18,19
3:49,97,Louisville Deadball Team Rebound.,18,19
3:45,97,V.J. King made Free Throw.,18,20
3:25,2244,Jaire Grayer missed Three Point Jumper.,18,20
3:25,2244,Goanar Mar Offensive Rebound.,18,20
3:18,97,Foul on V.J. King.,18,20
3:18,2244,Goanar Mar missed Free Throw.,18,20
3:18,2244,George Mason Deadball Team Rebound.,18,20
3:18,2244,Goanar Mar made Free Throw.,19,20
3:01,97,Quentin Snider missed Three Point Jumper.,19,20
3:01,2244,Jaire Grayer Defensive Rebound.,19,20
2:50,2244,Justin Kier made Jumper.,21,20
2:36,97,Deng Adel missed Three Point Jumper.,21,20
2:36,2244,Javon Greene Defensive Rebound.,21,20
2:22,2244,Otis Livingston II made Three Point Jumper.,24,20
2:20,97,Louisville  Timeout,24,20
1:57,2244,Foul on Javon Greene.,24,20
1:57,97,V.J. King made Free Throw.,24,21
1:57,97,V.J. King made Free Throw.,24,22
1:34,2244,Justin Kier Turnover.,24,22
1:15,2244,Foul on Jaire Grayer.,24,22
1:15,97,V.J. King made Free Throw.,24,23
1:15,97,V.J. King made Free Throw.,24,24
0:55,2244,Goanar Mar missed Three Point Jumper.,24,24
0:55,97,Anas Mahmoud Defensive Rebound.,24,24
0:40,97,Anas Mahmoud missed Jumper.,24,24
0:40,2244,Otis Livingston II Defensive Rebound.,24,24
0:08,2244,Otis Livingston II missed Jumper.,24,24
0:08,97,Anas Mahmoud Defensive Rebound.,24,24
0:05,97,Ray Spalding Turnover.,24,24
0:00,2244,Jaire Grayer made Three Point Jumper. Assisted by Otis Livingston II.,27,24
0:00,97,End of 1st half,27,24
19:43,2244,Ian Boyd made Three Point Jumper. Assisted by Jaire Grayer.,30,24
19:25,97,Foul on V.J. King.,30,24
19:25,97,V.J. King Turnover.,30,24
19:12,2244,Ian Boyd missed Three Point Jumper.,30,24
19:12,97,Louisville Defensive Rebound.,30,24
18:54,97,Anas Mahmoud made Layup. Assisted by Ray Spalding.,30,26
18:32,2244,Justin Kier made Jumper.,32,26
18:23,97,Ray Spalding missed Jumper.,32,26
18:23,2244,Goanar Mar Defensive Rebound.,32,26
18:05,2244,Justin Kier missed Layup.,32,26
18:05,97,Anas Mahmoud Defensive Rebound.,32,26
17:57,97,Quentin Snider missed Three Point Jumper.,32,26
17:57,97,Ray Spalding Offensive Rebound.,32,26
17:48,97,Deng Adel made Jumper.,32,28
17:22,97,Foul on Deng Adel.,32,28
17:22,2244,Jaire Grayer missed Free Throw.,32,28
17:22,2244,George Mason Deadball Team Rebound.,32,28
17:22,2244,Jaire Grayer made Free Throw.,33,28
17:13,97,Darius Perry made Three Point Jumper. Assisted by Deng Adel.,33,31
16:50,2244,Justin Kier made Jumper.,35,31
16:35,97,Anas Mahmoud missed Jumper.,35,31
16:35,2244,Ian Boyd Defensive Rebound.,35,31
16:21,2244,Otis Livingston II missed Jumper.,35,31
16:21,2244,Jaire Grayer Offensive Rebound.,35,31
16:15,2244,Jaire Grayer made Jumper.,37,31
15:56,97,Deng Adel made Layup.,37,33
15:32,97,Foul on Darius Perry.,37,33
15:32,97,Official TV Timeout,37,33
15:32,2244,Goanar Mar missed Free Throw.,37,33
15:32,2244,George Mason Deadball Team Rebound.,37,33
15:32,2244,Goanar Mar missed Free Throw.,37,33
15:32,97,Anas Mahmoud Defensive Rebound.,37,33
15:19,97,Quentin Snider made Jumper.,37,35
14:57,2244,Ian Boyd made Layup.,39,35
14:45,97,Quentin Snider Turnover.,39,35
14:44,2244,Jaire Grayer Steal.,39,35
14:35,2244,Ian Boyd Turnover.,39,35
14:34,97,Darius Perry Steal.,39,35
14:31,2244,Foul on Ian Boyd.,39,35
14:31,97,Deng Adel made Free Throw.,39,36
14:31,97,Deng Adel missed Free Throw.,39,36
14:31,97,Malik Williams Offensive Rebound.,39,36
14:27,97,Deng Adel missed Three Point Jumper.,39,36
14:27,2244,Justin Kier Defensive Rebound.,39,36
14:05,2244,Justin Kier made Layup.,41,36
13:49,2244,Foul on AJ Wilson.,41,36
13:49,97,Anas Mahmoud missed Free Throw.,41,36
13:49,97,Louisville Deadball Team Rebound.,41,36
13:49,97,Anas Mahmoud missed Free Throw.,41,36
13:49,2244,Javon Greene Defensive Rebound.,41,36
13:24,2244,Javon Greene Turnover.,41,36
13:23,97,Anas Mahmoud Steal.,41,36
13:20,2244,Foul on Javon Greene.,41,36
13:20,97,Anas Mahmoud made Free Throw.,41,37
13:20,97,Anas Mahmoud made Free Throw.,41,38
13:06,97,Foul on Ray Spalding.,41,38
13:04,2244,Jaire Grayer made Three Point Jumper.,44,38
12:45,97,Quentin Snider made Jumper.,44,40
12:27,97,Foul on Deng Adel.,44,40
12:17,2244,Otis Livingston II missed Jumper.,44,40
12:17,2244,Otis Livingston II Offensive Rebound.,44,40
12:01,2244,Justin Kier made Layup.,46,40
12:00,97,Foul on Malik Williams.,46,40
12:00,97,Official TV Timeout,46,40
12:00,2244,Justin Kier missed Free Throw.,46,40
12:00,97,Deng Adel Defensive Rebound.,46,40
11:45,97,Quentin Snider made Three Point Jumper. Assisted by Darius Perry.,46,43
11:23,2244,Goanar Mar missed Three Point Jumper.,46,43
11:23,2244,AJ Wilson Offensive Rebound.,46,43
11:21,97,Foul on Ray Spalding.,46,43
11:21,2244,AJ Wilson missed Free Throw.,46,43
11:21,97,Quentin Snider Defensive Rebound.,46,43
11:02,97,Deng Adel made Layup.,46,45
10:38,2244,AJ Wilson Turnover.,46,45
10:27,97,Ray Spalding missed Layup.,46,45
10:27,2244,Jaire Grayer Defensive Rebound.,46,45
10:02,2244,Goanar Mar Turnover.,46,45
9:39,2244,Foul on Justin Kier.,46,45
9:39,97,Quentin Snider missed Free Throw.,46,45
9:39,97,Louisville Deadball Team Rebound.,46,45
9:39,97,Quentin Snider made Free Throw.,46,46
