Coppin State,151,East Carolina,2154
time,team_id,description,h_score,a_score
19:39,151,Jabari Craig missed Jumper.,0,0
19:39,2154,Dejuan Clayton Defensive Rebound.,0,0
19:10,2154,Joel Boyce missed Three Point Jumper.,0,0
18:56,2154,Joel Boyce Offensive Rebound.,0,0
18:50,2154,Joel Boyce Turnover.,0,0
18:48,151,Kentrell Barkley Steal.,0,0
18:45,151,Kentrell Barkley made Dunk.,0,2
18:23,2154,Dejuan Clayton made Three Point Jumper. Assisted by Joel Boyce.,3,2
17:59,151,Dimitri Spasojevic made Layup. Assisted by B.J. Tyson.,3,4
17:30,2154,Dejuan Clayton missed Three Point Jumper.,3,4
17:30,151,Jabari Craig Defensive Rebound.,3,4
17:21,151,B.J. Tyson missed Layup.,3,4
17:21,2154,Adam Traore Defensive Rebound.,3,4
16:58,2154,Cedric Council Jr. missed Three Point Jumper.,3,4
16:58,151,B.J. Tyson Defensive Rebound.,3,4
16:50,151,Jabari Craig made Dunk. Assisted by Isaac Fleming.,3,6
16:28,2154,Joel Boyce Turnover.,3,6
16:16,151,B.J. Tyson Turnover.,3,6
16:07,2154,Adam Traore made Three Point Jumper. Assisted by Tre' Thomas.,6,6
15:51,151,Isaac Fleming missed Layup.,6,6
15:51,2154,Tre' Thomas Defensive Rebound.,6,6
15:42,2154,Adam Traore missed Three Point Jumper.,6,6
15:42,151,Kentrell Barkley Defensive Rebound.,6,6
15:20,151,Kentrell Barkley made Layup.,6,8
15:20,2154,Foul on Cedric Council Jr..,6,8
15:20,151,Official TV Timeout,6,8
15:20,151,Kentrell Barkley made Free Throw.,6,9
15:05,2154,Foul on Cedric Council Jr..,6,9
15:05,2154,Cedric Council Jr. Turnover.,6,9
14:52,151,Isaac Fleming missed Layup.,6,9
14:52,151,Justin Whatley Offensive Rebound.,6,9
14:47,151,Justin Whatley made Layup.,6,11
14:20,2154,Tre' Thomas missed Three Point Jumper.,6,11
14:20,2154,Coppin State Deadball Team Rebound.,6,11
14:17,151,Foul on Jabari Craig.,6,11
14:03,2154,Lamar Morgan missed Jumper.,6,11
14:03,151,Kentrell Barkley Block.,6,11
13:58,2154,Chad Andrews-Fulton Offensive Rebound.,6,11
13:55,2154,Chad Andrews-Fulton missed Layup.,6,11
13:55,151,Jabari Craig Defensive Rebound.,6,11
13:32,151,Kentrell Barkley missed Three Point Jumper.,6,11
13:32,2154,Chad Andrews-Fulton Defensive Rebound.,6,11
13:14,2154,Tre' Thomas missed Three Point Jumper.,6,11
13:14,151,Kentrell Barkley Defensive Rebound.,6,11
13:03,151,Shawn Williams missed Jumper.,6,11
13:03,151,Kentrell Barkley Offensive Rebound.,6,11
12:59,151,Kentrell Barkley missed Layup.,6,11
12:59,2154,Tre' Thomas Block.,6,11
12:57,2154,Adam Traore Defensive Rebound.,6,11
12:51,151,Foul on Kentrell Barkley.,6,11
12:31,2154,Lamar Morgan Turnover.,6,11
12:07,151,Isaac Fleming Turnover.,6,11
11:39,2154,Taqwain Drummond missed Layup.,6,11
11:39,151,B.J. Tyson Defensive Rebound.,6,11
11:37,2154,Foul on Chad Andrews-Fulton.,6,11
11:37,151,Official TV Timeout,6,11
11:20,151,Shawn Williams made Three Point Jumper. Assisted by Justin Whatley.,6,14
11:03,2154,Karonn Davis made Jumper.,8,14
10:49,151,B.J. Tyson missed Jumper.,8,14
10:49,2154,Coppin State Deadball Team Rebound.,8,14
10:46,151,Foul on Jabari Craig.,8,14
10:33,2154,Cedric Council Jr. missed Three Point Jumper.,8,14
10:33,151,Aaron Jackson Defensive Rebound.,8,14
10:11,151,B.J. Tyson missed Three Point Jumper.,8,14
10:11,151,Aaron Jackson Offensive Rebound.,8,14
10:07,2154,Foul on Chad Andrews-Fulton.,8,14
10:07,151,Aaron Jackson made Free Throw.,8,15
10:07,151,Aaron Jackson missed Free Throw.,8,15
10:07,2154,Cedric Council Jr. Defensive Rebound.,8,15
9:57,2154,Adam Traore Turnover.,8,15
9:45,2154,Foul on Cedric Council Jr..,8,15
9:31,2154,Foul on Karonn Davis.,8,15
9:25,151,Foul on Dimitri Spasojevic.,8,15
9:25,151,Dimitri Spasojevic Turnover.,8,15
9:16,2154,Foul on Adam Traore.,8,15
9:16,2154,Adam Traore Turnover.,8,15
9:05,151,Shawn Williams made Three Point Jumper. Assisted by Dimitri Spasojevic.,8,18
8:48,151,Foul on Kentrell Barkley.,8,18
8:48,2154,Coppin State  Timeout,8,18
8:48,2154,Adam Traore made Free Throw.,9,18
8:48,2154,Adam Traore made Free Throw.,10,18
8:27,151,Justin Whatley made Layup. Assisted by Kentrell Barkley.,10,20
8:09,2154,Lucian Brownlee made Three Point Jumper. Assisted by Adam Traore.,13,20
7:58,151,Aaron Jackson missed Three Point Jumper.,13,20
7:58,2154,Taqwain Drummond Defensive Rebound.,13,20
7:46,2154,Lucian Brownlee missed Three Point Jumper.,13,20
7:46,151,Shawn Williams Defensive Rebound.,13,20
7:37,151,Shawn Williams missed Three Point Jumper.,13,20
7:37,2154,Taqwain Drummond Block.,13,20
7:34,151,Dimitri Spasojevic Offensive Rebound.,13,20
7:32,2154,Foul on Adam Traore.,13,20
7:32,151,Official TV Timeout,13,20
7:32,151,Shawn Williams missed Free Throw.,13,20
7:32,151,East Carolina Deadball Team Rebound.,13,20
7:32,151,Shawn Williams made Free Throw.,13,21
7:22,151,Foul on Aaron Jackson.,13,21
7:22,2154,Joel Boyce missed Free Throw.,13,21
7:22,2154,Coppin State Deadball Team Rebound.,13,21
7:22,2154,Joel Boyce missed Free Throw.,13,21
7:22,151,Usman Haruna Defensive Rebound.,13,21
7:05,151,Isaac Fleming made Layup. Assisted by Justin Whatley.,13,23
6:44,2154,Lamar Morgan missed Three Point Jumper.,13,23
6:44,151,Usman Haruna Defensive Rebound.,13,23
6:31,151,Isaac Fleming made Layup.,13,25
6:31,2154,Foul on Taqwain Drummond.,13,25
6:31,151,Isaac Fleming missed Free Throw.,13,25
6:31,2154,Chad Andrews-Fulton Defensive Rebound.,13,25
6:08,2154,Lamar Morgan missed Three Point Jumper.,13,25
6:08,151,Usman Haruna Defensive Rebound.,13,25
5:56,151,Usman Haruna made Layup. Assisted by Isaac Fleming.,13,27
5:54,2154,Coppin State  Timeout,13,27
5:50,2154,Tre' Thomas missed Three Point Jumper.,13,27
5:50,151,East Carolina Defensive Rebound.,13,27
5:39,2154,Foul on Dejuan Clayton.,13,27
5:39,151,Isaac Fleming made Free Throw.,13,28
5:39,151,Isaac Fleming made Free Throw.,13,29
5:25,2154,Tre' Thomas made Three Point Jumper. Assisted by Dejuan Clayton.,16,29
5:09,2154,Foul on Tre' Thomas.,16,29
5:09,151,B.J. Tyson made Free Throw.,16,30
5:09,151,B.J. Tyson made Free Throw.,16,31
4:57,2154,Dejuan Clayton Turnover.,16,31
4:56,151,Usman Haruna Steal.,16,31
4:38,151,K.J. Davis made Three Point Jumper. Assisted by Isaac Fleming.,16,34
4:12,2154,Karonn Davis missed Three Point Jumper.,16,34
4:12,151,Justin Whatley Defensive Rebound.,16,34
4:03,151,Isaac Fleming made Layup.,16,36
3:36,2154,Karonn Davis missed Layup.,16,36
3:36,151,Usman Haruna Block.,16,36
3:34,2154,Coppin State Offensive Rebound.,16,36
3:34,151,Official TV Timeout,16,36
3:30,2154,Chad Andrews-Fulton missed Layup.,16,36
3:30,2154,Karonn Davis Offensive Rebound.,16,36
3:25,2154,Coppin State  Turnover.,16,36
3:18,151,Justin Whatley missed Three Point Jumper.,16,36
3:18,2154,Tre' Thomas Defensive Rebound.,16,36
3:09,2154,Dejuan Clayton missed Three Point Jumper.,16,36
3:09,151,Justin Whatley Defensive Rebound.,16,36
3:00,151,Justin Whatley missed Three Point Jumper.,16,36
3:00,151,K.J. Davis Offensive Rebound.,16,36
2:35,151,B.J. Tyson made Layup. Assisted by Justin Whatley.,16,38
2:17,2154,Tre' Thomas missed Three Point Jumper.,16,38
2:17,151,Isaac Fleming Defensive Rebound.,16,38
2:10,151,K.J. Davis missed Three Point Jumper.,16,38
2:10,2154,Adam Traore Defensive Rebound.,16,38
2:05,151,Foul on K.J. Davis.,16,38
2:05,2154,Adam Traore made Free Throw.,17,38
2:05,2154,Adam Traore made Free Throw.,18,38
1:51,151,Isaac Fleming missed Jumper.,18,38
1:51,2154,Dejuan Clayton Defensive Rebound.,18,38
1:46,2154,Adam Traore Turnover.,18,38
1:39,151,Isaac Fleming made Layup.,18,40
1:25,2154,Lamar Morgan missed Jumper.,18,40
1:25,151,Dimitri Spasojevic Defensive Rebound.,18,40
1:15,151,K.J. Davis missed Jumper.,18,40
1:15,2154,Tre' Thomas Defensive Rebound.,18,40
0:54,2154,Karonn Davis missed Three Point Jumper.,18,40
0:54,151,East Carolina Defensive Rebound.,18,40
0:50,151,East Carolina  Timeout,18,40
0:38,151,K.J. Davis missed Three Point Jumper.,18,40
0:38,2154,Taqwain Drummond Defensive Rebound.,18,40
0:15,2154,Adam Traore missed Three Point Jumper.,18,40
0:15,151,K.J. Davis Defensive Rebound.,18,40
0:01,151,K.J. Davis missed Three Point Jumper.,18,40
0:01,2154,Coppin State Deadball Team Rebound.,18,40
0:00,151,End of 1st half,18,40
19:49,2154,Cedric Council Jr. missed Three Point Jumper.,18,40
19:49,151,B.J. Tyson Defensive Rebound.,18,40
19:35,151,Kentrell Barkley Turnover.,18,40
19:33,2154,Cedric Council Jr. Steal.,18,40
19:31,2154,Adam Traore Turnover.,18,40
19:15,151,Dimitri Spasojevic missed Layup.,18,40
19:15,151,Dimitri Spasojevic Offensive Rebound.,18,40
19:02,151,Jabari Craig made Layup. Assisted by Isaac Fleming.,18,42
18:45,2154,Taqwain Drummond made Three Point Jumper. Assisted by Dejuan Clayton.,21,42
18:30,151,Isaac Fleming Turnover.,21,42
18:29,2154,Joel Boyce Steal.,21,42
18:25,151,Foul on Kentrell Barkley.,21,42
18:10,2154,Adam Traore Turnover.,21,42
18:00,2154,Foul on Cedric Council Jr..,21,42
17:54,151,B.J. Tyson missed Three Point Jumper.,21,42
17:54,2154,Coppin State Deadball Team Rebound.,21,42
