Texas Southern,265,Washington State,2640
time,team_id,description,h_score,a_score
19:43,2640,Trayvon Reed Turnover.,0,0
19:28,265,Malachi Flynn made Jumper.,0,2
19:07,2640,Donte Clark Turnover.,0,2
18:56,265,Arinze Chidom missed Jumper.,0,2
18:56,2640,Derrick Bruce Defensive Rebound.,0,2
18:54,265,Foul on Robert Franks.,0,2
18:30,2640,Trayvon Reed made Layup. Assisted by Derrick Bruce.,2,2
18:07,265,Arinze Chidom missed Jumper.,2,2
18:07,2640,Donte Clark Defensive Rebound.,2,2
17:57,265,Malachi Flynn missed Jumper.,2,2
17:57,2640,Kevin Scott Defensive Rebound.,2,2
17:41,265,Arinze Chidom missed Jumper.,2,2
17:41,2640,Trayvon Reed Defensive Rebound.,2,2
17:25,265,Foul on Milan Acquaah.,2,2
17:20,2640,Derrick Bruce missed Jumper.,2,2
17:20,265,Viont'e Daniels Defensive Rebound.,2,2
17:15,265,Malachi Flynn Turnover.,2,2
16:49,2640,Demontrae Jefferson missed Jumper.,2,2
16:49,265,Arinze Chidom Defensive Rebound.,2,2
16:40,265,Arinze Chidom made Layup. Assisted by Milan Acquaah.,2,4
16:14,265,Foul on Malachi Flynn.,2,4
16:02,2640,Demontrae Jefferson made Three Point Jumper. Assisted by Derrick Bruce.,5,4
15:50,265,Malachi Flynn missed Jumper.,5,4
15:50,265,Malachi Flynn Offensive Rebound.,5,4
15:45,265,Malachi Flynn missed Layup.,5,4
15:45,265,Arinze Chidom Offensive Rebound.,5,4
15:39,265,Milan Acquaah Turnover.,5,4
15:37,2640,Donte Clark Steal.,5,4
15:35,2640,Demontrae Jefferson made Layup. Assisted by Donte Clark.,7,4
15:27,265,Robert Franks missed Jumper.,7,4
15:27,2640,Texas Southern Defensive Rebound.,7,4
15:26,265,Official TV Timeout,7,4
15:21,2640,Kevin Scott made Layup.,9,4
15:13,265,Foul on Kwinton Hinson.,9,4
15:05,2640,Cainan McClelland made Three Point Jumper.,12,4
14:59,265,Robert Franks made Three Point Jumper. Assisted by Milan Acquaah.,12,7
14:12,2640,Texas Southern  Turnover.,12,7
14:12,2640,Foul on Demontrae Jefferson.,12,7
14:12,265,Viont'e Daniels Turnover.,12,7
14:12,2640,Demontrae Jefferson Steal.,12,7
13:35,2640,Demontrae Jefferson made Three Point Jumper. Assisted by Donte Clark.,15,7
13:19,265,Milan Acquaah made Layup.,15,9
12:56,2640,Kevin Scott made Three Point Jumper. Assisted by Cainan McClelland.,18,9
12:50,265,Foul on Robert Franks.,18,9
12:50,265,Milan Acquaah missed Free Throw.,18,9
12:50,265,Washington State Deadball Team Rebound.,18,9
12:50,265,Milan Acquaah missed Free Throw.,18,9
12:50,2640,Trayvon Reed Defensive Rebound.,18,9
12:50,2640,Demontrae Jefferson missed Jumper.,18,9
12:50,2640,Trayvon Reed Offensive Rebound.,18,9
12:50,2640,Foul on Demontrae Jefferson.,18,9
12:18,2640,Donte Clark made Jumper.,20,9
12:12,265,Milan Acquaah Turnover.,20,9
12:10,2640,Kevin Scott Steal.,20,9
12:05,2640,Kevin Scott Turnover.,20,9
11:55,265,Malachi Flynn missed Jumper.,20,9
11:55,265,Official TV Timeout,20,9
11:54,2640,Trayvon Reed Defensive Rebound.,20,9
11:53,265,Foul on Carter Skaggs.,20,9
11:39,2640,Kevin Scott made Layup.,22,9
11:31,265,Arinze Chidom Turnover.,22,9
11:29,2640,Demontrae Jefferson missed Layup.,22,9
11:29,265,Robert Franks Defensive Rebound.,22,9
11:22,265,Malachi Flynn missed Jumper.,22,9
11:22,265,Robert Franks Offensive Rebound.,22,9
