Central Michigan,130,Michigan,2117
time,team_id,description,h_score,a_score
19:38,2117,Luke Meyer made Layup. Assisted by Cecil Williams.,2,0
19:07,130,Moritz Wagner missed Jumper.,2,0
19:06,2117,David DiLeo Defensive Rebound.,2,0
18:57,2117,Shawn Roundtree Turnover.,2,0
18:57,130,Muhammad-Ali Abdur-Rahkman Steal.,2,0
18:46,130,Muhammad-Ali Abdur-Rahkman made Three Point Jumper.,2,3
18:22,2117,Shawn Roundtree Turnover.,2,3
18:06,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,2,3
18:01,130,Charles Matthews Offensive Rebound.,2,3
18:01,2117,Foul on Shawn Roundtree.,2,3
17:58,2117,Foul on Cecil Williams.,2,3
17:51,130,Charles Matthews missed Three Point Jumper.,2,3
17:48,130,Muhammad-Ali Abdur-Rahkman Offensive Rebound.,2,3
17:42,130,Charles Matthews missed Jumper.,2,3
17:38,2117,Josh Kozinski Defensive Rebound.,2,3
17:36,2117,Foul on Cecil Williams.,2,3
17:36,2117,Cecil Williams Turnover.,2,3
17:08,130,Duncan Robinson Turnover.,2,3
17:08,2117,Kevin McKay Steal.,2,3
17:06,2117,Shawn Roundtree made Jumper.,4,3
17:06,130,Foul on Zavier Simpson.,4,3
17:06,2117,Shawn Roundtree made Free Throw.,5,3
16:52,130,Charles Matthews missed Three Point Jumper.,5,3
16:47,2117,David DiLeo Defensive Rebound.,5,3
16:30,2117,Luke Meyer made Three Point Jumper. Assisted by Shawn Roundtree.,8,3
15:58,130,Michigan  Turnover.,8,3
15:58,130,Official TV Timeout,8,3
15:41,2117,Matt Beachler made Three Point Jumper.,11,3
15:12,130,Zavier Simpson made Layup.,11,5
15:00,2117,Luke Meyer missed Jumper.,11,5
14:57,130,Moritz Wagner Defensive Rebound.,11,5
14:55,2117,Foul on Luke Meyer.,11,5
14:38,130,Duncan Robinson missed Three Point Jumper.,11,5
14:30,130,Moritz Wagner Offensive Rebound.,11,5
14:30,2117,Foul on David DiLeo.,11,5
14:14,130,Duncan Robinson Turnover.,11,5
14:14,2117,Kevin McKay Steal.,11,5
14:08,2117,David DiLeo missed Three Point Jumper.,11,5
14:04,130,Moritz Wagner Defensive Rebound.,11,5
13:51,130,Moritz Wagner made Jumper.,11,7
13:33,2117,Gavin Peppers missed Jumper.,11,7
13:30,2117,David DiLeo Offensive Rebound.,11,7
13:28,2117,David DiLeo made Jumper.,13,7
13:06,2117,Foul on Kevin McKay.,13,7
13:06,130,Michigan  Turnover.,13,7
12:48,2117,Shawn Roundtree missed Three Point Jumper.,13,7
12:45,130,Moritz Wagner Defensive Rebound.,13,7
12:38,130,Moritz Wagner made Three Point Jumper. Assisted by Charles Matthews.,13,10
12:35,2117,Central Michigan  Timeout,13,10
12:15,2117,Josh Kozinski missed Three Point Jumper.,13,10
12:13,130,Moritz Wagner Defensive Rebound.,13,10
11:52,130,Moritz Wagner missed Jumper.,13,10
11:50,130,Isaiah Livers Offensive Rebound.,13,10
11:50,130,Isaiah Livers missed Jumper.,13,10
11:48,2117,Corey Redman Defensive Rebound.,13,10
11:31,2117,Cecil Williams missed Jumper.,13,10
11:29,2117,Corey Redman Offensive Rebound.,13,10
11:26,2117,Corey Redman missed Three Point Jumper.,13,10
11:22,130,Charles Matthews Defensive Rebound.,13,10
11:15,130,Charles Matthews made Layup.,13,12
11:14,130,Foul on Moritz Wagner.,13,12
11:14,130,Official TV Timeout,13,12
10:50,130,Foul on Jaaron Simmons.,13,12
10:41,2117,Cecil Williams missed Jumper.,13,12
10:37,2117,Kevin McKay Offensive Rebound.,13,12
10:32,2117,Shawn Roundtree made Three Point Jumper. Assisted by Kevin McKay.,16,12
10:07,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,16,12
10:06,2117,Shawn Roundtree Defensive Rebound.,16,12
9:49,2117,Kevin McKay Turnover.,16,12
9:31,130,Duncan Robinson missed Three Point Jumper.,16,12
9:28,2117,Kevin McKay Defensive Rebound.,16,12
9:05,2117,Shawn Roundtree made Three Point Jumper. Assisted by David DiLeo.,19,12
8:38,130,Duncan Robinson missed Three Point Jumper.,19,12
8:33,2117,Kevin McKay Defensive Rebound.,19,12
8:30,2117,Matt Beachler missed Three Point Jumper.,19,12
8:25,130,Duncan Robinson Defensive Rebound.,19,12
8:13,130,Jon Teske made Free Throw.,19,13
8:13,130,Jon Teske made Free Throw.,19,14
8:13,2117,Foul on David DiLeo.,19,12
8:13,130,Jon Teske made Free Throw.,19,13
