Charleston,2724,Wichita State,232
time,team_id,description,h_score,a_score
20:00,2724,Jump Ball won by Wichita State,0,0
19:41,2724,Conner Frankamp made Layup. Assisted by Darral Willis Jr..,0,2
19:10,232,Jaylen McManus missed Three Point Jumper.,0,2
19:10,2724,Darral Willis Jr. Defensive Rebound.,0,2
18:59,2724,Shaquille Morris made Jumper. Assisted by Darral Willis Jr..,0,4
18:41,232,Joe Chealey missed Layup.,0,4
18:41,2724,Zach Brown Block.,0,4
18:41,232,Charleston Offensive Rebound.,0,4
18:29,232,Grant Riller missed Three Point Jumper.,0,4
18:29,2724,Shaquille Morris Defensive Rebound.,0,4
18:17,232,Foul on Jaylen McManus.,0,4
18:13,2724,Shaquille Morris missed Three Point Jumper.,0,4
18:13,232,Jaylen McManus Defensive Rebound.,0,4
18:06,2724,Foul on Zach Brown.,0,4
18:00,232,Joe Chealey made Jumper.,2,4
17:46,2724,Darral Willis Jr. missed Jumper.,2,4
17:46,232,Nick Harris Block.,2,4
17:46,2724,Darral Willis Jr. Offensive Rebound.,2,4
17:36,2724,Darral Willis Jr. made Layup.,2,6
17:22,232,Jaylen McManus missed Three Point Jumper.,2,6
17:22,2724,Wichita State Defensive Rebound.,2,6
17:05,2724,Darral Willis Jr. missed Jumper.,2,6
17:05,232,Grant Riller Defensive Rebound.,2,6
16:56,232,Grant Riller missed Jumper.,2,6
16:56,2724,Landry Shamet Defensive Rebound.,2,6
16:39,2724,Landry Shamet missed Three Point Jumper.,2,6
16:39,232,Charleston Defensive Rebound.,2,6
16:22,2724,Foul on Shaquille Morris.,2,6
16:07,232,Cameron Johnson Turnover.,2,6
15:57,232,Foul on Joe Chealey.,2,6
15:57,2724,Official TV Timeout,2,6
15:54,2724,Landry Shamet missed Layup.,2,6
15:54,232,Nick Harris Block.,2,6
15:54,232,Nick Harris Defensive Rebound.,2,6
15:26,2724,Foul on Conner Frankamp.,2,6
15:26,232,Grant Riller made Free Throw.,3,6
15:26,232,Grant Riller made Free Throw.,4,6
15:10,232,Foul on Evan Bailey.,4,6
15:10,2724,Darral Willis Jr. made Free Throw.,4,7
15:10,2724,Darral Willis Jr. missed Free Throw.,4,7
15:10,2724,Rashard Kelly Offensive Rebound.,4,7
14:59,2724,Darral Willis Jr. made Layup. Assisted by Samajae Haynes-Jones.,4,9
14:38,232,Cameron Johnson made Three Point Jumper. Assisted by Marquise Pointer.,7,9
14:24,2724,Samajae Haynes-Jones missed Jumper.,7,9
14:24,2724,Rashard Kelly Offensive Rebound.,7,9
14:14,2724,Rashard Kelly missed Jumper.,7,9
14:14,2724,Rauno Nurger Offensive Rebound.,7,9
14:14,2724,Rauno Nurger missed Two Point Tip Shot.,7,9
14:14,2724,Samajae Haynes-Jones Offensive Rebound.,7,9
14:14,232,Foul on Grant Riller.,7,9
14:14,2724,Landry Shamet made Free Throw.,7,10
14:14,2724,Landry Shamet made Free Throw.,7,11
14:14,2724,Landry Shamet made Free Throw.,7,12
14:12,232,Foul on Evan Bailey.,7,12
14:12,232,Evan Bailey Turnover.,7,12
13:57,2724,Darral Willis Jr. Turnover.,7,12
13:49,232,Marquise Pointer missed Three Point Jumper.,7,12
13:49,2724,Rashard Kelly Defensive Rebound.,7,12
13:40,2724,Rauno Nurger Turnover.,7,12
13:40,232,Cameron Johnson Steal.,7,12
13:29,232,Jaylen McManus Turnover.,7,12
