LIU Brooklyn,2230,Fordham,2341
time,team_id,description,h_score,a_score
19:30,2230,Prokop Slanina Steal.,0,0
19:17,2230,Joseph Chartouny missed Layup.,0,0
19:17,2341,Julian Batts Defensive Rebound.,0,0
19:08,2230,Prokop Slanina made Three Point Jumper.,0,3
19:01,2341,Joel Hernandez Turnover.,0,3
18:25,2341,Jashaun Agosto missed Three Point Jumper.,0,3
18:25,2230,Ivan Raut Defensive Rebound.,0,3
18:22,2230,Ivan Raut made Three Point Jumper. Assisted by Will Tavares.,0,6
18:02,2341,Joel Hernandez made Jumper.,2,6
17:51,2341,Foul on Raiquan Clark.,2,6
17:35,2230,Tre Evans missed Layup.,2,6
17:35,2341,LIU Brooklyn Defensive Rebound.,2,6
17:20,2341,Zach Coleman missed Jumper.,2,6
17:20,2341,Joel Hernandez Offensive Rebound.,2,6
17:15,2341,Joel Hernandez missed Layup.,2,6
17:15,2230,Will Tavares Defensive Rebound.,2,6
17:11,2341,Foul on Joel Hernandez.,2,6
17:11,2230,Will Tavares made Free Throw.,2,7
17:11,2230,Will Tavares made Free Throw.,2,8
17:00,2341,Jashaun Agosto Turnover.,2,8
16:59,2230,Joseph Chartouny Steal.,2,8
16:55,2230,Will Tavares missed Three Point Jumper.,2,8
16:55,2341,Zach Coleman Defensive Rebound.,2,8
16:27,2341,Raiquan Clark made Layup. Assisted by Jashaun Agosto.,4,8
16:04,2341,Foul on Joel Hernandez.,4,8
16:04,2230,Joseph Chartouny made Free Throw.,4,9
16:04,2230,Joseph Chartouny made Free Throw.,4,10
15:25,2341,Jashaun Agosto Turnover.,4,10
15:24,2230,Joseph Chartouny Steal.,4,10
15:11,2230,Prokop Slanina made Jumper.,4,12
14:59,2230,Official TV Timeout,4,12
14:59,2341,Raiquan Clark Turnover.,4,12
14:28,2230,Will Tavares made Layup.,4,14
14:11,2341,Raiquan Clark made Layup.,6,14
14:11,2230,Foul on Prokop Slanina.,6,14
14:11,2341,Raiquan Clark made Free Throw.,7,14
14:07,2230,Ivan Raut made Three Point Jumper. Assisted by Prokop Slanina.,7,17
13:47,2341,Raiquan Clark made Layup. Assisted by Raul Frias.,9,17
13:28,2230,Will Tavares made Layup.,9,19
13:09,2341,Jashaun Agosto missed Jumper.,9,19
13:09,2230,Will Tavares Defensive Rebound.,9,19
13:03,2341,Foul on Jashaun Agosto.,9,19
12:44,2230,Joseph Chartouny missed Jumper.,9,19
12:44,2341,Julius van Sauers Defensive Rebound.,9,19
12:39,2341,Raiquan Clark Turnover.,9,19
12:39,2341,Foul on Raiquan Clark.,9,19
12:24,2230,Foul on Chuba Ohams.,9,19
12:24,2230,Chuba Ohams Turnover.,9,19
11:59,2341,Jashaun Agosto missed Jumper.,9,19
11:59,2341,Jamall Robinson Offensive Rebound.,9,19
11:54,2341,Jamall Robinson missed Jumper.,9,19
11:54,2230,Will Tavares Defensive Rebound.,9,19
11:37,2230,Joseph Chartouny missed Layup.,9,19
11:37,2341,Julius van Sauers Defensive Rebound.,9,19
11:30,2341,Julian Batts missed Three Point Jumper.,9,19
11:30,2230,Chuba Ohams Defensive Rebound.,9,19
10:59,2230,Joseph Chartouny made Three Point Jumper.,9,22
10:32,2341,Jashaun Agosto made Layup.,11,22
10:09,2230,Joseph Chartouny missed Three Point Jumper.,11,22
10:09,2341,Julius van Sauers Defensive Rebound.,11,22
9:57,2230,Foul on Cavit Havsa.,11,22
9:57,2230,Official TV Timeout,11,22
9:47,2341,Raul Frias missed Three Point Jumper.,11,22
9:47,2230,Joseph Chartouny Defensive Rebound.,11,22
9:20,2230,Perris Hicks missed Three Point Jumper.,11,22
9:20,2341,Julius van Sauers Defensive Rebound.,11,22
9:09,2341,Jashaun Agosto Turnover.,11,22
9:09,2341,Foul on Jashaun Agosto.,11,22
8:46,2230,Perris Hicks missed Layup.,11,22
8:46,2230,Jesse Bunting Offensive Rebound.,11,22
8:43,2230,Jesse Bunting made Layup.,11,24
8:36,2341,Julius van Sauers missed Three Point Jumper.,11,24
8:36,2230,David Pekarek Defensive Rebound.,11,24
8:25,2341,Official TV Timeout,11,24
8:25,2230,Official TV Timeout,11,26
8:25,2230,Tre Evans made Jumper. Assisted by Will Tavares.,11,26
8:21,2341,LIU Brooklyn  Timeout,11,26
8:17,2341,Jamall Robinson made Three Point Jumper. Assisted by Raul Frias.,14,26
7:59,2230,David Pekarek Turnover.,14,26
7:58,2341,Zach Coleman Steal.,14,26
7:56,2341,Zach Coleman made Dunk.,16,26
7:33,2341,Foul on Zach Coleman.,16,26
7:33,2230,Foul on Jesse Bunting.,16,26
7:33,2341,Julian Batts made Free Throw.,17,26
7:33,2341,Julian Batts made Free Throw.,18,26
7:33,2230,Technical Foul on Fordham.,16,26
7:26,2230,Joseph Chartouny missed Layup.,18,26
7:26,2341,Jamall Robinson Defensive Rebound.,18,26
6:58,2341,Joel Hernandez missed Jumper.,18,26
6:55,2230,Will Tavares Defensive Rebound.,18,26
6:42,2230,Will Tavares missed Three Point Jumper.,18,26
6:42,2230,Fordham Deadball Team Rebound.,18,26
6:40,2341,Foul on Zach Coleman.,18,26
6:40,2230,Prokop Slanina made Free Throw.,18,27
6:40,2230,Prokop Slanina missed Free Throw.,18,27
6:40,2341,Raul Frias Defensive Rebound.,18,27
6:28,2341,Zach Coleman made Layup. Assisted by Joel Hernandez.,20,27
5:57,2230,Prokop Slanina made Three Point Jumper. Assisted by Tre Evans.,20,30
5:36,2341,Joel Hernandez missed Jumper.,20,30
5:36,2230,Prokop Slanina Defensive Rebound.,20,30
5:29,2230,Joseph Chartouny Turnover.,20,30
5:28,2341,Julian Batts Steal.,20,30
5:25,2341,Julian Batts missed Layup.,20,30
5:25,2341,Raul Frias Offensive Rebound.,20,30
5:24,2341,Raul Frias missed Layup.,20,30
5:24,2230,Prokop Slanina Block.,20,30
5:24,2341,LIU Brooklyn Offensive Rebound.,20,30
5:15,2341,Joel Hernandez made Jumper. Assisted by Zach Coleman.,22,30
4:48,2230,Ivan Raut made Three Point Jumper. Assisted by Joseph Chartouny.,22,33
4:23,2230,Foul on Ivan Raut.,22,33
4:23,2341,Joel Hernandez made Free Throw.,23,33
4:23,2341,Joel Hernandez made Free Throw.,24,33
4:17,2230,Joseph Chartouny Turnover.,24,33
3:55,2341,Raiquan Clark made Layup.,26,33
3:38,2341,Foul on Raiquan Clark.,26,33
3:38,2230,Official TV Timeout,26,33
3:38,2230,Ivan Raut missed Free Throw.,26,33
3:38,2341,Zach Coleman Defensive Rebound.,26,33
3:21,2230,Foul on Jesse Bunting.,26,33
3:21,2341,Zach Coleman missed Free Throw.,26,33
3:21,2341,LIU Brooklyn Deadball Team Rebound.,26,33
3:21,2341,Zach Coleman made Free Throw.,27,33
2:58,2230,Will Tavares Turnover.,27,33
2:57,2341,Jamall Robinson missed Jumper.,27,33
2:57,2230,Ivan Raut Defensive Rebound.,27,33
2:28,2341,Foul on Zach Coleman.,27,33
2:28,2230,Prokop Slanina made Free Throw.,27,34
2:28,2230,Prokop Slanina made Free Throw.,27,35
2:23,2230,Foul on Tre Evans.,27,35
2:23,2341,Jashaun Agosto made Free Throw.,28,35
2:23,2341,Jashaun Agosto made Free Throw.,29,35
2:09,2230,Ivan Raut made Three Point Jumper. Assisted by Will Tavares.,29,38
1:55,2341,Jashaun Agosto missed Three Point Jumper.,29,38
1:55,2230,Prokop Slanina Defensive Rebound.,29,38
1:49,2341,Foul on Julian Batts.,29,38
1:49,2230,Prokop Slanina made Free Throw.,29,39
1:49,2230,Prokop Slanina made Free Throw.,29,40
1:36,2341,Joel Hernandez missed Jumper.,29,40
1:36,2230,Will Tavares Defensive Rebound.,29,40
1:13,2230,Tre Evans made Jumper.,29,42
0:30,2341,Joel Hernandez Turnover.,29,42
0:29,2230,Prokop Slanina Steal.,29,42
0:25,2230,Joseph Chartouny missed Layup.,29,42
0:25,2341,Jamall Robinson Defensive Rebound.,29,42
0:19,2341,Jashaun Agosto made Jumper.,31,42
0:00,2230,Will Tavares missed Jumper.,31,42
0:00,2341,Jamall Robinson Defensive Rebound.,31,42
0:00,2230,End of 1st half,31,42
19:44,2341,Raiquan Clark missed Layup.,31,42
19:44,2230,Prokop Slanina Defensive Rebound.,31,42
19:24,2230,Will Tavares missed Jumper.,31,42
19:24,2341,Jashaun Agosto Defensive Rebound.,31,42
19:18,2230,Foul on Tre Evans.,31,42
19:18,2341,Joel Hernandez missed Free Throw.,31,42
19:18,2341,LIU Brooklyn Deadball Team Rebound.,31,42
19:18,2341,Joel Hernandez missed Free Throw.,31,42
19:18,2230,Joseph Chartouny Defensive Rebound.,31,42
18:59,2230,Ivan Raut made Three Point Jumper.,31,45
18:37,2230,Ivan Raut Steal.,31,45
18:34,2341,LIU Brooklyn  Timeout,31,47
18:34,2230,Official TV Timeout,31,47
18:34,2230,Will Tavares made Layup. Assisted by Ivan Raut.,31,47
18:34,2341,Raiquan Clark Turnover.,31,47
18:34,2230,Official TV Timeout,31,47
18:21,2341,Raiquan Clark missed Layup.,31,47
18:21,2341,Zach Coleman Offensive Rebound.,31,47
18:15,2230,Foul on Joseph Chartouny.,31,47
18:15,2341,Raiquan Clark made Free Throw.,32,47
18:15,2341,Raiquan Clark made Free Throw.,33,47
18:00,2230,Foul on Joseph Chartouny.,33,47
18:00,2230,Joseph Chartouny Turnover.,33,47
17:38,2341,Ashtyn Bradley made Three Point Jumper. Assisted by Jashaun Agosto.,36,47
17:16,2230,Prokop Slanina made Jumper. Assisted by Ivan Raut.,36,49
17:08,2341,Ashtyn Bradley missed Three Point Jumper.,36,49
17:08,2341,Zach Coleman Offensive Rebound.,36,49
17:03,2341,Zach Coleman missed Layup.,36,49
17:03,2230,Prokop Slanina Defensive Rebound.,36,49
16:38,2230,Tre Evans missed Three Point Jumper.,36,49
16:38,2341,Raiquan Clark Defensive Rebound.,36,49
16:35,2230,Foul on Joseph Chartouny.,36,49
16:30,2230,Foul on Perris Hicks.,36,49
16:20,2341,Jashaun Agosto missed Jumper.,36,49
16:20,2230,Tre Evans Defensive Rebound.,36,49
15:53,2230,Perris Hicks made Layup.,36,51
15:38,2341,Ashtyn Bradley missed Three Point Jumper.,36,51
15:38,2230,Ivan Raut Defensive Rebound.,36,51
15:30,2230,Prokop Slanina made Three Point Jumper.,36,54
15:06,2341,Raiquan Clark missed Jumper.,36,54
15:06,2230,Prokop Slanina Block.,36,54
15:06,2341,LIU Brooklyn Offensive Rebound.,36,54
15:06,2230,Official TV Timeout,36,54
15:00,2341,Jashaun Agosto made Three Point Jumper.,39,54
14:38,2230,Prokop Slanina missed Jumper.,39,54
14:38,2341,Jashaun Agosto Defensive Rebound.,39,54
14:32,2341,Jashaun Agosto made Layup.,41,54
14:09,2230,Perris Hicks missed Three Point Jumper.,41,54
14:09,2341,Jashaun Agosto Defensive Rebound.,41,54
13:57,2341,Jamall Robinson missed Jumper.,41,54
13:57,2230,Prokop Slanina Defensive Rebound.,41,54
13:42,2230,Tre Evans made Layup.,41,56
13:27,2230,Foul on Tre Evans.,41,56
13:16,2341,Joel Hernandez missed Jumper.,41,56
13:16,2230,Ivan Raut Defensive Rebound.,41,56
12:52,2230,Will Tavares missed Layup.,41,56
12:52,2341,LIU Brooklyn Defensive Rebound.,41,56
12:46,2341,Jamall Robinson missed Three Point Jumper.,41,56
12:46,2230,Will Tavares Defensive Rebound.,41,56
12:38,2230,Will Tavares missed Layup.,41,56
12:38,2341,Jashaun Agosto Defensive Rebound.,41,56
12:25,2341,Eral Penn made Layup. Assisted by Raiquan Clark.,43,56
11:56,2341,Foul on Eral Penn.,43,56
11:56,2230,Official TV Timeout,43,56
11:50,2230,Joseph Chartouny made Layup.,43,58
11:28,2341,Jamall Robinson made Three Point Jumper. Assisted by Jashaun Agosto.,46,58
10:54,2230,Cavit Havsa missed Three Point Jumper.,46,58
10:54,2341,LIU Brooklyn Defensive Rebound.,46,58
10:37,2341,Joel Hernandez missed Jumper.,46,58
10:37,2230,Prokop Slanina Block.,46,58
10:35,2230,Prokop Slanina Defensive Rebound.,46,58
10:22,2230,David Pekarek missed Three Point Jumper.,46,58
10:22,2341,Joel Hernandez Defensive Rebound.,46,58
10:13,2341,Joel Hernandez Turnover.,46,58
10:13,2230,Joseph Chartouny Steal.,46,58
9:47,2230,Joseph Chartouny missed Layup.,46,58
9:47,2230,Chuba Ohams Offensive Rebound.,46,58
9:45,2230,Chuba Ohams missed Layup.,46,58
9:45,2341,Raiquan Clark Defensive Rebound.,46,58
9:30,2230,Foul on Chuba Ohams.,46,58
9:30,2341,Raiquan Clark missed Free Throw.,46,58
9:30,2341,LIU Brooklyn Deadball Team Rebound.,46,58
9:30,2341,Raiquan Clark made Free Throw.,47,58
9:09,2230,Prokop Slanina missed Three Point Jumper.,47,58
9:09,2341,Raiquan Clark Defensive Rebound.,47,58
9:02,2341,Jashaun Agosto Turnover.,47,58
9:01,2230,Perris Hicks Steal.,47,58
8:58,2230,Perris Hicks made Layup.,47,60
8:49,2341,Julian Batts missed Jumper.,47,60
8:49,2230,Prokop Slanina Defensive Rebound.,47,60
8:34,2230,Ivan Raut made Three Point Jumper. Assisted by Cavit Havsa.,47,63
8:27,2341,LIU Brooklyn  Timeout,47,63
8:27,2230,Official TV Timeout,47,63
8:05,2230,Fordham  Timeout,47,63
8:05,2341,Jamall Robinson Turnover.,47,63
8:04,2230,Perris Hicks Steal.,47,63
7:59,2230,Foul on Cavit Havsa.,47,63
7:59,2230,Cavit Havsa Turnover.,47,63
7:46,2341,Raiquan Clark made Layup.,49,63
7:30,2230,Ivan Raut made Three Point Jumper. Assisted by Perris Hicks.,49,66
7:16,2341,Joel Hernandez made Layup. Assisted by Raiquan Clark.,51,66
7:01,2341,Foul on Raiquan Clark.,51,66
6:59,2341,Foul on Jashaun Agosto.,51,66
6:59,2230,Tre Evans missed Free Throw.,51,66
6:59,2230,Fordham Deadball Team Rebound.,51,66
6:59,2230,Tre Evans missed Free Throw.,51,66
6:59,2341,Joel Hernandez Defensive Rebound.,51,66
6:53,2341,Joel Hernandez made Three Point Jumper. Assisted by Jashaun Agosto.,54,66
6:15,2230,Ivan Raut missed Three Point Jumper.,54,66
6:15,2341,Zach Coleman Defensive Rebound.,54,66
6:05,2341,Raiquan Clark made Layup. Assisted by Joel Hernandez.,56,66
5:41,2230,Will Tavares made Layup. Assisted by Joseph Chartouny.,56,68
5:22,2230,Foul on Prokop Slanina.,56,68
5:22,2341,Raiquan Clark missed Free Throw.,56,68
5:22,2341,LIU Brooklyn Deadball Team Rebound.,56,68
5:22,2341,Raiquan Clark made Free Throw.,57,68
5:18,2230,Will Tavares missed Three Point Jumper.,57,68
5:18,2341,Jashaun Agosto Defensive Rebound.,57,68
5:10,2341,Joel Hernandez missed Three Point Jumper.,57,68
5:10,2230,Fordham Defensive Rebound.,57,68
5:03,2230,Joseph Chartouny made Layup. Assisted by Tre Evans.,57,70
4:46,2341,Zach Coleman missed Three Point Jumper.,57,70
4:46,2230,Joseph Chartouny Defensive Rebound.,57,70
4:18,2341,Foul on Zach Coleman.,57,70
4:18,2230,Prokop Slanina missed Free Throw.,57,70
4:18,2230,Fordham Deadball Team Rebound.,57,70
4:18,2230,Prokop Slanina missed Free Throw.,57,70
4:18,2341,Joel Hernandez Defensive Rebound.,57,70
4:12,2341,Joel Hernandez missed Three Point Jumper.,57,70
4:12,2341,Zach Coleman Offensive Rebound.,57,70
4:07,2341,Zach Coleman missed Layup.,57,70
4:07,2341,Zach Coleman Offensive Rebound.,57,70
4:06,2341,Zach Coleman missed Layup.,57,70
4:06,2341,Zach Coleman Offensive Rebound.,57,70
4:05,2230,Foul on Prokop Slanina.,57,70
4:05,2341,Zach Coleman made Free Throw.,58,70
4:05,2341,Zach Coleman made Free Throw.,59,70
3:54,2230,Ivan Raut missed Three Point Jumper.,59,70
3:54,2230,Prokop Slanina Offensive Rebound.,59,70
3:49,2230,Prokop Slanina missed Layup.,59,70
3:49,2341,Zach Coleman Defensive Rebound.,59,70
3:48,2230,Foul on Prokop Slanina.,59,70
3:48,2230,Official TV Timeout,59,70
3:48,2341,Zach Coleman missed Free Throw.,59,70
3:48,2341,LIU Brooklyn Deadball Team Rebound.,59,70
3:48,2341,Zach Coleman made Free Throw.,60,70
3:05,2230,Perris Hicks missed Three Point Jumper.,60,70
3:05,2341,Zach Coleman Block.,60,70
3:02,2341,Raiquan Clark Defensive Rebound.,60,70
3:00,2341,Raiquan Clark missed Layup.,60,70
3:00,2230,Joseph Chartouny Defensive Rebound.,60,70
2:49,2230,Ivan Raut Turnover.,60,70
2:48,2341,Raiquan Clark Steal.,60,70
2:47,2341,Raiquan Clark made Layup.,62,70
2:19,2230,Joseph Chartouny missed Layup.,62,70
2:19,2230,Prokop Slanina Offensive Rebound.,62,70
2:18,2230,Prokop Slanina missed Layup.,62,70
2:18,2230,Prokop Slanina Offensive Rebound.,62,70
2:18,2341,Foul on Jamall Robinson.,62,70
2:18,2230,Prokop Slanina made Free Throw.,62,71
2:18,2230,Prokop Slanina missed Free Throw.,62,71
2:18,2341,Joel Hernandez Defensive Rebound.,62,71
2:12,2230,Foul on Joseph Chartouny.,62,71
2:12,2341,Joel Hernandez missed Free Throw.,62,71
2:12,2341,LIU Brooklyn Deadball Team Rebound.,62,71
2:12,2341,Joel Hernandez made Free Throw.,63,71
2:06,2230,Ivan Raut missed Layup.,63,71
2:06,2341,Eral Penn Block.,63,71
2:02,2230,Prokop Slanina Offensive Rebound.,63,71
1:51,2230,Joseph Chartouny missed Layup.,63,71
1:50,2230,Joseph Chartouny Offensive Rebound.,63,71
1:49,2341,Foul on Joel Hernandez.,63,71
1:48,2230,Joseph Chartouny made Free Throw.,63,72
1:48,2230,Joseph Chartouny missed Free Throw.,63,72
1:48,2341,Joel Hernandez Defensive Rebound.,63,72
1:37,2230,Foul on Prokop Slanina.,63,72
1:37,2341,Raiquan Clark made Free Throw.,64,72
1:37,2341,Raiquan Clark made Free Throw.,65,72
1:31,2341,Foul on Jamall Robinson.,65,72
1:31,2230,Joseph Chartouny made Free Throw.,65,73
1:31,2230,Joseph Chartouny missed Free Throw.,65,73
1:31,2230,Joseph Chartouny Offensive Rebound.,65,73
1:29,2230,Joseph Chartouny made Layup.,65,75
1:22,2341,Foul on Jashaun Agosto.,65,75
