Bethune-Cookman,292,UT Rio Grande Valley,2065
time,team_id,description,h_score,a_score
19:50,292,Dan Kimasa missed Layup.,0,0
19:50,2065,Shawntrez Davis Defensive Rebound.,0,0
19:23,2065,Malik Maitland made Layup.,2,0
19:05,292,Xavier McDaniel Jr. made Jumper. Assisted by Moe McDonald.,2,2
18:36,2065,Jeffrey Altidort missed Layup.,2,2
18:36,292,Xavier McDaniel Jr. Block.,2,2
18:36,292,UT Rio Grande Valley Defensive Rebound.,2,2
18:24,292,Dan Kimasa Turnover.,2,2
18:11,2065,Brandon Tabb missed Three Point Jumper.,2,2
18:11,292,Xavier McDaniel Jr. Defensive Rebound.,2,2
18:01,292,Nick Dixon made Three Point Jumper. Assisted by Moe McDonald.,2,5
17:49,2065,Malik Maitland missed Layup.,2,5
17:49,292,Dan Kimasa Defensive Rebound.,2,5
17:40,292,Moe McDonald made Three Point Jumper. Assisted by Xavier McDaniel Jr..,2,8
17:10,2065,Shawntrez Davis missed Three Point Jumper.,2,8
17:10,292,Xavier McDaniel Jr. Defensive Rebound.,2,8
17:04,2065,Foul on Shawntrez Davis.,2,8
17:04,292,Dan Kimasa missed Free Throw.,2,8
17:04,292,UT Rio Grande Valley Deadball Team Rebound.,2,8
17:04,292,Dan Kimasa made Free Throw.,2,9
16:50,2065,Jeffrey Altidort made Three Point Jumper.,5,9
16:39,2065,Foul on Brandon Tabb.,5,9
16:39,292,Moe McDonald missed Free Throw.,5,9
16:39,292,UT Rio Grande Valley Deadball Team Rebound.,5,9
16:39,292,Moe McDonald made Free Throw.,5,10
16:39,292,Moe McDonald made Free Throw.,5,11
16:25,292,Foul on Xavier McDaniel Jr..,5,11
16:18,2065,Shawntrez Davis missed Three Point Jumper.,5,11
16:18,292,Nick Dixon Defensive Rebound.,5,11
16:10,292,Dan Kimasa made Layup. Assisted by Javon Levi.,5,13
15:47,2065,Shawntrez Davis missed Jumper.,5,13
15:47,292,Moe McDonald Defensive Rebound.,5,13
15:40,292,Nick Dixon missed Three Point Jumper.,5,13
15:40,292,Xavier McDaniel Jr. Offensive Rebound.,5,13
15:35,292,Xavier McDaniel Jr. missed Layup.,5,13
15:35,2065,Isaiah Bailey Defensive Rebound.,5,13
15:23,2065,Brandon Tabb made Layup.,7,13
15:23,292,Foul on Xavier McDaniel Jr..,7,13
15:23,292,Official TV Timeout,7,13
