Middle Tennessee,93,Murray State,2393
time,team_id,description,h_score,a_score
19:37,93,Terrell Miller Jr. made Layup.,0,2
19:21,2393,Nick King made Jumper.,2,2
19:04,93,Ja Morant Turnover.,2,2
19:03,2393,Giddy Potts Steal.,2,2
19:01,2393,Brandon Walters made Layup. Assisted by Tyrik Dixon.,4,2
19:01,93,Foul on Byron Hawkins.,4,2
19:01,2393,Brandon Walters made Free Throw.,5,2
18:53,2393,Foul on Tyrik Dixon.,5,2
18:34,93,Jalen Dupree missed Layup.,5,2
18:34,2393,Giddy Potts Block.,5,2
18:34,93,Murray State Offensive Rebound.,5,2
18:32,2393,Foul on Brandon Walters.,5,2
18:32,93,Byron Hawkins made Free Throw.,5,3
18:32,93,Byron Hawkins made Free Throw.,5,4
18:10,2393,Brandon Walters Turnover.,5,4
18:02,93,Jonathan Stark missed Jumper.,5,4
18:02,2393,Middle Tennessee Defensive Rebound.,5,4
17:30,2393,Nick King made Jumper.,7,4
17:17,2393,Foul on Edward Simpson.,7,4
17:17,93,Jalen Dupree made Free Throw.,7,5
17:17,93,Jalen Dupree made Free Throw.,7,6
17:02,2393,Nick King missed Jumper.,7,6
17:02,93,Jalen Dupree Defensive Rebound.,7,6
16:44,93,Jonathan Stark missed Three Point Jumper.,7,6
16:44,2393,Giddy Potts Defensive Rebound.,7,6
16:35,2393,Giddy Potts missed Jumper.,7,6
16:35,93,Byron Hawkins Defensive Rebound.,7,6
16:17,93,Terrell Miller Jr. made Jumper.,7,8
15:57,93,Foul on Jalen Dupree.,7,8
15:57,93,Official TV Timeout,7,8
15:46,2393,Giddy Potts missed Three Point Jumper.,7,8
15:46,93,Terrell Miller Jr. Defensive Rebound.,7,8
15:35,2393,Foul on James Hawthorne.,7,8
15:35,93,Ja Morant made Free Throw.,7,9
15:35,93,Ja Morant made Free Throw.,7,10
15:19,2393,Karl Gamble made Jumper. Assisted by Tyrik Dixon.,9,10
15:09,93,Terrell Miller Jr. Turnover.,9,10
15:09,2393,Edward Simpson Steal.,9,10
15:05,2393,James Hawthorne missed Jumper.,9,10
15:05,93,Terrell Miller Jr. Defensive Rebound.,9,10
14:58,93,Jonathan Stark made Layup.,9,12
14:45,2393,Middle Tennessee  Timeout,9,12
14:18,2393,James Hawthorne missed Jumper.,9,12
14:18,93,Terrell Miller Jr. Defensive Rebound.,9,12
14:10,93,Jonathan Stark made Three Point Jumper.,9,15
13:44,93,Foul on Shaq Buchanan.,9,15
13:29,2393,Tyrik Dixon missed Jumper.,9,15
13:29,93,Terrell Miller Jr. Defensive Rebound.,9,15
13:23,93,Shaq Buchanan missed Jumper.,9,15
13:23,2393,Nick King Defensive Rebound.,9,15
13:08,2393,Nick King made Jumper.,11,15
13:08,93,Foul on Brion Sanchious.,11,15
