Duke,127,Michigan State,150
time,team_id,description,h_score,a_score
20:00,150,Jump Ball won by Duke,0,0
19:43,150,Wendell Carter Jr missed Jumper.,0,0
19:43,127,Jaren Jackson Jr. Defensive Rebound.,0,0
19:25,127,Miles Bridges missed Three Point Jumper.,0,0
19:25,150,Trevon Duval Defensive Rebound.,0,0
19:15,150,Marvin Bagley III missed Layup.,0,0
19:15,127,Cassius Winston Defensive Rebound.,0,0
19:08,127,Joshua Langford made Layup. Assisted by Cassius Winston.,0,2
18:55,150,Gary Trent Jr made Jumper. Assisted by Trevon Duval.,2,2
18:49,127,Nick Ward made Dunk. Assisted by Cassius Winston.,2,4
18:30,150,Wendell Carter Jr missed Jumper.,2,4
18:30,150,Marvin Bagley III Offensive Rebound.,2,4
18:30,150,Marvin Bagley III made Two Point Tip Shot.,4,4
18:20,127,Miles Bridges Turnover.,4,4
18:20,150,Trevon Duval Steal.,4,4
18:10,150,Gary Trent Jr missed Jumper.,4,4
18:10,127,Miles Bridges Block.,4,4
18:10,150,Trevon Duval Offensive Rebound.,4,4
18:02,150,Trevon Duval Turnover.,4,4
18:02,127,Jaren Jackson Jr. Steal.,4,4
18:00,127,Nick Ward made Layup. Assisted by Cassius Winston.,4,6
17:42,150,Wendell Carter Jr missed Layup.,4,6
17:42,127,Jaren Jackson Jr. Block.,4,6
17:42,150,Duke Offensive Rebound.,4,6
17:33,150,Gary Trent Jr missed Three Point Jumper.,4,6
17:33,150,Marvin Bagley III Offensive Rebound.,4,6
17:24,150,Trevon Duval missed Jumper.,4,6
17:24,127,Jaren Jackson Jr. Defensive Rebound.,4,6
17:10,127,Jaren Jackson Jr. Turnover.,4,6
17:10,150,Trevon Duval Steal.,4,6
17:07,150,Trevon Duval missed Layup.,4,6
17:07,127,Miles Bridges Block.,4,6
17:07,150,Grayson Allen Offensive Rebound.,4,6
16:58,150,Gary Trent Jr missed Three Point Jumper.,4,6
16:58,150,Marvin Bagley III Offensive Rebound.,4,6
16:51,150,Gary Trent Jr missed Three Point Jumper.,4,6
16:51,127,Jaren Jackson Jr. Defensive Rebound.,4,6
16:21,127,Joshua Langford missed Three Point Jumper.,4,6
16:21,127,Jaren Jackson Jr. Offensive Rebound.,4,6
16:15,127,Jaren Jackson Jr. made Layup.,4,8
16:15,150,Foul on Marques Bolden.,4,8
16:15,127,Jaren Jackson Jr. missed Free Throw.,4,8
16:15,150,Marques Bolden Defensive Rebound.,4,8
16:00,127,Foul on Gavin Schilling.,4,8
16:00,127,Official TV Timeout,4,8
16:00,150,Trevon Duval made Free Throw.,5,8
16:00,150,Trevon Duval missed Free Throw.,5,8
16:00,127,Gavin Schilling Defensive Rebound.,5,8
15:38,127,Matt McQuaid missed Three Point Jumper.,5,8
15:38,150,Gary Trent Jr Defensive Rebound.,5,8
15:28,127,Foul on Matt McQuaid.,5,8
15:28,150,Grayson Allen made Free Throw.,6,8
15:28,150,Grayson Allen made Free Throw.,7,8
15:28,150,Grayson Allen made Free Throw.,8,8
15:19,127,Gavin Schilling made Dunk. Assisted by Kenny Goins.,8,10
14:56,150,Marvin Bagley III Turnover.,8,10
14:36,127,Jaren Jackson Jr. made Jumper.,8,12
14:19,150,Grayson Allen missed Layup.,8,12
14:19,150,Marvin Bagley III Offensive Rebound.,8,12
14:15,150,Marvin Bagley III missed Jumper.,8,12
14:15,127,Jaren Jackson Jr. Block.,8,12
14:15,127,Cassius Winston Defensive Rebound.,8,12
14:09,127,Cassius Winston missed Layup.,8,12
14:09,127,Gavin Schilling Offensive Rebound.,8,12
13:58,127,Jaren Jackson Jr. Turnover.,8,12
13:58,150,Marvin Bagley III Steal.,8,12
13:52,150,Grayson Allen missed Layup.,8,12
13:52,150,Wendell Carter Jr Offensive Rebound.,8,12
13:49,127,Foul on Gavin Schilling.,8,12
13:49,150,Wendell Carter Jr made Free Throw.,9,12
13:49,150,Wendell Carter Jr made Free Throw.,10,12
13:38,150,Foul on Trevon Duval.,10,12
13:35,127,Nick Ward missed Jumper.,10,12
13:35,150,Wendell Carter Jr Defensive Rebound.,10,12
13:26,150,Wendell Carter Jr Turnover.,10,12
13:08,150,Foul on Gary Trent Jr.,10,12
13:08,127,Nick Ward missed Free Throw.,10,12
13:08,127,Michigan State Deadball Team Rebound.,10,12
13:08,127,Nick Ward missed Free Throw.,10,12
13:08,150,Marvin Bagley III Defensive Rebound.,10,12
12:46,150,Gary Trent Jr made Jumper.,12,12
12:30,127,Cassius Winston Turnover.,12,12
12:30,150,Jordan Goldwire Steal.,12,12
12:26,150,Gary Trent Jr missed Three Point Jumper.,12,12
12:26,150,Marvin Bagley III Offensive Rebound.,12,12
12:21,150,Marvin Bagley III made Jumper.,14,12
12:07,127,Nick Ward missed Dunk.,14,12
12:07,150,Javin DeLaurier Block.,14,12
12:07,150,Grayson Allen Defensive Rebound.,14,12
11:46,150,Grayson Allen made Jumper.,16,12
11:26,127,Nick Ward missed Layup.,16,12
11:26,150,Marvin Bagley III Block.,16,12
11:26,150,Jordan Goldwire Defensive Rebound.,16,12
11:17,127,Official TV Timeout,16,12
11:02,150,Jordan Goldwire made Three Point Jumper. Assisted by Gary Trent Jr.,19,12
10:40,127,Miles Bridges missed Layup.,19,12
10:40,150,Javin DeLaurier Defensive Rebound.,19,12
10:33,150,Foul on Gary Trent Jr.,19,12
10:33,150,Gary Trent Jr Turnover.,19,12
10:16,127,Joshua Langford missed Jumper.,19,12
10:16,127,Michigan State Offensive Rebound.,19,12
9:56,127,Cassius Winston Turnover.,19,12
9:56,150,Javin DeLaurier Steal.,19,12
9:50,150,Trevon Duval made Dunk. Assisted by Javin DeLaurier.,21,12
9:27,127,Foul on Miles Bridges.,21,12
9:27,127,Miles Bridges Turnover.,21,12
9:16,150,Trevon Duval missed Jumper.,21,12
9:16,127,Michigan State Defensive Rebound.,21,12
9:13,150,Foul on Javin DeLaurier.,21,12
9:01,127,Ben Carter made Layup. Assisted by Jaren Jackson Jr..,21,14
8:46,127,Foul on Ben Carter.,21,14
8:40,150,Grayson Allen made Three Point Jumper. Assisted by Javin DeLaurier.,24,14
8:19,127,Matt McQuaid missed Three Point Jumper.,24,14
8:19,150,Grayson Allen Defensive Rebound.,24,14
8:11,150,Trevon Duval Turnover.,24,14
7:51,127,Joshua Langford missed Three Point Jumper.,24,14
7:51,127,Michigan State Deadball Team Rebound.,24,14
7:43,150,Foul on Javin DeLaurier.,24,14
7:43,127,Official TV Timeout,24,14
7:28,127,Joshua Langford missed Three Point Jumper.,24,14
7:28,150,Duke Deadball Team Rebound.,24,14
7:23,127,Foul on Jaren Jackson Jr..,24,14
7:18,150,Trevon Duval missed Three Point Jumper.,24,14
7:18,150,Gary Trent Jr Offensive Rebound.,24,14
7:07,150,Wendell Carter Jr missed Layup.,24,14
7:07,127,Ben Carter Block.,24,14
7:07,127,Michigan State Defensive Rebound.,24,14
6:44,127,Jaren Jackson Jr. made Three Point Jumper. Assisted by Cassius Winston.,24,17
6:35,150,Trevon Duval missed Jumper.,24,17
6:35,150,Marques Bolden Offensive Rebound.,24,17
6:31,127,Foul on Ben Carter.,24,17
6:31,150,Marques Bolden missed Free Throw.,24,17
6:31,150,Duke Deadball Team Rebound.,24,17
6:31,150,Marques Bolden missed Free Throw.,24,17
6:31,127,Nick Ward Defensive Rebound.,24,17
6:21,127,Miles Bridges made Three Point Jumper. Assisted by Lourawls Nairn Jr..,24,20
6:02,150,Trevon Duval missed Three Point Jumper.,24,20
6:02,150,Marques Bolden Offensive Rebound.,24,20
5:58,150,Marques Bolden missed Layup.,24,20
5:58,127,Nick Ward Block.,24,20
5:58,150,Marques Bolden Offensive Rebound.,24,20
5:54,150,Marques Bolden missed Layup.,24,20
5:54,127,Matt McQuaid Defensive Rebound.,24,20
5:48,127,Jaren Jackson Jr. made Three Point Jumper. Assisted by Lourawls Nairn Jr..,24,23
5:43,150,Duke  Timeout,24,23
5:36,150,Gary Trent Jr missed Jumper.,24,23
5:36,127,Jaren Jackson Jr. Defensive Rebound.,24,23
5:03,127,Nick Ward made Layup. Assisted by Matt McQuaid.,24,25
4:45,150,Trevon Duval missed Three Point Jumper.,24,25
4:45,127,Miles Bridges Defensive Rebound.,24,25
4:12,150,Foul on Marques Bolden.,24,25
4:12,127,Jaren Jackson Jr. missed Free Throw.,24,25
4:12,150,Javin DeLaurier Defensive Rebound.,24,25
4:01,150,Javin DeLaurier made Layup. Assisted by Trevon Duval.,26,25
3:49,127,Jaren Jackson Jr. Turnover.,26,25
3:49,150,Javin DeLaurier Steal.,26,25
3:43,127,Official TV Timeout,26,25
3:30,150,Grayson Allen missed Jumper.,26,25
3:30,150,Jordan Goldwire Offensive Rebound.,26,25
3:26,150,Jordan Goldwire missed Layup.,26,25
3:26,127,Kenny Goins Block.,26,25
3:26,127,Michigan State Deadball Team Rebound.,26,25
3:26,127,Foul on Kenny Goins.,26,25
