George Washington,52,Florida State,45
time,team_id,description,h_score,a_score
19:35,52,Foul on Christ Koumadje.,0,0
19:19,45,Yuta Watanabe missed Three Point Jumper.,0,0
19:19,45,Terry Nolan Jr. Offensive Rebound.,0,0
19:17,45,Terry Nolan Jr. missed Layup.,0,0
19:17,52,Christ Koumadje Block.,0,0
19:14,45,George Washington Offensive Rebound.,0,0
19:07,45,Patrick Steeves made Jumper.,2,0
19:00,52,PJ Savoy made Layup. Assisted by CJ Walker.,2,2
18:41,45,Arnaldo Toro missed Three Point Jumper.,2,2
18:41,52,CJ Walker Defensive Rebound.,2,2
18:32,52,Christ Koumadje made Layup. Assisted by Terance Mann.,2,4
18:11,45,Arnaldo Toro missed Layup.,2,4
18:11,52,Christ Koumadje Block.,2,4
18:08,52,CJ Walker Defensive Rebound.,2,4
18:05,52,PJ Savoy missed Three Point Jumper.,2,4
18:05,45,Yuta Watanabe Defensive Rebound.,2,4
17:59,45,Yuta Watanabe missed Three Point Jumper.,2,4
17:59,52,Christ Koumadje Defensive Rebound.,2,4
17:40,52,PJ Savoy missed Three Point Jumper.,2,4
17:40,45,Yuta Watanabe Defensive Rebound.,2,4
17:29,52,Foul on CJ Walker.,2,4
17:22,45,Foul on Patrick Steeves.,2,4
17:22,45,Patrick Steeves Turnover.,2,4
17:08,52,Phil Cofer made Three Point Jumper. Assisted by PJ Savoy.,2,7
16:36,45,Jair Bolden missed Three Point Jumper.,2,7
16:36,52,Terance Mann Defensive Rebound.,2,7
16:24,52,Christ Koumadje missed Jumper.,2,7
16:24,45,Jair Bolden Defensive Rebound.,2,7
16:14,45,Jair Bolden missed Three Point Jumper.,2,7
16:14,52,Christ Koumadje Defensive Rebound.,2,7
16:05,52,CJ Walker missed Layup.,2,7
16:05,52,Christ Koumadje Offensive Rebound.,2,7
16:02,52,Christ Koumadje made Jumper.,2,9
15:32,45,Terry Nolan Jr. made Layup. Assisted by Jair Bolden.,4,9
15:11,52,Christ Koumadje made Dunk. Assisted by PJ Savoy.,4,11
14:46,45,Jair Bolden missed Jumper.,4,11
14:46,52,PJ Savoy Defensive Rebound.,4,11
14:39,45,Foul on Arnaldo Toro.,4,11
14:39,52,Official TV Timeout,4,11
14:33,52,Mfiondu Kabengele missed Jumper.,4,11
14:33,45,George Washington Deadball Team Rebound.,4,11
14:33,52,Foul on Ike Obiagu.,4,11
14:27,45,Terry Nolan Jr. Turnover.,4,11
14:26,52,M.J. Walker Steal.,4,11
14:25,52,Mfiondu Kabengele made Layup. Assisted by M.J. Walker.,4,13
14:17,52,Foul on Brandon Allen.,4,13
14:12,45,Terry Nolan Jr. made Jumper.,6,13
13:45,52,Braian Angola made Three Point Jumper. Assisted by Brandon Allen.,6,16
13:35,52,Foul on Ike Obiagu.,6,16
13:35,45,Bo Zeigler made Free Throw.,7,16
13:35,45,Bo Zeigler missed Free Throw.,7,16
13:35,52,M.J. Walker Defensive Rebound.,7,16
13:18,52,M.J. Walker made Three Point Jumper. Assisted by Braian Angola.,7,19
12:47,45,Bo Zeigler Turnover.,7,19
12:42,52,Foul on M.J. Walker.,7,19
12:42,52,M.J. Walker Turnover.,7,19
12:19,52,Foul on M.J. Walker.,7,19
12:19,45,Yuta Watanabe made Free Throw.,8,19
12:19,45,Yuta Watanabe made Free Throw.,9,19
12:03,52,Mfiondu Kabengele Turnover.,9,19
11:45,45,Arnaldo Toro made Layup.,11,19
11:31,52,Mfiondu Kabengele made Jumper.,11,21
11:19,45,Jair Bolden Turnover.,11,21
11:18,52,Mfiondu Kabengele Steal.,11,21
11:17,52,Mfiondu Kabengele made Dunk.,11,23
11:06,45,Arnaldo Toro Turnover.,11,23
11:06,52,Braian Angola Steal.,11,23
11:05,52,Terance Mann made Layup. Assisted by Brandon Allen.,11,25
11:04,45,George Washington  Timeout,11,25
11:04,52,Official TV Timeout,11,25
10:47,45,Maceo Jack missed Layup.,11,25
10:47,45,Arnaldo Toro Offensive Rebound.,11,25
10:45,52,Foul on Terance Mann.,11,25
10:45,45,Arnaldo Toro made Free Throw.,12,25
10:45,45,Arnaldo Toro made Free Throw.,13,25
10:27,52,Braian Angola made Layup.,13,27
10:07,45,Bo Zeigler missed Layup.,13,27
10:07,52,Christ Koumadje Block.,13,27
10:05,52,Terance Mann Defensive Rebound.,13,27
10:02,52,Terance Mann Turnover.,13,27
9:59,45,Yuta Watanabe Steal.,13,27
9:58,45,Yuta Watanabe missed Layup.,13,27
9:58,52,Brandon Allen Defensive Rebound.,13,27
9:42,52,Christ Koumadje missed Jumper.,13,27
9:42,52,Terance Mann Offensive Rebound.,13,27
9:41,52,Terance Mann made Dunk.,13,29
9:35,45,Patrick Steeves Turnover.,13,29
9:34,52,CJ Walker Steal.,13,29
9:27,52,Braian Angola missed Three Point Jumper.,13,29
9:27,45,Patrick Steeves Defensive Rebound.,13,29
9:15,45,Jair Bolden missed Three Point Jumper.,13,29
9:15,52,Christ Koumadje Defensive Rebound.,13,29
9:01,52,Christ Koumadje Turnover.,13,29
8:45,45,Yuta Watanabe missed Jumper.,13,29
8:45,52,Christ Koumadje Defensive Rebound.,13,29
8:28,52,Brandon Allen missed Three Point Jumper.,13,29
8:28,45,Jair Bolden Defensive Rebound.,13,29
8:18,45,Terry Nolan Jr. made Layup.,15,29
8:13,52,Florida State  Timeout,15,29
8:13,52,Official TV Timeout,15,29
8:00,52,Phil Cofer missed Three Point Jumper.,15,29
8:00,52,Mfiondu Kabengele Offensive Rebound.,15,29
7:46,52,CJ Walker missed Layup.,15,29
7:46,45,Arnaldo Toro Defensive Rebound.,15,29
7:34,45,Terry Nolan Jr. made Dunk.,17,29
7:20,45,Foul on Patrick Steeves.,17,29
7:14,52,PJ Savoy missed Three Point Jumper.,17,29
7:14,45,George Washington Deadball Team Rebound.,17,29
7:14,52,Foul on Mfiondu Kabengele.,17,29
7:14,45,Arnaldo Toro made Free Throw.,18,29
7:14,45,Arnaldo Toro made Free Throw.,19,29
6:59,52,PJ Savoy missed Three Point Jumper.,19,29
6:59,52,Phil Cofer Offensive Rebound.,19,29
6:58,52,Phil Cofer made Layup.,19,31
6:39,45,Yuta Watanabe missed Jumper.,19,31
6:39,52,Phil Cofer Defensive Rebound.,19,31
6:34,52,CJ Walker made Layup.,19,33
6:12,45,Yuta Watanabe made Jumper.,21,33
5:58,52,Phil Cofer made Jumper. Assisted by Anthony Polite.,21,35
5:22,45,Jair Bolden made Three Point Jumper.,24,35
4:59,52,Terance Mann Turnover.,24,35
4:58,45,Terry Nolan Jr. Steal.,24,35
4:56,45,Terry Nolan Jr. missed Three Point Jumper.,24,35
4:56,52,CJ Walker Defensive Rebound.,24,35
4:50,52,CJ Walker Turnover.,24,35
