Denver,38,Colorado,2172
time,team_id,description,h_score,a_score
19:41,38,George King made Layup.,0,2
19:20,2172,Daniel Amigo made Jumper.,2,2
19:03,38,Namon Wright Turnover.,2,2
18:47,2172,Joe Rosga made Three Point Jumper. Assisted by Abiola Akintola.,5,2
18:32,2172,Foul on Abiola Akintola.,5,2
18:20,2172,Foul on Daniel Amigo.,5,2
18:16,2172,Foul on Abiola Akintola.,5,2
18:16,38,Namon Wright missed Free Throw.,5,2
18:16,38,Colorado Deadball Team Rebound.,5,2
18:16,38,Namon Wright made Free Throw.,5,3
18:14,38,Foul on Tory Miller-Stewart.,5,3
17:54,2172,Daniel Amigo Turnover.,5,3
17:39,38,McKinley Wright IV made Layup.,5,5
17:38,2172,Foul on Jake Pemberton.,5,5
17:38,38,McKinley Wright IV missed Free Throw.,5,5
17:38,2172,Jake Pemberton Defensive Rebound.,5,5
17:38,2172,Daniel Amigo missed Layup.,5,5
17:38,38,Namon Wright Defensive Rebound.,5,5
17:36,38,George King made Layup.,5,7
16:17,38,Foul on Dominique Collier.,5,7
16:09,2172,Joe Rosga missed Three Point Jumper.,5,7
16:09,38,Dominique Collier Defensive Rebound.,5,7
16:01,2172,Foul on Joe Rosga.,5,7
15:41,38,Dominique Collier missed Three Point Jumper.,5,7
15:41,2172,Jake Pemberton Defensive Rebound.,5,7
15:32,2172,Jake Krafka Turnover.,5,7
15:32,2172,Ade Murkey missed Three Point Jumper.,5,7
15:32,38,McKinley Wright IV Defensive Rebound.,5,7
15:32,38,McKinley Wright IV missed Jumper.,5,7
15:32,38,Namon Wright Turnover.,5,7
15:32,2172,Ade Murkey Steal.,5,7
15:32,2172,Jake Krafka Defensive Rebound.,5,7
15:29,38,George King missed Three Point Jumper.,5,7
15:29,38,Lucas Siewert Offensive Rebound.,5,7
15:29,2172,Foul on Christian Mackey.,5,7
15:25,38,Foul on George King.,5,7
15:11,38,George King Turnover.,5,7
14:44,2172,Joe Rosga missed Jumper.,5,7
14:44,2172,Joe Rosga Offensive Rebound.,5,7
14:41,2172,Joe Rosga missed Layup.,5,7
14:41,38,George King Defensive Rebound.,5,7
14:29,38,Deleon Brown made Layup.,5,9
14:02,2172,Foul on Christian Mackey.,5,9
13:49,38,McKinley Wright IV made Layup.,5,11
13:38,2172,Elvin Rodriguez missed Layup.,5,11
13:38,38,Lucas Siewert Block.,5,11
13:36,38,Lucas Siewert Defensive Rebound.,5,11
13:32,38,Lucas Siewert missed Three Point Jumper.,5,11
13:32,38,Tyler Bey Offensive Rebound.,5,11
13:28,38,Tyler Bey missed Layup.,5,11
13:28,2172,Ade Murkey Defensive Rebound.,5,11
13:20,2172,Christian Mackey made Layup.,7,11
13:01,38,Tyler Bey missed Layup.,7,11
13:01,2172,Jake Krafka Defensive Rebound.,7,11
12:33,2172,Ade Murkey missed Layup.,7,11
12:33,38,Lucas Siewert Defensive Rebound.,7,11
12:25,2172,Foul on Christian Mackey.,7,11
12:25,38,Deleon Brown made Free Throw.,7,12
12:25,38,Deleon Brown made Free Throw.,7,13
12:12,2172,Daniel Amigo made Layup.,9,13
11:44,38,D'Shawn Schwartz missed Three Point Jumper.,9,13
