Maine,2641,Texas Tech,311
time,team_id,description,h_score,a_score
19:46,311,Foul on Danny Evans.,0,0
19:34,2641,Niem Stevenson made Three Point Jumper. Assisted by Keenan Evans.,0,3
19:16,311,Andrew Fleming missed Layup.,0,3
19:16,2641,Zach Smith Defensive Rebound.,0,3
19:14,311,Foul on Andrew Fleming.,0,3
18:59,2641,Keenan Evans made Three Point Jumper.,0,6
18:26,311,Danny Evans Turnover.,0,6
18:11,2641,Tommy Hamilton IV made Jumper. Assisted by Justin Gray.,0,8
17:52,311,Andrew Fleming missed Jumper.,0,8
17:52,2641,Niem Stevenson Defensive Rebound.,0,8
17:44,2641,Niem Stevenson missed Three Point Jumper.,0,8
17:44,311,Ilija Stojiljkovic Defensive Rebound.,0,8
17:36,311,Trae Bryant missed Three Point Jumper.,0,8
17:36,2641,Keenan Evans Block.,0,8
17:32,2641,Zach Smith Defensive Rebound.,0,8
17:28,2641,Keenan Evans Turnover.,0,8
17:26,311,Andrew Fleming Steal.,0,8
17:10,311,Danny Evans missed Jumper.,0,8
17:10,311,Maine Deadball Team Rebound.,0,8
17:08,311,Foul on Ilija Stojiljkovic.,0,8
16:49,2641,Jarrett Culver made Three Point Jumper. Assisted by Keenan Evans.,0,11
16:47,311,Maine  Timeout,0,11
16:26,311,Andrew Fleming Turnover.,0,11
16:24,2641,Davide Moretti Steal.,0,11
15:58,2641,Zach Smith missed Jumper.,0,11
15:58,311,Andrew Fleming Defensive Rebound.,0,11
15:41,311,Aaron Calixte made Three Point Jumper. Assisted by Ilija Stojiljkovic.,3,11
15:17,2641,Zhaire Smith Turnover.,3,11
15:16,311,Ilija Stojiljkovic Steal.,3,11
15:13,311,Danny Evans missed Layup.,3,11
15:13,2641,Zach Smith Block.,3,11
15:08,2641,Zach Smith Defensive Rebound.,3,11
15:05,2641,Zhaire Smith made Dunk.,3,13
14:42,311,Andrew Fleming missed Jumper.,3,13
14:42,2641,Davide Moretti Defensive Rebound.,3,13
14:29,2641,Davide Moretti made Three Point Jumper. Assisted by Zach Smith.,3,16
14:04,311,Foul on Ilija Stojiljkovic.,3,16
14:04,311,Ilija Stojiljkovic Turnover.,3,16
14:04,2641,Official TV Timeout,3,16
13:51,2641,Zhaire Smith made Layup.,3,18
13:46,2641,Foul on Norense Odiase.,3,18
13:39,311,Ilker Er missed Layup.,3,18
13:39,2641,Tommy Hamilton IV Defensive Rebound.,3,18
13:35,2641,Tommy Hamilton IV Turnover.,3,18
13:33,311,Aaron Calixte Steal.,3,18
13:09,311,Andrew Fleming missed Three Point Jumper.,3,18
13:09,2641,Zhaire Smith Defensive Rebound.,3,18
12:56,311,Foul on Ilker Er.,3,18
12:56,2641,Zhaire Smith made Free Throw.,3,19
12:56,2641,Zhaire Smith made Free Throw.,3,20
12:37,311,Aaron Calixte missed Layup.,3,20
12:37,2641,Zach Smith Block.,3,20
12:35,2641,Tommy Hamilton IV Defensive Rebound.,3,20
12:20,2641,Zach Smith made Jumper. Assisted by Keenan Evans.,3,22
11:59,311,Dusan Majstorovic missed Layup.,3,22
11:59,2641,Zach Smith Defensive Rebound.,3,22
11:44,2641,Keenan Evans missed Jumper.,3,22
11:44,311,Andrew Fleming Block.,3,22
11:44,311,Andrew Fleming Defensive Rebound.,3,22
11:44,2641,Official TV Timeout,3,22
11:25,311,Ilker Er missed Three Point Jumper.,3,22
11:25,311,Maine Offensive Rebound.,3,22
11:25,2641,Foul on Justin Gray.,3,22
11:08,311,Dusan Majstorovic Turnover.,3,22
11:08,2641,Justin Gray Steal.,3,22
11:08,311,Foul on Dusan Majstorovic.,3,22
10:48,2641,Justin Gray made Layup.,3,24
10:24,311,Dennis Ashley made Layup.,5,24
10:07,2641,Justin Gray missed Jumper.,5,24
10:07,311,Dennis Ashley Defensive Rebound.,5,24
9:56,311,Ilker Er made Three Point Jumper. Assisted by Dennis Ashley.,8,24
9:44,2641,Tommy Hamilton IV missed Three Point Jumper.,8,24
