South Carolina State,43,Yale,2569
time,team_id,description,h_score,a_score
19:46,2569,Foul on Janai Raynor Powell.,0,0
19:46,2569,Janai Raynor Powell Turnover.,0,0
19:27,2569,Foul on Ian Kinard.,0,0
19:27,43,Trey Phills made Free Throw.,0,1
19:27,43,Trey Phills missed Free Throw.,0,1
19:27,2569,Ozante Fields Defensive Rebound.,0,1
19:26,43,Foul on Paul Atkinson.,0,1
19:18,2569,Janai Raynor Powell Turnover.,0,1
19:16,43,Trey Phills Steal.,0,1
19:15,43,Alex Copeland made Layup.,0,3
18:47,2569,Janai Raynor Powell Turnover.,0,3
18:33,43,Miye Oni made Jumper.,0,5
18:18,2569,James Richardson missed Jumper.,0,5
18:18,2569,James Richardson Offensive Rebound.,0,5
18:01,2569,Ozante Fields made Layup. Assisted by James Richardson.,2,5
17:40,43,Blake Reynolds Turnover.,2,5
17:27,2569,Ian Kinard missed Jumper.,2,5
17:27,43,Paul Atkinson Defensive Rebound.,2,5
17:18,43,Trey Phills missed Three Point Jumper.,2,5
17:18,43,Paul Atkinson Offensive Rebound.,2,5
17:15,2569,Foul on Ian Kinard.,2,5
17:13,43,Miye Oni made Three Point Jumper. Assisted by Alex Copeland.,2,8
17:04,2569,Ozante Fields Turnover.,2,8
17:02,43,Miye Oni Steal.,2,8
16:59,43,Alex Copeland Turnover.,2,8
16:48,2569,Armani Taylor Turnover.,2,8
16:48,43,Blake Reynolds Steal.,2,8
16:29,43,Miye Oni made Jumper.,2,10
16:27,2569,South Carolina State  Timeout,2,10
16:17,2569,James Richardson missed Layup.,2,10
16:17,43,Blake Reynolds Defensive Rebound.,2,10
16:06,43,Miye Oni made Three Point Jumper. Assisted by Alex Copeland.,2,13
15:54,2569,Foul on Justin Jones.,2,13
15:54,2569,Justin Jones Turnover.,2,13
15:54,43,Official TV Timeout,2,13
15:32,43,Blake Reynolds Turnover.,2,13
15:15,2569,David Bottenberg missed Jumper.,2,13
15:15,43,Blake Reynolds Defensive Rebound.,2,13
15:06,43,Noah Yates Turnover.,2,13
14:55,2569,James Richardson made Layup.,4,13
14:55,43,Foul on Blake Reynolds.,4,13
14:55,2569,James Richardson made Free Throw.,5,13
14:33,43,Miye Oni missed Three Point Jumper.,5,13
14:33,2569,James Richardson Defensive Rebound.,5,13
14:24,2569,David Bottenberg missed Layup.,5,13
14:24,43,Miye Oni Defensive Rebound.,5,13
14:16,2569,Foul on David Bottenberg.,5,13
14:16,43,Miye Oni made Free Throw.,5,14
14:16,43,Miye Oni made Free Throw.,5,15
14:06,2569,James Richardson missed Jumper.,5,15
14:06,2569,Armani Taylor Offensive Rebound.,5,15
14:04,2569,Armani Taylor missed Layup.,5,15
14:04,43,Miye Oni Defensive Rebound.,5,15
13:50,43,Eric Monroe made Three Point Jumper. Assisted by Noah Yates.,5,18
13:31,2569,Armani Taylor Turnover.,5,18
13:19,43,Miye Oni missed Three Point Jumper.,5,18
13:19,2569,South Carolina State Deadball Team Rebound.,5,18
13:18,43,Foul on Noah Yates.,5,18
13:09,2569,Foul on Armani Taylor.,5,18
13:09,2569,Armani Taylor Turnover.,5,18
12:51,43,Azar Swain made Three Point Jumper. Assisted by Miye Oni.,5,21
12:40,2569,Foul on Ozante Fields.,5,21
12:40,2569,Ozante Fields Turnover.,5,21
12:38,43,Noah Yates Turnover.,5,21
12:37,2569,Janai Raynor Powell Steal.,5,21
12:34,2569,Donte Wright missed Three Point Jumper.,5,21
12:34,2569,Damani Applewhite Offensive Rebound.,5,21
12:32,2569,Damani Applewhite made Layup.,7,21
12:28,43,Yale  Timeout,7,21
12:11,43,Miye Oni missed Jumper.,7,21
12:11,2569,Donte Wright Defensive Rebound.,7,21
11:51,2569,Justin Jones Turnover.,7,21
11:42,43,Eric Monroe missed Three Point Jumper.,7,21
11:42,43,Paul Atkinson Offensive Rebound.,7,21
11:40,43,Paul Atkinson made Two Point Tip Shot.,7,23
11:11,2569,Janai Raynor Powell missed Layup.,7,23
11:11,43,Eric Monroe Block.,7,23
11:10,43,Eric Monroe Defensive Rebound.,7,23
11:06,43,Azar Swain made Layup. Assisted by Alex Copeland.,7,25
10:49,43,Foul on Azar Swain.,7,25
10:33,2569,Donte Wright missed Jumper.,7,25
10:33,43,Paul Atkinson Defensive Rebound.,7,25
10:22,43,Eric Monroe Turnover.,7,25
10:21,2569,Donte Wright Steal.,7,25
10:17,2569,Ozante Fields missed Layup.,7,25
10:17,43,Blake Reynolds Block.,7,25
10:17,2569,South Carolina State Offensive Rebound.,7,25
10:13,2569,Armani Taylor made Layup. Assisted by Justin Jones.,9,25
10:02,43,Alex Copeland made Three Point Jumper.,9,28
9:48,2569,Justin Jones missed Three Point Jumper.,9,28
9:48,43,Azar Swain Defensive Rebound.,9,28
9:40,43,Alex Copeland missed Three Point Jumper.,9,28
9:40,43,Paul Atkinson Offensive Rebound.,9,28
9:37,2569,Foul on Ozante Fields.,9,28
9:37,43,Paul Atkinson made Free Throw.,9,29
9:37,43,Paul Atkinson missed Free Throw.,9,29
9:37,2569,Armani Taylor Defensive Rebound.,9,29
9:30,43,Foul on Trey Phills.,9,29
9:30,2569,James Richardson missed Free Throw.,9,29
9:30,2569,South Carolina State Deadball Team Rebound.,9,29
9:30,2569,James Richardson missed Free Throw.,9,29
9:30,43,Paul Atkinson Defensive Rebound.,9,29
9:16,43,Alex Copeland Turnover.,9,29
9:15,2569,Armani Taylor Steal.,9,29
9:06,2569,Ty Solomon missed Jumper.,9,29
9:06,43,Blake Reynolds Defensive Rebound.,9,29
8:54,43,Foul on Trey Phills.,9,29
8:54,43,Trey Phills Turnover.,9,29
8:34,2569,Armani Taylor Turnover.,9,29
8:17,43,Miye Oni made Layup.,9,31
8:10,2569,James Richardson missed Jumper.,9,31
8:10,43,Yale Deadball Team Rebound.,9,31
8:09,2569,Foul on James Richardson.,9,31
8:09,43,Miye Oni made Free Throw.,9,32
8:09,43,Miye Oni made Free Throw.,9,33
