BYU,163,Princeton,252
time,team_id,description,h_score,a_score
19:46,252,Zac Seljaas Turnover.,0,0
19:25,163,Myles Stephens made Two Point Tip Shot.,0,2
18:58,252,Elijah Bryant made Layup.,2,2
18:58,163,Foul on Alec Brennan.,2,2
18:58,252,Elijah Bryant made Free Throw.,3,2
18:34,163,Myles Stephens missed Three Point Jumper.,3,2
18:34,252,Luke Worthington Defensive Rebound.,3,2
18:15,252,TJ Haws made Layup.,5,2
17:47,163,Alec Brennan missed Layup.,5,2
17:47,252,Yoeli Childs Defensive Rebound.,5,2
17:35,252,Luke Worthington Turnover.,5,2
17:23,163,Sebastian Much made Three Point Jumper. Assisted by Myles Stephens.,5,5
16:58,163,Foul on Mike LeBlanc.,5,5
16:58,252,Yoeli Childs made Free Throw.,6,5
16:58,252,Yoeli Childs made Free Throw.,7,5
16:41,163,Devin Cannady made Jumper. Assisted by Sebastian Much.,7,7
16:22,252,TJ Haws missed Three Point Jumper.,7,7
16:22,163,Mike LeBlanc Defensive Rebound.,7,7
16:12,163,Amir Bell Turnover.,7,7
15:54,252,Luke Worthington missed Layup.,7,7
15:54,163,Sebastian Much Defensive Rebound.,7,7
15:28,163,Sebastian Much made Jumper. Assisted by Amir Bell.,7,9
15:09,252,Luke Worthington missed Layup.,7,9
15:09,163,Sebastian Much Defensive Rebound.,7,9
15:09,252,Foul on Luke Worthington.,7,9
15:09,163,Official TV Timeout,7,9
14:50,163,Myles Stephens missed Layup.,7,9
14:50,252,Yoeli Childs Defensive Rebound.,7,9
14:41,252,Dalton Nixon made Layup.,9,9
14:23,163,Sebastian Much Turnover.,9,9
14:08,252,Yoeli Childs Turnover.,9,9
14:05,163,Myles Stephens Steal.,9,9
13:53,252,Foul on Elijah Bryant.,9,9
13:41,163,Amir Bell missed Layup.,9,9
13:41,252,Yoeli Childs Block.,9,9
13:41,163,Princeton Offensive Rebound.,9,9
13:37,163,Devin Cannady made Layup.,9,11
13:19,252,Elijah Bryant missed Three Point Jumper.,9,11
13:19,163,Amir Bell Defensive Rebound.,9,11
13:08,163,Devin Cannady missed Layup.,9,11
13:08,252,Elijah Bryant Defensive Rebound.,9,11
12:57,252,Zac Seljaas missed Three Point Jumper.,9,11
12:57,163,Myles Stephens Defensive Rebound.,9,11
12:30,163,Myles Stephens missed Layup.,9,11
12:30,252,Yoeli Childs Defensive Rebound.,9,11
12:19,252,Yoeli Childs missed Three Point Jumper.,9,11
12:19,163,Ryan Schwieger Defensive Rebound.,9,11
11:57,252,Foul on Dalton Nixon.,9,11
11:57,163,Official TV Timeout,9,11
11:49,252,Yoeli Childs Block.,9,11
11:49,163,Alec Brennan missed Three Point Jumper.,9,11
11:49,163,Jerome Desrosiers Offensive Rebound.,9,11
11:45,163,Jerome Desrosiers Turnover.,9,11
11:24,252,TJ Haws missed Three Point Jumper.,9,11
11:24,163,Jerome Desrosiers Defensive Rebound.,9,11
11:01,163,Ryan Schwieger missed Three Point Jumper.,9,11
11:01,252,TJ Haws Defensive Rebound.,9,11
10:43,252,Yoeli Childs missed Jumper.,9,11
10:43,163,Ryan Schwieger Defensive Rebound.,9,11
10:34,163,Amir Bell missed Layup.,9,11
10:34,252,Yoeli Childs Defensive Rebound.,9,11
10:13,252,Dalton Nixon Turnover.,9,11
10:12,163,Devin Cannady Steal.,9,11
9:51,163,Jerome Desrosiers Turnover.,9,11
9:50,252,Jahshire Hardnett Steal.,9,11
9:40,252,Elijah Bryant made Three Point Jumper. Assisted by Jahshire Hardnett.,12,11
9:15,163,Alec Brennan made Three Point Jumper. Assisted by Devin Cannady.,12,14
8:54,252,Elijah Bryant missed Three Point Jumper.,12,14
8:54,163,Amir Bell Defensive Rebound.,12,14
8:29,163,Devin Cannady missed Layup.,12,14
8:29,252,Dalton Nixon Block.,12,14
8:29,163,Princeton Offensive Rebound.,12,14
8:14,252,Foul on Dalton Nixon.,12,14
8:00,163,Devin Cannady missed Three Point Jumper.,12,14
8:00,252,Dalton Nixon Defensive Rebound.,12,14
7:50,252,Zac Seljaas made Three Point Jumper. Assisted by Elijah Bryant.,15,14
7:28,163,Myles Stephens missed Layup.,15,14
7:28,252,Elijah Bryant Defensive Rebound.,15,14
7:21,252,Elijah Bryant made Layup.,17,14
7:20,163,Princeton  Timeout,17,14
7:20,163,Official TV Timeout,17,14
6:52,163,Jose Morales made Three Point Jumper. Assisted by Myles Stephens.,17,17
6:31,252,TJ Haws Turnover.,17,17
6:30,163,Devin Cannady Steal.,17,17
6:24,252,Foul on Elijah Bryant.,17,17
6:12,163,Jose Morales Turnover.,17,17
6:01,252,Kajon Brown missed Layup.,17,17
6:01,163,Myles Stephens Defensive Rebound.,17,17
