Gardner-Webb,2116,UCF,2241
time,team_id,description,h_score,a_score
19:43,2241,Jamaal Robateau Turnover.,0,0
19:31,2116,A.J. Davis made Layup.,0,2
19:08,2241,Jamaal Robateau missed Jumper.,0,2
19:08,2116,A.J. Davis Defensive Rebound.,0,2
18:57,2116,Dayon Griffin made Jumper. Assisted by Terrell Allen.,0,4
18:39,2241,Jamaal Robateau missed Layup.,0,4
18:39,2116,Ceasar DeJesus Defensive Rebound.,0,4
18:26,2116,Rokas Ulvydas missed Jumper.,0,4
18:26,2241,DJ Laster Defensive Rebound.,0,4
18:17,2241,David Efianayi missed Jumper.,0,4
18:17,2116,Dayon Griffin Defensive Rebound.,0,4
18:03,2116,Dayon Griffin Turnover.,0,4
18:02,2241,Christian Turner Steal.,0,4
17:58,2116,Foul on A.J. Davis.,0,4
17:58,2241,David Efianayi made Free Throw.,1,4
17:58,2241,David Efianayi made Free Throw.,2,4
17:47,2116,Ceasar DeJesus missed Three Point Jumper.,2,4
17:47,2241,Gardner-Webb Deadball Team Rebound.,2,4
17:24,2241,David Efianayi made Layup.,4,4
17:04,2116,Rokas Ulvydas Turnover.,4,4
17:04,2241,David Efianayi Steal.,4,4
17:04,2116,Foul on Rokas Ulvydas.,4,4
16:46,2241,David Efianayi missed Layup.,4,4
16:46,2116,Chance McSpadden Defensive Rebound.,4,4
16:19,2241,Foul on Brandon Miller.,4,4
16:19,2116,Chad Brown made Free Throw.,4,5
16:19,2116,Chad Brown made Free Throw.,4,6
16:00,2241,David Efianayi made Layup.,6,6
15:46,2116,Chad Brown missed Layup.,6,6
15:46,2241,DJ Laster Defensive Rebound.,6,6
15:36,2241,David Efianayi missed Three Point Jumper.,6,6
15:36,2116,Terrell Allen Defensive Rebound.,6,6
15:28,2116,Chance McSpadden missed Three Point Jumper.,6,6
15:28,2241,Gardner-Webb Defensive Rebound.,6,6
15:26,2116,Official TV Timeout,6,6
15:13,2116,Foul on Chance McSpadden.,6,6
14:58,2241,Brandon Miller missed Layup.,6,6
14:58,2116,Chance McSpadden Defensive Rebound.,6,6
14:47,2116,Chance McSpadden Turnover.,6,6
14:46,2241,Brandon Miller Steal.,6,6
14:44,2241,David Efianayi missed Layup.,6,6
14:44,2241,Brandon Miller Offensive Rebound.,6,6
14:41,2241,Brandon Miller made Layup.,8,6
14:19,2116,Terrell Allen Turnover.,8,6
14:17,2241,Brandon Miller Steal.,8,6
13:57,2241,David Efianayi missed Jumper.,8,6
13:57,2116,Dayon Griffin Defensive Rebound.,8,6
13:40,2241,Foul on Eric Jamison.,8,6
13:34,2241,Foul on Jaheam Cornwall.,8,6
13:31,2116,A.J. Davis missed Layup.,8,6
13:31,2241,Eric Jamison Defensive Rebound.,8,6
13:22,2241,Jaheam Cornwall made Jumper.,10,6
13:08,2116,Ceasar DeJesus missed Layup.,10,6
13:08,2241,Jamaal Robateau Defensive Rebound.,10,6
13:04,2241,Liam O'Reilly Turnover.,10,6
12:46,2116,Rokas Ulvydas Turnover.,10,6
12:35,2241,Jaheam Cornwall Turnover.,10,6
12:34,2116,Terrell Allen Steal.,10,6
12:34,2241,Foul on Jamaal Robateau.,10,6
12:26,2116,Dayon Griffin missed Three Point Jumper.,10,6
12:26,2241,Jaheam Cornwall Defensive Rebound.,10,6
12:06,2241,Jaheam Cornwall missed Layup.,10,6
12:06,2116,Nathan Laing Defensive Rebound.,10,6
11:43,2116,Ceasar DeJesus made Layup.,10,8
11:24,2241,Liam O'Reilly missed Jumper.,10,8
11:24,2116,Dayon Griffin Defensive Rebound.,10,8
11:06,2116,Ceasar DeJesus made Jumper.,10,10
11:06,2241,Foul on Jaheam Cornwall.,10,10
11:06,2116,Official TV Timeout,10,10
11:06,2116,Ceasar DeJesus missed Free Throw.,10,10
11:06,2116,A.J. Davis Offensive Rebound.,10,10
10:55,2241,Foul on Liam O'Reilly.,10,10
10:55,2116,Chad Brown made Free Throw.,10,11
10:55,2116,Chad Brown made Free Throw.,10,12
10:35,2241,DJ Laster missed Layup.,10,12
10:35,2116,Chad Brown Block.,10,12
10:33,2116,Ceasar DeJesus Defensive Rebound.,10,12
10:29,2116,Ceasar DeJesus missed Layup.,10,12
10:29,2116,Chad Brown Offensive Rebound.,10,12
10:26,2116,Chad Brown made Dunk.,10,14
10:14,2241,DJ Laster made Layup. Assisted by Jamaal Robateau.,12,14
10:03,2241,Foul on Christian Turner.,12,14
10:03,2116,A.J. Davis missed Free Throw.,12,14
10:03,2241,Jamaal Robateau Defensive Rebound.,12,14
9:43,2241,Jamaal Robateau missed Jumper.,12,14
9:43,2116,Terrell Allen Defensive Rebound.,12,14
9:37,2241,Foul on David Efianayi.,12,14
9:37,2116,Ceasar DeJesus made Free Throw.,12,15
9:37,2116,Ceasar DeJesus made Free Throw.,12,16
9:08,2116,Foul on Myles Douglas.,12,16
8:54,2241,Liam O'Reilly missed Layup.,12,16
8:54,2116,Chad Brown Block.,12,16
8:52,2116,Ceasar DeJesus Defensive Rebound.,12,16
8:43,2116,Chance McSpadden Turnover.,12,16
8:42,2241,Christian Turner Steal.,12,16
8:40,2116,Foul on Myles Douglas.,12,16
8:40,2241,Christian Turner made Free Throw.,13,16
8:40,2241,Christian Turner made Free Throw.,14,16
8:22,2116,A.J. Davis missed Layup.,14,16
8:22,2241,Brandon Miller Defensive Rebound.,14,16
8:14,2241,David Efianayi missed Layup.,14,16
8:14,2116,UCF Deadball Team Rebound.,14,16
8:13,2241,Foul on Brandon Miller.,14,16
8:13,2116,A.J. Davis made Free Throw.,14,17
8:13,2116,A.J. Davis missed Free Throw.,14,17
8:13,2241,L'Hassane Niangane Defensive Rebound.,14,17
7:55,2241,DJ Laster Turnover.,14,17
7:54,2116,Ceasar DeJesus Steal.,14,17
7:43,2116,Nathan Laing Turnover.,14,17
7:42,2241,DJ Laster Steal.,14,17
7:40,2241,DJ Laster Turnover.,14,17
7:39,2116,Ceasar DeJesus Steal.,14,17
7:37,2116,Ceasar DeJesus missed Three Point Jumper.,14,17
7:36,2241,Liam O'Reilly Defensive Rebound.,14,17
7:35,2116,Foul on Nathan Laing.,14,17
7:34,2116,Official TV Timeout,14,17
7:34,2116,Official TV Timeout,14,17
7:21,2241,Liam O'Reilly missed Three Point Jumper.,14,17
7:21,2241,DJ Laster Offensive Rebound.,14,17
7:16,2241,DJ Laster made Dunk.,16,17
7:03,2116,A.J. Davis missed Jumper.,16,17
7:03,2241,Christian Turner Defensive Rebound.,16,17
6:56,2241,DJ Laster Turnover.,16,17
6:44,2116,A.J. Davis made Layup.,16,19
6:33,2241,Liam O'Reilly made Three Point Jumper. Assisted by David Efianayi.,19,19
6:13,2116,Dayon Griffin missed Three Point Jumper.,19,19
6:13,2241,Gardner-Webb Defensive Rebound.,19,19
5:45,2241,DJ Laster made Layup.,21,19
5:19,2241,Foul on Christian Turner.,21,19
5:19,2116,Chad Brown made Free Throw.,21,20
5:19,2116,Chad Brown made Free Throw.,21,21
4:57,2116,Foul on Terrell Allen.,21,21
4:56,2241,Nate Johnson missed Free Throw.,21,21
4:56,2116,A.J. Davis Defensive Rebound.,21,21
4:49,2116,Chance McSpadden missed Layup.,21,21
4:49,2116,Chance McSpadden Offensive Rebound.,21,21
4:46,2116,Chance McSpadden missed Layup.,21,21
4:46,2116,A.J. Davis Offensive Rebound.,21,21
4:45,2241,Foul on Liam O'Reilly.,21,21
4:43,2116,A.J. Davis made Free Throw.,21,22
4:43,2116,A.J. Davis made Free Throw.,21,23
4:27,2241,Liam O'Reilly missed Jumper.,21,23
4:27,2241,DJ Laster Offensive Rebound.,21,23
4:22,2241,DJ Laster made Two Point Tip Shot.,23,23
4:04,2116,Ceasar DeJesus missed Three Point Jumper.,23,23
4:04,2241,David Efianayi Defensive Rebound.,23,23
3:51,2241,Nate Johnson missed Three Point Jumper.,23,23
3:51,2116,Terrell Allen Defensive Rebound.,23,23
3:35,2241,Liam O'Reilly Defensive Rebound.,23,23
3:35,2116,A.J. Davis missed Layup.,23,23
3:28,2241,David Efianayi missed Layup.,23,23
3:27,2241,DJ Laster Offensive Rebound.,23,23
3:22,2241,DJ Laster missed Layup.,23,23
3:22,2241,DJ Laster Offensive Rebound.,23,23
3:18,2241,DJ Laster made Layup.,25,23
2:56,2241,Foul on DJ Laster.,25,23
2:56,2116,Official TV Timeout,25,23
2:56,2116,Ceasar DeJesus made Free Throw.,25,24
2:56,2116,Ceasar DeJesus made Free Throw.,25,25
2:30,2241,David Efianayi missed Three Point Jumper.,25,25
2:30,2116,Terrell Allen Defensive Rebound.,25,25
1:55,2116,Terrell Allen made Three Point Jumper. Assisted by Chad Brown.,25,28
1:31,2241,Brandon Miller made Layup. Assisted by Nate Johnson.,27,28
1:31,2116,Foul on Chad Brown.,27,28
1:30,2241,Brandon Miller made Free Throw.,28,28
1:10,2116,Chance McSpadden made Three Point Jumper. Assisted by Terrell Allen.,28,31
0:51,2241,Liam O'Reilly Turnover.,28,31
0:31,2116,Chance McSpadden missed Three Point Jumper.,28,31
0:31,2116,Chad Brown Offensive Rebound.,28,31
0:28,2241,Foul on DJ Laster.,28,31
0:28,2116,Chad Brown missed Free Throw.,28,31
0:28,2116,UCF Deadball Team Rebound.,28,31
0:28,2116,Chad Brown missed Free Throw.,28,31
0:28,2241,Eric Jamison Defensive Rebound.,28,31
0:04,2241,Eric Jamison missed Three Point Jumper.,28,31
0:04,2116,Chance McSpadden Defensive Rebound.,28,31
0:00,2116,End of 1st half,28,31
19:48,2116,Ceasar DeJesus Turnover.,28,31
19:47,2241,Christian Turner Steal.,28,31
19:43,2241,DJ Laster missed Layup.,28,31
19:43,2116,A.J. Davis Defensive Rebound.,28,31
19:32,2116,A.J. Davis missed Three Point Jumper.,28,31
19:32,2116,Chad Brown Offensive Rebound.,28,31
19:28,2116,Dayon Griffin missed Three Point Jumper.,28,31
19:28,2241,Jamaal Robateau Defensive Rebound.,28,31
19:04,2241,DJ Laster made Layup.,30,31
18:34,2116,Terrell Allen made Layup.,30,33
18:34,2241,Foul on Christian Turner.,30,33
18:34,2116,Terrell Allen missed Free Throw.,30,33
18:34,2241,L'Hassane Niangane Defensive Rebound.,30,33
18:15,2241,DJ Laster missed Layup.,30,33
18:15,2116,Chad Brown Defensive Rebound.,30,33
18:03,2116,Ceasar DeJesus missed Layup.,30,33
18:03,2116,Chad Brown Offensive Rebound.,30,33
18:02,2241,Foul on L'Hassane Niangane.,30,33
17:46,2116,Ceasar DeJesus missed Layup.,30,33
17:46,2241,DJ Laster Defensive Rebound.,30,33
17:22,2241,DJ Laster missed Layup.,30,33
17:22,2116,A.J. Davis Defensive Rebound.,30,33
17:10,2116,A.J. Davis Turnover.,30,33
16:45,2241,DJ Laster made Jumper.,32,33
16:24,2116,Dayon Griffin made Layup.,32,35
16:03,2241,DJ Laster missed Layup.,32,35
16:03,2116,Chad Brown Defensive Rebound.,32,35
15:53,2116,Ceasar DeJesus missed Three Point Jumper.,32,35
15:53,2241,Jamaal Robateau Defensive Rebound.,32,35
15:40,2241,DJ Laster made Layup.,34,35
15:21,2116,A.J. Davis made Dunk. Assisted by Terrell Allen.,34,37
15:07,2116,Foul on Chad Brown.,34,37
15:06,2116,Official TV Timeout,34,37
15:05,2241,David Efianayi made Free Throw.,35,37
15:05,2241,David Efianayi made Free Throw.,36,37
14:46,2116,Myles Douglas Turnover.,36,37
14:34,2241,David Efianayi made Three Point Jumper. Assisted by Jaheam Cornwall.,39,37
14:11,2241,Foul on Brandon Miller.,39,37
14:11,2116,Chad Brown made Free Throw.,39,38
14:11,2116,Chad Brown made Free Throw.,39,39
13:51,2116,Foul on Dayon Griffin.,39,39
13:51,2241,L'Hassane Niangane missed Free Throw.,39,39
13:51,2241,Gardner-Webb Deadball Team Rebound.,39,39
13:51,2241,L'Hassane Niangane made Free Throw.,40,39
13:39,2241,Foul on David Efianayi.,40,39
13:39,2116,Chance McSpadden missed Free Throw.,40,39
13:39,2116,UCF Deadball Team Rebound.,40,39
13:39,2116,Chance McSpadden made Free Throw.,40,40
13:22,2241,Liam O'Reilly made Three Point Jumper. Assisted by David Efianayi.,43,40
13:11,2116,Ceasar DeJesus missed Layup.,43,40
13:11,2116,A.J. Davis Offensive Rebound.,43,40
13:08,2116,A.J. Davis made Layup.,43,42
12:53,2241,David Efianayi made Dunk. Assisted by Liam O'Reilly.,45,42
12:35,2116,Myles Douglas Turnover.,45,42
12:12,2241,DJ Laster missed Jumper.,45,42
12:12,2116,Myles Douglas Defensive Rebound.,45,42
12:02,2116,Dayon Griffin missed Layup.,45,42
12:02,2116,Dayon Griffin Offensive Rebound.,45,42
11:59,2116,Dayon Griffin missed Layup.,45,42
11:59,2116,Dayon Griffin Offensive Rebound.,45,42
11:58,2116,Dayon Griffin made Layup.,45,44
11:58,2241,Foul on Liam O'Reilly.,45,44
11:58,2116,Official TV Timeout,45,44
11:58,2116,Dayon Griffin made Free Throw.,45,45
11:43,2241,Jaheam Cornwall missed Jumper.,45,45
11:43,2116,Dayon Griffin Defensive Rebound.,45,45
11:36,2116,Dayon Griffin Turnover.,45,45
11:18,2241,Jaheam Cornwall missed Layup.,45,45
11:18,2116,A.J. Davis Block.,45,45
11:17,2116,A.J. Davis Defensive Rebound.,45,45
11:06,2241,Foul on Liam O'Reilly.,45,45
11:02,2116,Dayon Griffin made Layup.,45,47
10:34,2241,Jamaal Robateau Turnover.,45,47
10:33,2116,Terrell Allen Steal.,45,47
10:31,2116,Terrell Allen made Layup.,45,49
10:21,2241,Gardner-Webb  Timeout,45,49
10:16,2241,DJ Laster missed Layup.,45,49
10:16,2116,Chance McSpadden Defensive Rebound.,45,49
10:03,2241,Foul on David Efianayi.,45,49
10:03,2116,Dayon Griffin made Free Throw.,45,50
10:03,2116,Dayon Griffin missed Free Throw.,45,50
10:03,2241,L'Hassane Niangane Defensive Rebound.,45,50
9:44,2241,Jamaal Robateau made Three Point Jumper. Assisted by David Efianayi.,48,50
9:24,2116,Myles Douglas made Layup. Assisted by A.J. Davis.,48,52
9:08,2241,David Efianayi missed Layup.,48,52
9:08,2116,A.J. Davis Block.,48,52
9:06,2241,L'Hassane Niangane Offensive Rebound.,48,52
9:04,2241,DJ Laster missed Layup.,48,52
9:04,2116,A.J. Davis Defensive Rebound.,48,52
8:48,2116,Dayon Griffin made Layup.,48,54
8:30,2116,Foul on A.J. Davis.,48,54
8:28,2241,L'Hassane Niangane Turnover.,48,54
8:27,2116,Chance McSpadden Steal.,48,54
8:20,2241,Foul on L'Hassane Niangane.,48,54
8:20,2116,A.J. Davis made Free Throw.,48,55
8:20,2116,A.J. Davis made Free Throw.,48,56
7:58,2241,Eric Jamison missed Layup.,48,56
7:58,2116,Chad Brown Block.,48,56
7:55,2116,Chad Brown Defensive Rebound.,48,56
7:38,2116,Chance McSpadden missed Three Point Jumper.,48,56
7:38,2116,Chad Brown Offensive Rebound.,48,56
