NC Wesleyan,Error,UNC Greensboro,2430
time,team_id,description,h_score,a_score
19:51,2430,James Dickey made Dunk. Assisted by Demetrius Troy.,0,2
19:19,-1,Robert Wilson missed Jumper.,0,2
19:19,2430,Francis Alonso Defensive Rebound.,0,2
18:58,2430,Francis Alonso made Layup.,0,4
18:38,-1,Justin Tankelewicz missed Three Point Jumper.,0,4
18:38,2430,UNC Greensboro Defensive Rebound.,0,4
18:24,-1,Foul on A.J. Frye.,0,4
18:24,2430,James Dickey made Free Throw.,0,5
18:24,2430,James Dickey made Free Throw.,0,6
18:15,2430,Foul on James Dickey.,0,6
18:15,-1,Adrian Moore missed Free Throw.,0,6
18:15,-1,NC Wesleyan Deadball Team Rebound.,0,6
18:15,-1,Adrian Moore missed Free Throw.,0,6
18:15,2430,James Dickey Defensive Rebound.,0,6
18:04,2430,Demetrius Troy missed Three Point Jumper.,0,6
18:04,-1,Adrian Moore Defensive Rebound.,0,6
17:57,-1,A.J. Frye missed Layup.,0,6
17:57,2430,James Dickey Block.,0,6
17:56,-1,NC Wesleyan Offensive Rebound.,0,6
17:52,2430,Foul on Francis Alonso.,0,6
17:52,-1,Justin Tankelewicz missed Free Throw.,0,6
17:52,-1,NC Wesleyan Deadball Team Rebound.,0,6
17:52,-1,Justin Tankelewicz made Free Throw.,1,6
17:40,2430,Marvin Smith made Jumper.,1,8
17:12,-1,Chris Braswell missed Three Point Jumper.,1,8
17:12,2430,James Dickey Defensive Rebound.,1,8
17:03,2430,Marvin Smith missed Three Point Jumper.,1,8
17:03,-1,Adrian Moore Defensive Rebound.,1,8
16:56,-1,Adrian Moore made Layup.,3,8
16:46,2430,Jordy Kuiper made Three Point Jumper. Assisted by Marvin Smith.,3,11
16:22,-1,Adrian Moore made Jumper.,5,11
16:05,2430,James Dickey made Layup.,5,13
15:48,-1,Adrian Moore Turnover.,5,13
15:48,2430,Official TV Timeout,5,13
15:40,2430,Marvin Smith missed Three Point Jumper.,5,13
15:40,-1,NC Wesleyan Defensive Rebound.,5,13
15:19,-1,Justin Tankelewicz missed Three Point Jumper.,5,13
15:19,-1,Adrian Moore Offensive Rebound.,5,13
15:16,-1,Malique Judd made Layup.,7,13
14:57,-1,Foul on Ricardo Bullock.,7,13
14:49,2430,Malik Massey missed Three Point Jumper.,7,13
14:49,2430,Kyrin Galloway Offensive Rebound.,7,13
14:44,2430,Kyrin Galloway made Dunk.,7,15
14:19,-1,Chris Braswell made Jumper.,9,15
14:04,2430,Jordy Kuiper made Layup. Assisted by Marvin Smith.,9,17
13:44,-1,Adrian Moore made Layup.,11,17
13:28,2430,Jordy Kuiper Turnover.,11,17
13:26,-1,Chris Braswell Steal.,11,17
13:22,-1,Malique Judd missed Layup.,11,17
13:22,2430,Kyrin Galloway Block.,11,17
13:19,-1,Chris Braswell Offensive Rebound.,11,17
13:15,-1,Chris Braswell missed Three Point Jumper.,11,17
13:15,2430,Marvin Smith Defensive Rebound.,11,17
13:05,2430,Kyrin Galloway made Layup. Assisted by Malik Massey.,11,19
12:36,-1,Adrian Moore made Layup.,13,19
12:20,2430,Malik Massey Turnover.,13,19
12:19,-1,Chris Braswell Steal.,13,19
12:13,-1,Malique Judd missed Three Point Jumper.,13,19
12:13,-1,Justin Tankelewicz Offensive Rebound.,13,19
12:07,-1,Justin Tankelewicz missed Three Point Jumper.,13,19
12:07,2430,Francis Alonso Block.,13,19
12:05,2430,Jordy Kuiper Defensive Rebound.,13,19
11:55,2430,Marvin Smith missed Three Point Jumper.,13,19
11:55,-1,Ricardo Bullock Defensive Rebound.,13,19
11:35,-1,Adrian Moore missed Jumper.,13,19
11:35,2430,Jordy Kuiper Defensive Rebound.,13,19
