UT Rio Grande Valley,357,Texas A&amp;M-CC,292
time,team_id,description,h_score,a_score
19:37,292,Nick Dixon missed Three Point Jumper.,0,0
19:37,357,Sean Rhea Defensive Rebound.,0,0
19:06,357,Myles Smith missed Three Point Jumper.,0,0
19:06,292,Xavier McDaniel Jr. Defensive Rebound.,0,0
18:50,292,Xavier McDaniel Jr. missed Three Point Jumper.,0,0
18:50,357,Joseph Kilgore Defensive Rebound.,0,0
18:40,357,Myles Smith made Three Point Jumper. Assisted by Joseph Kilgore.,0,3
18:28,292,Moe McDonald made Three Point Jumper. Assisted by Xavier McDaniel Jr..,3,3
18:08,357,Sean Rhea missed Jumper.,3,3
18:08,292,Xavier McDaniel Jr. Defensive Rebound.,3,3
18:02,292,UT Rio Grande Valley  Turnover.,3,3
17:45,292,Foul on Dan Kimasa.,3,3
17:45,357,Kareem South made Free Throw.,3,4
17:45,357,Kareem South made Free Throw.,3,5
17:38,292,Xavier McDaniel Jr. made Three Point Jumper. Assisted by Nick Dixon.,6,5
16:58,357,Kareem South missed Three Point Jumper.,6,5
16:58,292,Nick Dixon Block.,6,5
16:58,292,Xavier McDaniel Jr. Defensive Rebound.,6,5
16:28,292,Dan Kimasa missed Three Point Jumper.,6,5
16:28,357,Sean Rhea Block.,6,5
16:28,357,Elijah Schmidt Defensive Rebound.,6,5
16:06,357,Sean Rhea made Layup.,6,7
16:06,292,Foul on Dan Kimasa.,6,7
16:06,357,Sean Rhea missed Free Throw.,6,7
16:06,292,Nick Dixon Defensive Rebound.,6,7
15:57,357,Foul on Elijah Schmidt.,6,7
15:57,357,Official TV Timeout,6,7
15:57,292,Moe McDonald missed Free Throw.,6,7
15:57,292,UT Rio Grande Valley Deadball Team Rebound.,6,7
15:57,292,Moe McDonald made Free Throw.,7,7
15:24,357,Perry Francois Turnover.,7,7
15:22,292,Greg Bowie Steal.,7,7
15:19,292,Greg Bowie Turnover.,7,7
15:03,357,Elijah Schmidt Turnover.,7,7
14:46,292,Lew Stallworth missed Three Point Jumper.,7,7
14:46,357,Kyle Brown Defensive Rebound.,7,7
14:25,357,Perry Francois made Jumper.,7,9
14:14,357,Foul on Kyle Brown.,7,9
14:02,292,Greg Bowie made Three Point Jumper. Assisted by Lew Stallworth.,10,9
13:41,357,Perry Francois missed Layup.,10,9
13:41,292,Greg Bowie Defensive Rebound.,10,9
13:36,292,Jordan Jackson missed Three Point Jumper.,10,9
13:36,357,Perry Francois Defensive Rebound.,10,9
13:30,292,Foul on Adonis Rwabigwi.,10,9
13:07,357,Perry Francois missed Layup.,10,9
13:07,357,Colin Hale Offensive Rebound.,10,9
13:03,357,Colin Hale made Layup.,10,11
12:36,292,Lew Stallworth missed Three Point Jumper.,10,11
12:36,357,Colin Hale Defensive Rebound.,10,11
12:28,292,Foul on Lesley Varner Jr..,10,11
12:28,357,Joseph Kilgore missed Free Throw.,10,11
12:28,357,Texas A&M-CC Deadball Team Rebound.,10,11
12:28,357,Joseph Kilgore made Free Throw.,10,12
12:18,292,Adonis Rwabigwi missed Layup.,10,12
12:18,357,Joseph Kilgore Defensive Rebound.,10,12
12:07,357,Sean Rhea Turnover.,10,12
11:49,292,Greg Bowie made Three Point Jumper. Assisted by Lew Stallworth.,13,12
11:23,292,Foul on Jordan Jackson.,13,12
11:23,357,Official TV Timeout,13,12
11:02,357,Myles Smith missed Three Point Jumper.,13,12
11:02,357,Sean Rhea Offensive Rebound.,13,12
11:02,292,Foul on Mike Hoffman.,13,12
11:02,357,Sean Rhea missed Free Throw.,13,12
11:02,357,Texas A&M-CC Deadball Team Rebound.,13,12
11:02,357,Sean Rhea made Free Throw.,13,13
10:44,292,Nick Dixon missed Three Point Jumper.,13,13
10:44,357,Joseph Kilgore Defensive Rebound.,13,13
10:22,357,Myles Smith Turnover.,13,13
10:20,292,Javon Levi Steal.,13,13
10:18,292,Javon Levi made Layup.,15,13
10:18,357,Foul on Kareem South.,15,13
10:18,292,Javon Levi made Free Throw.,16,13
9:49,357,Kareem South made Jumper.,16,15
9:35,292,Xavier McDaniel Jr. missed Three Point Jumper.,16,15
9:35,357,Elijah Schmidt Defensive Rebound.,16,15
9:25,357,Sean Rhea missed Layup.,16,15
9:25,292,Javon Levi Defensive Rebound.,16,15
9:25,357,Foul on Kareem South.,16,15
9:16,292,Foul on Xavier McDaniel Jr..,16,15
9:16,292,Xavier McDaniel Jr. Turnover.,16,15
8:53,357,Sean Rhea missed Layup.,16,15
8:53,292,Lesley Varner Jr. Defensive Rebound.,16,15
8:45,292,Javon Levi missed Layup.,16,15
8:45,357,Sean Rhea Defensive Rebound.,16,15
8:34,357,Elijah Schmidt Turnover.,16,15
8:32,292,Nick Dixon Steal.,16,15
8:30,357,Foul on Elijah Schmidt.,16,15
8:30,292,Nick Dixon made Free Throw.,17,15
8:30,292,Nick Dixon missed Free Throw.,17,15
8:30,357,Sean Rhea Defensive Rebound.,17,15
8:12,357,Tre Gray Turnover.,17,15
8:10,292,Lesley Varner Jr. Steal.,17,15
8:06,357,Foul on Perry Francois.,17,15
8:04,292,Mike Hoffman made Layup. Assisted by Lew Stallworth.,19,15
8:04,357,Foul on Perry Francois.,19,15
8:04,292,Mike Hoffman made Free Throw.,20,15
7:55,357,Myles Smith missed Layup.,20,15
7:55,357,York Benjamin Offensive Rebound.,20,15
7:49,357,Tre Gray made Three Point Jumper. Assisted by Myles Smith.,20,18
7:33,292,Jordan Jackson made Layup.,22,18
7:33,357,Foul on York Benjamin.,22,18
7:33,292,Jordan Jackson missed Free Throw.,22,18
7:33,357,York Benjamin Defensive Rebound.,22,18
7:25,357,Joseph Kilgore missed Jumper.,22,18
7:25,357,York Benjamin Offensive Rebound.,22,18
7:21,357,York Benjamin missed Layup.,22,18
7:21,292,Xavier McDaniel Jr. Block.,22,18
7:21,292,Xavier McDaniel Jr. Defensive Rebound.,22,18
7:19,357,Foul on York Benjamin.,22,18
7:16,292,Xavier McDaniel Jr. missed Free Throw.,22,18
7:16,357,Sean Rhea Defensive Rebound.,22,18
7:03,357,Myles Smith missed Jumper.,22,18
7:03,292,Lew Stallworth Defensive Rebound.,22,18
6:45,292,Xavier McDaniel Jr. made Jumper. Assisted by Jordan Jackson.,24,18
6:17,357,York Benjamin missed Three Point Jumper.,24,18
6:17,292,Xavier McDaniel Jr. Defensive Rebound.,24,18
6:10,292,Greg Bowie missed Three Point Jumper.,24,18
6:10,357,Myles Smith Defensive Rebound.,24,18
6:04,357,Tre Gray made Jumper.,24,20
5:36,357,Foul on Joseph Kilgore.,24,20
5:34,292,Xavier McDaniel Jr. made Free Throw.,25,20
5:34,292,Xavier McDaniel Jr. made Free Throw.,26,20
5:19,357,York Benjamin Turnover.,26,20
5:17,292,Greg Bowie Steal.,26,20
5:14,292,Nick Dixon made Layup.,28,20
5:13,292,Nick Dixon made Free Throw.,29,20
5:13,357,Foul on York Benjamin.,29,20
5:04,357,Joseph Kilgore made Jumper.,29,22
4:55,357,Foul on Colin Hale.,29,22
4:55,292,Nick Dixon made Free Throw.,30,22
4:55,292,Nick Dixon made Free Throw.,31,22
4:33,357,Kareem South Turnover.,31,22
4:23,292,Nick Dixon missed Jumper.,31,22
4:23,357,Joseph Kilgore Defensive Rebound.,31,22
4:13,357,Tre Gray made Three Point Jumper. Assisted by Colin Hale.,31,25
3:58,292,Moe McDonald missed Three Point Jumper.,31,25
3:58,357,Joseph Kilgore Defensive Rebound.,31,25
3:47,357,Joseph Kilgore made Jumper.,31,27
3:26,357,Foul on Tre Gray.,31,27
3:26,357,Official TV Timeout,31,27
3:23,292,Nick Dixon made Free Throw.,32,27
3:23,292,Nick Dixon made Free Throw.,33,27
3:09,357,Joseph Kilgore made Jumper. Assisted by Kareem South.,33,29
2:47,292,Foul on Adonis Rwabigwi.,33,29
2:47,292,Adonis Rwabigwi Turnover.,33,29
2:23,357,Colin Hale Turnover.,33,29
2:13,292,Mike Hoffman Turnover.,33,29
1:53,357,Joseph Kilgore made Jumper.,33,31
1:32,292,Nick Dixon made Layup.,35,31
1:10,292,Foul on Mike Hoffman.,35,31
1:10,357,Sean Rhea made Free Throw.,35,32
1:10,357,Sean Rhea made Free Throw.,35,33
0:53,357,Foul on Tre Gray.,35,33
0:53,292,Lesley Varner Jr. made Free Throw.,36,33
0:53,292,Lesley Varner Jr. missed Free Throw.,36,33
0:53,292,UT Rio Grande Valley Offensive Rebound.,36,33
0:36,292,Nick Dixon made Layup.,38,33
0:04,292,Foul on Lesley Varner Jr..,38,33
0:04,357,Joseph Kilgore missed Free Throw.,38,33
0:04,357,Texas A&M-CC Deadball Team Rebound.,38,33
0:04,357,Joseph Kilgore made Free Throw.,38,34
0:01,357,Foul on Colin Hale.,38,34
0:01,292,Nick Dixon made Free Throw.,39,34
0:01,292,Nick Dixon made Free Throw.,40,34
0:01,292,Nick Dixon missed Free Throw.,40,34
0:01,357,Sean Rhea Defensive Rebound.,40,34
0:00,357,End of 1st half,38,34
19:35,292,Nick Dixon missed Layup.,40,34
19:35,357,Joseph Kilgore Defensive Rebound.,40,34
19:20,357,Kareem South made Three Point Jumper. Assisted by Sean Rhea.,40,37
19:03,357,Foul on Myles Smith.,40,37
18:47,357,Foul on Elijah Schmidt.,40,37
18:31,292,Moe McDonald Turnover.,40,37
18:29,357,Kareem South Steal.,40,37
18:23,292,Foul on Lesley Varner Jr..,40,37
18:19,357,Joseph Kilgore made Jumper.,40,39
17:59,292,Foul on Moe McDonald.,40,39
17:59,292,Moe McDonald Turnover.,40,39
17:42,357,Myles Smith missed Layup.,40,39
17:42,292,Dan Kimasa Block.,40,39
17:42,357,Myles Smith Offensive Rebound.,40,39
17:35,357,Myles Smith missed Jumper.,40,39
17:35,357,Texas A&M-CC Offensive Rebound.,40,39
17:30,357,Perry Francois made Dunk. Assisted by Myles Smith.,40,41
17:23,357,Official TV Timeout,40,41
17:23,292,UT Rio Grande Valley  Timeout,40,41
17:02,292,Greg Bowie Turnover.,40,41
17:01,357,Myles Smith Steal.,40,41
16:56,357,Perry Francois missed Layup.,40,41
16:56,292,Xavier McDaniel Jr. Defensive Rebound.,40,41
16:50,357,Foul on Joseph Kilgore.,40,41
16:50,292,Nick Dixon made Free Throw.,41,41
16:50,292,Nick Dixon made Free Throw.,42,41
16:43,357,Sean Rhea Turnover.,42,41
16:29,292,Nick Dixon Turnover.,42,41
16:17,357,Kareem South missed Jumper.,42,41
16:17,292,Lew Stallworth Defensive Rebound.,42,41
16:06,292,Xavier McDaniel Jr. made Layup.,44,41
15:47,357,Sean Rhea Turnover.,44,41
15:47,357,Official TV Timeout,44,41
15:31,292,Greg Bowie Turnover.,44,41
15:07,357,Myles Smith made Three Point Jumper. Assisted by Kareem South.,44,44
15:05,292,Foul on Mike Hoffman.,44,44
15:05,357,Myles Smith missed Free Throw.,44,44
15:05,292,Xavier McDaniel Jr. Defensive Rebound.,44,44
14:51,292,Lew Stallworth Turnover.,44,44
14:22,357,Joseph Kilgore made Three Point Jumper. Assisted by Myles Smith.,44,47
14:05,292,Xavier McDaniel Jr. made Three Point Jumper. Assisted by Lew Stallworth.,47,47
13:41,357,Colin Hale missed Three Point Jumper.,47,47
13:41,292,Jordan Jackson Defensive Rebound.,47,47
13:32,292,Jordan Jackson missed Layup.,47,47
13:32,357,Myles Smith Defensive Rebound.,47,47
13:01,357,Sean Rhea made Dunk. Assisted by Kareem South.,47,49
12:49,292,Jordan Jackson missed Three Point Jumper.,47,49
12:49,292,Xavier McDaniel Jr. Offensive Rebound.,47,49
12:44,357,Foul on Sean Rhea.,47,49
12:44,292,Xavier McDaniel Jr. made Free Throw.,48,49
12:44,292,Xavier McDaniel Jr. made Free Throw.,49,49
12:24,292,Foul on Lew Stallworth.,49,49
12:15,292,Foul on Jordan Jackson.,49,49
12:04,292,Foul on Xavier McDaniel Jr..,49,49
12:04,357,Joseph Kilgore made Free Throw.,49,50
12:04,357,Joseph Kilgore made Free Throw.,49,51
11:49,292,Jordan Jackson missed Layup.,49,51
11:49,292,Javon Levi Offensive Rebound.,49,51
11:46,357,Official TV Timeout,49,51
11:35,292,Xavier McDaniel Jr. missed Three Point Jumper.,49,51
11:35,357,Jamell Bradley Defensive Rebound.,49,51
11:29,357,Jamell Bradley Turnover.,49,51
11:28,292,Jordan Jackson Steal.,49,51
11:26,357,Foul on Jamell Bradley.,49,51
11:26,292,Nick Dixon made Free Throw.,50,51
11:26,292,Nick Dixon made Free Throw.,51,51
11:18,357,Colin Hale Turnover.,51,51
11:16,292,Xavier McDaniel Jr. Steal.,51,51
11:11,292,Moe McDonald missed Three Point Jumper.,51,51
11:11,357,Jamell Bradley Defensive Rebound.,51,51
10:39,357,Sean Rhea missed Jumper.,51,51
10:39,292,Xavier McDaniel Jr. Defensive Rebound.,51,51
10:36,357,Foul on Colin Hale.,51,51
10:13,292,Javon Levi missed Three Point Jumper.,51,51
10:13,292,Xavier McDaniel Jr. Offensive Rebound.,51,51
10:02,292,Moe McDonald Turnover.,51,51
10:02,292,Foul on Moe McDonald.,51,51
9:40,357,Joseph Kilgore missed Three Point Jumper.,51,51
9:40,357,Sean Rhea Offensive Rebound.,51,51
9:34,357,Sean Rhea Turnover.,51,51
9:32,292,Adonis Rwabigwi Steal.,51,51
9:27,292,Nick Dixon missed Layup.,51,51
9:27,357,Sean Rhea Block.,51,51
9:27,357,Kareem South Defensive Rebound.,51,51
9:19,292,Foul on Adonis Rwabigwi.,51,51
9:19,357,Sean Rhea missed Free Throw.,51,51
9:19,357,Texas A&M-CC Deadball Team Rebound.,51,51
9:19,357,Sean Rhea made Free Throw.,51,52
9:10,292,Lesley Varner Jr. missed Three Point Jumper.,51,52
9:10,357,Joseph Kilgore Defensive Rebound.,51,52
9:00,292,Foul on Adonis Rwabigwi.,51,52
9:00,357,Sean Rhea missed Free Throw.,51,52
