North Carolina Central,2630,Tenn-Martin,2428
time,team_id,description,h_score,a_score
19:44,2630,Darius Thompson made Three Point Jumper. Assisted by Matthew Butler.,0,3
19:12,2428,C.J. Wiggins made Three Point Jumper.,3,3
18:59,2630,Matthew Butler made Jumper.,3,5
18:41,2428,Raasean Davis made Dunk. Assisted by C.J. Wiggins.,5,5
18:28,2630,Dominique Williams made Jumper. Assisted by Matthew Butler.,5,7
18:04,2428,Zacarry Douglas Turnover.,5,7
17:48,2630,Matthew Butler missed Three Point Jumper.,5,7
17:48,2428,Brandon Goldsmith Defensive Rebound.,5,7
17:31,2428,C.J. Wiggins made Jumper.,7,7
17:16,2630,Dominique Williams Turnover.,7,7
16:53,2428,Brandon Goldsmith missed Jumper.,7,7
16:53,2428,Raasean Davis Offensive Rebound.,7,7
16:51,2428,Raasean Davis made Dunk.,9,7
16:34,2630,Matthew Butler missed Jumper.,9,7
16:34,2428,Raasean Davis Block.,9,7
16:33,2428,Brandon Goldsmith Defensive Rebound.,9,7
16:33,2428,Brandon Goldsmith Turnover.,9,7
16:27,2630,Darius Thompson made Three Point Jumper. Assisted by DelFincko Bogan.,9,10
16:07,2428,Raasean Davis missed Jumper.,9,10
16:07,2630,Fatodd Lewis Defensive Rebound.,9,10
15:49,2630,Fatodd Lewis made Jumper.,9,12
15:36,2428,Raasean Davis missed Jumper.,9,12
15:36,2428,Raasean Davis Offensive Rebound.,9,12
15:33,2428,Raasean Davis made Layup.,11,12
15:23,2428,Foul on Reginald Gardner Jr.,11,12
15:23,2630,Official TV Timeout,11,12
15:23,2630,Fatodd Lewis missed Free Throw.,11,12
15:23,2630,UT Martin Deadball Team Rebound.,11,12
15:23,2630,Fatodd Lewis made Free Throw.,11,13
15:08,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by C.J. Wiggins.,14,13
14:51,2630,Fatodd Lewis missed Jumper.,14,13
14:51,2428,Brandon Goldsmith Defensive Rebound.,14,13
14:37,2428,C.J. Wiggins missed Three Point Jumper.,14,13
14:37,2630,DelFincko Bogan Defensive Rebound.,14,13
14:24,2428,Foul on Raasean Davis.,14,13
14:18,2630,Matthew Butler missed Three Point Jumper.,14,13
14:18,2630,Dominique Williams Offensive Rebound.,14,13
14:13,2630,DelFincko Bogan Turnover.,14,13
14:11,2428,C.J. Wiggins Steal.,14,13
14:09,2428,C.J. Wiggins Turnover.,14,13
14:09,2630,DelFincko Bogan Steal.,14,13
13:57,2630,DelFincko Bogan missed Jumper.,14,13
13:57,2630,Jailen Gill Offensive Rebound.,14,13
13:38,2630,Jailen Gill made Dunk. Assisted by Matthew Butler.,14,15
13:06,2428,Dominique Reid missed Jumper.,14,15
13:06,2630,Jailen Gill Defensive Rebound.,14,15
12:58,2630,Matthew Butler made Three Point Jumper.,14,18
12:30,2428,Pablo Rivas missed Jumper.,14,18
12:30,2630,Jailen Gill Block.,14,18
12:28,2428,North Carolina Central Offensive Rebound.,14,18
