Le Tourneau,Error,Stephen F. Austin,2617
time,team_id,description,h_score,a_score
19:46,2617,Aaron Augustin missed Three Point Jumper.,0,0
19:46,2326,Le Tourneau Defensive Rebound.,0,0
19:44,2617,Foul on TJ Holyfield.,0,0
19:25,2326,Caylab Herrera made Three Point Jumper. Assisted by Caleb Loggins.,3,0
19:05,2326,Foul on Alec Colhoff.,3,0
19:05,2617,Kevon Harris made Free Throw.,3,1
19:05,2617,Kevon Harris made Free Throw.,3,2
18:50,2326,Caleb Loggins missed Layup.,3,2
18:50,2617,Aaron Augustin Defensive Rebound.,3,2
18:41,2617,Aaron Augustin Turnover.,3,2
18:39,2326,Caleb Loggins Steal.,3,2
18:35,2326,Alec Colhoff missed Three Point Jumper.,3,2
18:35,2617,Leon Gilmore III Defensive Rebound.,3,2
18:27,2617,Aaron Augustin made Layup.,3,4
18:12,2326,Caylab Herrera Turnover.,3,4
17:50,2617,Kevon Harris made Three Point Jumper. Assisted by TJ Holyfield.,3,7
17:40,2326,Nate West missed Three Point Jumper.,3,7
17:40,2617,Kevon Harris Defensive Rebound.,3,7
17:23,2617,Leon Gilmore III missed Layup.,3,7
17:23,2326,Caylab Herrera Defensive Rebound.,3,7
17:17,2326,Nate West missed Three Point Jumper.,3,7
17:17,2617,Aaron Augustin Defensive Rebound.,3,7
16:53,2617,Kevon Harris Turnover.,3,7
16:51,2326,Caleb Loggins Steal.,3,7
16:46,2326,Justin Moore missed Jumper.,3,7
16:46,2326,Caylab Herrera Offensive Rebound.,3,7
16:32,2326,Alec Colhoff made Three Point Jumper. Assisted by Nate West.,6,7
16:20,2617,Aaron Augustin made Jumper.,6,9
16:07,2326,Alec Colhoff Turnover.,6,9
16:04,2617,Shannon Bogues Steal.,6,9
16:02,2617,Shannon Bogues made Dunk.,6,11
15:49,2326,Justin Moore made Layup.,8,11
15:49,2617,Foul on Samuli Nieminen.,8,11
15:48,2617,Official TV Timeout,8,11
15:48,2326,Justin Moore made Free Throw.,9,11
15:37,2326,Foul on Christian Seidl.,9,11
15:37,2617,Samuli Nieminen made Free Throw.,9,12
