Northern Colorado,2492,Pepperdine,2458
time,team_id,description,h_score,a_score
19:41,2492,Colbey Ross missed Jumper.,0,0
19:41,2458,Andre Spight Defensive Rebound.,0,0
19:12,2458,Jalen Sanders missed Three Point Jumper.,0,0
19:12,2492,Jade' Smith Defensive Rebound.,0,0
18:57,2492,Trae Berhow missed Three Point Jumper.,0,0
18:57,2458,Jonah Radebaugh Defensive Rebound.,0,0
18:47,2458,Tanner Morgan made Three Point Jumper. Assisted by Andre Spight.,3,0
18:26,2492,Matthew Atewe missed Jumper.,3,0
18:26,2458,Andre Spight Defensive Rebound.,3,0
18:10,2458,Jonah Radebaugh missed Three Point Jumper.,3,0
18:10,2492,Jade' Smith Defensive Rebound.,3,0
18:03,2492,Jade' Smith missed Layup.,3,0
18:03,2458,Jordan Davis Block.,3,0
18:03,2492,Pepperdine Offensive Rebound.,3,0
17:53,2492,Matthew Atewe made Layup.,3,2
17:33,2458,Andre Spight made Jumper.,5,2
17:14,2492,Matthew Atewe missed Jumper.,5,2
17:14,2458,Jordan Davis Defensive Rebound.,5,2
16:59,2458,Andre Spight Turnover.,5,2
16:59,2458,Foul on Andre Spight.,5,2
16:45,2492,Matthew Atewe missed Jumper.,5,2
16:45,2458,Tanner Morgan Block.,5,2
16:45,2458,Tanner Morgan Defensive Rebound.,5,2
16:35,2458,Andre Spight made Three Point Jumper. Assisted by Jordan Davis.,8,2
16:18,2492,Colbey Ross missed Layup.,8,2
16:18,2492,Jade' Smith Offensive Rebound.,8,2
16:15,2492,Jade' Smith missed Jumper.,8,2
16:15,2458,Jonah Radebaugh Defensive Rebound.,8,2
16:06,2458,Jalen Sanders made Jumper. Assisted by Jordan Davis.,10,2
16:06,2492,Pepperdine  Timeout,10,2
15:50,2492,Kameron Edwards made Jumper. Assisted by Colbey Ross.,10,4
15:38,2458,Tanner Morgan missed Jumper.,10,4
15:38,2492,Nolan Taylor Defensive Rebound.,10,4
15:31,2492,Colbey Ross missed Jumper.,10,4
15:31,2458,Jalen Sanders Defensive Rebound.,10,4
15:21,2492,Foul on Colbey Ross.,10,4
15:21,2458,Anthony Johnson made Free Throw.,11,4
15:21,2458,Anthony Johnson missed Free Throw.,11,4
15:21,2458,Roberto Vercellino Offensive Rebound.,11,4
15:16,2458,Anthony Johnson missed Three Point Jumper.,11,4
15:16,2492,Jade' Smith Defensive Rebound.,11,4
15:09,2492,Nolan Taylor made Layup. Assisted by Colbey Ross.,11,6
14:51,2458,Roberto Vercellino missed Three Point Jumper.,11,6
14:51,2492,Trae Berhow Defensive Rebound.,11,6
14:47,2458,Foul on Jalen Sanders.,11,6
14:40,2492,Colbey Ross Turnover.,11,6
14:26,2458,Andre Spight made Layup.,13,6
14:13,2492,Kameron Edwards missed Three Point Jumper.,13,6
14:13,2458,Andre Spight Defensive Rebound.,13,6
13:51,2458,Andre Spight missed Jumper.,13,6
13:51,2492,Nolan Taylor Defensive Rebound.,13,6
13:40,2492,Kameron Edwards missed Jumper.,13,6
13:40,2458,Jalen Sanders Defensive Rebound.,13,6
13:33,2458,Anthony Johnson missed Three Point Jumper.,13,6
13:33,2492,Colbey Ross Defensive Rebound.,13,6
13:22,2492,Nolan Taylor missed Jumper.,13,6
13:22,2458,Andre Spight Defensive Rebound.,13,6
13:11,2458,Jonah Radebaugh missed Three Point Jumper.,13,6
13:11,2492,Nolan Taylor Defensive Rebound.,13,6
13:02,2492,Jade' Smith made Layup.,13,8
12:34,2458,Andre Spight made Three Point Jumper. Assisted by Jonah Radebaugh.,16,8
12:16,2492,Trae Berhow made Layup. Assisted by Jade' Smith.,16,10
11:57,2458,Andre Spight Turnover.,16,10
11:56,2492,Kameron Edwards Steal.,16,10
11:53,2492,Trae Berhow made Layup. Assisted by Kameron Edwards.,16,12
11:30,2458,Jalen Sanders made Jumper. Assisted by Jonah Radebaugh.,18,12
11:15,2492,Nolan Taylor missed Jumper.,18,12
11:15,2492,Kameron Edwards Offensive Rebound.,18,12
11:10,2492,Official TV Timeout,18,12
11:02,2458,Foul on Tanner Morgan.,18,12
10:51,2492,Trae Berhow made Jumper. Assisted by Nolan Taylor.,18,14
10:22,2458,Jonah Radebaugh missed Layup.,18,14
10:22,2492,Nolan Taylor Defensive Rebound.,18,14
10:14,2458,Foul on Chaz Glotta.,18,14
9:51,2492,Darnell Dunn made Jumper.,18,16
9:34,2492,Foul on Knox Hellums.,18,16
9:34,2458,Jordan Davis missed Free Throw.,18,16
9:34,2458,Northern Colorado Deadball Team Rebound.,18,16
9:34,2458,Jordan Davis made Free Throw.,19,16
9:16,2492,Jade' Smith missed Jumper.,19,16
9:16,2458,Jordan Davis Defensive Rebound.,19,16
9:03,2458,Foul on Chaz Glotta.,19,16
9:03,2458,Chaz Glotta Turnover.,19,16
8:55,2492,Darnell Dunn made Jumper.,19,18
8:34,2458,Jalen Sanders missed Three Point Jumper.,19,18
8:34,2492,Kameron Edwards Defensive Rebound.,19,18
8:18,2492,Knox Hellums missed Three Point Jumper.,19,18
8:18,2458,Andre Spight Defensive Rebound.,19,18
8:11,2492,Foul on Knox Hellums.,19,18
8:11,2458,Jordan Davis missed Free Throw.,19,18
8:11,2458,Northern Colorado Deadball Team Rebound.,19,18
8:11,2458,Jordan Davis made Free Throw.,20,18
8:02,2492,Jade' Smith Turnover.,20,18
8:01,2458,Jordan Davis Steal.,20,18
7:59,2458,Jordan Davis made Layup.,22,18
7:59,2492,Foul on Jade' Smith.,22,18
7:59,2492,Official TV Timeout,22,18
7:58,2458,Jordan Davis made Free Throw.,23,18
7:58,2492,Official TV Timeout,22,18
7:39,2492,Matthew Atewe Turnover.,23,18
7:37,2458,Andre Spight Steal.,23,18
7:30,2458,Matej Drgon missed Jumper.,23,18
7:30,2492,Kameron Edwards Defensive Rebound.,23,18
7:23,2492,Jade' Smith missed Three Point Jumper.,23,18
7:23,2458,Andre Spight Defensive Rebound.,23,18
7:13,2458,Andre Spight missed Three Point Jumper.,23,18
7:13,2492,Trae Berhow Defensive Rebound.,23,18
7:01,2492,Kameron Edwards missed Jumper.,23,18
7:01,2492,Kameron Edwards Offensive Rebound.,23,18
6:54,2492,Kameron Edwards missed Jumper.,23,18
6:54,2492,Matthew Atewe Offensive Rebound.,23,18
6:53,2458,Foul on Jordan Davis.,23,18
6:43,2458,Foul on Anthony Johnson.,23,18
6:43,2492,Darnell Dunn missed Free Throw.,23,18
6:43,2492,Pepperdine Deadball Team Rebound.,23,18
6:43,2492,Darnell Dunn made Free Throw.,23,19
6:28,2458,Jordan Davis made Layup.,25,19
6:01,2492,Kameron Edwards missed Layup.,25,19
6:01,2492,Matthew Atewe Offensive Rebound.,25,19
5:58,2492,Matthew Atewe made Layup.,25,21
5:45,2492,Foul on Matthew Atewe.,25,21
5:32,2492,Foul on Darnell Dunn.,25,21
5:32,2458,Andre Spight made Free Throw.,26,21
5:32,2458,Andre Spight made Free Throw.,27,21
5:07,2492,Matthew Atewe made Layup. Assisted by Colbey Ross.,27,23
4:48,2458,Tanner Morgan missed Three Point Jumper.,27,23
4:48,2492,Trae Berhow Defensive Rebound.,27,23
4:47,2458,Foul on Jalen Sanders.,27,23
4:47,2492,Trae Berhow made Free Throw.,27,24
4:47,2492,Trae Berhow made Free Throw.,27,25
4:16,2458,Northern Colorado  Turnover.,27,25
3:59,2492,Trae Berhow missed Jumper.,27,25
3:59,2458,Anthony Johnson Defensive Rebound.,27,25
3:46,2458,Jonah Radebaugh missed Three Point Jumper.,27,25
3:46,2458,Anthony Johnson Offensive Rebound.,27,25
3:35,2458,Foul on Tanner Morgan.,27,25
3:35,2458,Tanner Morgan Turnover.,27,25
3:35,2492,Official TV Timeout,27,25
3:22,2492,Knox Hellums made Three Point Jumper. Assisted by Colbey Ross.,27,28
3:10,2492,Foul on Colbey Ross.,27,28
3:10,2458,Anthony Johnson made Free Throw.,28,28
3:10,2458,Anthony Johnson made Free Throw.,29,28
2:49,2492,Matthew Atewe missed Jumper.,29,28
2:49,2492,Matthew Atewe Offensive Rebound.,29,28
2:47,2458,Foul on Kai Edwards.,29,28
2:47,2492,Matthew Atewe made Free Throw.,29,29
2:47,2492,Matthew Atewe missed Free Throw.,29,29
2:47,2458,Roberto Vercellino Defensive Rebound.,29,29
2:21,2458,Jonah Radebaugh made Jumper.,31,29
2:07,2492,Kameron Edwards made Jumper. Assisted by Knox Hellums.,31,31
1:46,2458,Jordan Davis missed Three Point Jumper.,31,31
1:46,2458,Roberto Vercellino Offensive Rebound.,31,31
1:42,2492,Foul on Matthew Atewe.,31,31
1:42,2458,Roberto Vercellino made Free Throw.,32,31
1:42,2458,Roberto Vercellino made Free Throw.,33,31
1:26,2492,Kameron Edwards missed Jumper.,33,31
1:26,2458,Kai Edwards Defensive Rebound.,33,31
1:24,2492,Foul on Jade' Smith.,33,31
1:24,2458,Kai Edwards missed Free Throw.,33,31
1:24,2492,Darnell Dunn Defensive Rebound.,33,31
1:05,2492,Jade' Smith missed Jumper.,33,31
1:05,2458,Jordan Davis Block.,33,31
1:03,2492,Darnell Dunn Offensive Rebound.,33,31
0:57,2492,Jade' Smith made Jumper.,33,33
0:51,2458,Northern Colorado  Timeout,33,33
0:43,2458,Jordan Davis made Jumper.,35,33
0:28,2492,Kameron Edwards made Jumper. Assisted by Knox Hellums.,35,35
0:06,2458,Foul on Jordan Davis.,35,35
0:06,2458,Jordan Davis Turnover.,35,35
0:01,2492,Jade' Smith missed Three Point Jumper.,35,35
0:01,2492,Darnell Dunn Offensive Rebound.,35,35
0:00,2492,End of 1st half,35,35
19:52,2492,Foul on Trae Berhow.,35,35
19:52,2458,Jordan Davis made Free Throw.,36,35
19:52,2458,Jordan Davis missed Free Throw.,36,35
19:52,2492,Matthew Atewe Defensive Rebound.,36,35
19:42,2458,Foul on Jordan Davis.,36,35
19:24,2492,Colbey Ross missed Three Point Jumper.,36,35
19:24,2458,Tanner Morgan Defensive Rebound.,36,35
18:59,2458,Andre Spight missed Three Point Jumper.,36,35
18:59,2492,Matthew Atewe Defensive Rebound.,36,35
18:37,2492,Kameron Edwards missed Jumper.,36,35
18:37,2492,Matthew Atewe Offensive Rebound.,36,35
18:22,2492,Colbey Ross missed Three Point Jumper.,36,35
18:22,2492,Matthew Atewe Offensive Rebound.,36,35
18:16,2492,Matthew Atewe made Jumper.,36,37
17:51,2458,Jalen Sanders made Dunk. Assisted by Jonah Radebaugh.,38,37
17:37,2492,Colbey Ross missed Jumper.,38,37
17:37,2458,Northern Colorado Defensive Rebound.,38,37
17:36,2492,Foul on Matthew Atewe.,38,37
17:28,2458,Jalen Sanders missed Jumper.,38,37
17:28,2492,Kameron Edwards Defensive Rebound.,38,37
17:16,2492,Nolan Taylor Turnover.,38,37
17:07,2492,Foul on Kameron Edwards.,38,37
17:07,2458,Andre Spight made Free Throw.,39,37
17:07,2458,Andre Spight made Free Throw.,40,37
16:54,2458,Foul on Ibrahim Sylla.,40,37
16:50,2492,Jade' Smith made Layup. Assisted by Nolan Taylor.,40,39
16:35,2458,Jordan Davis made Three Point Jumper. Assisted by Jonah Radebaugh.,43,39
16:15,2492,Jade' Smith made Jumper.,43,41
15:50,2458,Jalen Sanders made Jumper. Assisted by Jonah Radebaugh.,45,41
15:35,2492,Trae Berhow made Jumper.,45,43
15:21,2458,Jordan Davis missed Layup.,45,43
15:21,2492,Jade' Smith Defensive Rebound.,45,43
15:13,2492,Nolan Taylor missed Jumper.,45,43
15:13,2492,Nolan Taylor Offensive Rebound.,45,43
15:10,2458,Foul on Ibrahim Sylla.,45,43
15:10,2492,Official TV Timeout,45,43
15:10,2492,Nolan Taylor made Free Throw.,45,44
15:10,2492,Nolan Taylor made Free Throw.,45,45
14:54,2458,Jonah Radebaugh missed Jumper.,45,45
14:54,2458,Ibrahim Sylla Offensive Rebound.,45,45
14:51,2458,Ibrahim Sylla made Dunk.,47,45
14:25,2492,Colbey Ross missed Layup.,47,45
14:25,2458,Ibrahim Sylla Block.,47,45
14:24,2458,Ibrahim Sylla Defensive Rebound.,47,45
14:21,2458,Ibrahim Sylla Turnover.,47,45
14:09,2458,Foul on Ibrahim Sylla.,47,45
14:05,2492,Darnell Dunn Turnover.,47,45
14:04,2458,Andre Spight Steal.,47,45
13:58,2458,Andre Spight made Three Point Jumper. Assisted by Anthony Johnson.,50,45
13:30,2492,Colbey Ross made Layup.,50,47
13:20,2458,Anthony Johnson made Three Point Jumper. Assisted by Andre Spight.,53,47
13:04,2492,Trae Berhow made Three Point Jumper. Assisted by Knox Hellums.,53,50
12:52,2458,Andre Spight missed Three Point Jumper.,53,50
12:52,2458,Andre Spight Offensive Rebound.,53,50
12:44,2458,Anthony Johnson made Three Point Jumper. Assisted by Andre Spight.,56,50
12:17,2458,Foul on Anthony Johnson.,56,50
12:10,2492,Nolan Taylor missed Jumper.,56,50
12:10,2492,Nolan Taylor Offensive Rebound.,56,50
12:04,2492,Darnell Dunn missed Jumper.,56,50
12:04,2458,Jalen Sanders Defensive Rebound.,56,50
11:56,2492,Foul on Colbey Ross.,56,50
11:56,2492,Official TV Timeout,56,50
11:50,2458,Chaz Glotta made Three Point Jumper. Assisted by Anthony Johnson.,59,50
11:50,2492,Foul on Knox Hellums.,59,50
11:50,2458,Chaz Glotta missed Free Throw.,59,50
11:50,2492,Kameron Edwards Defensive Rebound.,59,50
11:48,2458,Foul on Jalen Sanders.,59,50
11:39,2492,Kameron Edwards missed Jumper.,59,50
11:39,2492,Nolan Taylor Offensive Rebound.,59,50
11:36,2458,Foul on Anthony Johnson.,59,50
11:36,2492,Nolan Taylor made Free Throw.,59,51
11:36,2492,Nolan Taylor missed Free Throw.,59,51
11:36,2458,Jonah Radebaugh Defensive Rebound.,59,51
11:19,2458,Anthony Johnson missed Layup.,59,51
11:19,2458,Jonah Radebaugh Offensive Rebound.,59,51
11:17,2458,Jonah Radebaugh made Two Point Tip Shot.,61,51
11:02,2492,Nolan Taylor made Layup.,61,53
10:48,2458,Anthony Johnson Turnover.,61,53
10:40,2492,Matthew Atewe made Dunk. Assisted by Jade' Smith.,61,55
10:19,2458,Andre Spight missed Three Point Jumper.,61,55
10:19,2458,Anthony Johnson Offensive Rebound.,61,55
10:16,2492,Foul on Knox Hellums.,61,55
10:16,2458,Anthony Johnson made Free Throw.,62,55
10:16,2458,Anthony Johnson made Free Throw.,63,55
10:07,2492,Kameron Edwards missed Three Point Jumper.,63,55
10:07,2458,Anthony Johnson Defensive Rebound.,63,55
9:55,2458,Jordan Davis made Layup. Assisted by Chaz Glotta.,65,55
9:47,2458,Foul on Tanner Morgan.,65,55
9:47,2492,Matthew Atewe made Free Throw.,65,56
9:47,2492,Matthew Atewe made Free Throw.,65,57
9:31,2458,Anthony Johnson missed Jumper.,65,57
9:31,2492,Matthew Atewe Defensive Rebound.,65,57
9:15,2458,Foul on Tanner Morgan.,65,57
9:15,2492,Matthew Atewe made Free Throw.,65,58
9:15,2492,Matthew Atewe made Free Throw.,65,59
9:02,2458,Jonah Radebaugh missed Three Point Jumper.,65,59
9:02,2492,Pepperdine Defensive Rebound.,65,59
8:48,2492,Kameron Edwards Turnover.,65,59
8:34,2492,Foul on Kameron Edwards.,65,59
8:34,2458,Jalen Sanders missed Free Throw.,65,59
8:34,2458,Northern Colorado Deadball Team Rebound.,65,59
8:34,2458,Jalen Sanders missed Free Throw.,65,59
8:34,2458,Ibrahim Sylla Offensive Rebound.,65,59
8:31,2458,Ibrahim Sylla missed Jumper.,65,59
8:31,2492,Matthew Atewe Defensive Rebound.,65,59
8:06,2492,Jade' Smith made Layup. Assisted by Matthew Atewe.,65,61
7:52,2458,Andre Spight missed Layup.,65,61
7:52,2492,Jade' Smith Defensive Rebound.,65,61
7:41,2492,Kameron Edwards missed Jumper.,65,61
7:41,2458,Jonah Radebaugh Defensive Rebound.,65,61
7:14,2458,Andre Spight made Three Point Jumper.,68,61
6:53,2492,Jade' Smith made Layup.,68,63
6:35,2458,Andre Spight missed Three Point Jumper.,68,63
6:35,2458,Jalen Sanders Offensive Rebound.,68,63
6:31,2458,Chaz Glotta missed Three Point Jumper.,68,63
6:31,2492,Matthew Atewe Defensive Rebound.,68,63
6:10,2492,Matthew Atewe missed Jumper.,68,63
6:10,2458,Ibrahim Sylla Block.,68,63
