East Tennessee State,96,Kentucky,2193
time,team_id,description,h_score,a_score
20:00,96,Jump Ball won by Kentucky,0,0
19:47,96,Kevin Knox Turnover.,0,0
19:47,2193,Mladen Armus Steal.,0,0
19:36,2193,Devontavius Payne made Three Point Jumper. Assisted by Desonta Bradford.,3,0
19:22,96,Quade Green made Layup.,3,2
19:07,2193,Desonta Bradford made Layup.,5,2
18:58,96,PJ Washington missed Jumper.,5,2
18:58,2193,Jalan McCloud Defensive Rebound.,5,2
18:41,2193,Mladen Armus Turnover.,5,2
18:30,96,Kevin Knox missed Three Point Jumper.,5,2
18:30,96,PJ Washington Offensive Rebound.,5,2
18:25,96,PJ Washington made Dunk.,5,4
18:04,2193,David Burrell made Three Point Jumper. Assisted by Jalan McCloud.,8,4
17:43,96,Hamidou Diallo missed Three Point Jumper.,8,4
17:43,2193,Mladen Armus Defensive Rebound.,8,4
17:36,2193,Desonta Bradford missed Three Point Jumper.,8,4
17:36,2193,Devontavius Payne Offensive Rebound.,8,4
17:20,2193,David Burrell missed Three Point Jumper.,8,4
17:20,96,Hamidou Diallo Defensive Rebound.,8,4
17:12,96,PJ Washington made Layup.,8,6
16:45,2193,Foul on David Burrell.,8,6
16:45,2193,David Burrell Turnover.,8,6
16:34,96,Kevin Knox Turnover.,8,6
16:10,2193,Devontavius Payne missed Three Point Jumper.,8,6
16:10,96,Kevin Knox Defensive Rebound.,8,6
16:10,96,Quade Green Turnover.,8,6
16:10,2193,Jermaine Long Steal.,8,6
15:53,2193,Devontavius Payne missed Three Point Jumper.,8,6
15:53,2193,East Tennessee State Offensive Rebound.,8,6
15:47,96,Official TV Timeout,8,6
15:26,2193,Jermaine Long missed Three Point Jumper.,8,6
15:26,96,Hamidou Diallo Defensive Rebound.,8,6
15:03,96,Wenyen Gabriel missed Three Point Jumper.,8,6
15:03,96,Sacha Killeya-Jones Offensive Rebound.,8,6
14:59,2193,Foul on Jermaine Long.,8,6
14:50,96,Hamidou Diallo missed Jumper.,8,6
14:50,2193,Mladen Armus Block.,8,6
14:50,2193,Mladen Armus Defensive Rebound.,8,6
14:38,2193,Peter Jurkin made Dunk. Assisted by Mladen Armus.,10,6
14:25,96,Shai Gilgeous-Alexander made Layup. Assisted by Wenyen Gabriel.,10,8
14:03,2193,Peter Jurkin made Three Point Jumper. Assisted by Desonta Bradford.,13,8
13:45,96,Sacha Killeya-Jones missed Jumper.,13,8
13:45,2193,Peter Jurkin Defensive Rebound.,13,8
13:33,2193,David Burrell missed Three Point Jumper.,13,8
13:33,96,Kevin Knox Defensive Rebound.,13,8
13:13,96,Kevin Knox missed Jumper.,13,8
13:13,96,Wenyen Gabriel Offensive Rebound.,13,8
13:04,96,Kevin Knox missed Layup.,13,8
13:04,2193,Peter Jurkin Defensive Rebound.,13,8
12:58,2193,David Burrell made Dunk. Assisted by Jermaine Long.,15,8
12:54,96,Kentucky  Timeout,15,8
12:31,96,Kevin Knox missed Three Point Jumper.,15,8
12:31,96,Sacha Killeya-Jones Offensive Rebound.,15,8
12:26,96,Sacha Killeya-Jones Turnover.,15,8
12:19,2193,Devontavius Payne made Three Point Jumper. Assisted by Jermaine Long.,18,8
12:07,96,Kevin Knox Turnover.,18,8
12:07,2193,Jermaine Long Steal.,18,8
12:07,2193,Devontavius Payne Turnover.,18,8
12:07,96,Quade Green Steal.,18,8
11:58,2193,Foul on Devontavius Payne.,18,8
11:58,96,Official TV Timeout,18,8
11:57,96,Official TV Timeout,18,8
11:50,96,Hamidou Diallo missed Jumper.,18,8
11:50,2193,Jermaine Long Defensive Rebound.,18,8
11:39,2193,David Burrell missed Jumper.,18,8
11:39,96,Kevin Knox Defensive Rebound.,18,8
11:25,96,Foul on PJ Washington.,18,8
11:25,96,PJ Washington Turnover.,18,8
11:02,2193,Desonta Bradford missed Three Point Jumper.,18,8
11:02,96,Sacha Killeya-Jones Defensive Rebound.,18,8
10:50,96,Quade Green made Three Point Jumper. Assisted by PJ Washington.,18,11
10:17,2193,Jermaine Long missed Three Point Jumper.,18,11
10:17,96,PJ Washington Defensive Rebound.,18,11
10:02,96,Sacha Killeya-Jones made Jumper. Assisted by PJ Washington.,18,13
9:45,2193,Desonta Bradford Turnover.,18,13
9:45,96,Sacha Killeya-Jones Steal.,18,13
9:39,96,Quade Green made Jumper. Assisted by Shai Gilgeous-Alexander.,18,15
9:24,2193,Jermaine Long made Three Point Jumper. Assisted by Desonta Bradford.,21,15
9:08,96,Quade Green made Three Point Jumper. Assisted by Sacha Killeya-Jones.,21,18
8:48,2193,Kanayo Obi-Rapu missed Jumper.,21,18
8:48,2193,David Burrell Offensive Rebound.,21,18
8:48,2193,David Burrell made Dunk.,23,18
8:26,96,Quade Green made Jumper. Assisted by Kevin Knox.,23,20
8:14,2193,East Tennessee State  Timeout,23,20
7:52,2193,David Burrell missed Layup.,23,20
7:52,2193,Mladen Armus Offensive Rebound.,23,20
7:45,2193,Mladen Armus missed Layup.,23,20
7:45,2193,Jalan McCloud Offensive Rebound.,23,20
7:45,96,Foul on Nick Richards.,23,20
7:32,2193,David Burrell made Jumper.,25,20
7:15,96,Quade Green missed Three Point Jumper.,25,20
7:15,2193,East Tennessee State Deadball Team Rebound.,25,20
7:13,96,Foul on Nick Richards.,25,20
6:56,2193,Jason Williams Turnover.,25,20
6:49,96,PJ Washington Turnover.,25,20
6:44,2193,Jalan McCloud missed Jumper.,25,20
6:44,2193,Mladen Armus Offensive Rebound.,25,20
6:27,2193,David Burrell missed Three Point Jumper.,25,20
6:27,96,PJ Washington Defensive Rebound.,25,20
6:18,96,Wenyen Gabriel made Layup. Assisted by PJ Washington.,25,22
5:57,2193,Desonta Bradford missed Three Point Jumper.,25,22
5:57,96,Hamidou Diallo Defensive Rebound.,25,22
5:48,96,Hamidou Diallo made Layup.,25,24
5:37,2193,Desonta Bradford Turnover.,25,24
5:37,96,Shai Gilgeous-Alexander Steal.,25,24
5:29,96,Hamidou Diallo made Layup. Assisted by Shai Gilgeous-Alexander.,25,26
5:10,2193,Jalan McCloud missed Three Point Jumper.,25,26
5:10,96,Shai Gilgeous-Alexander Defensive Rebound.,25,26
5:02,96,Wenyen Gabriel made Three Point Jumper. Assisted by Kevin Knox.,25,29
4:48,2193,Peter Jurkin made Jumper. Assisted by Desonta Bradford.,27,29
4:29,2193,Foul on Jalan McCloud.,27,29
4:12,96,Foul on Shai Gilgeous-Alexander.,27,29
4:12,96,Shai Gilgeous-Alexander Turnover.,27,29
3:53,2193,Jermaine Long made Three Point Jumper. Assisted by Devontavius Payne.,30,29
3:35,96,Kevin Knox made Three Point Jumper. Assisted by Shai Gilgeous-Alexander.,30,32
3:07,2193,Jalan McCloud missed Layup.,30,32
3:07,96,Kentucky Defensive Rebound.,30,32
3:07,2193,Foul on Mladen Armus.,30,32
3:07,96,Official TV Timeout,30,32
2:59,96,Foul on Kevin Knox.,30,32
2:59,96,Kevin Knox Turnover.,30,32
2:32,2193,Devontavius Payne Turnover.,30,32
2:32,96,Shai Gilgeous-Alexander Steal.,30,32
2:26,2193,Foul on Devontavius Payne.,30,32
2:26,96,Kevin Knox missed Free Throw.,30,32
2:26,96,Kentucky Deadball Team Rebound.,30,32
2:26,96,Kevin Knox missed Free Throw.,30,32
2:26,2193,Jermaine Long Defensive Rebound.,30,32
2:06,2193,Jalan McCloud missed Three Point Jumper.,30,32
2:06,96,Kentucky Defensive Rebound.,30,32
2:03,2193,Foul on Mladen Armus.,30,32
2:03,96,PJ Washington missed Free Throw.,30,32
2:03,2193,Peter Jurkin Defensive Rebound.,30,32
1:36,2193,Jalan McCloud Turnover.,30,32
1:36,96,Hamidou Diallo Steal.,30,32
1:31,96,Quade Green missed Jumper.,30,32
1:31,96,PJ Washington Offensive Rebound.,30,32
1:31,96,PJ Washington made Dunk.,30,34
1:15,2193,Jalan McCloud Turnover.,30,34
1:02,96,Foul on Hamidou Diallo.,30,34
1:02,2193,Foul on Kanayo Obi-Rapu.,30,34
0:47,96,Hamidou Diallo made Jumper.,30,36
0:26,2193,Desonta Bradford missed Jumper.,30,36
0:26,2193,Desonta Bradford Offensive Rebound.,30,36
0:22,2193,Desonta Bradford missed Layup.,30,36
0:22,96,Kevin Knox Defensive Rebound.,30,36
0:02,96,Kevin Knox missed Jumper.,30,36
0:02,2193,Desonta Bradford Defensive Rebound.,30,36
0:00,96,End of 1st half,30,36
20:00,2193,Jump Ball won by East Tennessee State,30,36
19:46,2193,David Burrell missed Three Point Jumper.,30,36
19:46,2193,East Tennessee State Offensive Rebound.,30,36
19:37,2193,Devontavius Payne missed Three Point Jumper.,30,36
19:37,2193,Mladen Armus Offensive Rebound.,30,36
19:28,2193,Foul on Desonta Bradford.,30,36
19:28,2193,Desonta Bradford Turnover.,30,36
19:01,96,Hamidou Diallo Turnover.,30,36
19:01,2193,Jalan McCloud Steal.,30,36
18:59,2193,Devontavius Payne missed Layup.,30,36
18:59,96,Kevin Knox Block.,30,36
