Northern Arizona,9,Arizona State,2464
time,team_id,description,h_score,a_score
19:44,2464,Brooks Debisschop Turnover.,0,0
19:31,9,Vitaliy Shibel made Layup. Assisted by Kodi Justice.,0,2
19:12,2464,Chris Bowling missed Three Point Jumper.,0,2
19:12,9,Tra Holder Defensive Rebound.,0,2
19:04,9,Tra Holder made Three Point Jumper. Assisted by Vitaliy Shibel.,0,5
18:30,2464,Chris Bowling missed Jumper.,0,5
18:30,2464,Isaiah Thomas Offensive Rebound.,0,5
18:27,9,Foul on Kodi Justice.,0,5
18:27,2464,Isaiah Thomas missed Free Throw.,0,5
18:27,2464,Northern Arizona Deadball Team Rebound.,0,5
18:27,2464,Isaiah Thomas made Free Throw.,1,5
18:14,9,Shannon Evans II missed Three Point Jumper.,1,5
18:14,2464,Brooks Debisschop Defensive Rebound.,1,5
18:04,9,Foul on Romello White.,1,5
18:04,2464,Torry Johnson made Free Throw.,2,5
18:04,2464,Torry Johnson made Free Throw.,3,5
17:53,9,Vitaliy Shibel missed Three Point Jumper.,3,5
17:53,2464,Chris Bowling Defensive Rebound.,3,5
17:47,2464,Chris Bowling Turnover.,3,5
17:46,9,Tra Holder Steal.,3,5
17:43,9,Tra Holder made Layup.,3,7
17:23,2464,Chris Bowling missed Three Point Jumper.,3,7
17:23,2464,Northern Arizona Offensive Rebound.,3,7
17:20,9,Foul on Vitaliy Shibel.,3,7
17:07,2464,Torry Johnson missed Three Point Jumper.,3,7
17:07,2464,Isaiah Thomas Offensive Rebound.,3,7
17:02,2464,Isaiah Thomas Turnover.,3,7
16:45,9,Romello White made Jumper. Assisted by Vitaliy Shibel.,3,9
16:45,2464,Foul on Isaiah Thomas.,3,9
16:45,9,Romello White made Free Throw.,3,10
16:30,2464,Gino Littles missed Layup.,3,10
16:30,2464,Torry Johnson Offensive Rebound.,3,10
16:16,2464,Isaiah Thomas missed Jumper.,3,10
16:16,9,Kodi Justice Defensive Rebound.,3,10
16:00,9,Vitaliy Shibel missed Layup.,3,10
16:00,2464,Brooks Debisschop Block.,3,10
15:59,2464,Isaiah Thomas Defensive Rebound.,3,10
15:48,2464,Gino Littles Turnover.,3,10
15:46,9,Romello White Steal.,3,10
15:43,9,Romello White made Layup.,3,12
15:35,2464,Torry Johnson Turnover.,3,12
