Spring Hill,Error,Nicholls,2447
time,team_id,description,h_score,a_score
19:47,2447,Zaquavian Smith missed Three Point Jumper.,0,0
19:47,-1,Dwight Harris Defensive Rebound.,0,0
19:33,-1,Andrew Dotson missed Three Point Jumper.,0,0
19:33,2447,Zaquavian Smith Defensive Rebound.,0,0
19:25,2447,Tevon Saddler made Three Point Jumper. Assisted by Roddy Peters.,0,3
18:58,-1,Dwight Harris missed Jumper.,0,3
18:58,-1,Dwight Harris Offensive Rebound.,0,3
18:53,-1,Dwight Harris missed Jumper.,0,3
18:53,2447,Roddy Peters Defensive Rebound.,0,3
18:48,-1,Foul on Walter Massey.,0,3
18:47,2447,Lafayette Rutledge missed Three Point Jumper.,0,3
18:47,-1,Dwight Harris Defensive Rebound.,0,3
18:39,2447,Foul on Roddy Peters.,0,3
18:30,2447,Foul on Lafayette Rutledge.,0,3
18:24,-1,Dwight Harris Turnover.,0,3
18:11,2447,Tevon Saddler Turnover.,0,3
18:05,-1,Andrew Dotson made Jumper.,2,3
17:58,2447,Lafayette Rutledge missed Three Point Jumper.,2,3
17:58,-1,William Loyd Defensive Rebound.,2,3
17:49,-1,William Loyd missed Jumper.,2,3
17:49,2447,Legend Robertin Defensive Rebound.,2,3
17:45,2447,Legend Robertin Turnover.,2,3
17:45,-1,Andrew Dotson Steal.,2,3
17:42,-1,William Loyd made Layup. Assisted by Andrew Dotson.,4,3
17:14,2447,Roddy Peters made Three Point Jumper.,4,6
16:52,-1,Brandon Fischer missed Three Point Jumper.,4,6
16:52,2447,Roddy Peters Defensive Rebound.,4,6
16:35,2447,Zaquavian Smith made Three Point Jumper.,4,9
16:15,2447,Foul on Legend Robertin.,4,9
16:15,-1,William Loyd made Free Throw.,5,9
16:15,-1,William Loyd made Free Throw.,6,9
16:04,2447,Tevon Saddler made Layup.,6,11
16:04,-1,Foul on Walter Massey.,6,11
16:04,2447,Tevon Saddler made Free Throw.,6,12
15:57,-1,Andrew Dotson missed Three Point Jumper.,6,12
15:57,2447,Tevon Saddler Defensive Rebound.,6,12
15:47,2447,Roddy Peters made Layup. Assisted by Tevon Saddler.,6,14
15:28,-1,Brandon Fischer missed Layup.,6,14
15:28,2447,Maurice O'Field Defensive Rebound.,6,14
15:23,2447,Tevon Saddler made Jumper. Assisted by Roddy Peters.,6,16
15:03,2447,Official TV Timeout,6,16
14:49,2447,Foul on Jahvaughn Powell.,6,16
14:49,-1,Andrew Dotson made Free Throw.,7,16
14:49,-1,Andrew Dotson made Free Throw.,8,16
