IUPUI,2197,Eastern Illinois,85
time,team_id,description,h_score,a_score
19:49,85,Evan Hall made Jumper.,2,0
19:19,2197,D'Angelo Jackson Turnover.,2,0
19:18,85,Ron Patterson Steal.,2,0
19:16,2197,Foul on Terrell Lewis.,2,0
19:08,85,Evan Hall missed Jumper.,2,0
19:08,2197,Muusa Dama Defensive Rebound.,2,0
18:50,2197,Jajuan Starks made Layup.,2,2
18:34,85,Aaron Brennan made Layup.,4,2
18:13,2197,D'Angelo Jackson made Layup. Assisted by Muusa Dama.,4,4
17:55,85,Evan Hall made Layup. Assisted by T.J. Henderson.,6,4
17:25,2197,Jajuan Starks missed Jumper.,6,4
17:25,85,Evan Hall Defensive Rebound.,6,4
17:02,85,Aaron Brennan made Jumper. Assisted by Evan Hall.,8,4
16:43,2197,Muusa Dama made Layup. Assisted by Jajuan Starks.,8,6
16:30,85,Ron Patterson missed Three Point Jumper.,8,6
16:30,2197,Muusa Dama Defensive Rebound.,8,6
16:10,2197,Jajuan Starks missed Three Point Jumper.,8,6
16:10,2197,Jajuan Starks Offensive Rebound.,8,6
15:56,2197,Mack Smith made Layup.,8,8
15:43,2197,Foul on Jajuan Starks.,8,8
15:43,2197,Official TV Timeout,8,8
15:35,85,Aaron Brennan made Three Point Jumper. Assisted by Ron Patterson.,11,8
15:14,85,Foul on D.J. McCall.,11,8
15:14,2197,Jajuan Starks missed Free Throw.,11,8
15:14,2197,Eastern Illinois Deadball Team Rebound.,11,8
15:14,2197,Jajuan Starks made Free Throw.,11,9
15:04,85,Ron Patterson made Layup.,13,9
14:51,2197,Terrell Lewis made Three Point Jumper.,13,12
14:26,85,Ron Patterson made Three Point Jumper. Assisted by T.J. Henderson.,16,12
14:05,2197,Michael Chavers made Three Point Jumper. Assisted by Terrell Lewis.,16,15
13:41,85,Maurice Kirby Turnover.,16,15
13:21,2197,Mack Smith Turnover.,16,15
12:58,85,Ron Patterson made Jumper.,18,15
12:46,2197,Justice Green made Three Point Jumper. Assisted by Terrell Lewis.,18,18
12:31,85,Foul on Maurice Kirby.,18,18
12:31,85,Maurice Kirby Turnover.,18,18
12:14,85,Foul on D.J. McCall.,18,18
12:14,2197,D'Angelo Jackson made Free Throw.,18,19
12:14,2197,D'Angelo Jackson missed Free Throw.,18,19
12:14,85,D.J. McCall Defensive Rebound.,18,19
11:49,85,T.J. Henderson missed Three Point Jumper.,18,19
11:49,2197,Justice Green Defensive Rebound.,18,19
11:30,85,Foul on Elyjah Goss.,18,19
11:30,2197,Official TV Timeout,18,19
11:11,2197,Terrell Lewis missed Three Point Jumper.,18,19
11:11,2197,Ray Crossland Offensive Rebound.,18,19
11:06,2197,Ray Crossland missed Layup.,18,19
11:06,2197,Jajuan Starks Offensive Rebound.,18,19
11:02,2197,Jajuan Starks made Layup.,18,21
10:37,85,Aaron Brennan made Layup. Assisted by T.J. Henderson.,20,21
10:29,2197,Jajuan Starks made Layup. Assisted by Terrell Lewis.,20,23
10:07,85,Evan Hall missed Layup.,20,23
10:07,2197,Ray Crossland Defensive Rebound.,20,23
10:00,2197,D'Angelo Jackson Turnover.,20,23
9:41,85,Ron Patterson made Three Point Jumper.,23,23
9:21,2197,Ray Crossland Turnover.,23,23
9:19,85,Evan Hall Steal.,23,23
9:14,85,Ron Patterson missed Three Point Jumper.,23,23
9:14,85,Jaylen Minnett Offensive Rebound.,23,23
8:55,85,Aaron Brennan Turnover.,23,23
8:53,2197,Terrell Lewis Steal.,23,23
8:48,2197,Foul on Ray Crossland.,23,23
8:48,2197,Ray Crossland Turnover.,23,23
8:28,85,Evan Hall Turnover.,23,23
8:26,2197,Jajuan Starks Steal.,23,23
8:21,85,Foul on Evan Hall.,23,23
8:21,2197,Jajuan Starks made Free Throw.,23,24
8:21,2197,Jajuan Starks missed Free Throw.,23,24
8:21,85,Evan Hall Defensive Rebound.,23,24
8:07,85,T.J. Henderson made Three Point Jumper. Assisted by Ron Patterson.,26,24
7:48,2197,Muusa Dama Turnover.,26,24
7:46,85,T.J. Henderson Steal.,26,24
7:42,85,Ron Patterson made Layup. Assisted by T.J. Henderson.,28,24
7:42,2197,Foul on Ray Crossland.,28,24
7:42,2197,Official TV Timeout,28,24
7:42,85,Ron Patterson missed Free Throw.,28,24
7:42,2197,Jajuan Starks Defensive Rebound.,28,24
7:38,85,Foul on Aaron Brennan.,28,24
7:35,2197,Justice Green made Layup.,28,26
7:22,85,Aaron Brennan made Layup.,30,26
6:49,85,Foul on Ron Patterson.,30,26
6:49,2197,D'Angelo Jackson made Free Throw.,30,27
6:49,2197,D'Angelo Jackson made Free Throw.,30,28
6:21,85,Ron Patterson missed Jumper.,30,28
6:21,2197,Jajuan Starks Defensive Rebound.,30,28
6:02,2197,Jajuan Starks missed Jumper.,30,28
6:02,85,D.J. McCall Defensive Rebound.,30,28
5:54,85,T.J. Henderson missed Layup.,30,28
5:54,85,D.J. McCall Offensive Rebound.,30,28
5:50,85,D.J. McCall Turnover.,30,28
5:49,2197,Jajuan Starks Steal.,30,28
5:45,2197,Mack Smith missed Layup.,30,28
5:45,2197,D'Angelo Jackson Offensive Rebound.,30,28
5:42,2197,D'Angelo Jackson made Layup.,30,30
5:23,85,Aaron Brennan made Layup.,32,30
4:51,2197,Mack Smith missed Three Point Jumper.,32,30
4:51,85,Aaron Brennan Defensive Rebound.,32,30
