Texas Tech,103,Boston College,2641
time,team_id,description,h_score,a_score
19:37,2641,Tommy Hamilton IV missed Jumper.,0,0
19:37,103,Nik Popovic Defensive Rebound.,0,0
19:16,103,Ky Bowman missed Three Point Jumper.,0,0
19:16,2641,Keenan Evans Defensive Rebound.,0,0
18:59,2641,Tommy Hamilton IV Turnover.,0,0
18:45,103,Nik Popovic Turnover.,0,0
18:44,2641,Tommy Hamilton IV Steal.,0,0
18:42,2641,Tommy Hamilton IV missed Layup.,0,0
18:42,103,Jordan Chatman Defensive Rebound.,0,0
18:31,103,Deontae Hawkins missed Three Point Jumper.,0,0
18:31,103,Jerome Robinson Offensive Rebound.,0,0
18:22,103,Ky Bowman missed Layup.,0,0
18:22,103,Nik Popovic Offensive Rebound.,0,0
18:18,103,Nik Popovic made Layup.,0,2
17:55,2641,Niem Stevenson missed Three Point Jumper.,0,2
17:55,103,Ky Bowman Defensive Rebound.,0,2
17:46,2641,Foul on Keenan Evans.,0,2
17:46,103,Jordan Chatman made Free Throw.,0,3
17:46,103,Jordan Chatman made Free Throw.,0,4
17:28,2641,Jarrett Culver made Layup.,2,4
17:13,103,Jerome Robinson missed Three Point Jumper.,2,4
17:13,2641,Texas Tech Defensive Rebound.,2,4
17:00,2641,Keenan Evans made Layup.,4,4
16:46,103,Ky Bowman made Jumper.,4,6
16:28,2641,Keenan Evans missed Three Point Jumper.,4,6
16:28,2641,Zach Smith Offensive Rebound.,4,6
16:12,2641,Keenan Evans made Three Point Jumper.,7,6
15:53,103,Jordan Chatman missed Three Point Jumper.,7,6
15:53,2641,Zhaire Smith Defensive Rebound.,7,6
15:32,2641,Zach Smith made Free Throw.,8,6
15:32,2641,Zach Smith missed Free Throw.,8,6
15:32,2641,Zach Smith Offensive Rebound.,8,6
15:31,103,Foul on Ky Bowman.,8,6
15:26,2641,Jarrett Culver Turnover.,8,6
15:25,103,Jerome Robinson Steal.,8,6
15:21,103,Jerome Robinson Turnover.,8,6
15:01,2641,Davide Moretti missed Three Point Jumper.,8,6
15:01,103,Johncarlos Reyes Defensive Rebound.,8,6
14:47,103,Jerome Robinson made Three Point Jumper. Assisted by Ky Bowman.,8,9
14:27,2641,Jarrett Culver made Layup.,10,9
14:27,103,Foul on Jerome Robinson.,10,9
14:27,2641,Jarrett Culver made Free Throw.,11,9
14:05,103,Deontae Hawkins made Layup.,11,11
13:41,2641,Justin Gray missed Jumper.,11,11
13:41,2641,Norense Odiase Offensive Rebound.,11,11
13:35,2641,Jarrett Culver made Three Point Jumper. Assisted by Norense Odiase.,14,11
13:18,103,Johncarlos Reyes made Layup. Assisted by Ky Bowman.,14,13
13:09,2641,Norense Odiase Turnover.,14,13
13:09,2641,Foul on Norense Odiase.,14,13
12:57,103,Jerome Robinson missed Three Point Jumper.,14,13
12:57,2641,Jarrett Culver Defensive Rebound.,14,13
12:38,2641,Keenan Evans made Layup.,16,13
12:23,103,Foul on Ky Bowman.,16,13
12:23,103,Ky Bowman Turnover.,16,13
12:00,2641,Keenan Evans missed Jumper.,16,13
12:00,103,Deontae Hawkins Defensive Rebound.,16,13
11:43,103,Nik Popovic missed Layup.,16,13
11:43,2641,Zach Smith Block.,16,13
11:41,2641,Brandone Francis Defensive Rebound.,16,13
11:27,2641,Tommy Hamilton IV missed Jumper.,16,13
11:27,2641,Brandone Francis Offensive Rebound.,16,13
11:24,2641,Brandone Francis missed Layup.,16,13
11:24,2641,Brandone Francis Offensive Rebound.,16,13
11:22,2641,Brandone Francis made Layup.,18,13
11:08,103,Nik Popovic missed Layup.,18,13
11:08,2641,Zach Smith Block.,18,13
11:06,103,Boston College Offensive Rebound.,18,13
11:05,103,Official TV Timeout,18,13
10:49,103,Deontae Hawkins missed Jumper.,18,13
10:49,2641,Keenan Evans Defensive Rebound.,18,13
10:22,2641,Keenan Evans missed Three Point Jumper.,18,13
10:22,2641,Zhaire Smith Offensive Rebound.,18,13
10:13,2641,Tommy Hamilton IV Turnover.,18,13
10:06,103,Deontae Hawkins Turnover.,18,13
9:56,2641,Keenan Evans made Layup.,20,13
9:36,103,Deontae Hawkins missed Three Point Jumper.,20,13
9:36,103,Boston College Offensive Rebound.,20,13
9:36,2641,Foul on Keenan Evans.,20,13
9:29,103,Foul on Johncarlos Reyes.,20,13
9:29,103,Johncarlos Reyes Turnover.,20,13
9:15,2641,Davide Moretti made Three Point Jumper. Assisted by Zhaire Smith.,23,13
9:13,103,Boston College  Timeout,23,13
8:55,103,Jerome Robinson Turnover.,23,13
8:53,2641,Niem Stevenson Steal.,23,13
8:50,2641,Zhaire Smith made Dunk. Assisted by Niem Stevenson.,25,13
8:35,103,Jordan Chatman made Layup. Assisted by Ky Bowman.,25,15
8:08,2641,Zhaire Smith missed Jumper.,25,15
8:08,103,Jerome Robinson Defensive Rebound.,25,15
8:00,103,Jerome Robinson Turnover.,25,15
7:59,2641,Niem Stevenson Steal.,25,15
7:56,2641,Niem Stevenson missed Layup.,25,15
7:56,103,Ky Bowman Defensive Rebound.,25,15
7:45,2641,Foul on Justin Gray.,25,15
7:45,103,Official TV Timeout,25,15
7:45,103,Jerome Robinson made Free Throw.,25,16
7:45,103,Jerome Robinson made Free Throw.,25,17
7:34,2641,Justin Gray missed Layup.,25,17
7:34,103,Steffon Mitchell Block.,25,17
7:31,103,Steffon Mitchell Defensive Rebound.,25,17
7:17,103,Deontae Hawkins made Layup. Assisted by Johncarlos Reyes.,25,19
7:06,103,Foul on Steffon Mitchell.,25,19
7:06,2641,Justin Gray made Free Throw.,26,19
7:06,2641,Justin Gray missed Free Throw.,26,19
7:06,103,Ky Bowman Defensive Rebound.,26,19
6:46,103,Deontae Hawkins made Jumper.,26,21
6:29,2641,Norense Odiase missed Layup.,26,21
6:29,2641,Norense Odiase Offensive Rebound.,26,21
6:26,103,Foul on Jordan Chatman.,26,21
6:26,2641,Norense Odiase missed Free Throw.,26,21
6:26,2641,Texas Tech Deadball Team Rebound.,26,21
6:26,2641,Norense Odiase missed Free Throw.,26,21
6:26,103,Johncarlos Reyes Defensive Rebound.,26,21
6:15,103,Deontae Hawkins Turnover.,26,21
6:07,2641,Davide Moretti Turnover.,26,21
6:07,2641,Foul on Davide Moretti.,26,21
5:54,103,Ky Bowman missed Three Point Jumper.,26,21
5:54,103,Boston College Offensive Rebound.,26,21
5:52,2641,Foul on Jarrett Culver.,26,21
5:46,2641,Foul on Jarrett Culver.,26,21
5:46,103,Jordan Chatman made Free Throw.,26,22
5:46,103,Jordan Chatman made Free Throw.,26,23
5:19,103,Foul on Jerome Robinson.,26,23
5:19,2641,Keenan Evans made Free Throw.,27,23
5:19,2641,Keenan Evans made Free Throw.,28,23
4:58,103,Steffon Mitchell Turnover.,28,23
4:33,2641,Brandone Francis made Jumper.,30,23
3:57,103,Deontae Hawkins made Jumper.,30,25
3:29,2641,Niem Stevenson missed Jumper.,30,25
3:29,103,Ky Bowman Block.,30,25
3:27,103,Deontae Hawkins Defensive Rebound.,30,25
3:19,103,Ky Bowman missed Layup.,30,25
3:19,2641,Zhaire Smith Block.,30,25
3:17,103,Nik Popovic Offensive Rebound.,30,25
3:15,2641,Foul on Brandone Francis.,30,25
3:15,103,Official TV Timeout,30,25
3:15,103,Nik Popovic missed Free Throw.,30,25
3:15,103,Boston College Deadball Team Rebound.,30,25
3:15,103,Nik Popovic missed Free Throw.,30,25
3:15,2641,Zach Smith Defensive Rebound.,30,25
2:50,2641,Zhaire Smith missed Layup.,30,25
2:50,2641,Texas Tech Offensive Rebound.,30,25
2:48,2641,Texas Tech  Turnover.,30,25
2:32,103,Deontae Hawkins made Layup.,30,27
2:14,2641,Davide Moretti Turnover.,30,27
2:14,2641,Foul on Davide Moretti.,30,27
1:56,103,Ky Bowman made Layup.,30,29
1:31,2641,Brandone Francis missed Jumper.,30,29
1:31,103,Ky Bowman Defensive Rebound.,30,29
1:22,103,Deontae Hawkins missed Three Point Jumper.,30,29
1:22,2641,Zach Smith Defensive Rebound.,30,29
1:15,2641,Zach Smith Turnover.,30,29
1:14,103,Steffon Mitchell Steal.,30,29
1:11,103,Boston College  Timeout,30,29
1:07,103,Ky Bowman made Jumper.,30,31
0:47,2641,Zach Smith made Dunk.,32,31
0:47,103,Foul on Nik Popovic.,32,31
0:47,2641,Zach Smith made Free Throw.,33,31
0:32,103,Deontae Hawkins Turnover.,33,31
0:32,103,Foul on Deontae Hawkins.,33,31
0:09,2641,Brandone Francis made Three Point Jumper. Assisted by Zach Smith.,36,31
0:00,103,End of 1st half,36,31
19:49,103,Jerome Robinson made Layup.,36,33
19:18,2641,Keenan Evans missed Three Point Jumper.,36,33
19:18,103,Nik Popovic Defensive Rebound.,36,33
19:04,103,Deontae Hawkins missed Layup.,36,33
19:04,2641,Niem Stevenson Defensive Rebound.,36,33
18:44,2641,Niem Stevenson made Layup.,38,33
18:28,103,Jerome Robinson missed Three Point Jumper.,38,33
18:28,2641,Texas Tech Defensive Rebound.,38,33
18:09,2641,Tommy Hamilton IV missed Jumper.,38,33
18:09,103,Boston College Defensive Rebound.,38,33
18:07,2641,Foul on Justin Gray.,38,33
17:50,103,Ky Bowman missed Jumper.,38,33
17:50,2641,Jarrett Culver Defensive Rebound.,38,33
17:34,2641,Niem Stevenson made Layup.,40,33
17:19,103,Ky Bowman made Three Point Jumper. Assisted by Deontae Hawkins.,40,36
17:04,2641,Tommy Hamilton IV missed Layup.,40,36
17:04,103,Boston College Defensive Rebound.,40,36
16:50,103,Jerome Robinson made Layup.,40,38
16:27,2641,Zach Smith missed Three Point Jumper.,40,38
16:27,2641,Zhaire Smith Offensive Rebound.,40,38
16:05,103,Foul on Jerome Robinson.,40,38
16:05,2641,Keenan Evans made Free Throw.,41,38
16:05,2641,Keenan Evans made Free Throw.,42,38
15:52,103,Ky Bowman missed Three Point Jumper.,42,38
15:52,2641,Justin Gray Defensive Rebound.,42,38
15:28,2641,Zach Smith made Layup.,44,38
15:07,103,Official TV Timeout,44,38
14:59,103,Deontae Hawkins Turnover.,44,38
14:58,2641,Justin Gray Steal.,44,38
14:54,2641,Zhaire Smith made Dunk. Assisted by Jarrett Culver.,46,38
14:35,103,Nik Popovic made Layup. Assisted by Jordan Chatman.,46,40
14:16,2641,Keenan Evans made Layup.,48,40
14:01,2641,Foul on Justin Gray.,48,40
13:57,103,Jerome Robinson Turnover.,48,40
13:57,103,Foul on Jerome Robinson.,48,40
13:40,2641,Brandone Francis missed Three Point Jumper.,48,40
13:40,103,Steffon Mitchell Defensive Rebound.,48,40
13:27,103,Steffon Mitchell missed Three Point Jumper.,48,40
13:27,2641,Jarrett Culver Defensive Rebound.,48,40
13:20,2641,Keenan Evans missed Three Point Jumper.,48,40
13:20,103,Steffon Mitchell Defensive Rebound.,48,40
13:07,103,Ky Bowman made Jumper.,48,42
12:45,2641,Niem Stevenson missed Layup.,48,42
12:45,103,Steffon Mitchell Block.,48,42
