Chicago State,2460,Northern Iowa,2130
time,team_id,description,h_score,a_score
19:42,2460,Bennett Koch made Layup. Assisted by Isaiah Brown.,0,2
19:21,2130,Glen Burns Turnover.,0,2
19:00,2460,Tywhon Pickford missed Three Point Jumper.,0,2
19:00,2460,Klint Carlson Offensive Rebound.,0,2
18:37,2460,Juwan McCloud made Layup.,0,4
18:37,2130,Foul on Glen Burns.,0,4
18:37,2460,Juwan McCloud made Free Throw.,0,5
18:27,2130,Deionte Simmons missed Jumper.,0,5
18:27,2460,Tywhon Pickford Defensive Rebound.,0,5
18:16,2460,Juwan McCloud made Three Point Jumper.,0,8
18:11,2130,Chicago State  Timeout,0,8
17:58,2460,Foul on Isaiah Brown.,0,8
17:57,2130,Fred Sims Jr. missed Layup.,0,8
17:57,2460,Isaiah Brown Defensive Rebound.,0,8
17:49,2130,Foul on Deionte Simmons.,0,8
17:39,2460,Klint Carlson made Layup. Assisted by Juwan McCloud.,0,10
17:24,2130,Fred Sims Jr. Turnover.,0,10
17:10,2460,Tywhon Pickford missed Three Point Jumper.,0,10
17:10,2130,Chicago State Defensive Rebound.,0,10
16:55,2130,Anthony Harris Turnover.,0,10
16:53,2460,Isaiah Brown Steal.,0,10
16:49,2460,Juwan McCloud missed Three Point Jumper.,0,10
16:49,2130,Montana Byrd Defensive Rebound.,0,10
16:22,2130,Montana Byrd Turnover.,0,10
16:01,2130,Foul on Montana Byrd.,0,10
15:58,2460,Spencer Haldeman made Three Point Jumper. Assisted by Tywhon Pickford.,0,13
15:43,2130,Jelani Pruitt Turnover.,0,13
15:42,2460,Tywhon Pickford Steal.,0,13
15:40,2460,Tywhon Pickford Turnover.,0,13
15:39,2130,Anthony Harris Steal.,0,13
15:36,2460,Foul on Spencer Haldeman.,0,13
15:36,2460,Official TV Timeout,0,13
15:36,2130,Jelani Pruitt made Free Throw.,1,13
15:36,2130,Jelani Pruitt missed Free Throw.,1,13
15:36,2460,Klint Carlson Defensive Rebound.,1,13
15:15,2460,Bennett Koch made Dunk. Assisted by Spencer Haldeman.,1,15
15:04,2130,Glen Burns Turnover.,1,15
14:44,2460,Klint Carlson missed Jumper.,1,15
14:44,2130,Glen Burns Defensive Rebound.,1,15
14:37,2130,Glen Burns missed Layup.,1,15
14:37,2460,Klint Carlson Defensive Rebound.,1,15
14:35,2130,Foul on Patrick Szpir.,1,15
14:16,2460,Ted Friedman Turnover.,1,15
14:16,2130,Travon Bell Steal.,1,15
14:16,2460,Foul on Ted Friedman.,1,15
14:01,2130,Travon Bell missed Three Point Jumper.,1,15
14:01,2130,Travon Bell Offensive Rebound.,1,15
13:56,2130,Travon Bell missed Layup.,1,15
13:56,2130,Jelani Pruitt Offensive Rebound.,1,15
13:54,2130,Jelani Pruitt missed Layup.,1,15
13:54,2460,Ted Friedman Defensive Rebound.,1,15
13:42,2460,Spencer Haldeman missed Three Point Jumper.,1,15
13:42,2130,Jelani Pruitt Defensive Rebound.,1,15
13:39,2460,Foul on Tywhon Pickford.,1,15
13:13,2460,Foul on Bennett Koch.,1,15
13:13,2130,Glen Burns made Free Throw.,2,15
13:13,2130,Glen Burns missed Free Throw.,2,15
13:13,2460,Bennett Koch Defensive Rebound.,2,15
13:02,2460,Northern Iowa  Turnover.,2,15
12:35,2130,Glen Burns Turnover.,2,15
12:34,2460,Miles Wentzien Steal.,2,15
12:31,2460,Miles Wentzien made Layup. Assisted by Isaiah Brown.,2,17
12:17,2460,Foul on Isaiah Brown.,2,17
12:17,2130,Glen Burns made Free Throw.,3,17
12:17,2130,Glen Burns made Free Throw.,4,17
11:57,2130,Foul on Cameron Bowles.,4,17
11:57,2460,Official TV Timeout,4,17
11:57,2460,Tanner Lohaus missed Free Throw.,4,17
11:57,2460,Northern Iowa Deadball Team Rebound.,4,17
11:57,2460,Tanner Lohaus made Free Throw.,4,18
11:41,2130,Travon Bell made Three Point Jumper.,7,18
11:21,2460,Klint Carlson made Jumper.,7,20
11:03,2130,Jelani Pruitt made Layup.,9,20
10:57,2130,Foul on Nathan Townsen Jr..,9,20
10:43,2460,Juwan McCloud missed Layup.,9,20
10:43,2460,Bennett Koch Offensive Rebound.,9,20
10:40,2130,Foul on Jelani Pruitt.,9,20
10:40,2460,Bennett Koch made Free Throw.,9,21
10:40,2460,Bennett Koch made Free Throw.,9,22
10:30,2130,Travon Bell made Three Point Jumper. Assisted by Cameron Bowles.,12,22
10:18,2460,Bennett Koch Turnover.,12,22
9:52,2130,Travon Bell made Three Point Jumper. Assisted by Cameron Bowles.,15,22
9:29,2130,Foul on Jelani Pruitt.,15,22
9:29,2460,Tywhon Pickford missed Free Throw.,15,22
9:29,2460,Northern Iowa Deadball Team Rebound.,15,22
9:29,2460,Tywhon Pickford missed Free Throw.,15,22
9:29,2460,Northern Iowa Deadball Team Rebound.,15,22
