Howard,2199,Eastern Michigan,47
time,team_id,description,h_score,a_score
19:40,2199,Tim Bond made Three Point Jumper. Assisted by Paul Jackson.,0,3
19:16,47,RJ Cole Turnover.,0,3
19:16,2199,Tim Bond Steal.,0,3
19:11,2199,Elijah Minnie missed Three Point Jumper.,0,3
19:11,47,Kyle Foster Defensive Rebound.,0,3
19:07,47,Kyle Foster Turnover.,0,3
19:06,2199,Paul Jackson Turnover.,0,3
19:04,47,RJ Cole Steal.,0,3
19:02,47,Charles Williams made Dunk. Assisted by RJ Cole.,2,3
18:47,2199,Tim Bond missed Three Point Jumper.,2,3
18:47,47,RJ Cole Defensive Rebound.,2,3
18:41,47,Charles Williams made Layup. Assisted by RJ Cole.,4,3
18:27,47,Foul on Cameron Lewis.,4,3
18:21,2199,James Thompson IV Turnover.,4,3
18:20,47,Charles Williams Steal.,4,3
18:14,47,Charles Williams missed Jumper.,4,3
18:14,47,Howard Offensive Rebound.,4,3
17:48,47,Jalen Jones made Layup. Assisted by Cameron Lewis.,6,3
17:48,2199,Foul on Elijah Minnie.,6,3
17:48,47,Jalen Jones made Free Throw.,7,3
17:34,47,Foul on Cameron Lewis.,7,3
17:22,47,Foul on Kyle Foster.,7,3
17:09,2199,James Thompson IV made Layup. Assisted by Terry Harris.,7,5
16:39,47,RJ Cole Turnover.,7,5
16:22,47,Foul on Marcus Hall.,7,5
16:22,2199,James Thompson IV made Free Throw.,7,6
16:22,2199,James Thompson IV made Free Throw.,7,7
15:59,47,Jalen Jones Turnover.,7,7
15:59,2199,Tim Bond Steal.,7,7
15:53,2199,Paul Jackson Turnover.,7,7
15:53,2199,Official TV Timeout,7,7
15:41,47,Charles Williams made Dunk. Assisted by RJ Cole.,9,7
15:21,47,Foul on Marcus Hall.,9,7
15:07,2199,James Thompson IV missed Jumper.,9,7
15:07,47,Kyle Foster Defensive Rebound.,9,7
14:34,47,Howard  Turnover.,9,7
14:16,2199,James Thompson IV missed Layup.,9,7
14:16,47,Zion Cousins Defensive Rebound.,9,7
14:02,47,Charles Williams made Jumper. Assisted by Kyle Foster.,11,7
13:51,47,Foul on Charles Williams.,11,7
13:51,2199,Elijah Minnie made Free Throw.,11,8
13:51,2199,Elijah Minnie made Free Throw.,11,9
13:23,47,RJ Cole missed Jumper.,11,9
13:23,2199,Paul Jackson Defensive Rebound.,11,9
13:14,2199,Ty Groce made Layup.,11,11
12:56,47,Charles Williams missed Three Point Jumper.,11,11
12:56,2199,James Thompson IV Defensive Rebound.,11,11
12:43,2199,Elijah Minnie missed Layup.,11,11
12:43,2199,Ty Groce Offensive Rebound.,11,11
12:40,2199,Ty Groce missed Layup.,11,11
12:40,2199,Eastern Michigan Offensive Rebound.,11,11
12:27,2199,Elijah Minnie missed Jumper.,11,11
12:27,2199,James Thompson IV Offensive Rebound.,11,11
12:23,2199,James Thompson IV made Layup.,11,13
12:23,47,Foul on Jalen Jones.,11,13
12:23,2199,James Thompson IV made Free Throw.,11,14
12:12,47,Charles Williams missed Jumper.,11,14
12:12,2199,Paul Jackson Defensive Rebound.,11,14
12:06,47,Foul on Charles Williams.,11,14
12:06,2199,Elijah Minnie made Free Throw.,11,15
12:06,2199,Elijah Minnie made Free Throw.,11,16
11:59,47,Kyle Foster missed Three Point Jumper.,11,16
11:59,2199,James Thompson IV Defensive Rebound.,11,16
11:51,47,Foul on Kai Tease.,11,16
11:51,2199,Official TV Timeout,11,16
11:51,2199,Paul Jackson made Free Throw.,11,17
11:51,2199,Paul Jackson made Free Throw.,11,18
11:34,2199,Foul on Ty Groce.,11,18
11:22,2199,Foul on James Thompson IV.,11,18
11:22,47,Jalen Jones missed Free Throw.,11,18
11:22,47,Howard Deadball Team Rebound.,11,18
11:22,47,Jalen Jones missed Free Throw.,11,18
11:22,47,Kai Tease Offensive Rebound.,11,18
11:20,47,Kai Tease made Layup.,13,18
11:08,2199,James Thompson IV missed Layup.,13,18
11:08,47,Jalen Jones Block.,13,18
11:06,47,Jalen Jones Defensive Rebound.,13,18
10:59,47,Kyle Foster Turnover.,13,18
10:40,2199,Terry Harris missed Three Point Jumper.,13,18
10:40,2199,Tim Bond Offensive Rebound.,13,18
10:29,2199,Ty Groce Turnover.,13,18
10:10,47,Kyle Foster missed Three Point Jumper.,13,18
10:10,2199,Elijah Minnie Defensive Rebound.,13,18
10:02,2199,Elijah Minnie made Three Point Jumper. Assisted by Ty Groce.,13,21
9:45,47,Howard  Timeout,13,21
9:31,47,Foul on Howard.,13,21
9:30,47,Technical Foul on Howard.,13,21
9:30,2199,Elijah Minnie made Free Throw.,13,22
9:30,2199,Elijah Minnie made Free Throw.,13,23
9:27,47,Howard  Turnover.,13,23
9:07,2199,Terry Harris missed Layup.,13,23
9:07,2199,James Thompson IV Offensive Rebound.,13,23
9:05,2199,James Thompson IV made Dunk.,13,25
8:41,47,RJ Cole missed Three Point Jumper.,13,25
8:41,2199,Tim Bond Defensive Rebound.,13,25
8:34,2199,Elijah Minnie missed Three Point Jumper.,13,25
8:34,2199,James Thompson IV Offensive Rebound.,13,25
8:08,2199,James Thompson IV Turnover.,13,25
8:07,47,RJ Cole Steal.,13,25
8:02,2199,Foul on Tim Bond.,13,25
8:02,47,RJ Cole missed Free Throw.,13,25
8:02,47,Howard Deadball Team Rebound.,13,25
8:02,47,RJ Cole missed Free Throw.,13,25
8:02,2199,James Thompson IV Defensive Rebound.,13,25
7:48,2199,Paul Jackson made Jumper.,13,27
7:38,2199,Foul on Paul Jackson.,13,27
7:38,2199,Official TV Timeout,13,27
7:31,47,Charles Williams missed Jumper.,13,27
7:31,2199,Eastern Michigan Defensive Rebound.,13,27
7:11,2199,James Thompson IV missed Layup.,13,27
7:11,47,Jalen Jones Defensive Rebound.,13,27
6:58,47,Cameron Lewis missed Layup.,13,27
6:58,2199,Eastern Michigan Defensive Rebound.,13,27
6:46,2199,James Thompson IV missed Layup.,13,27
6:46,47,Dalique Mingo Defensive Rebound.,13,27
6:38,47,Kai Tease missed Three Point Jumper.,13,27
6:38,47,Jalen Jones Offensive Rebound.,13,27
6:36,2199,Foul on Jordan Nobles.,13,27
6:31,47,Cameron Lewis Turnover.,13,27
6:30,2199,Tim Bond Steal.,13,27
6:25,2199,Paul Jackson missed Three Point Jumper.,13,27
6:25,47,Dalique Mingo Defensive Rebound.,13,27
6:11,47,Cameron Lewis made Layup.,15,27
5:51,2199,Paul Jackson made Jumper.,15,29
5:37,47,Dalique Mingo missed Three Point Jumper.,15,29
5:37,2199,Tim Bond Defensive Rebound.,15,29
5:30,2199,Tim Bond missed Layup.,15,29
5:30,2199,James Thompson IV Offensive Rebound.,15,29
5:27,2199,James Thompson IV made Dunk.,15,31
5:17,47,Jalen Jones missed Jumper.,15,31
5:17,2199,James Thompson IV Defensive Rebound.,15,31
5:10,2199,Paul Jackson made Layup.,15,33
5:07,47,Howard  Timeout,15,33
4:59,47,Nate Garvey made Three Point Jumper. Assisted by RJ Cole.,18,33
4:36,2199,Ty Groce Turnover.,18,33
4:36,2199,Foul on Ty Groce.,18,33
4:15,47,RJ Cole made Three Point Jumper. Assisted by Cameron Lewis.,21,33
3:49,2199,Malik Ellison missed Three Point Jumper.,21,33
3:49,47,RJ Cole Defensive Rebound.,21,33
3:38,47,Nate Garvey missed Three Point Jumper.,21,33
3:38,2199,Ty Groce Defensive Rebound.,21,33
3:28,2199,Official TV Timeout,21,33
3:13,2199,Elijah Minnie missed Jumper.,21,33
3:13,2199,Eastern Michigan Offensive Rebound.,21,33
2:57,2199,Jordan Nobles missed Jumper.,21,33
2:57,47,Jalen Jones Defensive Rebound.,21,33
2:39,2199,Foul on James Thompson IV.,21,33
2:39,47,Charles Williams made Free Throw.,22,33
2:39,47,Charles Williams made Free Throw.,23,33
2:22,2199,Tim Bond missed Three Point Jumper.,23,33
2:22,2199,Elijah Minnie Offensive Rebound.,23,33
2:19,2199,Elijah Minnie made Dunk.,23,35
2:00,47,Nate Garvey missed Three Point Jumper.,23,35
2:00,2199,Jordan Nobles Defensive Rebound.,23,35
1:55,2199,Tim Bond made Dunk. Assisted by Paul Jackson.,23,37
1:42,47,RJ Cole missed Jumper.,23,37
1:42,2199,Tim Bond Defensive Rebound.,23,37
1:14,2199,Tim Bond made Jumper.,23,39
0:56,47,Charles Williams missed Three Point Jumper.,23,39
0:56,2199,Tim Bond Defensive Rebound.,23,39
0:52,2199,Tim Bond Turnover.,23,39
0:34,47,Charles Williams missed Three Point Jumper.,23,39
0:34,2199,Paul Jackson Block.,23,39
0:32,2199,Elijah Minnie Defensive Rebound.,23,39
0:30,2199,Elijah Minnie made Dunk.,23,41
0:01,2199,Foul on Terry Harris.,23,41
0:01,47,Kyle Foster made Free Throw.,24,41
0:01,47,Kyle Foster made Free Throw.,25,41
0:01,47,Kyle Foster made Free Throw.,26,41
0:00,2199,End of 1st half,23,41
19:41,2199,Elijah Minnie Turnover.,26,41
19:32,47,Charles Williams made Jumper. Assisted by Nate Garvey.,28,41
19:10,47,Foul on Jalen Jones.,28,41
19:10,2199,James Thompson IV made Free Throw.,28,42
19:10,2199,James Thompson IV missed Free Throw.,28,42
19:10,47,RJ Cole Defensive Rebound.,28,42
18:47,47,Charles Williams made Jumper. Assisted by RJ Cole.,30,42
18:34,2199,Tim Bond missed Three Point Jumper.,30,42
18:34,47,RJ Cole Defensive Rebound.,30,42
18:26,47,Charles Williams missed Jumper.,30,42
18:26,47,Jalen Jones Offensive Rebound.,30,42
18:23,47,Jalen Jones made Two Point Tip Shot.,32,42
18:03,47,Foul on Nate Garvey.,32,42
17:53,2199,James Thompson IV Turnover.,32,42
17:52,47,RJ Cole Steal.,32,42
17:49,2199,Foul on Paul Jackson.,32,42
17:36,47,RJ Cole missed Three Point Jumper.,32,42
17:36,2199,Jordan Nobles Defensive Rebound.,32,42
17:24,47,Foul on Nate Garvey.,32,42
17:12,47,Foul on Kyle Foster.,32,42
17:01,2199,James Thompson IV missed Layup.,32,42
17:01,47,Jalen Jones Defensive Rebound.,32,42
16:54,47,Charles Williams missed Three Point Jumper.,32,42
16:54,2199,Terry Harris Defensive Rebound.,32,42
16:47,2199,Terry Harris missed Layup.,32,42
16:47,47,Charles Williams Block.,32,42
16:47,2199,Eastern Michigan Offensive Rebound.,32,42
16:40,2199,Paul Jackson missed Three Point Jumper.,32,42
16:40,2199,James Thompson IV Offensive Rebound.,32,42
16:38,47,Foul on Marcus Hall.,32,42
16:25,47,Foul on Marcus Hall.,32,42
16:07,2199,Paul Jackson made Jumper.,32,44
15:53,47,Kyle Foster Turnover.,32,44
15:52,2199,Paul Jackson Steal.,32,44
15:51,2199,Paul Jackson missed Layup.,32,44
15:51,2199,Terry Harris Offensive Rebound.,32,44
15:46,2199,Terry Harris made Two Point Tip Shot.,32,46
15:31,47,Charles Williams missed Jumper.,32,46
15:31,2199,Jordan Nobles Defensive Rebound.,32,46
15:10,47,Foul on Cameron Lewis.,32,46
15:10,2199,Official TV Timeout,32,46
15:10,2199,Paul Jackson made Free Throw.,32,47
15:10,2199,Paul Jackson made Free Throw.,32,48
14:42,47,Charles Williams missed Jumper.,32,48
14:42,2199,Elijah Minnie Defensive Rebound.,32,48
14:40,47,Foul on Cameron Lewis.,32,48
14:40,2199,Elijah Minnie made Free Throw.,32,49
14:40,2199,Elijah Minnie made Free Throw.,32,50
14:23,47,RJ Cole missed Three Point Jumper.,32,50
14:23,2199,Eastern Michigan Defensive Rebound.,32,50
13:59,47,Foul on Jalen Jones.,32,50
13:59,2199,Paul Jackson made Free Throw.,32,51
13:59,2199,Paul Jackson made Free Throw.,32,52
13:40,47,Zion Cousins made Dunk. Assisted by RJ Cole.,34,52
13:40,2199,Foul on Elijah Minnie.,34,52
13:38,47,Zion Cousins missed Free Throw.,34,52
13:38,2199,James Thompson IV Defensive Rebound.,34,52
13:19,2199,James Thompson IV made Dunk. Assisted by Kevin McAdoo.,34,54
12:58,47,RJ Cole missed Three Point Jumper.,34,54
12:58,47,Zion Cousins Offensive Rebound.,34,54
12:54,47,Zion Cousins made Layup.,36,54
12:38,2199,James Thompson IV made Dunk. Assisted by Jordan Nobles.,36,56
12:13,2199,Foul on Kevin McAdoo.,36,56
12:04,47,RJ Cole made Jumper.,38,56
11:35,2199,Kevin McAdoo Turnover.,38,56
11:34,47,Kai Tease Steal.,38,56
11:30,2199,Foul on Paul Jackson.,38,56
11:30,2199,Official TV Timeout,38,56
11:30,47,RJ Cole made Free Throw.,39,56
11:30,47,RJ Cole made Free Throw.,40,56
11:12,2199,Ty Groce made Three Point Jumper. Assisted by Paul Jackson.,40,59
10:57,47,Charles Williams made Jumper. Assisted by Zion Cousins.,42,59
10:36,2199,Ty Groce made Dunk. Assisted by Paul Jackson.,42,61
10:18,47,Kai Tease made Three Point Jumper. Assisted by Jalen Jones.,45,61
10:02,2199,James Thompson IV Turnover.,45,61
10:02,2199,Foul on James Thompson IV.,45,61
9:57,47,Kai Tease missed Three Point Jumper.,45,61
9:57,2199,James Thompson IV Defensive Rebound.,45,61
9:49,2199,Paul Jackson missed Jumper.,45,61
9:49,47,Charles Williams Defensive Rebound.,45,61
9:41,47,RJ Cole made Layup.,47,61
9:40,2199,Foul on Paul Jackson.,47,61
9:40,47,RJ Cole made Free Throw.,48,61
9:20,2199,Elijah Minnie made Layup. Assisted by James Thompson IV.,48,63
8:54,2199,Foul on Kevin McAdoo.,48,63
8:54,47,Kai Tease made Free Throw.,49,63
8:54,47,Kai Tease made Free Throw.,50,63
8:33,2199,Tim Bond missed Layup.,50,63
8:33,47,Jalen Jones Defensive Rebound.,50,63
8:24,47,Charles Williams missed Three Point Jumper.,50,63
8:24,2199,Tim Bond Defensive Rebound.,50,63
8:19,47,Foul on Jalen Jones.,50,63
8:19,2199,Elijah Minnie made Free Throw.,50,64
8:19,2199,Elijah Minnie missed Free Throw.,50,64
8:19,2199,Ty Groce Offensive Rebound.,50,64
8:02,2199,Elijah Minnie made Three Point Jumper. Assisted by Paul Jackson.,50,67
7:48,47,Charles Williams missed Three Point Jumper.,50,67
7:48,2199,James Thompson IV Defensive Rebound.,50,67
7:28,2199,Elijah Minnie missed Three Point Jumper.,50,67
7:28,2199,Ty Groce Offensive Rebound.,50,67
7:10,2199,Terry Harris made Three Point Jumper. Assisted by Paul Jackson.,50,70
6:50,47,RJ Cole made Layup.,52,70
6:23,47,Foul on RJ Cole.,52,70
6:23,2199,Official TV Timeout,52,70
6:23,2199,James Thompson IV made Free Throw.,52,71
6:23,2199,James Thompson IV missed Free Throw.,52,71
6:23,47,Cameron Lewis Defensive Rebound.,52,71
6:11,47,Kyle Foster missed Three Point Jumper.,52,71
6:11,47,Jalen Jones Offensive Rebound.,52,71
6:09,2199,Foul on Ty Groce.,52,71
6:09,47,Jalen Jones missed Free Throw.,52,71
6:09,47,Howard Deadball Team Rebound.,52,71
