Seattle,2174,Detroit Mercy,2547
time,team_id,description,h_score,a_score
19:50,2174,Jermaine Jackson Jr. missed Jumper.,0,0
19:50,2547,Jordan Hill Defensive Rebound.,0,0
19:41,2174,Foul on Gerald Blackshear Jr..,0,0
19:41,2547,Jordan Hill missed Free Throw.,0,0
19:41,2547,Seattle Deadball Team Rebound.,0,0
19:41,2547,Jordan Hill made Free Throw.,1,0
19:29,2174,Gerald Blackshear Jr. made Jumper. Assisted by Corey Allen.,1,2
19:14,2547,Jordan Hill Turnover.,1,2
19:14,2174,Gerald Blackshear Jr. Steal.,1,2
19:05,2174,Corey Allen made Jumper.,1,4
18:47,2547,Scott Ulaneo missed Three Point Jumper.,1,4
18:47,2174,Kameron Chatman Defensive Rebound.,1,4
18:39,2174,Josh McFolley missed Three Point Jumper.,1,4
18:39,2547,Scott Ulaneo Defensive Rebound.,1,4
18:24,2547,Jordan Hill Turnover.,1,4
18:23,2174,Jermaine Jackson Jr. Steal.,1,4
18:21,2547,Foul on Morgan Means.,1,4
18:21,2174,Jermaine Jackson Jr. made Free Throw.,1,5
18:21,2174,Jermaine Jackson Jr. made Free Throw.,1,6
18:09,2547,Morgan Means missed Jumper.,1,6
18:09,2547,Aaron Menzies Offensive Rebound.,1,6
18:05,2547,Aaron Menzies missed Jumper.,1,6
18:05,2174,Gerald Blackshear Jr. Block.,1,6
18:03,2174,Gerald Blackshear Jr. Defensive Rebound.,1,6
17:50,2174,Jermaine Jackson Jr. missed Three Point Jumper.,1,6
17:50,2547,Aaron Menzies Defensive Rebound.,1,6
17:30,2547,Scott Ulaneo Turnover.,1,6
17:29,2174,Gerald Blackshear Jr. Steal.,1,6
17:25,2174,Corey Allen missed Jumper.,1,6
17:25,2547,Morgan Means Defensive Rebound.,1,6
17:06,2547,Josh Hearlihy missed Jumper.,1,6
17:06,2174,Jermaine Jackson Jr. Defensive Rebound.,1,6
17:05,2547,Foul on Jordan Hill.,1,6
16:56,2174,Kameron Chatman made Jumper.,1,8
16:29,2547,Josh Hearlihy made Jumper.,3,8
16:29,2174,Foul on Kameron Chatman.,3,8
16:29,2547,Josh Hearlihy missed Free Throw.,3,8
16:29,2174,Kameron Chatman Defensive Rebound.,3,8
16:21,2174,Kameron Chatman missed Three Point Jumper.,3,8
16:21,2547,Jordan Hill Defensive Rebound.,3,8
16:11,2174,Foul on Kameron Chatman.,3,8
16:04,2547,Matej Kavas missed Three Point Jumper.,3,8
16:04,2174,Corey Allen Defensive Rebound.,3,8
15:52,2174,Gerald Blackshear Jr. missed Layup.,3,8
15:52,2547,Matej Kavas Defensive Rebound.,3,8
15:29,2547,Aaron Menzies made Layup. Assisted by Josh Hearlihy.,5,8
15:14,2547,Foul on Jordan Hill.,5,8
15:14,2174,Official TV Timeout,5,8
15:02,2174,Jaleel Hogan missed Jumper.,5,8
15:02,2547,Morgan Means Defensive Rebound.,5,8
14:47,2547,Josh Hearlihy Turnover.,5,8
14:43,2547,Foul on Scott Ulaneo.,5,8
14:43,2174,Jaleel Hogan made Free Throw.,5,9
14:43,2174,Jaleel Hogan made Free Throw.,5,10
14:34,2174,Foul on Jaleel Hogan.,5,10
14:22,2547,Josh Hearlihy Turnover.,5,10
14:13,2174,Jaleel Hogan made Jumper.,5,12
13:54,2174,Foul on Jaleel Hogan.,5,12
13:49,2547,Richaud Gittens made Jumper.,7,12
13:38,2174,Jermaine Jackson Jr. missed Jumper.,7,12
13:38,2547,Matej Kavas Block.,7,12
13:36,2174,Jaleel Hogan Offensive Rebound.,7,12
13:33,2174,Corey Allen missed Three Point Jumper.,7,12
13:33,2174,Jaleel Hogan Offensive Rebound.,7,12
13:20,2547,Foul on Richaud Gittens.,7,12
13:20,2174,Foul on Corey Allen.,7,12
13:20,2174,Corey Allen Turnover.,7,12
13:07,2547,Morgan Means Turnover.,7,12
12:54,2174,Jaleel Hogan made Layup.,7,14
12:39,2547,Matej Kavas missed Jumper.,7,14
12:39,2174,Jaleel Hogan Defensive Rebound.,7,14
12:22,2174,Jaleel Hogan missed Jumper.,7,14
12:22,2174,Roschon Prince Offensive Rebound.,7,14
12:19,2547,Foul on Morgan Means.,7,14
12:10,2174,Corey Allen missed Jumper.,7,14
12:10,2174,Roschon Prince Offensive Rebound.,7,14
12:06,2174,Roschon Prince missed Jumper.,7,14
12:06,2547,Aaron Menzies Block.,7,14
12:04,2547,Aaron Menzies Defensive Rebound.,7,14
11:52,2547,Jordan Hill made Three Point Jumper. Assisted by Josh Hearlihy.,10,14
11:28,2174,Josh McFolley missed Jumper.,10,14
11:28,2547,Aaron Menzies Defensive Rebound.,10,14
11:13,2547,Richaud Gittens made Three Point Jumper. Assisted by Matej Kavas.,13,14
10:56,2174,Foul on Corey Allen.,13,14
10:56,2174,Corey Allen Turnover.,13,14
10:56,2174,Official TV Timeout,13,14
10:41,2547,Aaron Menzies made Layup. Assisted by Matej Kavas.,15,14
10:12,2174,Josh McFolley made Three Point Jumper.,15,17
9:57,2547,Jordan Hill made Three Point Jumper. Assisted by Josh Hearlihy.,18,17
9:30,2174,Jermaine Jackson Jr. Turnover.,18,17
9:29,2547,Richaud Gittens Steal.,18,17
9:23,2547,Matej Kavas made Three Point Jumper. Assisted by Josh Hearlihy.,21,17
9:05,2174,Josh McFolley Turnover.,21,17
8:56,2547,Matej Kavas made Jumper.,23,17
8:35,2174,DeShawndre Black made Layup.,23,19
8:35,2547,Foul on Matej Kavas.,23,19
8:35,2174,DeShawndre Black missed Free Throw.,23,19
8:35,2547,Mattia Da Campo Defensive Rebound.,23,19
8:28,2174,Foul on DeShawndre Black.,23,19
8:28,2547,Jordan Hill made Free Throw.,24,19
8:28,2547,Jordan Hill made Free Throw.,25,19
8:17,2174,Corey Allen made Three Point Jumper. Assisted by Jermaine Jackson Jr..,25,22
7:57,2547,Aaron Nettles made Three Point Jumper. Assisted by Mattia Da Campo.,28,22
7:44,2174,DeShawndre Black Turnover.,28,22
7:43,2547,Aaron Nettles Steal.,28,22
7:41,2547,Richaud Gittens made Layup.,30,22
7:27,2547,Foul on Scott Ulaneo.,30,22
7:27,2174,Official TV Timeout,30,22
7:27,2174,Corey Allen made Free Throw.,30,23
7:27,2174,Corey Allen made Free Throw.,30,24
7:21,2547,Jake Spurgeon missed Three Point Jumper.,30,24
7:21,2547,Josh Hearlihy Offensive Rebound.,30,24
7:16,2547,Josh Hearlihy made Jumper.,32,24
6:50,2174,Kameron Chatman missed Jumper.,32,24
6:50,2547,Jake Spurgeon Defensive Rebound.,32,24
6:47,2174,Foul on Gerald Blackshear Jr..,32,24
6:47,2547,Jake Spurgeon made Free Throw.,33,24
6:47,2547,Jake Spurgeon missed Free Throw.,33,24
6:47,2174,Gerald Blackshear Jr. Defensive Rebound.,33,24
6:35,2174,Kameron Chatman made Jumper.,33,26
6:15,2547,Jake Spurgeon Turnover.,33,26
6:03,2174,Jermaine Jackson Jr. missed Three Point Jumper.,33,26
6:03,2547,Mattia Da Campo Defensive Rebound.,33,26
5:50,2547,Matej Kavas Turnover.,33,26
5:48,2174,Gerald Blackshear Jr. Steal.,33,26
5:43,2174,Gerald Blackshear Jr. made Jumper. Assisted by Jermaine Jackson Jr..,33,28
5:40,2547,Seattle  Timeout,33,28
5:31,2547,Josh Hearlihy Turnover.,33,28
5:12,2174,Roschon Prince missed Layup.,33,28
5:12,2174,Roschon Prince Offensive Rebound.,33,28
5:12,2547,Foul on Matej Kavas.,33,28
5:12,2174,Roschon Prince made Free Throw.,33,29
5:11,2174,Roschon Prince made Free Throw.,33,30
4:50,2547,Aaron Nettles missed Three Point Jumper.,33,30
4:50,2174,Jermaine Jackson Jr. Block.,33,30
4:46,2174,Kameron Chatman Defensive Rebound.,33,30
4:39,2174,Detroit Mercy  Timeout,33,30
4:32,2174,Roschon Prince made Jumper.,33,32
3:59,2547,Josh Hearlihy made Layup.,35,32
3:59,2174,Foul on Jermaine Jackson Jr..,35,32
3:59,2174,Official TV Timeout,35,32
3:59,2547,Josh Hearlihy missed Free Throw.,35,32
3:59,2174,Gerald Blackshear Jr. Defensive Rebound.,35,32
3:47,2547,Foul on Richaud Gittens.,35,32
3:47,2174,Jermaine Jackson Jr. made Free Throw.,35,33
3:47,2174,Jermaine Jackson Jr. made Free Throw.,35,34
3:35,2547,Josh Hearlihy Turnover.,35,34
3:34,2174,Kameron Chatman Steal.,35,34
3:26,2174,Foul on Jermaine Jackson Jr..,35,34
3:26,2174,Jermaine Jackson Jr. Turnover.,35,34
3:13,2547,Aaron Menzies made Layup.,37,34
3:13,2174,Foul on Cole Long.,37,34
3:13,2547,Aaron Menzies made Free Throw.,38,34
3:03,2174,Roschon Prince missed Layup.,38,34
3:03,2547,Jordan Hill Defensive Rebound.,38,34
2:51,2547,Josh Hearlihy made Three Point Jumper. Assisted by Aaron Menzies.,41,34
2:38,2174,Cole Long missed Three Point Jumper.,41,34
2:38,2174,Detroit Mercy Offensive Rebound.,41,34
2:28,2174,Kameron Chatman missed Jumper.,41,34
2:28,2547,Aaron Menzies Defensive Rebound.,41,34
2:16,2174,Foul on Roschon Prince.,41,34
2:16,2547,Aaron Nettles made Free Throw.,42,34
2:16,2547,Aaron Nettles made Free Throw.,43,34
2:06,2174,Jermaine Jackson Jr. made Jumper.,43,36
1:50,2547,Josh Hearlihy missed Jumper.,43,36
1:50,2174,Kameron Chatman Defensive Rebound.,43,36
1:41,2174,Kameron Chatman missed Jumper.,43,36
1:41,2547,Seattle Defensive Rebound.,43,36
1:25,2547,Josh Hearlihy missed Jumper.,43,36
1:25,2174,Kameron Chatman Block.,43,36
1:24,2547,Aaron Nettles Offensive Rebound.,43,36
1:21,2547,Josh Hearlihy missed Jumper.,43,36
1:21,2547,Aaron Menzies Offensive Rebound.,43,36
1:18,2547,Aaron Menzies made Dunk.,45,36
1:04,2174,Jermaine Jackson Jr. Turnover.,45,36
1:04,2547,Mattia Da Campo Steal.,45,36
0:55,2174,Foul on Josh McFolley.,45,36
0:55,2547,Aaron Nettles made Free Throw.,46,36
0:55,2547,Aaron Nettles made Free Throw.,47,36
0:47,2547,Foul on Mattia Da Campo.,47,36
0:47,2174,Corey Allen made Free Throw.,47,37
0:47,2174,Corey Allen made Free Throw.,47,38
0:28,2547,Josh Hearlihy missed Jumper.,47,38
0:28,2547,Mattia Da Campo Offensive Rebound.,47,38
0:05,2174,Foul on Kameron Chatman.,47,38
0:05,2547,Josh Hearlihy made Free Throw.,48,38
0:05,2547,Josh Hearlihy made Free Throw.,49,38
0:00,2174,DeShawndre Black made Layup.,49,40
0:00,2174,End of 1st half,49,40
19:35,2547,Jordan Hill Turnover.,49,40
19:24,2174,Jermaine Jackson Jr. missed Jumper.,49,40
19:24,2547,Josh Hearlihy Defensive Rebound.,49,40
19:09,2547,Morgan Means made Three Point Jumper.,52,40
18:53,2174,Jaleel Hogan missed Jumper.,52,40
18:53,2547,Aaron Menzies Defensive Rebound.,52,40
18:39,2547,Josh Hearlihy made Three Point Jumper. Assisted by Morgan Means.,55,40
18:29,2547,Foul on Josh Hearlihy.,55,40
18:18,2174,Corey Allen made Three Point Jumper. Assisted by Josh McFolley.,55,43
18:03,2174,Foul on Jaleel Hogan.,55,43
17:54,2547,Morgan Means Turnover.,55,43
17:37,2174,Jermaine Jackson Jr. Turnover.,55,43
17:36,2547,Foul on Aaron Menzies.,55,43
17:35,2547,Aaron Menzies Turnover.,55,43
17:07,2174,Jaleel Hogan missed Jumper.,55,43
17:07,2547,Aaron Menzies Block.,55,43
17:05,2174,Jaleel Hogan Offensive Rebound.,55,43
17:02,2174,Josh McFolley missed Three Point Jumper.,55,43
17:02,2547,Morgan Means Defensive Rebound.,55,43
16:48,2547,Scott Ulaneo Turnover.,55,43
16:48,2174,Detroit Mercy  Timeout,55,43
16:36,2174,Foul on Corey Allen.,55,43
16:36,2174,Corey Allen Turnover.,55,43
16:12,2174,Foul on Josh McFolley.,55,43
16:00,2547,Matej Kavas made Three Point Jumper. Assisted by Jordan Hill.,58,43
15:40,2174,Jermaine Jackson Jr. missed Jumper.,58,43
15:40,2547,Aaron Menzies Defensive Rebound.,58,43
15:29,2547,Jordan Hill missed Jumper.,58,43
15:29,2547,Jordan Hill Offensive Rebound.,58,43
15:26,2547,Morgan Means missed Three Point Jumper.,58,43
15:26,2174,Corey Allen Defensive Rebound.,58,43
15:19,2174,Corey Allen made Layup.,58,45
