Montana State,2348,Louisiana Tech,147
time,team_id,description,h_score,a_score
19:39,147,Keljin Blevins made Layup.,2,0
19:18,2348,Jalen Harris Turnover.,2,0
19:15,147,Keljin Blevins Steal.,2,0
19:00,147,Devonte Klines missed Layup.,2,0
19:00,2348,Jacobi Boykins Defensive Rebound.,2,0
18:52,2348,DaQuan Bracey missed Three Point Jumper.,2,0
18:52,2348,Jalen Harris Offensive Rebound.,2,0
18:52,2348,Jalen Harris made Layup.,2,2
18:03,147,Harald Frey missed Jumper.,2,2
18:03,2348,Joniah White Defensive Rebound.,2,2
17:51,2348,Jacobi Boykins missed Three Point Jumper.,2,2
17:51,147,Harald Frey Defensive Rebound.,2,2
17:30,147,Joe Mvuezolo Jr. missed Three Point Jumper.,2,2
17:30,2348,Jacobi Boykins Defensive Rebound.,2,2
17:26,2348,DaQuan Bracey Turnover.,2,2
17:14,147,Devonte Klines made Jumper.,4,2
16:58,2348,DaQuan Bracey Turnover.,4,2
16:56,147,Keljin Blevins Steal.,4,2
16:49,147,Keljin Blevins made Dunk.,6,2
16:35,2348,Jy'lan Washington missed Three Point Jumper.,6,2
16:35,147,Sam Neumann Defensive Rebound.,6,2
16:23,147,Joe Mvuezolo Jr. Turnover.,6,2
16:21,2348,Jacobi Boykins Steal.,6,2
16:00,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,6,5
15:44,147,Isaac Bonton missed Jumper.,6,5
15:44,147,Montana State Offensive Rebound.,6,5
15:43,2348,Official TV Timeout,6,5
15:21,2348,Jy'lan Washington missed Three Point Jumper.,6,5
15:21,147,Isaac Bonton Defensive Rebound.,6,5
15:01,147,Keljin Blevins missed Three Point Jumper.,6,5
15:01,2348,Derric Jean Defensive Rebound.,6,5
14:51,2348,DaQuan Bracey missed Jumper.,6,5
14:51,2348,DaQuan Bracey Offensive Rebound.,6,5
14:36,2348,Jy'lan Washington missed Three Point Jumper.,6,5
14:36,147,Isaac Bonton Defensive Rebound.,6,5
14:09,147,Konner Frey made Jumper. Assisted by Harald Frey.,8,5
13:47,2348,Derric Jean missed Three Point Jumper.,8,5
13:47,147,Zach Green Defensive Rebound.,8,5
13:39,147,Isaac Bonton made Jumper.,10,5
13:19,147,Foul on Keljin Blevins.,10,5
13:19,2348,DaQuan Bracey missed Free Throw.,10,5
13:19,2348,Louisiana Tech Deadball Team Rebound.,10,5
13:19,2348,DaQuan Bracey missed Free Throw.,10,5
13:19,147,Konner Frey Defensive Rebound.,10,5
12:54,147,Zach Green made Jumper.,12,5
12:54,2348,Foul on Jacobi Boykins.,12,5
12:54,147,Zach Green made Free Throw.,13,5
12:30,147,Foul on Zach Green.,13,5
12:30,2348,Jacobi Boykins made Free Throw.,13,6
12:30,2348,Jacobi Boykins made Free Throw.,13,7
12:30,2348,Jacobi Boykins made Free Throw.,13,8
12:17,147,Foul on Luke Schultz.,13,8
12:17,147,Luke Schultz Turnover.,13,8
12:06,2348,Jalen Harris Turnover.,13,8
11:43,147,Devonte Klines missed Jumper.,13,8
11:43,147,Konner Frey Offensive Rebound.,13,8
11:39,147,Keljin Blevins missed Jumper.,13,8
11:39,2348,Anthony Duruji Block.,13,8
11:39,2348,Anthony Duruji Defensive Rebound.,13,8
11:28,2348,Oliver Powell missed Layup.,13,8
11:28,147,Isaac Bonton Defensive Rebound.,13,8
11:19,147,Isaac Bonton made Jumper.,15,8
11:00,2348,Jacobi Boykins made Three Point Jumper. Assisted by Jalen Harris.,15,11
10:42,147,Foul on Devonte Klines.,15,11
10:42,2348,Official TV Timeout,15,11
10:24,2348,Joniah White missed Layup.,15,11
10:24,147,Joe Mvuezolo Jr. Block.,15,11
10:16,147,Isaac Bonton Defensive Rebound.,15,11
10:08,147,Isaac Bonton missed Jumper.,15,11
10:07,2348,DaQuan Bracey Block.,15,11
10:06,2348,Jalen Harris Defensive Rebound.,15,11
9:59,2348,DaQuan Bracey missed Three Point Jumper.,15,11
9:59,2348,Anthony Duruji Offensive Rebound.,15,11
9:56,2348,Anthony Duruji missed Jumper.,15,11
9:56,147,Joe Mvuezolo Jr. Defensive Rebound.,15,11
9:33,147,Joe Mvuezolo Jr. missed Layup.,15,11
9:33,2348,Louisiana Tech Defensive Rebound.,15,11
9:33,147,Foul on Sam Neumann.,15,11
9:08,2348,Jalen Harris missed Jumper.,15,11
9:08,2348,Anthony Duruji Offensive Rebound.,15,11
9:05,2348,Anthony Duruji made Jumper.,15,13
9:03,147,Foul on Harald Frey.,15,13
9:03,2348,Anthony Duruji made Free Throw.,15,14
8:33,147,Sam Neumann Turnover.,15,14
8:20,2348,Foul on Derric Jean.,15,14
8:20,2348,Derric Jean Turnover.,15,14
8:02,2348,Foul on Anthony Duruji.,15,14
8:02,147,Joe Mvuezolo Jr. missed Free Throw.,15,14
8:02,147,Montana State Deadball Team Rebound.,15,14
8:02,147,Joe Mvuezolo Jr. made Free Throw.,16,14
7:48,2348,Foul on Joniah White.,16,14
7:48,2348,Joniah White Turnover.,16,14
7:42,147,Joe Mvuezolo Jr. made Three Point Jumper. Assisted by Harald Frey.,19,14
7:18,2348,Jalen Harris made Three Point Jumper. Assisted by DaQuan Bracey.,19,17
6:50,147,Harald Frey made Three Point Jumper. Assisted by Joe Mvuezolo Jr..,22,17
6:31,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,22,20
5:50,2348,Foul on Jy'lan Washington.,22,20
5:46,147,Keljin Blevins Turnover.,22,20
5:30,2348,Joniah White Turnover.,22,20
5:24,147,Keljin Blevins missed Layup.,22,20
5:24,147,Keljin Blevins Offensive Rebound.,22,20
4:36,147,Keljin Blevins missed Layup.,22,20
4:35,2348,Joniah White Block.,22,20
4:34,2348,Louisiana Tech Defensive Rebound.,22,20
4:33,2348,DaQuan Bracey made Layup.,22,22
4:22,147,Harald Frey Turnover.,22,22
4:20,147,Foul on Joe Mvuezolo Jr..,22,22
4:20,2348,Jalen Harris made Free Throw.,22,23
4:20,2348,Jalen Harris missed Free Throw.,22,23
4:20,147,Luke Schultz Defensive Rebound.,22,23
4:15,147,Harald Frey made Layup.,24,23
4:03,147,Foul on Luke Schultz.,24,23
4:03,2348,Jacobi Boykins made Free Throw.,24,24
4:03,2348,Jacobi Boykins made Free Throw.,24,25
3:50,147,Devonte Klines missed Three Point Jumper.,24,25
3:50,2348,Exavian Christon Defensive Rebound.,24,25
3:45,2348,Exavian Christon missed Jumper.,24,25
3:45,147,Isaac Bonton Defensive Rebound.,24,25
3:38,147,Isaac Bonton Turnover.,24,25
3:38,2348,Official TV Timeout,24,25
