Weber State,256,James Madison,2692
time,team_id,description,h_score,a_score
19:46,256,Foul on Darius Banks.,0,0
19:46,2692,Zach Braxton missed Free Throw.,0,0
19:46,2692,Weber State Deadball Team Rebound.,0,0
19:46,2692,Zach Braxton made Free Throw.,1,0
19:24,256,Darius Banks missed Jumper.,1,0
19:24,2692,Michal Kozak Defensive Rebound.,1,0
19:16,2692,Jerrick Harding missed Layup.,1,0
19:16,256,Ramone Snowden Defensive Rebound.,1,0
19:08,256,Ramone Snowden Turnover.,1,0
18:59,256,Foul on Joey McLean.,1,0
18:59,2692,Brekkott Chapman made Free Throw.,2,0
18:59,2692,Brekkott Chapman made Free Throw.,3,0
18:36,2692,Foul on Ryan Richardson.,3,0
18:26,256,Greg Jones missed Jumper.,3,0
18:26,256,Joey McLean Offensive Rebound.,3,0
18:01,256,Joey McLean made Three Point Jumper.,3,3
17:42,2692,Michal Kozak Turnover.,3,3
17:40,256,Stuckey Mosley Steal.,3,3
17:38,256,Stuckey Mosley made Layup.,3,5
17:09,256,Foul on Develle Phillips.,3,5
17:09,2692,Jerrick Harding made Free Throw.,4,5
17:09,2692,Jerrick Harding made Free Throw.,5,5
16:57,2692,Foul on Brekkott Chapman.,5,5
16:40,2692,Foul on Brekkott Chapman.,5,5
16:40,256,Ramone Snowden missed Free Throw.,5,5
16:40,256,James Madison Deadball Team Rebound.,5,5
16:40,256,Ramone Snowden missed Free Throw.,5,5
16:40,2692,Zach Braxton Defensive Rebound.,5,5
16:19,2692,Michal Kozak Turnover.,5,5
16:18,256,Ramone Snowden Steal.,5,5
16:14,256,Darius Banks missed Layup.,5,5
16:14,256,Develle Phillips Offensive Rebound.,5,5
16:11,256,Develle Phillips made Two Point Tip Shot.,5,7
15:52,2692,Jerrick Harding made Layup.,7,7
15:35,256,Joey McLean made Three Point Jumper. Assisted by Develle Phillips.,7,10
15:10,2692,Zach Braxton made Layup. Assisted by Dusty Baker.,9,10
15:10,256,Foul on Develle Phillips.,9,10
15:10,256,Official TV Timeout,9,10
15:10,2692,Zach Braxton made Free Throw.,10,10
14:40,256,Ramone Snowden made Three Point Jumper. Assisted by Darius Banks.,10,13
14:14,256,Foul on Develle Phillips.,10,13
14:14,2692,Zach Braxton made Free Throw.,11,13
14:14,2692,Zach Braxton made Free Throw.,12,13
13:46,256,Joey McLean missed Three Point Jumper.,12,13
13:46,256,Cameron Smith Offensive Rebound.,12,13
13:37,256,Cameron Smith Turnover.,12,13
13:25,2692,Michal Kozak Turnover.,12,13
13:02,256,Stuckey Mosley made Layup. Assisted by Cameron Smith.,12,15
13:02,2692,Foul on Ricky Nelson.,12,15
13:02,256,Stuckey Mosley made Free Throw.,12,16
12:54,2692,Brekkott Chapman Turnover.,12,16
12:51,256,Matt Lewis made Layup. Assisted by Ramone Snowden.,12,18
12:35,2692,Ricky Nelson missed Jumper.,12,18
12:35,256,Zach Jacobs Defensive Rebound.,12,18
12:16,256,Stuckey Mosley missed Jumper.,12,18
12:16,2692,Dusty Baker Defensive Rebound.,12,18
12:03,256,Foul on Cameron Smith.,12,18
12:03,2692,Dusty Baker made Free Throw.,13,18
12:03,2692,Dusty Baker made Free Throw.,14,18
11:36,256,Ramone Snowden missed Three Point Jumper.,14,18
11:36,2692,Dusty Baker Defensive Rebound.,14,18
11:24,2692,Jerrick Harding made Layup.,16,18
11:11,2692,Foul on Trevon Ary-Turner.,16,18
11:11,256,Official TV Timeout,16,18
10:56,256,Matt Lewis Turnover.,16,18
10:55,2692,Dusty Baker Steal.,16,18
10:53,2692,Dusty Baker Turnover.,16,18
10:52,256,Cameron Smith Steal.,16,18
10:47,256,Antanee Pinkard Turnover.,16,18
10:28,2692,Michal Kozak made Layup. Assisted by Dusty Baker.,18,18
9:58,256,Cameron Smith made Layup. Assisted by Matt Lewis.,18,20
9:37,2692,Trevon Ary-Turner made Three Point Jumper. Assisted by Ricky Nelson.,21,20
9:24,256,Joey McLean made Layup.,21,22
8:58,2692,Dusty Baker made Layup.,23,22
8:39,256,Matt Lewis made Layup.,23,24
8:38,256,James Madison  Timeout,23,24
8:34,2692,Ryan Richardson missed Three Point Jumper.,23,24
8:34,256,Greg Jones Defensive Rebound.,23,24
8:15,256,Joey McLean made Layup. Assisted by Zach Jacobs.,23,26
7:55,2692,Dusty Baker made Three Point Jumper. Assisted by Ryan Richardson.,26,26
