Marshall,356,Illinois,276
time,team_id,description,h_score,a_score
19:38,276,Ajdin Penava made Layup. Assisted by Milan Mijovic.,2,0
19:27,356,Mark Smith missed Jumper.,2,0
19:27,276,Ajdin Penava Block.,2,0
19:25,356,Illinois Offensive Rebound.,2,0
19:03,356,Leron Black missed Jumper.,2,0
19:03,276,C.J. Burks Defensive Rebound.,2,0
18:50,276,Jarrod West made Three Point Jumper. Assisted by Jon Elmore.,5,0
18:36,356,Mark Smith missed Three Point Jumper.,5,0
18:36,276,Jarrod West Defensive Rebound.,5,0
18:28,276,C.J. Burks Turnover.,5,0
18:04,356,Michael Finke made Three Point Jumper. Assisted by Te'Jon Lucas.,5,3
17:53,276,C.J. Burks made Jumper. Assisted by Ajdin Penava.,7,3
17:26,356,Leron Black made Jumper.,7,5
17:13,276,Jon Elmore missed Three Point Jumper.,7,5
17:13,356,Illinois Defensive Rebound.,7,5
17:05,356,Mark Alstork made Three Point Jumper. Assisted by Te'Jon Lucas.,7,8
16:50,276,Jon Elmore missed Jumper.,7,8
16:50,356,Mark Alstork Defensive Rebound.,7,8
16:42,356,Mark Smith made Layup. Assisted by Mark Alstork.,7,10
16:30,276,Jarrod West made Three Point Jumper. Assisted by Milan Mijovic.,10,10
16:13,276,Foul on Ajdin Penava.,10,10
16:13,356,Mark Alstork made Free Throw.,10,11
16:13,356,Mark Alstork missed Free Throw.,10,11
16:13,276,C.J. Burks Defensive Rebound.,10,11
15:58,356,Foul on Mark Smith.,10,11
15:58,276,C.J. Burks made Free Throw.,11,11
15:58,276,C.J. Burks missed Free Throw.,11,11
15:58,356,Da'Monte Williams Defensive Rebound.,11,11
15:48,356,Leron Black missed Jumper.,11,11
15:48,276,Ajdin Penava Defensive Rebound.,11,11
15:27,276,Ajdin Penava made Three Point Jumper. Assisted by Jon Elmore.,14,11
14:52,356,Trent Frazier missed Three Point Jumper.,14,11
14:52,276,Marshall Defensive Rebound.,14,11
14:52,356,Official TV Timeout,14,11
14:41,276,Phil Bledsoe missed Three Point Jumper.,14,11
14:41,356,Da'Monte Williams Defensive Rebound.,14,11
14:33,356,Da'Monte Williams missed Jumper.,14,11
14:33,356,Illinois Offensive Rebound.,14,11
