Boston University,41,Connecticut,104
time,team_id,description,h_score,a_score
19:51,104,Javante McCoy Turnover.,0,0
19:49,41,Alterique Gilbert Steal.,0,0
19:48,104,Foul on Javante McCoy.,0,0
19:48,41,Alterique Gilbert missed Free Throw.,0,0
19:48,41,Connecticut Deadball Team Rebound.,0,0
19:48,41,Alterique Gilbert missed Free Throw.,0,0
19:48,104,Walter Whyte Defensive Rebound.,0,0
19:35,41,Foul on David Onuorah.,0,0
19:35,104,Cedric Hankerson missed Free Throw.,0,0
19:35,104,Boston University Deadball Team Rebound.,0,0
19:35,104,Cedric Hankerson made Free Throw.,1,0
19:28,41,Jalen Adams missed Layup.,1,0
19:28,104,Nick Havener Defensive Rebound.,1,0
19:03,104,Tyler Scanlon made Jumper.,3,0
18:33,104,Foul on Nick Havener.,3,0
18:33,41,Alterique Gilbert missed Free Throw.,3,0
18:33,41,Connecticut Deadball Team Rebound.,3,0
18:33,41,Alterique Gilbert made Free Throw.,3,1
18:10,104,Nick Havener missed Jumper.,3,1
18:10,41,Alterique Gilbert Defensive Rebound.,3,1
18:04,41,Alterique Gilbert missed Layup.,3,1
18:04,104,Nick Havener Block.,3,1
18:03,104,Cedric Hankerson Defensive Rebound.,3,1
17:57,104,Walter Whyte missed Layup.,3,1
17:57,41,Terry Larrier Block.,3,1
17:55,41,Terry Larrier Defensive Rebound.,3,1
17:36,41,Terry Larrier Turnover.,3,1
17:35,104,Javante McCoy Steal.,3,1
17:34,41,Foul on Alterique Gilbert.,3,1
17:28,104,Cedric Hankerson missed Layup.,3,1
17:28,41,Jalen Adams Defensive Rebound.,3,1
17:21,41,Jalen Adams missed Jumper.,3,1
17:21,41,Connecticut Offensive Rebound.,3,1
17:08,41,Terry Larrier missed Three Point Jumper.,3,1
17:08,104,Nick Havener Defensive Rebound.,3,1
16:44,104,Walter Whyte made Layup. Assisted by Nick Havener.,5,1
16:32,41,Jalen Adams missed Three Point Jumper.,5,1
16:32,104,Walter Whyte Defensive Rebound.,5,1
16:13,104,Javante McCoy missed Three Point Jumper.,5,1
16:13,41,Connecticut Defensive Rebound.,5,1
16:12,104,Foul on Tyler Scanlon.,5,1
15:46,41,Jalen Adams missed Three Point Jumper.,5,1
15:46,104,Tyler Scanlon Defensive Rebound.,5,1
15:36,104,Cedric Hankerson missed Three Point Jumper.,5,1
15:36,41,Jalen Adams Defensive Rebound.,5,1
15:28,41,Jalen Adams missed Layup.,5,1
15:28,104,Tyler Scanlon Defensive Rebound.,5,1
15:15,104,Tyler Scanlon made Three Point Jumper. Assisted by Javante McCoy.,8,1
15:10,41,Connecticut  Timeout,8,1
14:48,41,Antwoine Anderson missed Three Point Jumper.,8,1
14:48,41,Alterique Gilbert Offensive Rebound.,8,1
14:45,41,Alterique Gilbert missed Layup.,8,1
14:45,104,Max Mahoney Block.,8,1
14:44,41,Connecticut Offensive Rebound.,8,1
14:28,41,Christian Vital made Three Point Jumper. Assisted by Alterique Gilbert.,8,4
14:11,104,Tyler Scanlon missed Three Point Jumper.,8,4
14:11,41,Connecticut Defensive Rebound.,8,4
14:05,41,Terry Larrier Turnover.,8,4
13:38,104,Eric Johnson missed Jumper.,8,4
13:38,41,Josh Carlton Defensive Rebound.,8,4
13:31,41,Christian Vital missed Three Point Jumper.,8,4
13:31,104,Max Mahoney Defensive Rebound.,8,4
13:09,104,Nick Havener made Three Point Jumper. Assisted by Max Mahoney.,11,4
12:40,41,Christian Vital missed Three Point Jumper.,11,4
12:40,104,Max Mahoney Defensive Rebound.,11,4
12:24,104,Cedric Hankerson missed Three Point Jumper.,11,4
12:24,41,Terry Larrier Defensive Rebound.,11,4
12:14,41,Terry Larrier made Jumper.,11,6
11:58,104,Eric Johnson missed Layup.,11,6
11:58,41,Josh Carlton Block.,11,6
11:57,41,Official TV Timeout,11,6
11:57,41,Alterique Gilbert Defensive Rebound.,11,6
11:47,41,Terry Larrier made Jumper. Assisted by Alterique Gilbert.,11,8
11:30,104,Nick Havener made Jumper.,13,8
11:30,41,Foul on Terry Larrier.,13,8
11:30,104,Nick Havener missed Free Throw.,13,8
11:30,41,Josh Carlton Defensive Rebound.,13,8
11:08,41,Terry Larrier missed Jumper.,13,8
11:08,104,Nick Havener Defensive Rebound.,13,8
10:57,104,Sukhmail Mathon missed Layup.,13,8
10:57,41,Alterique Gilbert Block.,13,8
10:55,41,Terry Larrier Defensive Rebound.,13,8
10:53,104,Foul on Walter Whyte.,13,8
10:53,41,Antwoine Anderson made Free Throw.,13,9
10:53,41,Antwoine Anderson made Free Throw.,13,10
10:30,104,Foul on Walter Whyte.,13,10
10:30,104,Walter Whyte Turnover.,13,10
10:11,41,Jalen Adams made Three Point Jumper. Assisted by Alterique Gilbert.,13,13
9:39,104,Javante McCoy missed Jumper.,13,13
9:39,104,Nick Havener Offensive Rebound.,13,13
9:30,104,Walter Whyte missed Three Point Jumper.,13,13
9:30,41,David Onuorah Defensive Rebound.,13,13
9:22,41,Terry Larrier made Three Point Jumper. Assisted by Alterique Gilbert.,13,16
9:10,104,Nick Havener made Layup.,15,16
8:37,41,Jalen Adams missed Three Point Jumper.,15,16
8:37,41,David Onuorah Offensive Rebound.,15,16
8:33,41,Foul on Mamadou Diarra.,15,16
8:33,41,Mamadou Diarra Turnover.,15,16
8:12,104,Tyler Scanlon missed Three Point Jumper.,15,16
8:12,104,Boston University Offensive Rebound.,15,16
8:12,41,Foul on Mamadou Diarra.,15,16
8:10,104,Tyler Scanlon made Layup. Assisted by Javante McCoy.,17,16
7:59,41,Jalen Adams missed Three Point Jumper.,17,16
7:59,41,Christian Vital Offensive Rebound.,17,16
7:52,41,Christian Vital missed Three Point Jumper.,17,16
7:52,104,Will Goff Defensive Rebound.,17,16
7:43,104,Javante McCoy Turnover.,17,16
7:43,41,Official TV Timeout,17,16
7:42,41,Official TV Timeout,17,16
7:26,41,Christian Vital made Layup.,17,18
7:10,104,Cedric Hankerson made Three Point Jumper.,20,18
6:52,41,Terry Larrier missed Layup.,20,18
6:52,104,Cedric Hankerson Defensive Rebound.,20,18
6:43,104,Cedric Hankerson made Layup.,22,18
6:16,41,Terry Larrier missed Three Point Jumper.,22,18
6:16,41,Connecticut Offensive Rebound.,22,18
6:16,104,Foul on Max Mahoney.,22,18
6:11,41,Alterique Gilbert missed Three Point Jumper.,22,18
6:11,41,Christian Vital Offensive Rebound.,22,18
6:06,41,Christian Vital made Layup.,22,20
5:46,104,Max Mahoney missed Jumper.,22,20
5:46,41,Jalen Adams Defensive Rebound.,22,20
5:39,41,Jalen Adams Turnover.,22,20
5:18,104,Tyler Scanlon Turnover.,22,20
5:17,41,Jalen Adams Steal.,22,20
5:15,41,Christian Vital made Layup. Assisted by Jalen Adams.,22,22
5:15,104,Foul on Javante McCoy.,22,22
5:15,41,Christian Vital made Free Throw.,22,23
4:57,104,Tyler Scanlon missed Three Point Jumper.,22,23
4:57,41,Christian Vital Defensive Rebound.,22,23
4:45,41,Jalen Adams made Jumper.,22,25
4:27,104,Cedric Hankerson missed Layup.,22,25
