UMBC,2142,Colgate,2378
time,team_id,description,h_score,a_score
19:32,2378,Arkel Lamar missed Jumper.,0,0
19:32,2378,Arkel Lamar Offensive Rebound.,0,0
19:24,2378,Arkel Lamar made Jumper.,2,0
19:05,2142,Sean O'Brien missed Jumper.,2,0
19:05,2378,Jairus Lyles Defensive Rebound.,2,0
18:41,2378,Nolan Gerrity missed Jumper.,2,0
18:41,2142,Will Rayman Defensive Rebound.,2,0
18:26,2142,Francisco Amiel made Three Point Jumper. Assisted by Sean O'Brien.,2,3
18:09,2378,Max Curran Turnover.,2,3
18:09,2142,Jordan Swopshire Steal.,2,3
18:09,2142,Jordan Swopshire made Three Point Jumper.,2,6
18:04,2378,Foul on Nolan Gerrity.,2,6
18:04,2378,Nolan Gerrity Turnover.,2,6
18:02,2142,Francisco Amiel missed Three Point Jumper.,2,6
18:02,2378,Max Curran Defensive Rebound.,2,6
18:00,2142,Foul on Will Rayman.,2,6
17:47,2378,Max Curran made Three Point Jumper.,5,6
17:28,2142,Will Rayman missed Three Point Jumper.,5,6
17:28,2378,Nolan Gerrity Defensive Rebound.,5,6
17:20,2378,Max Curran made Layup. Assisted by Jourdan Grant.,7,6
17:03,2142,Will Rayman missed Jumper.,7,6
17:03,2378,Nolan Gerrity Defensive Rebound.,7,6
16:50,2378,Jourdan Grant Turnover.,7,6
16:49,2142,Sean O'Brien Steal.,7,6
16:46,2142,Sean O'Brien missed Layup.,7,6
16:46,2378,Arkel Lamar Block.,7,6
16:42,2378,Jourdan Grant Defensive Rebound.,7,6
16:38,2378,Max Curran Turnover.,7,6
16:31,2142,Will Rayman Steal.,7,6
16:21,2142,Sean O'Brien made Layup. Assisted by Dana Batt.,7,8
16:00,2378,Max Curran missed Layup.,7,8
16:00,2142,Dana Batt Block.,7,8
15:57,2142,Dana Batt Defensive Rebound.,7,8
15:37,2142,Dana Batt missed Layup.,7,8
15:37,2378,Nolan Gerrity Defensive Rebound.,7,8
15:19,2378,Arkel Lamar made Jumper.,9,8
15:01,2378,Foul on Nolan Gerrity.,9,8
15:01,2142,Official TV Timeout,9,8
15:01,2142,Will Rayman made Free Throw.,9,9
15:01,2142,Will Rayman made Free Throw.,9,10
14:31,2378,Jairus Lyles made Three Point Jumper.,12,10
14:05,2142,Jordan Burns missed Three Point Jumper.,12,10
14:05,2378,Arkel Lamar Defensive Rebound.,12,10
13:56,2378,Jairus Lyles missed Jumper.,12,10
13:56,2142,Sean O'Brien Defensive Rebound.,12,10
13:47,2142,Will Rayman missed Jumper.,12,10
13:47,2378,Jairus Lyles Defensive Rebound.,12,10
13:38,2378,Arkel Lamar missed Three Point Jumper.,12,10
13:38,2142,Malcolm Regisford Defensive Rebound.,12,10
13:19,2142,Jordan Burns made Three Point Jumper. Assisted by Sean O'Brien.,12,13
12:38,2378,K.J. Maura made Three Point Jumper. Assisted by Jairus Lyles.,15,13
12:19,2142,Sean O'Brien missed Three Point Jumper.,15,13
12:19,2378,Jairus Lyles Defensive Rebound.,15,13
12:07,2378,Max Portmann made Jumper.,17,13
11:52,2142,Jordan Robertson missed Jumper.,17,13
11:52,2378,Jairus Lyles Defensive Rebound.,17,13
11:43,2378,Jairus Lyles missed Three Point Jumper.,17,13
11:43,2378,Max Portmann Offensive Rebound.,17,13
11:38,2142,Foul on Sean O'Brien.,17,13
11:38,2142,Official TV Timeout,17,13
11:31,2142,Foul on Malcolm Regisford.,17,13
11:14,2378,Joe Sherburne Turnover.,17,13
11:13,2142,Malcolm Regisford Steal.,17,13
11:02,2142,Jordan Burns missed Jumper.,17,13
11:02,2378,Jairus Lyles Defensive Rebound.,17,13
10:54,2378,Jairus Lyles made Jumper.,19,13
10:34,2142,Jordan Robertson Turnover.,19,13
10:33,2378,Jairus Lyles Steal.,19,13
10:30,2142,Foul on Jordan Robertson.,19,13
10:30,2378,Jairus Lyles made Free Throw.,20,13
10:30,2378,Jairus Lyles made Free Throw.,21,13
10:19,2142,Dana Batt made Jumper.,21,15
9:41,2378,Ishmail Jabbie missed Jumper.,21,15
9:41,2142,Sean O'Brien Defensive Rebound.,21,15
9:31,2142,Jordan Burns made Jumper.,21,17
9:10,2378,Joe Sherburne missed Three Point Jumper.,21,17
9:10,2142,Colgate Defensive Rebound.,21,17
8:54,2142,Jordan Burns made Layup. Assisted by Dana Batt.,21,19
8:34,2142,Foul on Jack Ferguson.,21,19
8:20,2378,Jairus Lyles made Layup.,23,19
8:20,2142,Foul on Jack Ferguson.,23,19
8:20,2378,Jairus Lyles made Free Throw.,24,19
8:10,2142,Jordan Swopshire made Three Point Jumper. Assisted by Francisco Amiel.,24,22
7:55,2378,K.J. Maura made Three Point Jumper. Assisted by Jairus Lyles.,27,22
7:36,2142,Foul on Jack Ferguson.,27,22
7:36,2142,Jack Ferguson Turnover.,27,22
7:36,2142,Official TV Timeout,27,22
7:13,2378,Max Curran Turnover.,27,22
7:12,2142,Jordan Burns Steal.,27,22
7:07,2142,Will Rayman missed Three Point Jumper.,27,22
7:07,2142,Jordan Burns Offensive Rebound.,27,22
7:01,2142,Jordan Swopshire missed Three Point Jumper.,27,22
7:01,2142,Jordan Burns Offensive Rebound.,27,22
6:55,2142,Jordan Swopshire made Layup. Assisted by Jordan Burns.,27,24
6:47,2378,Foul on Max Curran.,27,24
6:47,2378,Max Curran Turnover.,27,24
6:33,2142,Jordan Burns Turnover.,27,24
6:32,2378,Jairus Lyles Steal.,27,24
6:30,2378,Jairus Lyles made Layup.,29,24
6:27,2378,Foul on Jairus Lyles.,29,24
6:03,2142,Jordan Burns made Three Point Jumper.,29,27
5:45,2378,Jairus Lyles Turnover.,29,27
5:43,2142,Jordan Burns Steal.,29,27
5:40,2142,Jordan Burns Turnover.,29,27
5:39,2378,Arkel Lamar Steal.,29,27
5:35,2378,Jairus Lyles made Layup. Assisted by Arkel Lamar.,31,27
5:13,2142,Francisco Amiel Turnover.,31,27
5:11,2378,K.J. Maura Steal.,31,27
5:01,2378,Jairus Lyles missed Three Point Jumper.,31,27
5:01,2142,Will Rayman Defensive Rebound.,31,27
4:55,2142,Jordan Burns made Layup.,31,29
4:40,2378,Jourdan Grant made Three Point Jumper.,34,29
4:17,2142,Jordan Swopshire Turnover.,34,29
4:15,2378,Jairus Lyles Steal.,34,29
4:10,2378,Max Portmann missed Layup.,34,29
4:10,2142,Jordan Swopshire Defensive Rebound.,34,29
3:59,2142,Jordan Swopshire missed Jumper.,34,29
3:59,2378,UMBC Defensive Rebound.,34,29
3:56,2142,Official TV Timeout,34,29
3:40,2378,K.J. Maura made Three Point Jumper. Assisted by Jairus Lyles.,37,29
3:06,2142,Francisco Amiel missed Jumper.,37,29
3:06,2378,Jairus Lyles Defensive Rebound.,37,29
2:49,2378,K.J. Maura made Three Point Jumper. Assisted by Arkel Lamar.,40,29
2:49,2142,Colgate  Timeout,40,29
2:17,2142,Jordan Swopshire missed Three Point Jumper.,40,29
2:17,2378,Jairus Lyles Defensive Rebound.,40,29
2:07,2378,Jourdan Grant Turnover.,40,29
2:05,2142,Sean O'Brien Steal.,40,29
