Molloy,Error,St. John's,2599
time,team_id,description,h_score,a_score
19:35,2599,Marvin Clark II missed Three Point Jumper.,0,0
19:35,-1,Curtis Jenkins Defensive Rebound.,0,0
19:12,-1,Josh Dennis Turnover.,0,0
19:10,2599,Justin Simon Steal.,0,0
19:08,2599,Justin Simon made Dunk. Assisted by Marcus LoVett.,0,2
18:46,-1,Nolan Kelly made Jumper.,2,2
18:28,2599,Bashir Ahmed missed Three Point Jumper.,2,2
18:28,-1,Curtis Jenkins Defensive Rebound.,2,2
18:17,-1,Curtis Jenkins missed Layup.,2,2
18:17,2599,Marvin Clark II Defensive Rebound.,2,2
18:11,2599,Justin Simon Turnover.,2,2
17:58,-1,Curtis Jenkins made Three Point Jumper. Assisted by Josh Dennis.,5,2
17:45,2599,Marvin Clark II Turnover.,5,2
17:27,-1,Justin Caldwell Turnover.,5,2
17:26,2599,Bashir Ahmed Steal.,5,2
17:24,2599,Bashir Ahmed missed Layup.,5,2
17:24,-1,Justin Caldwell Defensive Rebound.,5,2
17:18,-1,Curtis Jenkins missed Three Point Jumper.,5,2
17:18,-1,Curtis Jenkins Offensive Rebound.,5,2
17:15,-1,Curtis Jenkins Turnover.,5,2
17:14,2599,Marcus LoVett Steal.,5,2
16:57,2599,Marcus LoVett made Layup.,5,4
16:44,-1,Josh Dennis Turnover.,5,4
16:44,-1,Foul on Josh Dennis.,5,4
16:26,2599,Shamorie Ponds missed Three Point Jumper.,5,4
16:26,-1,Justin Caldwell Defensive Rebound.,5,4
16:08,-1,Mike Torre Turnover.,5,4
16:07,2599,Marcus LoVett Steal.,5,4
16:01,2599,Tariq Owens missed Jumper.,5,4
16:01,-1,Curtis Jenkins Defensive Rebound.,5,4
15:45,-1,Curtis Jenkins made Jumper.,7,4
15:20,2599,Marcus LoVett Turnover.,7,4
15:19,-1,Curtis Jenkins Steal.,7,4
15:15,-1,Nick Corbett missed Three Point Jumper.,7,4
15:15,2599,Justin Simon Defensive Rebound.,7,4
15:05,2599,Shamorie Ponds missed Three Point Jumper.,7,4
15:05,-1,Nick Corbett Defensive Rebound.,7,4
14:56,-1,Curtis Jenkins missed Jumper.,7,4
14:56,-1,Curtis Jenkins Offensive Rebound.,7,4
14:52,-1,Curtis Jenkins missed Jumper.,7,4
14:52,2599,Shamorie Ponds Defensive Rebound.,7,4
14:47,-1,Foul on Nolan Kelly.,7,4
14:47,2599,Official TV Timeout,7,4
14:41,2599,Marcus LoVett made Jumper.,7,6
14:20,-1,Nick Corbett missed Three Point Jumper.,7,6
14:20,2599,Kassoum Yakwe Defensive Rebound.,7,6
13:56,2599,Bryan Trimble Jr. made Three Point Jumper. Assisted by Kassoum Yakwe.,7,9
13:33,-1,Mike Torre missed Layup.,7,9
13:33,2599,Tariq Owens Defensive Rebound.,7,9
13:32,-1,Foul on Mike Torre.,7,9
13:11,2599,Marcus LoVett Turnover.,7,9
12:59,2599,Foul on Bryan Trimble Jr..,7,9
12:42,-1,Curtis Jenkins missed Three Point Jumper.,7,9
12:42,2599,Shamorie Ponds Defensive Rebound.,7,9
12:35,2599,Bryan Trimble Jr. missed Three Point Jumper.,7,9
12:35,-1,Nick Corbett Defensive Rebound.,7,9
12:24,-1,Curtis Jenkins Turnover.,7,9
12:03,2599,Kassoum Yakwe made Dunk.,7,11
11:32,-1,Mike Torre made Three Point Jumper. Assisted by Nick Corbett.,10,11
11:18,2599,Tariq Owens missed Jumper.,10,11
11:18,-1,Molloy Defensive Rebound.,10,11
11:17,2599,Foul on Shamorie Ponds.,10,11
11:17,2599,Official TV Timeout,10,11
10:58,-1,Derrick Okunpolor missed Jumper.,10,11
10:58,2599,Kassoum Yakwe Block.,10,11
10:57,2599,Amar Alibegovic Defensive Rebound.,10,11
10:45,2599,Kassoum Yakwe Turnover.,10,11
10:44,-1,Curtis Jenkins Steal.,10,11
10:18,-1,Nick Corbett made Jumper.,12,11
10:03,2599,Shamorie Ponds missed Layup.,12,11
10:03,-1,Curtis Jenkins Block.,12,11
10:02,-1,Steven Torre Defensive Rebound.,12,11
9:56,-1,Nick Corbett made Jumper.,14,11
9:36,2599,Amar Alibegovic missed Three Point Jumper.,14,11
9:36,-1,Mike Torre Defensive Rebound.,14,11
9:16,-1,Curtis Jenkins made Layup.,16,11
8:50,2599,Amar Alibegovic made Layup.,16,13
8:30,-1,Chris O'Reilly Turnover.,16,13
8:11,2599,Shamorie Ponds missed Layup.,16,13
8:11,2599,Shamorie Ponds Offensive Rebound.,16,13
8:10,-1,Foul on Mike Torre.,16,13
8:10,2599,Shamorie Ponds made Free Throw.,16,14
8:10,2599,Shamorie Ponds made Free Throw.,16,15
7:38,-1,Steven Torre missed Three Point Jumper.,16,15
7:38,2599,Bashir Ahmed Defensive Rebound.,16,15
7:25,2599,Bashir Ahmed missed Jumper.,16,15
7:25,2599,Bashir Ahmed Offensive Rebound.,16,15
7:23,2599,Bashir Ahmed missed Layup.,16,15
7:23,-1,Chris O'Reilly Defensive Rebound.,16,15
7:13,-1,Justin Caldwell missed Layup.,16,15
7:13,2599,Bashir Ahmed Defensive Rebound.,16,15
7:00,2599,Shamorie Ponds missed Three Point Jumper.,16,15
7:00,-1,Steven Torre Defensive Rebound.,16,15
6:45,-1,Chris O'Reilly missed Three Point Jumper.,16,15
6:45,2599,Justin Simon Defensive Rebound.,16,15
6:38,2599,Justin Simon missed Layup.,16,15
6:38,2599,St. John's Offensive Rebound.,16,15
6:37,2599,Official TV Timeout,16,15
6:29,2599,Marvin Clark II made Jumper.,16,17
6:08,-1,Chris O'Reilly missed Three Point Jumper.,16,17
6:08,2599,Marvin Clark II Defensive Rebound.,16,17
5:55,2599,Tariq Owens missed Jumper.,16,17
5:55,-1,Curtis Jenkins Defensive Rebound.,16,17
5:28,-1,Curtis Jenkins missed Three Point Jumper.,16,17
5:28,2599,Tariq Owens Block.,16,17
5:28,2599,Tariq Owens Defensive Rebound.,16,17
5:24,-1,Foul on Chris O'Reilly.,16,17
5:20,2599,Marvin Clark II missed Three Point Jumper.,16,17
5:20,2599,Tariq Owens Offensive Rebound.,16,17
5:18,-1,Foul on Justin Caldwell.,16,17
5:16,2599,Shamorie Ponds made Layup. Assisted by Justin Simon.,16,19
5:03,-1,Nolan Kelly missed Three Point Jumper.,16,19
5:03,2599,St. John's Defensive Rebound.,16,19
5:01,-1,Molloy  Timeout,16,19
4:46,2599,Justin Simon missed Jumper.,16,19
4:46,-1,Justin Caldwell Defensive Rebound.,16,19
4:30,-1,Nick Corbett made Jumper.,18,19
4:08,2599,Shamorie Ponds missed Jumper.,18,19
4:08,2599,Tariq Owens Offensive Rebound.,18,19
4:07,2599,Tariq Owens missed Jumper.,18,19
4:07,2599,St. John's Offensive Rebound.,18,19
4:02,2599,Marcus LoVett missed Three Point Jumper.,18,19
4:02,-1,Curtis Jenkins Defensive Rebound.,18,19
3:47,-1,Josh Dennis missed Layup.,18,19
3:47,2599,Justin Simon Defensive Rebound.,18,19
3:43,2599,Shamorie Ponds made Layup. Assisted by Justin Simon.,18,21
3:23,2599,Official TV Timeout,18,21
3:23,-1,Nolan Kelly Turnover.,18,21
3:23,2599,Official TV Timeout,18,21
3:03,2599,Bashir Ahmed missed Three Point Jumper.,18,21
3:03,-1,Justin Caldwell Defensive Rebound.,18,21
2:44,-1,Steven Torre missed Layup.,18,21
2:44,2599,Tariq Owens Block.,18,21
2:43,-1,Molloy Offensive Rebound.,18,21
2:40,-1,Curtis Jenkins Turnover.,18,21
2:39,2599,Marcus LoVett Steal.,18,21
2:33,2599,Marcus LoVett missed Three Point Jumper.,18,21
2:33,-1,Justin Caldwell Defensive Rebound.,18,21
2:03,-1,Curtis Jenkins Turnover.,18,21
2:03,2599,Justin Simon Steal.,18,21
1:54,2599,Bashir Ahmed made Layup. Assisted by Shamorie Ponds.,18,23
1:54,-1,Foul on Nolan Kelly.,18,23
1:54,2599,Bashir Ahmed made Free Throw.,18,24
1:28,-1,Curtis Jenkins made Three Point Jumper. Assisted by Justin Caldwell.,21,24
1:00,2599,Bashir Ahmed made Jumper.,21,26
0:29,-1,Justin Caldwell missed Jumper.,21,26
0:29,2599,Justin Simon Defensive Rebound.,21,26
0:22,2599,Bashir Ahmed missed Three Point Jumper.,21,26
0:22,2599,Justin Simon Offensive Rebound.,21,26
0:20,2599,Justin Simon made Layup.,21,28
0:00,-1,Nick Corbett missed Three Point Jumper.,21,28
0:00,2599,Tariq Owens Block.,21,28
0:00,2599,Shamorie Ponds Defensive Rebound.,21,28
0:00,2599,End of 1st half,21,28
19:49,-1,Curtis Jenkins Turnover.,21,28
19:49,-1,Foul on Curtis Jenkins.,21,28
19:35,2599,Shamorie Ponds made Three Point Jumper. Assisted by Justin Simon.,21,31
19:09,-1,Mike Torre missed Three Point Jumper.,21,31
19:09,2599,Shamorie Ponds Defensive Rebound.,21,31
19:01,-1,Foul on Justin Caldwell.,21,31
19:00,2599,Bashir Ahmed missed Free Throw.,21,31
19:00,2599,St. John's Deadball Team Rebound.,21,31
19:00,2599,Bashir Ahmed made Free Throw.,21,32
18:48,2599,Foul on Marvin Clark II.,21,32
18:41,-1,Nick Corbett missed Jumper.,21,32
18:41,2599,Justin Simon Defensive Rebound.,21,32
18:35,2599,Marvin Clark II made Layup. Assisted by Justin Simon.,21,34
18:35,-1,Foul on Mike Torre.,21,34
18:35,2599,Marvin Clark II made Free Throw.,21,35
18:35,-1,Molloy  Timeout,21,35
18:16,-1,Justin Caldwell missed Layup.,21,35
18:16,-1,Justin Caldwell Offensive Rebound.,21,35
18:13,-1,Justin Caldwell made Jumper.,23,35
17:55,2599,Marcus LoVett made Jumper.,23,37
17:19,-1,Nick Corbett missed Three Point Jumper.,23,37
17:19,2599,Bashir Ahmed Defensive Rebound.,23,37
17:11,2599,Bashir Ahmed made Layup.,23,39
16:46,-1,Curtis Jenkins missed Jumper.,23,39
16:46,2599,Marvin Clark II Defensive Rebound.,23,39
16:38,2599,Marvin Clark II missed Three Point Jumper.,23,39
16:38,-1,Nolan Kelly Defensive Rebound.,23,39
16:30,-1,Mike Torre missed Three Point Jumper.,23,39
16:30,2599,Shamorie Ponds Defensive Rebound.,23,39
16:23,2599,Marvin Clark II Turnover.,23,39
