Long Beach State,277,West Virginia,299
time,team_id,description,h_score,a_score
19:41,277,Daxter Miles Jr. missed Three Point Jumper.,0,0
19:41,299,Bryan Alberts Defensive Rebound.,0,0
19:23,299,Gabe Levin made Layup. Assisted by Barry Ogalue.,2,0
19:10,299,Foul on Gabe Levin.,2,0
19:05,277,Lamont West made Three Point Jumper.,2,3
18:43,299,Gabe Levin made Three Point Jumper.,5,3
18:19,277,Lamont West missed Three Point Jumper.,5,3
18:19,277,West Virginia Offensive Rebound.,5,3
18:08,277,Daxter Miles Jr. missed Jumper.,5,3
18:08,299,Bryan Alberts Block.,5,3
18:07,277,Daxter Miles Jr. Offensive Rebound.,5,3
18:07,277,West Virginia  Turnover.,5,3
17:43,299,Gabe Levin made Layup. Assisted by Deishuan Booker.,7,3
17:21,277,Lamont West Turnover.,7,3
17:20,299,Deishuan Booker Steal.,7,3
17:20,277,Foul on Daxter Miles Jr..,7,3
17:20,299,Deishuan Booker made Free Throw.,8,3
17:20,299,Deishuan Booker made Free Throw.,9,3
17:01,277,Lamont West made Three Point Jumper. Assisted by Chase Harler.,9,6
16:53,299,Mason Riggins missed Layup.,9,6
16:53,277,Lamont West Block.,9,6
16:53,299,Long Beach State Offensive Rebound.,9,6
16:51,299,Deishuan Booker missed Jumper.,9,6
16:51,277,Lamont West Defensive Rebound.,9,6
16:43,277,Teddy Allen Turnover.,9,6
16:39,299,Gabe Levin Turnover.,9,6
16:38,277,Jevon Carter Steal.,9,6
16:31,277,Lamont West Turnover.,9,6
16:30,299,Gabe Levin Steal.,9,6
16:29,299,Gabe Levin Turnover.,9,6
16:18,277,Chase Harler missed Three Point Jumper.,9,6
16:18,299,Mason Riggins Defensive Rebound.,9,6
16:11,299,Bryan Alberts Turnover.,9,6
16:10,277,Teddy Allen Steal.,9,6
16:04,277,Wesley Harris Turnover.,9,6
16:04,277,Foul on Wesley Harris.,9,6
15:42,299,Edon Maxhuni Turnover.,9,6
15:40,277,Chase Harler Steal.,9,6
15:37,277,Chase Harler missed Layup.,9,6
15:37,299,Mason Riggins Defensive Rebound.,9,6
15:34,277,Foul on Teddy Allen.,9,6
15:34,277,Official TV Timeout,9,6
15:27,277,Foul on Jevon Carter.,9,6
15:20,299,Gabe Levin missed Jumper.,9,6
15:20,277,Teddy Allen Defensive Rebound.,9,6
14:52,277,Chase Harler made Three Point Jumper. Assisted by Jevon Carter.,9,9
14:38,299,Bryan Alberts made Three Point Jumper. Assisted by Gabe Levin.,12,9
14:13,277,Chase Harler made Three Point Jumper. Assisted by Lamont West.,12,12
13:58,299,Bryan Alberts missed Three Point Jumper.,12,12
13:58,299,Gabe Levin Offensive Rebound.,12,12
13:53,299,Gabe Levin made Layup.,14,12
13:41,277,Teddy Allen missed Layup.,14,12
13:41,277,Teddy Allen Offensive Rebound.,14,12
13:39,277,Teddy Allen made Layup.,14,14
13:29,299,Edon Maxhuni Turnover.,14,14
13:23,277,Jevon Carter missed Jumper.,14,14
13:23,277,Wesley Harris Offensive Rebound.,14,14
13:20,277,Wesley Harris missed Layup.,14,14
13:20,299,Deishuan Booker Defensive Rebound.,14,14
13:13,299,Deishuan Booker missed Layup.,14,14
13:13,277,Sagaba Konate Defensive Rebound.,14,14
13:05,299,Foul on Mason Riggins.,14,14
13:05,277,Wesley Harris made Free Throw.,14,15
13:05,277,Wesley Harris missed Free Throw.,14,15
13:05,299,KJ Byers Defensive Rebound.,14,15
12:58,299,Bryan Alberts missed Jumper.,14,15
12:58,277,Wesley Harris Defensive Rebound.,14,15
12:44,277,Sagaba Konate made Jumper.,14,17
12:31,299,Barry Ogalue missed Layup.,14,17
12:31,277,Chase Harler Block.,14,17
12:30,277,Wesley Harris Defensive Rebound.,14,17
12:25,277,Wesley Harris Turnover.,14,17
12:25,299,Barry Ogalue Steal.,14,17
12:16,299,Edon Maxhuni Turnover.,14,17
12:15,277,Sagaba Konate Steal.,14,17
12:12,277,James Bolden missed Layup.,14,17
12:12,277,Sagaba Konate Offensive Rebound.,14,17
12:12,299,Foul on Edon Maxhuni.,14,17
12:12,277,Sagaba Konate made Free Throw.,14,18
12:12,277,Sagaba Konate made Free Throw.,14,19
11:49,299,Gabe Levin missed Layup.,14,19
11:49,277,Wesley Harris Defensive Rebound.,14,19
11:42,277,Wesley Harris missed Three Point Jumper.,14,19
11:42,277,Jevon Carter Offensive Rebound.,14,19
11:41,277,Jevon Carter missed Layup.,14,19
11:41,299,Gabe Levin Defensive Rebound.,14,19
11:31,299,Barry Ogalue missed Layup.,14,19
11:31,277,Wesley Harris Defensive Rebound.,14,19
11:08,277,Sagaba Konate made Jumper.,14,21
10:45,299,Gabe Levin made Jumper.,16,21
10:22,277,James Bolden missed Jumper.,16,21
10:22,299,Barry Ogalue Defensive Rebound.,16,21
10:15,299,Jordan Griffin missed Three Point Jumper.,16,21
10:15,277,Jevon Carter Defensive Rebound.,16,21
10:08,277,Wesley Harris missed Three Point Jumper.,16,21
10:08,299,Jordan Griffin Defensive Rebound.,16,21
9:44,277,Foul on Daxter Miles Jr..,16,21
9:44,277,Official TV Timeout,16,21
9:38,299,Gabe Levin missed Jumper.,16,21
9:38,299,Deishuan Booker Offensive Rebound.,16,21
9:34,299,LaRond Williams missed Layup.,16,21
9:34,277,Sagaba Konate Block.,16,21
9:32,277,Lamont West Defensive Rebound.,16,21
9:32,299,Foul on LaRond Williams.,16,21
9:20,277,Lamont West missed Three Point Jumper.,16,21
9:20,299,Jordan Griffin Defensive Rebound.,16,21
9:12,299,Gabe Levin Turnover.,16,21
8:59,277,Sagaba Konate made Jumper.,16,23
8:40,299,Barry Ogalue missed Layup.,16,23
8:40,277,Sagaba Konate Block.,16,23
8:37,277,Teddy Allen Defensive Rebound.,16,23
8:33,299,Foul on Deishuan Booker.,16,23
8:26,277,Teddy Allen made Free Throw.,18,24
8:26,299,Mason Riggins made Layup. Assisted by Gabe Levin.,18,23
8:26,277,Teddy Allen made Free Throw.,18,25
7:59,277,Teddy Allen made Jumper.,18,27
7:44,299,Mason Riggins Turnover.,18,27
7:38,277,Official TV Timeout,18,27
7:31,277,Chase Harler missed Jumper.,18,27
7:31,299,Jordan Roberts Block.,18,27
7:31,277,West Virginia Offensive Rebound.,18,27
7:11,277,James Bolden missed Three Point Jumper.,18,27
7:11,299,Deishuan Booker Defensive Rebound.,18,27
7:05,299,Deishuan Booker Turnover.,18,27
7:04,277,James Bolden Steal.,18,27
7:02,277,Jevon Carter made Layup. Assisted by James Bolden.,18,29
6:41,277,Foul on Logan Routt.,18,29
6:41,299,Mason Riggins made Free Throw.,19,29
6:41,299,Mason Riggins missed Free Throw.,19,29
6:41,277,Lamont West Defensive Rebound.,19,29
6:17,277,Jevon Carter made Jumper.,19,31
6:03,299,Jordan Roberts missed Jumper.,19,31
6:03,299,Mason Riggins Offensive Rebound.,19,31
5:57,299,Mason Riggins made Layup.,21,31
5:33,277,James Bolden missed Jumper.,21,31
5:33,299,Long Beach State Defensive Rebound.,21,31
5:22,299,Edon Maxhuni Turnover.,21,31
5:21,277,Jevon Carter Steal.,21,31
5:09,277,James Bolden missed Three Point Jumper.,21,31
5:09,299,Edon Maxhuni Defensive Rebound.,21,31
4:58,299,Bryan Alberts made Three Point Jumper. Assisted by Mason Riggins.,24,31
4:40,277,Jevon Carter missed Layup.,24,31
4:40,299,Mason Riggins Block.,24,31
4:40,277,West Virginia Offensive Rebound.,24,31
4:28,277,Lamont West made Three Point Jumper. Assisted by Jevon Carter.,24,34
4:17,299,Bryan Alberts made Jumper.,26,34
3:54,299,Foul on KJ Byers.,26,34
3:54,277,Official TV Timeout,26,34
3:54,277,Lamont West missed Free Throw.,26,34
3:54,277,West Virginia Deadball Team Rebound.,26,34
3:54,277,Lamont West made Free Throw.,26,35
3:54,277,Lamont West missed Free Throw.,26,35
3:54,299,Gabe Levin Defensive Rebound.,26,35
3:40,299,Edon Maxhuni missed Three Point Jumper.,26,35
3:40,299,Long Beach State Offensive Rebound.,26,35
3:34,277,Foul on Sagaba Konate.,26,35
3:34,299,Gabe Levin missed Free Throw.,26,35
3:34,277,Sagaba Konate Defensive Rebound.,26,35
