Maryland-Eastern Shore,179,St. Bonaventure,2379
time,team_id,description,h_score,a_score
19:38,2379,Miryne Thomas made Layup.,2,0
19:23,179,Amadi Ikpeze missed Layup.,2,0
19:23,2379,Tyler Jones Defensive Rebound.,2,0
19:17,2379,Colen Gaynor Turnover.,2,0
19:03,179,LaDarien Griffin Turnover.,2,0
19:01,2379,Miryne Thomas Steal.,2,0
18:47,2379,Ahmad Frost missed Jumper.,2,0
18:47,2379,Colen Gaynor Offensive Rebound.,2,0
18:43,179,Foul on Idris Taqqee.,2,0
18:43,2379,Colen Gaynor missed Free Throw.,2,0
18:43,2379,Maryland-Eastern Shore Deadball Team Rebound.,2,0
18:43,2379,Colen Gaynor missed Free Throw.,2,0
18:43,179,LaDarien Griffin Defensive Rebound.,2,0
18:36,179,Matt Mobley missed Three Point Jumper.,2,0
18:36,179,Idris Taqqee Offensive Rebound.,2,0
18:23,179,Nelson Kaputo missed Three Point Jumper.,2,0
18:23,179,Idris Taqqee Offensive Rebound.,2,0
18:18,179,Idris Taqqee made Layup.,2,2
17:50,2379,Cameron Bacote missed Jumper.,2,2
17:50,179,Idris Taqqee Defensive Rebound.,2,2
17:47,2379,Foul on Colen Gaynor.,2,2
17:30,179,Matt Mobley Turnover.,2,2
17:29,2379,Miryne Thomas Steal.,2,2
17:17,2379,Miryne Thomas made Jumper. Assisted by Cameron Bacote.,4,2
17:03,2379,Foul on Ahmad Frost.,4,2
17:03,179,Matt Mobley made Free Throw.,4,3
17:03,179,Matt Mobley made Free Throw.,4,4
16:37,2379,Ahmad Frost made Three Point Jumper.,7,4
16:22,179,Matt Mobley made Three Point Jumper.,7,7
15:52,2379,Tyler Jones missed Three Point Jumper.,7,7
15:52,179,Nelson Kaputo Defensive Rebound.,7,7
15:42,179,LaDarien Griffin made Jumper. Assisted by Idris Taqqee.,7,9
15:18,2379,Miryne Thomas made Layup. Assisted by Ahmad Frost.,9,9
15:18,179,Foul on LaDarien Griffin.,9,9
15:18,179,Official TV Timeout,9,9
15:18,2379,Miryne Thomas missed Free Throw.,9,9
15:18,179,Idris Taqqee Defensive Rebound.,9,9
15:03,179,Matt Mobley made Three Point Jumper.,9,12
14:39,2379,Foul on Miryne Thomas.,9,12
14:39,2379,Miryne Thomas Turnover.,9,12
14:22,179,Idris Taqqee missed Jumper.,9,12
14:22,2379,Maryland-Eastern Shore Defensive Rebound.,9,12
14:19,179,Foul on Josh Ayeni.,9,12
13:56,179,Foul on Idris Taqqee.,9,12
13:56,2379,Colen Gaynor made Free Throw.,10,12
13:56,2379,Colen Gaynor missed Free Throw.,10,12
13:56,2379,Colen Gaynor Offensive Rebound.,10,12
13:48,2379,LeAndre Thomas Turnover.,10,12
13:47,179,Matt Mobley Steal.,10,12
13:46,2379,Foul on Ahmad Frost.,10,12
13:46,179,Matt Mobley made Free Throw.,10,13
13:46,179,Matt Mobley made Free Throw.,10,14
13:18,2379,Sean Hoggs missed Three Point Jumper.,10,14
13:18,2379,Colen Gaynor Offensive Rebound.,10,14
13:16,179,Foul on Izaiah Brockington.,10,14
12:56,2379,Colen Gaynor missed Layup.,10,14
12:56,179,LaDarien Griffin Block.,10,14
12:56,2379,Maryland-Eastern Shore Offensive Rebound.,10,14
12:54,2379,Sean Hoggs Turnover.,10,14
12:53,179,Nelson Kaputo Steal.,10,14
12:50,179,Nelson Kaputo made Layup.,10,16
12:19,2379,Tyler Jones Turnover.,10,16
12:18,179,Izaiah Brockington Steal.,10,16
