Morehead St,85,IUPUI,2413
time,team_id,description,h_score,a_score
19:34,2413,Malek Green missed Jumper.,0,0
19:32,85,D.J. McCall Defensive Rebound.,0,0
19:10,85,T.J. Henderson made Three Point Jumper. Assisted by Aaron Brennan.,0,3
18:44,2413,Adrian Hicks Turnover.,0,3
18:43,85,Ron Patterson Steal.,0,3
18:39,85,D.J. McCall Turnover.,0,3
18:15,2413,Jordan Walker Turnover.,0,3
18:14,85,Evan Hall Steal.,0,3
18:09,85,D.J. McCall missed Jumper.,0,3
18:07,2413,Jordan Walker Defensive Rebound.,0,3
18:00,2413,Djimon Henson missed Three Point Jumper.,0,3
17:55,85,T.J. Henderson Defensive Rebound.,0,3
17:51,85,Foul on Evan Hall.,0,3
17:51,85,Evan Hall Turnover.,0,3
17:38,85,Foul on Ron Patterson.,0,3
17:21,2413,Lamontray Harris missed Three Point Jumper.,0,3
17:19,85,Aaron Brennan Defensive Rebound.,0,3
17:02,85,Aaron Brennan made Layup. Assisted by Ron Patterson.,0,5
16:39,2413,Jordan Walker missed Jumper.,0,5
16:39,85,D.J. McCall Block.,0,5
16:38,85,D.J. McCall Defensive Rebound.,0,5
16:30,85,Ron Patterson made Jumper. Assisted by D.J. McCall.,0,7
16:05,2413,Djimon Henson missed Jumper.,0,7
16:05,2413,Lamontray Harris Offensive Rebound.,0,7
16:00,2413,Lamontray Harris missed Jumper.,0,7
15:58,2413,Morehead State Offensive Rebound.,0,7
15:58,85,Official TV Timeout,0,7
15:55,2413,Alonzo Chatman missed Jumper.,0,7
15:52,85,Nick Rogers Defensive Rebound.,0,7
15:40,85,Maurice Kirby made Layup. Assisted by Aaron Brennan.,0,9
15:21,2413,Lamontray Harris made Jumper.,2,9
14:55,85,Ron Patterson missed Three Point Jumper.,2,9
14:53,2413,Alonzo Chatman Defensive Rebound.,2,9
14:44,2413,Lamontray Harris missed Jumper.,2,9
14:42,2413,Morehead State Offensive Rebound.,2,9
14:26,2413,Adrian Hicks Turnover.,2,9
14:25,85,Nick Rogers Steal.,2,9
14:22,2413,Foul on Djimon Henson.,2,9
14:22,85,D.J. McCall missed Free Throw.,2,9
14:22,85,IUPUI Deadball Team Rebound.,2,9
14:22,85,D.J. McCall missed Free Throw.,2,9
14:22,2413,Lamontray Harris Defensive Rebound.,2,9
14:06,2413,Alonzo Chatman Turnover.,2,9
13:49,85,Aaron Brennan made Jumper.,2,11
13:33,2413,Lamontray Harris Turnover.,2,11
13:08,85,Jaylen Minnett made Jumper. Assisted by D.J. McCall.,2,13
12:52,2413,Djimon Henson made Layup.,4,13
12:34,85,Nick Rogers missed Three Point Jumper.,4,13
12:32,2413,Djimon Henson Defensive Rebound.,4,13
