Richmond,2132,Cincinnati,257
time,team_id,description,h_score,a_score
19:58,2132,Justin Jenifer Turnover.,0,0
19:33,257,Grant Golden missed Jumper.,0,0
19:33,2132,Gary Clark Defensive Rebound.,0,0
19:26,2132,Justin Jenifer missed Three Point Jumper.,0,0
19:26,257,De'Monte Buckingham Defensive Rebound.,0,0
19:03,257,De'Monte Buckingham missed Three Point Jumper.,0,0
19:03,2132,Jarron Cumberland Defensive Rebound.,0,0
18:58,2132,Jacob Evans Turnover.,0,0
18:56,257,Nick Sherod Steal.,0,0
18:51,257,Solly Stansbury missed Three Point Jumper.,0,0
18:51,2132,Jacob Evans Defensive Rebound.,0,0
18:38,2132,Nysier Brooks missed Layup.,0,0
18:38,257,Grant Golden Block.,0,0
18:37,2132,Gary Clark Offensive Rebound.,0,0
18:24,2132,Jarron Cumberland made Three Point Jumper. Assisted by Gary Clark.,0,3
18:10,257,De'Monte Buckingham Turnover.,0,3
17:48,2132,Jacob Evans missed Three Point Jumper.,0,3
17:48,2132,Jarron Cumberland Offensive Rebound.,0,3
17:39,2132,Jarron Cumberland made Three Point Jumper. Assisted by Gary Clark.,0,6
17:38,2132,Foul on Nysier Brooks.,0,6
17:33,257,Jacob Gilyard Turnover.,0,6
17:32,2132,Gary Clark Steal.,0,6
17:22,2132,Gary Clark missed Layup.,0,6
17:22,257,Nick Sherod Defensive Rebound.,0,6
17:02,257,Grant Golden Turnover.,0,6
16:41,257,Foul on Nick Sherod.,0,6
16:23,2132,Jacob Evans made Three Point Jumper. Assisted by Gary Clark.,0,9
16:01,257,De'Monte Buckingham made Layup. Assisted by Solly Stansbury.,2,9
15:38,257,Foul on Grant Golden.,2,9
15:38,2132,Official TV Timeout,2,9
15:23,2132,Jarron Cumberland missed Jumper.,2,9
15:23,2132,Gary Clark Offensive Rebound.,2,9
15:21,257,Foul on Grant Golden.,2,9
15:21,2132,Gary Clark made Free Throw.,2,10
15:21,2132,Gary Clark made Free Throw.,2,11
15:00,257,Solly Stansbury made Layup. Assisted by De'Monte Buckingham.,4,11
14:41,2132,Justin Jenifer made Three Point Jumper. Assisted by Jacob Evans.,4,14
14:25,2132,Foul on Jacob Evans.,4,14
14:16,257,Solly Stansbury missed Layup.,4,14
14:16,2132,Trevor Moore Defensive Rebound.,4,14
14:00,2132,Cane Broome Turnover.,4,14
13:59,257,Solly Stansbury Steal.,4,14
13:54,257,Nick Sherod missed Three Point Jumper.,4,14
13:54,2132,Tre Scott Defensive Rebound.,4,14
13:40,2132,Jarron Cumberland missed Three Point Jumper.,4,14
13:40,257,Jacob Gilyard Defensive Rebound.,4,14
13:32,257,Solly Stansbury made Layup.,6,14
13:19,257,Foul on Nick Sherod.,6,14
13:16,2132,Cane Broome missed Jumper.,6,14
13:16,2132,Cincinnati Offensive Rebound.,6,14
13:10,2132,Cane Broome Turnover.,6,14
12:35,257,De'Monte Buckingham Turnover.,6,14
12:34,2132,Jarron Cumberland Steal.,6,14
12:31,2132,Jarron Cumberland Turnover.,6,14
12:11,257,Foul on Paul Friendshuh.,6,14
12:11,257,Paul Friendshuh Turnover.,6,14
11:49,2132,Foul on Cane Broome.,6,14
11:49,2132,Cane Broome Turnover.,6,14
11:49,2132,Official TV Timeout,6,14
11:31,2132,Foul on Justin Jenifer.,6,14
11:20,257,Nathan Cayo missed Three Point Jumper.,6,14
11:20,2132,Justin Jenifer Defensive Rebound.,6,14
11:13,2132,Jacob Evans made Dunk. Assisted by Justin Jenifer.,6,16
10:54,257,Paul Friendshuh Turnover.,6,16
10:52,2132,Tre Scott Steal.,6,16
10:40,2132,Tre Scott made Dunk. Assisted by Kyle Washington.,6,18
10:28,257,Julius Johnson Turnover.,6,18
10:12,2132,Jacob Evans made Dunk. Assisted by Justin Jenifer.,6,20
10:10,257,Richmond  Timeout,6,20
9:47,257,Jacob Gilyard missed Three Point Jumper.,6,20
9:47,257,De'Monte Buckingham Offensive Rebound.,6,20
9:43,257,De'Monte Buckingham missed Layup.,6,20
9:43,2132,Trevor Moore Defensive Rebound.,6,20
9:36,2132,Trevor Moore missed Three Point Jumper.,6,20
9:36,257,De'Monte Buckingham Defensive Rebound.,6,20
9:23,257,De'Monte Buckingham Turnover.,6,20
9:14,2132,Trevor Moore missed Three Point Jumper.,6,20
9:14,257,De'Monte Buckingham Defensive Rebound.,6,20
8:55,257,Jordan Madrid-Andrews Turnover.,6,20
8:29,2132,Justin Jenifer made Three Point Jumper. Assisted by Trevor Moore.,6,23
8:05,2132,Foul on Nysier Brooks.,6,23
7:51,257,Grant Golden missed Jumper.,6,23
7:51,2132,Jacob Evans Block.,6,23
7:49,2132,Keith Williams Defensive Rebound.,6,23
7:43,2132,Gary Clark made Three Point Jumper. Assisted by Jacob Evans.,6,26
7:40,257,Richmond  Timeout,6,26
7:40,2132,Official TV Timeout,6,26
7:30,257,Nick Sherod missed Three Point Jumper.,6,26
7:30,2132,Gary Clark Defensive Rebound.,6,26
7:24,2132,Cane Broome made Layup. Assisted by Gary Clark.,6,28
7:17,257,De'Monte Buckingham missed Layup.,6,28
7:17,2132,Nysier Brooks Defensive Rebound.,6,28
7:12,2132,Nysier Brooks Turnover.,6,28
7:11,257,De'Monte Buckingham Turnover.,6,28
7:10,2132,Cane Broome Steal.,6,28
7:02,2132,Gary Clark made Three Point Jumper. Assisted by Jacob Evans.,6,31
6:51,2132,Foul on Keith Williams.,6,31
6:36,2132,Foul on Kyle Washington.,6,31
6:36,257,Solly Stansbury made Free Throw.,7,31
6:36,257,Solly Stansbury missed Free Throw.,7,31
6:36,2132,Kyle Washington Defensive Rebound.,7,31
6:07,2132,Cane Broome made Layup.,7,33
6:05,257,Foul on Khwan Fore.,7,33
6:05,2132,Cane Broome made Free Throw.,7,34
5:48,2132,Foul on Kyle Washington.,7,34
5:48,257,Solly Stansbury made Free Throw.,8,34
5:48,257,Solly Stansbury missed Free Throw.,8,34
5:48,2132,Gary Clark Defensive Rebound.,8,34
5:32,2132,Cane Broome made Jumper.,8,36
5:03,257,Grant Golden missed Jumper.,8,36
5:03,257,Richmond Offensive Rebound.,8,36
4:54,257,De'Monte Buckingham Turnover.,8,36
4:29,2132,Keith Williams Turnover.,8,36
4:08,2132,Foul on Eliel Nsoseme.,8,36
4:08,257,Paul Friendshuh missed Free Throw.,8,36
4:08,2132,Cincinnati Defensive Rebound.,8,36
4:08,257,Foul on Julius Johnson.,8,36
4:08,2132,Eliel Nsoseme missed Free Throw.,8,36
4:08,257,De'Monte Buckingham Defensive Rebound.,8,36
3:58,2132,Foul on Cane Broome.,8,36
3:58,2132,Official TV Timeout,8,36
3:58,257,Julius Johnson made Free Throw.,9,36
3:58,257,Julius Johnson missed Free Throw.,9,36
3:58,2132,Eliel Nsoseme Defensive Rebound.,9,36
3:49,2132,Jarron Cumberland missed Jumper.,9,36
3:49,257,Nathan Cayo Defensive Rebound.,9,36
3:15,257,Paul Friendshuh Turnover.,9,36
3:05,2132,Keith Williams missed Layup.,9,36
3:05,257,Jordan Madrid-Andrews Defensive Rebound.,9,36
2:41,257,Jacob Gilyard missed Three Point Jumper.,9,36
2:41,257,De'Monte Buckingham Offensive Rebound.,9,36
2:40,2132,Foul on Justin Jenifer.,9,36
2:40,257,De'Monte Buckingham missed Free Throw.,9,36
2:40,257,Richmond Deadball Team Rebound.,9,36
2:40,257,De'Monte Buckingham made Free Throw.,10,36
2:17,2132,Justin Jenifer made Three Point Jumper. Assisted by Jacob Evans.,10,39
1:49,257,Foul on De'Monte Buckingham.,10,39
1:49,257,De'Monte Buckingham Turnover.,10,39
1:35,2132,Justin Jenifer Turnover.,10,39
1:14,257,Jacob Gilyard missed Layup.,10,39
1:14,2132,Trevor Moore Defensive Rebound.,10,39
1:01,257,Foul on Nathan Cayo.,10,39
1:01,2132,Tre Scott made Free Throw.,10,40
1:01,2132,Tre Scott missed Free Throw.,10,40
1:01,257,Jordan Madrid-Andrews Defensive Rebound.,10,40
0:40,257,De'Monte Buckingham made Three Point Jumper. Assisted by Nick Sherod.,13,40
0:10,2132,Jarron Cumberland missed Three Point Jumper.,13,40
0:10,257,Richmond Defensive Rebound.,13,40
0:03,2132,Foul on Jacob Evans.,13,40
0:03,257,Khwan Fore made Free Throw.,14,40
0:03,257,Khwan Fore missed Free Throw.,14,40
0:03,2132,Tre Scott Defensive Rebound.,14,40
0:00,2132,End of 1st half,14,40
19:34,257,De'Monte Buckingham missed Three Point Jumper.,14,40
19:34,2132,Gary Clark Defensive Rebound.,14,40
19:13,2132,Jacob Evans missed Three Point Jumper.,14,40
19:13,2132,Jarron Cumberland Offensive Rebound.,14,40
