Arkansas State,84,Indiana,2032
time,team_id,description,h_score,a_score
19:48,2032,Tamas Bruce missed Dunk.,0,0
19:47,2032,Tamas Bruce Offensive Rebound.,0,0
19:46,2032,Tamas Bruce made Two Point Tip Shot.,2,0
19:16,84,Devonte Green missed Jumper.,2,0
19:15,2032,Tamas Bruce Defensive Rebound.,2,0
19:07,2032,Connor Kern missed Three Point Jumper.,2,0
19:05,84,Robert Johnson Defensive Rebound.,2,0
18:59,84,Devonte Green missed Layup.,2,0
18:59,2032,Connor Kern Block.,2,0
18:58,2032,Rashad Lindsey Defensive Rebound.,2,0
18:51,2032,Tristin Walley missed Three Point Jumper.,2,0
18:49,84,Robert Johnson Defensive Rebound.,2,0
18:44,84,Robert Johnson Turnover.,2,0
18:32,2032,Ty Cockfield missed Jumper.,2,0
18:31,84,Juwan Morgan Defensive Rebound.,2,0
18:10,84,Juwan Morgan made Dunk. Assisted by De'Ron Davis.,2,2
17:44,2032,Tristin Walley Turnover.,2,2
17:43,84,Devonte Green Steal.,2,2
17:40,84,Robert Johnson made Layup. Assisted by Devonte Green.,2,4
17:32,2032,Tristin Walley missed Jumper.,2,4
17:32,84,De'Ron Davis Block.,2,4
17:32,84,De'Ron Davis Defensive Rebound.,2,4
17:14,84,Devonte Green missed Jumper.,2,4
17:13,2032,Tristin Walley Defensive Rebound.,2,4
16:52,2032,Rashad Lindsey made Jumper.,4,4
16:36,84,De'Ron Davis made Layup. Assisted by Devonte Green.,4,6
16:20,2032,Ty Cockfield made Layup.,6,6
16:02,84,Robert Johnson missed Three Point Jumper.,6,6
16:02,2032,Connor Kern Defensive Rebound.,6,6
15:59,84,Official TV Timeout,6,6
15:47,2032,Ty Cockfield missed Three Point Jumper.,6,6
15:45,84,De'Ron Davis Defensive Rebound.,6,6
15:38,2032,Foul on Connor Kern.,6,6
15:34,84,Curtis Jones missed Three Point Jumper.,6,6
15:32,2032,Rashad Lindsey Defensive Rebound.,6,6
15:27,2032,Tamas Bruce made Layup. Assisted by Ty Cockfield.,8,6
14:59,84,Curtis Jones made Layup.,8,8
14:45,84,Foul on Robert Johnson.,8,8
14:45,2032,Deven Simms made Free Throw.,9,8
14:45,2032,Deven Simms made Free Throw.,10,8
14:20,84,Freddie McSwain Jr. missed Jumper.,10,8
14:19,2032,Rashad Lindsey Defensive Rebound.,10,8
14:06,2032,Ty Cockfield made Layup. Assisted by Tamas Bruce.,12,8
13:56,2032,Foul on Ty Cockfield.,12,8
13:41,84,Aljami Durham missed Three Point Jumper.,12,8
13:39,84,Freddie McSwain Jr. Offensive Rebound.,12,8
13:35,84,Curtis Jones missed Three Point Jumper.,12,8
13:33,2032,C.J. Foster Defensive Rebound.,12,8
13:21,84,Foul on Justin Smith.,12,8
13:21,2032,Deven Simms made Free Throw.,13,8
13:21,2032,Deven Simms missed Free Throw.,13,8
13:19,84,Indiana Defensive Rebound.,13,8
12:50,84,Freddie McSwain Jr. made Layup. Assisted by Justin Smith.,13,10
12:34,2032,C.J. Foster missed Three Point Jumper.,13,10
12:32,84,Freddie McSwain Jr. Defensive Rebound.,13,10
12:24,84,Devonte Green made Layup.,13,12
11:54,2032,Deven Simms missed Layup.,13,12
11:53,84,Curtis Jones Defensive Rebound.,13,12
11:45,84,Aljami Durham missed Layup.,13,12
11:44,2032,C.J. Foster Defensive Rebound.,13,12
11:22,2032,Deven Simms made Three Point Jumper. Assisted by Rashad Lindsey.,16,12
11:06,2032,Foul on Jake Scoggins.,16,12
11:06,84,Official TV Timeout,16,12
11:06,84,Freddie McSwain Jr. made Free Throw.,16,13
11:06,84,Freddie McSwain Jr. missed Free Throw.,16,13
11:06,84,Juwan Morgan Offensive Rebound.,16,13
11:04,84,Juwan Morgan made Layup.,16,15
11:04,2032,Foul on Jake Scoggins.,16,15
11:03,84,Juwan Morgan made Free Throw.,16,16
10:53,2032,C.J. Foster Turnover.,16,16
10:52,84,Freddie McSwain Jr. Steal.,16,16
10:52,2032,Foul on Tamas Bruce.,16,16
10:31,84,Josh Newkirk missed Three Point Jumper.,16,16
10:29,2032,Grantham Gillard Defensive Rebound.,16,16
10:01,2032,Ty Cockfield Turnover.,16,16
9:45,84,Devonte Green missed Three Point Jumper.,16,16
9:43,84,Freddie McSwain Jr. Offensive Rebound.,16,16
9:43,2032,Foul on Grantham Gillard.,16,16
9:32,84,Robert Johnson missed Jumper.,16,16
9:31,84,Juwan Morgan Offensive Rebound.,16,16
9:30,84,Juwan Morgan made Layup.,16,18
9:11,2032,Deven Simms made Layup.,18,18
8:57,84,Juwan Morgan missed Layup.,18,18
8:57,84,Freddie McSwain Jr. Offensive Rebound.,18,18
8:54,84,Freddie McSwain Jr. missed Layup.,18,18
8:54,84,Freddie McSwain Jr. Offensive Rebound.,18,18
8:50,84,Freddie McSwain Jr. missed Layup.,18,18
8:50,84,Freddie McSwain Jr. Offensive Rebound.,18,18
8:42,84,Freddie McSwain Jr. Turnover.,18,18
8:41,2032,Grantham Gillard Steal.,18,18
8:38,2032,Tamas Bruce missed Layup.,18,18
8:37,84,Robert Johnson Defensive Rebound.,18,18
8:32,84,Josh Newkirk made Layup. Assisted by Robert Johnson.,18,20
8:21,2032,Ty Cockfield Turnover.,18,20
8:10,84,Devonte Green made Three Point Jumper. Assisted by Josh Newkirk.,18,23
7:51,2032,Grantham Gillard made Three Point Jumper. Assisted by Ty Cockfield.,21,23
7:31,84,Josh Newkirk made Jumper.,21,25
7:08,2032,Tamas Bruce Turnover.,21,25
7:07,84,Devonte Green Steal.,21,25
7:05,84,Josh Newkirk made Layup.,21,27
7:03,2032,Arkansas State  Timeout,21,27
7:03,84,Official TV Timeout,21,27
6:47,2032,Ty Cockfield made Layup.,23,27
6:18,84,Juwan Morgan made Layup.,23,29
6:02,84,Foul on Josh Newkirk.,23,29
6:02,2032,Tristin Walley made Free Throw.,24,29
6:02,2032,Tristin Walley made Free Throw.,25,29
5:45,84,De'Ron Davis Turnover.,25,29
5:22,2032,Grantham Gillard missed Three Point Jumper.,25,29
5:20,84,Juwan Morgan Defensive Rebound.,25,29
5:13,84,Devonte Green made Three Point Jumper. Assisted by Juwan Morgan.,25,32
4:49,2032,Grantham Gillard made Three Point Jumper. Assisted by Rashad Lindsey.,28,32
4:27,84,Juwan Morgan made Layup. Assisted by Aljami Durham.,28,34
4:13,84,Foul on De'Ron Davis.,28,34
4:13,2032,Ty Cockfield made Free Throw.,29,34
4:13,2032,Ty Cockfield missed Free Throw.,29,34
4:13,84,Robert Johnson Defensive Rebound.,29,34
4:07,2032,Foul on Jake Scoggins.,29,34
4:07,84,Juwan Morgan made Free Throw.,29,35
4:07,84,Juwan Morgan made Free Throw.,29,36
3:45,84,Foul on Justin Smith.,29,36
3:45,84,Official TV Timeout,29,36
3:45,2032,Shaquillo Fritz made Free Throw.,30,36
3:45,2032,Shaquillo Fritz made Free Throw.,31,36
3:26,84,Aljami Durham made Jumper.,31,38
3:10,2032,Deven Simms missed Layup.,31,38
3:09,84,Freddie McSwain Jr. Defensive Rebound.,31,38
3:01,84,Devonte Green made Three Point Jumper.,31,41
2:32,2032,Rashad Lindsey Turnover.,31,41
2:32,84,Aljami Durham Steal.,31,41
2:27,84,Robert Johnson missed Layup.,31,41
2:26,84,Indiana Offensive Rebound.,31,41
2:25,2032,Foul on Shaquillo Fritz.,31,41
2:25,84,Juwan Morgan made Free Throw.,31,42
2:25,84,Juwan Morgan made Free Throw.,31,43
2:07,2032,Deven Simms made Layup.,33,43
1:53,84,Freddie McSwain Jr. Turnover.,33,43
1:40,2032,Deven Simms missed Three Point Jumper.,33,43
1:38,84,Robert Johnson Defensive Rebound.,33,43
1:24,84,Aljami Durham made Three Point Jumper. Assisted by Robert Johnson.,33,46
1:01,2032,Rashad Lindsey missed Jumper.,33,46
1:00,84,Freddie McSwain Jr. Defensive Rebound.,33,46
0:54,2032,Foul on Connor Kern.,33,46
0:54,84,Freddie McSwain Jr. missed Free Throw.,33,46
0:54,84,Indiana Deadball Team Rebound.,33,46
0:54,84,Freddie McSwain Jr. made Free Throw.,33,47
0:29,2032,Tamas Bruce missed Jumper.,33,47
0:29,84,Freddie McSwain Jr. Block.,33,47
0:27,84,Aljami Durham Defensive Rebound.,33,47
0:02,84,Curtis Jones missed Three Point Jumper.,33,47
0:01,2032,Rashad Lindsey Defensive Rebound.,33,47
0:00,84,End of 1st half,33,47
19:48,2032,Tristin Walley missed Jumper.,33,47
19:48,84,De'Ron Davis Block.,33,47
19:46,2032,Connor Kern Offensive Rebound.,33,47
19:44,2032,Tamas Bruce made Layup. Assisted by Connor Kern.,35,47
19:36,84,Devonte Green Turnover.,35,47
19:35,2032,Tristin Walley Steal.,35,47
19:29,2032,Connor Kern missed Three Point Jumper.,35,47
19:29,84,Juwan Morgan Defensive Rebound.,35,47
19:25,84,Devonte Green Turnover.,35,47
19:24,2032,Rashad Lindsey Steal.,35,47
19:20,84,Foul on Josh Newkirk.,35,47
19:17,2032,Tamas Bruce missed Layup.,35,47
19:17,84,Juwan Morgan Block.,35,47
19:15,84,Juwan Morgan Defensive Rebound.,35,47
19:07,84,De'Ron Davis made Layup.,35,49
18:52,2032,Tristin Walley made Three Point Jumper. Assisted by Ty Cockfield.,38,49
18:27,84,Juwan Morgan made Layup.,38,51
18:09,2032,Ty Cockfield missed Layup.,38,51
18:08,84,Indiana Defensive Rebound.,38,51
17:48,84,De'Ron Davis missed Layup.,38,51
17:47,2032,Tamas Bruce Defensive Rebound.,38,51
17:37,2032,Connor Kern made Three Point Jumper. Assisted by Rashad Lindsey.,41,51
17:33,84,Foul on De'Ron Davis.,41,51
17:23,2032,Rashad Lindsey made Jumper.,43,51
17:11,84,Freddie McSwain Jr. made Layup. Assisted by Josh Newkirk.,43,53
17:11,84,Indiana  Timeout,43,53
17:11,84,Official TV Timeout,43,53
16:56,2032,Foul on Tamas Bruce.,43,53
16:56,2032,Tamas Bruce Turnover.,43,53
16:36,84,Freddie McSwain Jr. Turnover.,43,53
16:35,2032,Tamas Bruce Steal.,43,53
16:16,2032,Rashad Lindsey missed Layup.,43,53
16:16,84,Freddie McSwain Jr. Block.,43,53
16:15,2032,Rashad Lindsey Offensive Rebound.,43,53
16:00,84,Juwan Morgan missed Layup.,43,53
15:59,84,Freddie McSwain Jr. Offensive Rebound.,43,53
15:57,84,Freddie McSwain Jr. missed Layup.,43,53
15:57,2032,Tamas Bruce Block.,43,53
15:55,2032,Connor Kern Defensive Rebound.,43,53
15:41,2032,Tristin Walley missed Three Point Jumper.,43,53
15:39,84,Freddie McSwain Jr. Defensive Rebound.,43,53
15:30,84,Robert Johnson made Jumper.,43,55
15:21,2032,Deven Simms made Layup.,45,55
15:11,2032,Foul on Tamas Bruce.,45,55
15:11,84,Official TV Timeout,45,55
14:54,84,Robert Johnson missed Jumper.,45,55
14:52,84,Justin Smith Offensive Rebound.,45,55
14:47,84,Robert Johnson missed Three Point Jumper.,45,55
14:45,2032,Jake Scoggins Defensive Rebound.,45,55
14:27,84,Foul on Justin Smith.,45,55
14:27,2032,Deven Simms made Free Throw.,46,55
14:27,2032,Deven Simms made Free Throw.,47,55
14:08,84,Robert Johnson missed Three Point Jumper.,47,55
14:06,2032,Jake Scoggins Defensive Rebound.,47,55
13:57,2032,Jake Scoggins made Layup. Assisted by Deven Simms.,49,55
13:35,84,Aljami Durham made Layup.,49,57
13:27,2032,Ty Cockfield missed Layup.,49,57
13:27,84,Juwan Morgan Block.,49,57
13:26,2032,Arkansas State Offensive Rebound.,49,57
13:12,2032,Ty Cockfield missed Jumper.,49,57
13:11,84,Devonte Green Defensive Rebound.,49,57
13:03,84,De'Ron Davis missed Layup.,49,57
13:02,2032,Jake Scoggins Defensive Rebound.,49,57
12:41,2032,Grantham Gillard missed Three Point Jumper.,49,57
12:39,84,De'Ron Davis Defensive Rebound.,49,57
12:23,84,Robert Johnson missed Three Point Jumper.,49,57
12:21,2032,Deven Simms Defensive Rebound.,49,57
12:11,2032,Tristin Walley missed Jumper.,49,57
12:11,84,Aljami Durham Block.,49,57
12:10,2032,Tristin Walley Offensive Rebound.,49,57
11:57,2032,Grantham Gillard made Three Point Jumper. Assisted by Ty Cockfield.,52,57
11:41,84,De'Ron Davis Turnover.,52,57
11:41,84,Official TV Timeout,52,57
11:21,2032,Tristin Walley missed Three Point Jumper.,52,57
11:18,84,Curtis Jones Defensive Rebound.,52,57
11:12,2032,Foul on Ty Cockfield.,52,57
10:57,2032,Foul on Jake Scoggins.,52,57
10:46,2032,Foul on Grantham Gillard.,52,57
10:46,84,Juwan Morgan made Free Throw.,52,58
10:46,84,Juwan Morgan made Free Throw.,52,59
10:31,2032,Grantham Gillard missed Three Point Jumper.,52,59
10:29,2032,Deven Simms Offensive Rebound.,52,59
10:27,2032,Deven Simms made Layup.,54,59
10:10,84,Curtis Jones missed Three Point Jumper.,54,59
10:07,2032,Ty Cockfield Defensive Rebound.,54,59
9:43,2032,Deven Simms made Jumper.,56,59
9:23,84,Curtis Jones made Layup.,56,61
8:55,2032,Jake Scoggins made Layup. Assisted by Grantham Gillard.,58,61
8:40,84,Aljami Durham missed Layup.,58,61
8:37,84,Aljami Durham Offensive Rebound.,58,61
8:37,2032,Foul on Rashad Lindsey.,58,61
