Miami (OH),2655,Tulane,193
time,team_id,description,h_score,a_score
19:46,2655,Cameron Reynolds made Jumper.,0,2
19:34,193,Foul on Precious Ayah.,0,2
19:34,193,Precious Ayah Turnover.,0,2
19:14,2655,Blake Paul missed Jumper.,0,2
19:14,2655,Cameron Reynolds Offensive Rebound.,0,2
19:12,2655,Cameron Reynolds made Layup.,0,4
18:56,193,Dalonte Brown made Jumper.,2,4
18:41,2655,Melvin Frazier Turnover.,2,4
18:24,193,Nike Sibande missed Jumper.,2,4
18:24,2655,Cameron Reynolds Defensive Rebound.,2,4
18:14,2655,Melvin Frazier made Jumper.,2,6
18:14,193,Foul on Precious Ayah.,2,6
18:14,2655,Melvin Frazier made Free Throw.,2,7
18:01,193,Dalonte Brown missed Jumper.,2,7
18:01,2655,Jordan Cornish Defensive Rebound.,2,7
17:51,193,Foul on Nike Sibande.,2,7
17:49,2655,Cameron Reynolds Turnover.,2,7
17:29,193,Isaiah Coleman-Lands Turnover.,2,7
17:17,2655,Blake Paul missed Jumper.,2,7
17:17,193,Nike Sibande Defensive Rebound.,2,7
17:03,193,Dalonte Brown missed Layup.,2,7
17:03,2655,Blake Paul Defensive Rebound.,2,7
16:52,193,Foul on Isaiah Coleman-Lands.,2,7
16:52,2655,Foul on Cameron Reynolds.,2,7
16:52,2655,Cameron Reynolds Turnover.,2,7
16:22,193,Isaiah Coleman-Lands made Jumper.,4,7
16:04,2655,Ray Ona Embo made Three Point Jumper. Assisted by Cameron Reynolds.,4,10
15:44,193,Bam Bowman missed Three Point Jumper.,4,10
15:44,2655,Jordan Cornish Defensive Rebound.,4,10
15:29,2655,Melvin Frazier made Layup. Assisted by Blake Paul.,4,12
14:55,193,Bam Bowman missed Three Point Jumper.,4,12
14:55,193,Dalonte Brown Offensive Rebound.,4,12
14:51,193,Dalonte Brown missed Jumper.,4,12
14:51,2655,Melvin Frazier Defensive Rebound.,4,12
14:33,193,Foul on Bam Bowman.,4,12
14:33,2655,Official TV Timeout,4,12
14:33,2655,Blake Paul missed Free Throw.,4,12
14:33,2655,Tulane Deadball Team Rebound.,4,12
14:33,2655,Blake Paul missed Free Throw.,4,12
14:33,193,Miami (OH) Defensive Rebound.,4,12
14:21,2655,Foul on Blake Paul.,4,12
14:14,193,Nike Sibande made Three Point Jumper. Assisted by Darrian Ringo.,7,12
13:54,2655,Ray Ona Embo made Three Point Jumper.,7,15
13:33,193,Logan McLane missed Jumper.,7,15
13:33,2655,Melvin Frazier Defensive Rebound.,7,15
13:18,2655,Blake Paul Turnover.,7,15
13:18,193,Logan McLane Steal.,7,15
13:09,193,Nike Sibande made Layup.,9,15
12:54,2655,Melvin Frazier missed Layup.,9,15
12:54,2655,Melvin Frazier Offensive Rebound.,9,15
12:52,2655,Jordan Cornish missed Three Point Jumper.,9,15
12:52,193,Nike Sibande Defensive Rebound.,9,15
12:34,193,Darrian Ringo Turnover.,9,15
12:24,193,Foul on Nike Sibande.,9,15
12:14,2655,Cameron Reynolds missed Jumper.,9,15
12:14,193,Jalen Adaway Defensive Rebound.,9,15
11:51,193,Jalen Adaway missed Jumper.,9,15
11:51,2655,Cameron Reynolds Defensive Rebound.,9,15
11:35,2655,Jordan Cornish made Jumper.,9,17
11:08,2655,Foul on Melvin Frazier.,9,17
11:08,2655,Official TV Timeout,9,17
11:01,193,Logan McLane missed Jumper.,9,17
11:01,2655,Samir Sehic Defensive Rebound.,9,17
10:41,2655,Jordan Cornish made Jumper.,9,19
10:23,193,Darrian Ringo missed Three Point Jumper.,9,19
10:23,2655,Jordan Cornish Defensive Rebound.,9,19
10:12,2655,Jordan Cornish missed Layup.,9,19
10:12,2655,Samir Sehic Offensive Rebound.,9,19
10:11,193,Foul on Jalen Adaway.,9,19
10:11,2655,Samir Sehic missed Free Throw.,9,19
10:11,2655,Tulane Deadball Team Rebound.,9,19
10:11,2655,Samir Sehic made Free Throw.,9,20
9:52,2655,Foul on Ray Ona Embo.,9,20
9:52,193,Darrian Ringo made Free Throw.,10,20
9:52,193,Darrian Ringo missed Free Throw.,10,20
9:52,2655,Tulane Defensive Rebound.,10,20
9:34,2655,Caleb Daniels made Jumper.,10,22
9:09,193,Jake Wright made Three Point Jumper.,13,22
8:48,193,Foul on Logan McLane.,13,22
8:48,2655,Samir Sehic made Free Throw.,13,23
8:48,2655,Samir Sehic made Free Throw.,13,24
8:35,193,Logan McLane made Layup. Assisted by Darrian Ringo.,15,24
8:13,2655,Samir Sehic missed Three Point Jumper.,15,24
8:13,193,Dalonte Brown Defensive Rebound.,15,24
8:02,193,Dalonte Brown Turnover.,15,24
7:52,2655,Jordan Cornish missed Jumper.,15,24
7:52,2655,Samir Sehic Offensive Rebound.,15,24
7:50,2655,Samir Sehic made Layup.,15,26
7:32,2655,Official TV Timeout,15,26
7:28,193,Logan McLane missed Three Point Jumper.,15,26
7:28,2655,Caleb Daniels Defensive Rebound.,15,26
7:18,2655,Caleb Daniels Turnover.,15,26
7:17,193,Darrian Ringo Steal.,15,26
7:11,193,Logan McLane made Layup. Assisted by Darrian Ringo.,17,26
7:03,193,Foul on Darrian Ringo.,17,26
7:03,2655,Shakwon Barrett missed Free Throw.,17,26
7:03,193,Dalonte Brown Defensive Rebound.,17,26
6:44,193,Dalonte Brown missed Layup.,17,26
6:44,2655,Caleb Daniels Block.,17,26
6:43,2655,Melvin Frazier Defensive Rebound.,17,26
6:26,193,Foul on Dalonte Brown.,17,26
6:26,2655,Samir Sehic missed Free Throw.,17,26
6:26,2655,Tulane Deadball Team Rebound.,17,26
6:26,2655,Samir Sehic missed Free Throw.,17,26
6:26,193,Logan McLane Defensive Rebound.,17,26
6:04,193,Dalonte Brown missed Three Point Jumper.,17,26
6:04,2655,Shakwon Barrett Defensive Rebound.,17,26
5:49,2655,Samir Sehic made Three Point Jumper. Assisted by Shakwon Barrett.,17,29
5:31,2655,Foul on Samir Sehic.,17,29
5:31,193,Logan McLane missed Free Throw.,17,29
5:31,193,Miami (OH) Deadball Team Rebound.,17,29
5:31,193,Logan McLane made Free Throw.,18,29
5:21,2655,Samir Sehic missed Three Point Jumper.,18,29
5:21,193,Jalen Adaway Defensive Rebound.,18,29
5:13,2655,Foul on Caleb Daniels.,18,29
5:10,2655,Foul on Caleb Daniels.,18,29
5:10,193,Jalen Adaway made Free Throw.,19,29
5:10,193,Jalen Adaway missed Free Throw.,19,29
5:10,2655,Cameron Reynolds Defensive Rebound.,19,29
5:00,2655,Melvin Frazier Turnover.,19,29
4:47,193,Isaiah Coleman-Lands Turnover.,19,29
4:47,2655,Cameron Reynolds Steal.,19,29
4:44,193,Foul on Jalen Adaway.,19,29
4:44,2655,Ray Ona Embo missed Free Throw.,19,29
4:44,2655,Tulane Deadball Team Rebound.,19,29
4:44,2655,Ray Ona Embo made Free Throw.,19,30
4:34,193,Rod Mills Jr. made Three Point Jumper. Assisted by Darrian Ringo.,22,30
4:12,2655,Ray Ona Embo missed Three Point Jumper.,22,30
4:12,193,Rod Mills Jr. Defensive Rebound.,22,30
4:02,193,Dalonte Brown missed Jumper.,22,30
4:02,2655,Melvin Frazier Defensive Rebound.,22,30
3:54,2655,Cameron Reynolds made Layup.,22,32
3:54,193,Foul on Bam Bowman.,22,32
3:54,2655,Official TV Timeout,22,32
3:54,2655,Cameron Reynolds missed Free Throw.,22,32
3:54,193,Rod Mills Jr. Defensive Rebound.,22,32
3:41,193,Darrian Ringo Turnover.,22,32
3:41,2655,Melvin Frazier Steal.,22,32
3:36,2655,Cameron Reynolds missed Three Point Jumper.,22,32
3:36,193,Darrian Ringo Defensive Rebound.,22,32
3:26,193,Logan McLane made Layup. Assisted by Darrian Ringo.,24,32
3:26,2655,Foul on Bul Ajang.,24,32
3:26,193,Logan McLane made Free Throw.,25,32
3:11,2655,Colin Slater Turnover.,25,32
3:10,193,Darrian Ringo Steal.,25,32
3:09,2655,Foul on Ray Ona Embo.,25,32
3:09,193,Darrian Ringo made Free Throw.,26,32
3:09,193,Darrian Ringo made Free Throw.,27,32
2:55,2655,Colin Slater missed Three Point Jumper.,27,32
2:55,193,Rod Mills Jr. Defensive Rebound.,27,32
2:27,193,Darrian Ringo Turnover.,27,32
2:27,2655,Melvin Frazier Steal.,27,32
2:23,2655,Melvin Frazier Turnover.,27,32
1:52,193,Miami (OH)  Turnover.,27,32
1:40,2655,Colin Slater made Three Point Jumper. Assisted by Jordan Cornish.,27,35
1:25,2655,Foul on Colin Slater.,27,35
1:25,193,Darrian Ringo made Free Throw.,28,35
1:25,193,Darrian Ringo made Free Throw.,29,35
1:10,2655,Colin Slater made Jumper.,29,37
0:57,2655,Foul on Melvin Frazier.,29,37
0:57,193,Jake Wright missed Free Throw.,29,37
0:57,193,Miami (OH) Deadball Team Rebound.,29,37
0:57,193,Jake Wright made Free Throw.,30,37
0:40,2655,Colin Slater missed Three Point Jumper.,30,37
0:40,2655,Bul Ajang Offensive Rebound.,30,37
0:38,2655,Bul Ajang missed Jumper.,30,37
0:38,193,Rod Mills Jr. Defensive Rebound.,30,37
0:24,193,Miami (OH)  Timeout,30,37
0:09,193,Darrian Ringo missed Three Point Jumper.,30,37
0:09,2655,Bul Ajang Defensive Rebound.,30,37
0:03,2655,Bul Ajang Turnover.,30,37
0:00,2655,End of 1st half,30,37
19:50,193,Jalen Adaway made Dunk. Assisted by Nike Sibande.,32,37
19:19,2655,Jordan Cornish missed Layup.,32,37
19:19,2655,Tulane Offensive Rebound.,32,37
19:15,2655,Cameron Reynolds made Jumper. Assisted by Melvin Frazier.,32,39
18:58,193,Dalonte Brown missed Layup.,32,39
18:58,2655,Blake Paul Block.,32,39
18:56,193,Miami (OH) Offensive Rebound.,32,39
18:49,2655,Foul on Blake Paul.,32,39
18:34,193,Nike Sibande made Three Point Jumper. Assisted by Precious Ayah.,35,39
18:12,2655,Cameron Reynolds made Jumper.,35,41
17:55,193,Isaiah Coleman-Lands made Layup.,37,41
17:40,2655,Ray Ona Embo made Layup. Assisted by Jordan Cornish.,37,43
17:40,193,Foul on Isaiah Coleman-Lands.,37,43
17:40,2655,Ray Ona Embo made Free Throw.,37,44
17:28,193,Logan McLane Turnover.,37,44
17:17,2655,Ray Ona Embo missed Jumper.,37,44
17:17,193,Dalonte Brown Defensive Rebound.,37,44
16:53,193,Logan McLane Turnover.,37,44
16:38,2655,Blake Paul missed Layup.,37,44
16:38,193,Logan McLane Block.,37,44
16:36,2655,Cameron Reynolds Offensive Rebound.,37,44
16:33,2655,Cameron Reynolds missed Jumper.,37,44
16:33,193,Jalen Adaway Defensive Rebound.,37,44
16:26,193,Nike Sibande made Jumper.,39,44
16:14,193,Foul on Nike Sibande.,39,44
16:09,2655,Melvin Frazier made Dunk. Assisted by Blake Paul.,39,46
15:44,193,Logan McLane Turnover.,39,46
15:43,2655,Melvin Frazier Steal.,39,46
15:38,2655,Official TV Timeout,39,46
15:38,193,Foul on Rod Mills Jr..,39,46
15:35,2655,Blake Paul missed Jumper.,39,46
