Appalachian State,256,James Madison,2026
time,team_id,description,h_score,a_score
19:44,256,Joey McLean missed Three Point Jumper.,0,0
19:44,2026,Zach Cottrell Defensive Rebound.,0,0
19:14,2026,Griffin Kinney missed Layup.,0,0
19:14,2026,Isaac Johnson Offensive Rebound.,0,0
18:57,2026,Ronshad Shabazz missed Three Point Jumper.,0,0
18:57,256,Stuckey Mosley Defensive Rebound.,0,0
18:34,256,Stuckey Mosley missed Jumper.,0,0
18:34,2026,Tyrell Johnson Block.,0,0
18:29,256,Develle Phillips Offensive Rebound.,0,0
18:25,256,Ramone Snowden missed Three Point Jumper.,0,0
18:25,2026,Isaac Johnson Defensive Rebound.,0,0
18:03,2026,Griffin Kinney missed Layup.,0,0
18:03,256,Develle Phillips Defensive Rebound.,0,0
17:41,2026,Foul on Griffin Kinney.,0,0
17:41,256,Darius Banks made Free Throw.,0,1
17:41,256,Darius Banks missed Free Throw.,0,1
17:41,2026,Isaac Johnson Defensive Rebound.,0,1
17:30,2026,Isaac Johnson Turnover.,0,1
17:28,256,Joey McLean Steal.,0,1
17:14,256,Darius Banks missed Three Point Jumper.,0,1
17:14,2026,Zach Cottrell Defensive Rebound.,0,1
17:02,2026,Tyrell Johnson missed Three Point Jumper.,0,1
17:02,2026,Griffin Kinney Offensive Rebound.,0,1
16:48,2026,Isaac Johnson Turnover.,0,1
16:39,256,Matt Lewis made Jumper.,0,3
16:28,2026,Justin Forrest Turnover.,0,3
16:26,256,Stuckey Mosley Steal.,0,3
16:22,256,Stuckey Mosley made Jumper. Assisted by Develle Phillips.,0,5
16:20,2026,Appalachian State  Timeout,0,5
16:07,2026,Justin Forrest Turnover.,0,5
15:56,256,Stuckey Mosley missed Three Point Jumper.,0,5
15:56,256,Develle Phillips Offensive Rebound.,0,5
15:53,256,Develle Phillips made Layup.,0,7
15:30,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Justin Forrest.,3,7
15:08,256,Develle Phillips missed Layup.,3,7
15:08,2026,Tyrell Johnson Defensive Rebound.,3,7
15:02,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Tyrell Johnson.,6,7
14:37,2026,Foul on Justin Forrest.,6,7
14:37,256,Matt Lewis missed Free Throw.,6,7
14:37,256,James Madison Deadball Team Rebound.,6,7
14:37,256,Matt Lewis made Free Throw.,6,8
14:37,256,Matt Lewis made Free Throw.,6,9
14:29,2026,Justin Forrest made Three Point Jumper. Assisted by Ronshad Shabazz.,9,9
14:06,2026,Foul on Bennett Holley.,9,9
14:06,256,Develle Phillips made Free Throw.,9,10
14:06,256,Develle Phillips made Free Throw.,9,11
13:52,2026,Justin Forrest made Layup.,11,11
13:35,256,Matt Lewis made Three Point Jumper. Assisted by Stuckey Mosley.,11,14
