Kean College,Error,NJIT,2885
time,team_id,description,h_score,a_score
19:43,-1,DeAndre Thomas Turnover.,0,0
19:41,2885,Diandre Wilson Steal.,0,0
19:22,2885,Anthony Tarke made Jumper.,0,2
18:54,-1,DeAndre Thomas made Three Point Jumper.,3,2
18:29,2885,Anthony Tarke missed Three Point Jumper.,3,2
18:29,-1,Kean Defensive Rebound.,3,2
18:13,-1,DeAndre Thomas missed Jumper.,3,2
18:13,2885,Anthony Tarke Defensive Rebound.,3,2
17:54,2885,Shawndale Jones made Three Point Jumper. Assisted by Abdul Lewis.,3,5
17:24,-1,DeAndre Thomas made Three Point Jumper. Assisted by Jodrell Thompson.,6,5
17:15,2885,Shawndale Jones Turnover.,6,5
17:14,-1,Micah Kerr Steal.,6,5
17:11,-1,missed Three Point Jumper.,6,5
17:11,2885,Anthony Tarke Defensive Rebound.,6,5
16:56,2885,Reilly Walsh missed Three Point Jumper.,6,5
16:56,-1,Mike Summerer Defensive Rebound.,6,5
16:48,-1,Micah Kerr missed Layup.,6,5
16:48,2885,Reilly Walsh Block.,6,5
16:48,-1,Kean Offensive Rebound.,6,5
16:36,-1,Foul on Vaughn Laki Anderson.,6,5
16:36,-1,Vaughn Laki Anderson Turnover.,6,5
16:26,2885,Anthony Tarke Turnover.,6,5
16:26,-1,Duke Germain Steal.,6,5
16:09,-1,Jeff Cooper missed Layup.,6,5
16:09,2885,Reilly Walsh Defensive Rebound.,6,5
16:06,-1,Foul on Vaughn Laki Anderson.,6,5
15:53,2885,Anthony Tarke missed Layup.,6,5
15:53,2885,Abdul Lewis Offensive Rebound.,6,5
15:53,-1,Foul on Jeff Cooper.,6,5
15:53,2885,Official TV Timeout,6,5
15:53,2885,NJIT  Timeout,6,5
15:53,2885,Anthony Tarke made Free Throw.,6,6
15:53,2885,Anthony Tarke made Free Throw.,6,7
15:31,-1,D'Andre Mathis missed Layup.,6,7
15:31,-1,Duke Germain Offensive Rebound.,6,7
15:29,2885,Foul on Anthony Tarke.,6,7
15:29,-1,Duke Germain missed Free Throw.,6,7
15:29,-1,Kean Deadball Team Rebound.,6,7
15:29,-1,Duke Germain made Free Throw.,7,7
15:19,2885,David Kachelries Turnover.,7,7
15:18,-1,Vaughn Laki Anderson Steal.,7,7
15:08,-1,Vaughn Laki Anderson made Layup.,9,7
14:47,2885,Diandre Wilson made Three Point Jumper. Assisted by Anthony Tarke.,9,10
14:30,-1,Jeff Cooper missed Three Point Jumper.,9,10
14:30,-1,Duke Germain Offensive Rebound.,9,10
14:09,-1,Jeff Cooper Turnover.,9,10
13:58,2885,Chris Jenkins missed Three Point Jumper.,9,10
13:58,2885,Donovan Greer Offensive Rebound.,9,10
13:42,2885,Zach Cooks missed Three Point Jumper.,9,10
13:42,2885,Zach Cooks Offensive Rebound.,9,10
13:31,2885,Donovan Greer made Three Point Jumper. Assisted by Zach Cooks.,9,13
13:15,-1,DeAndre Thomas missed Three Point Jumper.,9,13
13:15,-1,Kean Offensive Rebound.,9,13
13:11,-1,Stephen Strom missed Layup.,9,13
13:11,2885,Chris Jenkins Defensive Rebound.,9,13
13:01,2885,Shawndale Jones made Jumper. Assisted by Donovan Greer.,9,15
12:39,-1,DeAndre Thomas missed Layup.,9,15
12:39,2885,Abdul Lewis Defensive Rebound.,9,15
12:31,2885,Abdul Lewis made Layup. Assisted by Zach Cooks.,9,17
12:20,2885,Official TV Timeout,9,17
12:10,-1,Mike Summerer missed Jumper.,9,17
12:10,2885,Zach Cooks Defensive Rebound.,9,17
12:02,2885,Shawndale Jones made Layup. Assisted by Zach Cooks.,9,19
11:55,-1,Stephen Strom missed Three Point Jumper.,9,19
11:55,2885,Mohamed Bendary Defensive Rebound.,9,19
11:41,2885,Donovan Greer made Three Point Jumper. Assisted by Chris Jenkins.,9,22
11:26,-1,Jodrell Thompson made Three Point Jumper. Assisted by Mike Summerer.,12,22
11:08,2885,Shawndale Jones missed Layup.,12,22
11:08,-1,Carry Saturne Defensive Rebound.,12,22
