Georgia,2239,CS Fullerton,61
time,team_id,description,h_score,a_score
19:36,2239,Arkim Robertson made Jumper. Assisted by Kyle Allman.,0,2
19:11,61,Rayshaun Hammonds missed Jumper.,0,2
19:11,61,Rayshaun Hammonds Offensive Rebound.,0,2
19:05,61,William Jackson II missed Three Point Jumper.,0,2
19:05,2239,Jackson Rowe Defensive Rebound.,0,2
18:54,61,Foul on Derek Ogbeide.,0,2
18:54,2239,Kyle Allman made Free Throw.,0,3
18:54,2239,Kyle Allman made Free Throw.,0,4
18:37,2239,Foul on Arkim Robertson.,0,4
18:37,61,E'Torrion Wilridge missed Free Throw.,0,4
18:37,61,Georgia Deadball Team Rebound.,0,4
18:37,61,E'Torrion Wilridge made Free Throw.,1,4
18:18,61,Foul on Yante Maten.,1,4
18:18,2239,Jackson Rowe missed Free Throw.,1,4
18:18,2239,CSU Fullerton Deadball Team Rebound.,1,4
18:18,2239,Jackson Rowe missed Free Throw.,1,4
18:18,61,Yante Maten Defensive Rebound.,1,4
18:12,61,Yante Maten missed Three Point Jumper.,1,4
18:12,2239,Arkim Robertson Defensive Rebound.,1,4
17:56,2239,Jackson Rowe made Three Point Jumper. Assisted by Kyle Allman.,1,7
17:35,61,Yante Maten Turnover.,1,7
17:34,2239,Khalil Ahmad Steal.,1,7
17:25,2239,Jackson Rowe missed Layup.,1,7
17:25,61,E'Torrion Wilridge Defensive Rebound.,1,7
17:16,2239,Foul on Arkim Robertson.,1,7
17:16,61,William Jackson II made Free Throw.,2,7
17:16,61,William Jackson II made Free Throw.,3,7
16:55,2239,Khalil Ahmad missed Three Point Jumper.,3,7
16:55,61,William Jackson II Defensive Rebound.,3,7
16:33,61,Yante Maten made Jumper. Assisted by William Jackson II.,5,7
16:13,2239,Kyle Allman made Jumper.,5,9
15:50,61,William Jackson II missed Three Point Jumper.,5,9
15:50,2239,CSU Fullerton Defensive Rebound.,5,9
15:46,2239,Official TV Timeout,5,9
15:34,61,Foul on Mike Edwards.,5,9
15:14,2239,Kyle Allman missed Three Point Jumper.,5,9
